,English,English_human
76,adversarial learning,adversarial learning
77,adversarial loss,adversarial loss
78,adversarial network,adversarial network
79,adversarial perturbation,adversarial perturbation
80,adversarial prompt,adversarial prompt
81,adversarial robustness,adversarial robustness
82,adversarial training,adversarial training
83,adversary,adversary
84,advmod,advmod
85,affine,affine
86,affine subspace,affine subspace
87,affine transform,affine transform
88,affine transformation,affine transformation
89,affinity matrix,affinity matrix
90,affinity measure,affinity measure
91,agent architecture,agent architecture
92,agent learning,agent learning
93,agent policy,agent policy
94,agent's policy,agent's policy
95,aggregate function,aggregate function
96,aggregation,aggregation
97,aggregation function,aggregation function
98,aleatoric uncertainty,aleatoric uncertainty
99,algorithm class,algorithm class
100,algorithm design,algorithm design
101,algorithmic approach,algorithmic approach
102,algorithmic bias,algorithmic bias
103,algorithmic fairness,algorithmic fairness
104,algorithmic stability,algorithmic stability
105,alias table,alias table
106,alignment algorithm,alignment algorithm
107,alignment model,alignment model
108,alpha compositing,alpha compositing
109,alphabet size,alphabet size
110,ambient space,ambient space
111,anaphora resolution,anaphora resolution
112,anaphoric reference,anaphoric reference
113,ancestral sampling,ancestral sampling
114,anchor,anchor
115,anchor box,anchor box
116,annotated corpus,annotated corpus
117,annotated datum,annotated datum
118,annotation artifact,annotation artifact
119,annotation projection,annotation projection
120,annotator,annotator
121,annotator bias,annotator bias
122,anomaly detection,anomaly detection
123,anomaly score,anomaly score
124,answer set,answer set
125,answer set programming,Answer Set Programming
126,answer set solver,answer set solver
127,answer span,answer span
128,answer variable,answer variable
129,antecedent,antecedent
130,antithetic sampling,antithetic sampling
131,anytime algorithm,anytime algorithm
132,aperture problem,aperture problem
133,appearance model,appearance model
134,apprenticeship learning,apprenticeship learning
135,approximate inference,approximate inference
136,approximate inference algorithm,approximate inference algorithm
137,approximate posterior,approximate posterior
138,approximate posterior distribution,approximate posterior distribution
139,approximate similarity search,approximate similarity search
140,approximation,approximation
141,approximation algorithm,approximation algorithm
142,approximation error,approximation error
143,approximation factor,approximation factor
144,approximation guarantee,approximation guarantee
145,approximation ratio,approximation ratio
146,approximator,approximator
147,apriori algorithm,Apriori algorithm
148,arcade learning environment,Arcade Learning Environment
149,architectural modification,architectural modification
150,architecture,architecture
151,architecture search,architecture search
152,arg max,arg max
153,arg min,arg min
154,argument,argument
155,argument identification,argument identification
156,argument relation,argument relation
157,argument structure,argument structure
158,arity,arity
159,artificial agent,artificial agent
160,artificial intelligence system,artificial intelligence system
161,artificial neural network,artificial neural network
162,assignment problem,assignment problem
163,association rule,association rule
164,association rule mining,association rule mining
165,asymmetric transformation,asymmetric transformation
166,asymptotic bias,asymptotic bias
167,asymptotic notation,asymptotic notation
168,asymptotic variance,asymptotic variance
169,attack success rate,attack success rate
170,attention,attention
171,attention distribution,attention distribution
172,attention function,attention function
173,attention head,attention head
174,attention layer,attention layer
175,attention map,attention map
176,attention mask,attention mask
177,attention matrix,attention matrix
178,attention mechanism,attention mechanism
179,attention model,attention model
180,attention module,attention module
181,attention operation,attention operation
182,attention pattern,attention pattern
183,attention score,attention score
184,attention value,attention value
185,attention weight,attention weight
186,attribute,attribute
187,attribution,attribution
188,augmentation,augmentation
189,augmented state space,augmented state space
190,auto-regressive language model,auto-regressive language model
191,auto-regressive model,auto-regressive model
192,auto-regressive process,auto-regressive process
193,autocalibration,autocalibration
194,autocorrelation,autocorrelation
195,autodiff,autodiff
196,automata,automata
197,automated mechanism design,automated mechanism design
198,automatic differentiation,automatic differentiation
199,automatic evaluation,automatic evaluation
200,automatic post-editing,automatic post-editing
201,automatic speech recognition,automatic speech recognition
202,automorphism,automorphism
203,autonomous agent,autonomous agent
204,autonomous vehicle,autonomous vehicle
205,autoregressive decoder,autoregressive decoder
206,autoregressive generation,autoregressive generation
207,auxiliary classifier,auxiliary classifier
208,auxiliary loss,auxiliary loss
209,auxiliary task,auxiliary task
210,auxiliary variable,auxiliary variable
211,auxillary loss,auxillary loss
212,average loss,average loss
213,average pool,Average Pool
214,average precision,Average Precision
215,averaged perceptron,averaged perceptron
216,averaged perceptron algorithm,averaged perceptron algorithm
217,back-off strategy,back-off strategy
218,back-propagate,back-propagate
219,back-propagation algorithm,back-propagation algorithm
220,back-translation,back-translation
221,backbone,Backbone
222,backbone model,backbone model
223,backbone network,backbone network
224,backdoor,backdoor
225,backdoor adjustment,backdoor adjustment
226,backdoor attack,backdoor attack
227,backdoor sample,backdoor sample
228,background model,background model
229,background subtraction,background subtraction
230,backoff model,backoff model
231,backpointer,backpointer
232,backprojection,backprojection
233,backprop,backprop
234,backpropagation,Backpropagation
235,backtracking line search,backtracking line search
236,backward pass,backward pass
237,bag of feature,bag of feature
238,bag-of-word,bag-of-word
239,bag-of-word model,bag-of-word model
240,bag-of-word representation,bag-of-word representation
241,bandit,bandit
242,bandit feedback,bandit feedback
243,bandit learning,bandit learning
244,bandwidth parameter,bandwidth parameter
245,bart-base,bart-base
246,bart-large,bart-large
247,barycentric coordinate,barycentric coordinate
248,base classifier,base classifier
249,base distribution,base distribution
250,base learner,base learner
251,base model,base model
252,baseline algorithm,baseline algorithm
253,baseline method,baseline method
254,baseline model,baseline model
255,baseline parser,baseline parser
256,baseline policy,baseline policy
257,baseline system,baseline system
258,basis function,basis function
259,basis vector,basis vector
260,batch algorithm,batch algorithm
261,batch dimension,batch dimension
262,batch element,batch element
263,batch learning,batch learning
264,batch mode,batch mode
265,batch normalization,batch normalization
266,batch optimization,batch optimization
267,batch processing,batch processing
268,batch setting,batch setting
269,batch training,batch training
270,bayesian active learning,Bayesian active learning
271,bayesian analysis,Bayesian analysis
272,bayesian approach,Bayesian approach
273,bayesian clustering,Bayesian clustering
274,bayesian decision,Bayesian decision
275,bayesian deep learning,Bayesian deep learning
276,bayesian evidence,Bayesian evidence
277,bayesian framework,Bayesian framework
278,bayesian game,Bayesian game
279,bayesian inference,Bayesian inference
280,bayesian learning,Bayesian learning
281,bayesian method,Bayesian method
282,bayesian model,Bayesian model
283,bayesian optimization,Bayesian optimization
284,bayesian perspective,Bayesian perspective
285,bayesian probabilistic model,Bayesian probabilistic model
286,bayesian update,Bayesian update
287,beam search algorithm,beam search algorithm
288,beam search decoding,beam search decoding
289,beam search decoding algorithm,beam search decoding algorithm
290,beam size,beam size
291,beam width,beam width
292,behavior cloning,behavior cloning
293,behavior policy,behavior policy
294,belief propagation,belief propagation
295,belief state,belief state
296,benchmark,benchmark
297,benchmark dataset,benchmark dataset
298,benchmark task,benchmark task
299,beta distribution,beta distribution
300,beta1,beta1
301,between-class variance,between-class variance
302,betweenness,betweenness
303,bi-gram,bi-gram
304,bi-level optimization,bi-level optimization
305,bias,bias
306,bias mitigation,bias mitigation
307,bias parameter,bias parameter
308,bias term,bias term
309,bias vector,bias vector
310,bias-variance tradeoff,bias-variance tradeoff
311,biased estimator,biased estimator
312,bibliographic coupling,bibliographic coupling
313,bicubic interpolation,bicubic interpolation
314,bidirectional encoder,bidirectional encoder
315,bidirectional heuristic search,bidirectional heuristic search
316,bidirectional model,bidirectional model
317,bidirectional search,bidirectional search
318,bidirectionality,bidirectionality
319,big-o notation,big-O notation
320,bigram count,bigram count
321,bigram language model,bigram language model
322,bijective function,bijective function
323,bijective mapping,bijective mapping
324,bilateral filtering,bilateral filtering
325,bilinear,bilinear
326,bilinear form,bilinear form
327,bilinear interpolation,bilinear interpolation
328,bilinear model,bilinear model
329,bilingual model,bilingual model
330,binarization,binarization
331,binary atom,binary atom
332,binary classification,binary classification
333,binary classification head,binary classification head
334,binary classification problem,binary classification problem
335,binary classification task,binary classification task
336,binary classifier,binary classifier
337,binary constraint,binary constraint
338,binary cross entropy,binary cross entropy
339,binary cross-entropy loss,binary cross-entropy loss
340,binary decision tree,binary decision tree
341,binary feature,binary feature
342,binary label,binary label
343,binary matrix,binary matrix
344,binary predicate,binary predicate
345,binary relation,binary relation
346,binary search,binary search
347,binary segmentation,binary segmentation
348,binary tree,binary tree
349,binary variable,binary variable
350,binary vector,binary vector
351,binomial distribution,binomial distribution
352,bioinformatic,bioinformatic
353,biological neural network,biological neural network
354,bipartite,bipartite
355,bipartite graph,bipartite graph
356,bipartite matching,bipartite matching
357,bipartite structure,bipartite structure
358,birth-death process,birth-death process
359,bisection method,bisection method
360,bisimulation,bisimulation
361,bitext,bitext
362,bitvector,bitvector
363,black-box,black-box
364,black-box model,black-box model
365,block coordinate descent,block coordinate descent
366,block matrix,block matrix
367,block-diagonal matrix,block-diagonal matrix
368,bloom filter,Bloom filter
369,blur kernel,blur kernel
370,boolean formula,Boolean formula
371,boolean function,Boolean function
372,boolean variable,Boolean variable
373,bootstrap learning,bootstrap learning
374,bootstrap resampling,bootstrap resampling
375,bootstrap sample,bootstrap sample
376,bottleneck,bottleneck
377,bottleneck layer,bottleneck layer
378,bottom-up,bottom-up
379,bottom-up learning,bottom-up learning
380,bottom-up module,bottom-up module
381,bottom-up parsing,bottom-up parsing
382,bound variable,bound variable
383,bounding box detection,bounding box detection
384,bounding box regression,bounding box regression
385,bounding box regressor,bounding box regressor
386,breadth-first order,breadth-first order
387,breadth-first search,breadth-first search
388,bregman divergence,Bregman divergence
389,brute force search,brute force search
390,bundle adjustment,Bundle adjustment
391,burn-in,burn-in
392,byte-pair encoding,Byte-Pair Encoding
393,calculus of variation,calculus of variation
394,calibration,calibration
395,calibration method,calibration method
396,caltech-101,Caltech-101
397,camera calibration,camera calibration
398,camera intrinsic,camera intrinsic
399,camera matrix,camera matrix
400,camera parameter,camera parameter
401,camera pose estimation,camera pose estimation
402,candidate generation,candidate generation
403,candidate set,candidate set
404,canny detector,Canny detector
405,canny edge detector,Canny edge detector
406,canonical basis,canonical basis
407,canonical correlation analysis,canonical correlation analysis
408,canonical form,canonical form
409,canonical frame,canonical frame
410,canonical space,canonical space
411,canonicalization,canonicalization
412,capsule network,capsule network
413,cardinality,cardinality
414,cardinality constraint,cardinality constraint
415,cascade model,cascade model
416,catastrophic forgetting,catastrophic forgetting
417,categorial grammar,categorial grammar
418,categorical cross-entropy,categorical cross-entropy
419,categorical distribution,categorical distribution
420,categorical feature,categorical feature
421,causal effect,causal effect
422,causal effect estimation,causal effect estimation
423,causal entropy,causal entropy
424,causal graph,causal graph
425,causal inference,causal inference
426,causal intervention,causal intervention
427,causal language model,causal language model
428,causal model,causal model
429,causal reasoning,causal reasoning
430,causal rule,causal rule
431,causal theory,causal theory
432,cell state,cell state
433,center crop,center crop
434,center of projection,center of projection
435,centrality measure,centrality measure
436,centroid,centroid
437,chain rule,chain rule
438,change of basis,change of basis
439,character embedding,character embedding
440,character n-gram,character n-gram
441,characteristic function,characteristic function
442,characteristic polynomial,characteristic polynomial
443,characteristic vector,characteristic vector
444,chart parser,chart parser
445,chart parsing,chart parsing
446,chatbot,chatbot
447,checkpoint,checkpoint
448,chemoinformatic,chemoinformatic
449,chi-square distribution,chi-square distribution
450,chi-square test,chi-square test
451,child node,child node
452,cholesky decomposition,Cholesky decomposition
453,cholesky factor,Cholesky factor
454,cholesky factorization,Cholesky factorization
455,chromosome,chromosome
456,chunk size,chunk size
457,citation network,citation network
458,class,class
459,class balance,class balance
460,class distribution,class distribution
461,class imbalance,class imbalance
462,class label,class label
463,class prior,class prior
464,classical planning,classical planning
465,classification,classification
466,classification accuracy,classification accuracy
467,classification algorithm,classification algorithm
468,classification approach,classification approach
469,classification error,classification error
470,classification head,classification head
471,classification loss,classification loss
472,classification margin,classification margin
473,classification method,classification method
474,classification metric,classification metric
475,classification model,classification model
476,classification network,classification network
477,classification objective,classification objective
478,classification problem,classification problem
479,classification score,classification score
480,classification task,classification task
481,classification token,classification token
482,clause learning,clause learning
483,click model,click model
484,clip range,clip range
485,clipping factor,clipping factor
486,clipping threshold,clipping threshold
487,clique potential,clique potential
488,cloze prompt,cloze prompt
489,cloze task,cloze task
490,cluster assignment,cluster assignment
491,cluster center,cluster center
492,cluster centroid,cluster centroid
493,cluster feature,cluster feature
494,cluster label,cluster label
495,cluster size,cluster size
496,co-occurrence,co-occurrence
497,co-occurrence matrix,co-occurrence matrix
498,co-occurrence statistic,co-occurrence statistic
499,co-reference,co-reference
500,co-training,co-training
501,coarse correlated equilibria,coarse correlated equilibria
502,coarse correlated equilibrium,coarse correlated equilibrium
503,coarse layer,coarse layer
504,coarse-to-fine,coarse-to-fine
505,coarse-to-fine approach,coarse-to-fine approach
506,coarse-to-fine cascade,coarse-to-fine cascade
507,coarse-to-fine strategy,coarse-to-fine strategy
508,codebook,codebook
509,codomain,codomain
510,coefficient matrix,coefficient matrix
511,cognitive model,cognitive model
512,cognitive science,cognitive science
513,cold start,cold start
514,collaborative filtering,collaborative filtering
515,collaborative learning,collaborative learning
516,collective inference,collective inference
517,color channel,color channel
518,color constancy,color constancy
519,colorization,colorization
520,column space,column space
521,column vector,column vector
522,combinator,combinator
523,combinatorial explosion,combinatorial explosion
524,combinatorial optimization,combinatorial optimization
525,combinatorial optimization problem,combinatorial optimization problem
526,combinatory categorial grammar,Combinatory Categorial Grammar
527,commonsense inference,commonsense inference
528,commonsense knowledge,commonsense knowledge
529,commonsense knowledge graph,commonsense knowledge graph
530,commonsense reasoning,Commonsense Reasoning
531,communication complexity,communication complexity
532,communication graph,communication graph
533,compatibility function,compatibility function
534,compatibility graph,compatibility graph
535,competitive ratio,competitive ratio
536,composition function,composition function
537,compositional generalization,compositional generalization
538,compositional semantic,compositional semantic
539,compositionality,compositionality
540,compressed sensing,Compressed sensing
541,compressive sensing,compressive sensing
542,computation complexity,computation complexity
543,computation graph,computation graph
544,computational argumentation,computational argumentation
545,computational budget,computational budget
546,computational complexity,computational complexity
547,computational experiment,computational experiment
548,computational graph,computational graph
549,computational linguistic,Computational linguistic
550,computational model,computational model
551,compute budget,compute budget
552,computer vision,computer vision
553,computer vision model,computer vision model
554,concatenation operation,concatenation operation
555,concentration inequality,concentration inequality
556,concentration parameter,concentration parameter
557,concept,concept
558,concept assertion,concept assertion
559,concept atom,concept atom
560,concept class,concept class
561,concept drift,concept drift
562,concept inclusion,concept inclusion
563,concept name,concept name
564,condition 1,Condition 1
565,condition number,condition number
566,conditional computation,conditional computation
567,conditional density,conditional density
568,conditional distribution,conditional distribution
569,conditional effect,conditional effect
570,conditional entropy,conditional entropy
571,conditional expectation,conditional expectation
572,conditional generation,Conditional Generation
573,conditional gradient,conditional gradient
574,conditional independence,conditional independence
575,conditional independency,conditional independency
576,conditional likelihood,conditional likelihood
577,conditional log likelihood,conditional log likelihood
578,conditional log probability,conditional log probability
579,conditional maximum entropy,conditional maximum entropy
580,conditional model,conditional model
581,conditional probability,conditional probability
582,conditional probability distribution,conditional probability distribution
583,conditional sampling,conditional sampling
584,conditional text generation,conditional text generation
585,conditioning,conditioning
586,conditioning vector,conditioning vector
587,confidence,confidence
588,confidence interval,confidence interval
589,confidence map,confidence map
590,confidence score,confidence score
591,confidence threshold,confidence threshold
592,configuration,configuration
593,confusion matrix,confusion matrix
594,confusion network,confusion network
595,conjugate gradient,conjugate gradient
596,conjugate gradient descent,conjugate gradient descent
597,conjugate gradient method,conjugate gradient method
598,conjunct,conjunct
599,conjunctive normal form,conjunctive normal form
600,conjunctive query,conjunctive query
601,connected component,connected component
602,connectionist model,connectionist model
603,connectivity matrix,connectivity matrix
604,consensus network decoding,consensus network decoding
605,consequent,consequent
606,consistent estimator,consistent estimator
607,constellation model,constellation model
608,constituency parser,constituency parser
609,constituency parsing,constituency parsing
610,constituency tree,constituency tree
611,constituent parsing,constituent parsing
612,constituent structure,constituent structure
613,constrained beam search,constrained beam search
614,constrained decoding,constrained decoding
615,constrained optimization,constrained optimization
616,constrained optimization problem,constrained optimization problem
617,constraint,constraint
618,constraint generation,constraint generation
619,constraint programming,constraint programming
620,constraint propagation,constraint propagation
621,constraint satisfaction,constraint satisfaction
622,constraint satisfaction problem,constraint satisfaction problem
623,constraint set,constraint set
624,content model,content model
625,content selection,content selection
626,context encoder,context encoder
627,context free grammar,context free grammar
628,context model,context model
629,context vector,context vector
630,context window,context window
631,context-free language,context-free language
632,contextual embedding,contextual embedding
633,contextual feature,contextual feature
634,contextual information,contextual information
635,contextual model,contextual model
636,contextual representation,contextual representation
637,contextual vector,contextual vector
638,contextual word embedding,contextual word embedding
639,contingency table,contingency table
640,continual learning,continual learning
641,contrastive approach,contrastive approach
642,contrastive fine-tuning,contrastive fine-tuning
643,contrastive loss,contrastive loss
644,contrastive objective,contrastive objective
645,control variate,control variate
646,controllable text generation,controllable text generation
647,conv layer,conv layer
648,convergence,convergence
649,convergence analysis,convergence analysis
650,convergence bound,convergence bound
651,convergence criterion,convergence criterion
652,convergence rate,convergence rate
653,convergence time,convergence time
654,conversation history,conversation history
655,conversational agent,conversational agent
656,conversational dialogue system,conversational dialogue system
657,convex,convex
658,convex combination,convex combination
659,convex conjugate,convex conjugate
660,convex constraint,convex constraint
661,convex decomposition,convex decomposition
662,convex function,convex function
663,convex hull,convex hull
664,convex loss,convex loss
665,convex objective,convex objective
666,convex objective function,convex objective function
667,convex optimization,convex optimization
668,convex optimization problem,convex optimization problem
669,convex problem,convex problem
670,convex program,convex program
671,convex proxy,convex proxy
672,convex quadratic program,convex quadratic program
673,convex relaxation,convex relaxation
674,convex risk minimization,convex risk minimization
675,convex set,convex set
676,convex surrogate,convex surrogate
677,convex-concave,convex-concave
678,convexity,convexity
679,convolution,convolution
680,convolution kernel,convolution kernel
681,convolution layer,convolution layer
682,convolution neural network,convolution neural network
683,convolution operation,convolution operation
684,convolution operator,convolution operator
685,convolutional,convolutional
686,convolutional architecture,convolutional architecture
687,convolutional block,convolutional block
688,convolutional decoder,convolutional decoder
689,convolutional encoder,convolutional encoder
690,convolutional feature,convolutional feature
691,convolutional filter,convolutional filter
692,convolutional kernel,convolutional kernel
693,convolutional layer,convolutional layer
694,convolutional network,convolutional network
695,convolutional neural net,convolutional neural net
696,convolutional neural network,convolutional neural network
697,convolutional representation,convolutional representation
698,cooling schedule,cooling schedule
699,coordinate ascent,coordinate ascent
700,coordinate descent,coordinate descent
701,coordinate descent algorithm,coordinate descent algorithm
702,coordinate frame,coordinate frame
703,copy mechanism,copy mechanism
704,core tensor,core tensor
705,coreference annotation,coreference annotation
706,coreference chain,coreference chain
707,coreference resolution,Coreference Resolution
708,coreference resolution model,coreference resolution model
709,coreference resolution system,coreference resolution system
710,coreferent,coreferent
711,correlated equilibria,correlated equilibria
712,correlation coefficient,correlation coefficient
713,correspondence matrix,correspondence matrix
714,cosine,cosine
715,cosine decay,cosine decay
716,cosine decay schedule,cosine decay schedule
717,cosine learning rate schedule,cosine learning rate schedule
718,cosine measure,cosine measure
719,cosine schedule,cosine schedule
720,cosine similarity measure,cosine similarity measure
721,cost function,cost function
722,cost vector,cost vector
723,cost volume,cost volume
724,cost-sensitive learning,cost-sensitive learning
725,counterexample,counterexample
726,counterfactual datum,counterfactual datum
727,counterfactual example,counterfactual example
728,counterfactual fairness,counterfactual fairness
729,counterfactual reasoning,counterfactual reasoning
730,counterfactual regret minimization,Counterfactual Regret Minimization
731,covariance function,covariance function
732,covariance kernel,covariance kernel
733,covariance matrix,covariance matrix
734,covariance model,covariance model
735,covariance operator,covariance operator
736,covariance parameter,covariance parameter
737,covariance structure,covariance structure
738,covariant derivative,covariant derivative
739,covariate,covariate
740,covariate shift,covariate shift
741,credit assignment,credit assignment
742,credit assignment problem,credit assignment problem
743,criterion,criterion
744,critic,critic
745,critic loss,critic loss
746,critic network,critic network
747,cross attention,cross attention
748,cross entropy,cross entropy
749,cross entropy error,cross entropy error
750,cross entropy loss,Cross Entropy Loss
751,cross validation,cross validation
752,cross-attention layer,cross-attention layer
753,cross-attention module,cross-attention module
754,cross-correlation,cross-correlation
755,cross-entropy loss function,cross-entropy loss function
756,cross-entropy objective,cross-entropy objective
757,cross-lingual benchmark,cross-lingual benchmark
758,cross-lingual embedding,cross-lingual embedding
759,cross-lingual feature,cross-lingual feature
760,cross-lingual knowledge transfer,cross-lingual knowledge transfer
761,cross-lingual model,cross-lingual model
762,cross-lingual representation,cross-lingual representation
763,cross-lingual transfer,cross-lingual transfer
764,cross-modal,cross-modal
765,cumulant generating function,cumulant generating function
766,cumulative density function,cumulative density function
767,cumulative distribution function,cumulative distribution function
768,cumulative regret,cumulative regret
769,cumulative reward,cumulative reward
770,curriculum learning,curriculum learning
771,curse of dimensionality,curse of dimensionality
772,cycle consistency,cycle consistency
773,cycle consistency loss,cycle consistency loss
774,cycle inequality,cycle inequality
775,d-separation,d-separation
776,d_model,d_model
777,data augmentation,data augmentation
778,data distribution,data distribution
779,data imbalance,data imbalance
780,data manifold,data manifold
781,data mining,data mining
782,data point,data point
783,data processing inequality,data processing inequality
784,data sparseness,data sparseness
785,data sparsity,data sparsity
786,data structure,data structure
787,data vector,data vector
788,data-to-text generation,data-to-text generation
789,datalog program,Datalog program
790,dataset augmentation,dataset augmentation
791,dataset bias,dataset bias
792,dataset size,dataset size
793,datasheet,datasheet
794,datum bias,datum bias
795,datum clustering,datum clustering
796,datum contamination,datum contamination
797,datum dependency,datum dependency
798,datum fidelity,datum fidelity
799,datum filtering,datum filtering
800,datum generative process,datum generative process
801,datum matrix,datum matrix
802,datum mining algorithm,datum mining algorithm
803,datum parallelism,datum parallelism
804,datum perturbation,datum perturbation
805,davinci,davinci
806,decay parameter,decay parameter
807,decentralized algorithm,decentralized algorithm
808,decentralized optimization,Decentralized optimization
809,decision boundary,decision boundary
810,decision function,decision function
811,decision node,decision node
812,decision policy,decision policy
813,decision problem,decision problem
814,decision rule,decision rule
815,decision space,decision space
816,decision stump,decision stump
817,decision theory,decision theory
818,decision tree,decision tree
819,decision variable,decision variable
820,decoder hidden state,decoder hidden state
821,decoder layer,decoder layer
822,decoder network,decoder network
823,decoder output,decoder output
824,decoder state,decoder state
825,decoder-only transformer,decoder-only transformer
826,decoding problem,decoding problem
827,decoding step,decoding step
828,decomposable attention,Decomposable Attention
829,decomposable attention model,Decomposable Attention Model
830,decomposition,decomposition
831,decomposition method,decomposition method
832,deconvolution,deconvolution
833,deconvolution layer,deconvolution layer
834,deconvolutional layer,deconvolutional layer
835,deep architecture,deep architecture
836,deep convolutional network,deep convolutional network
837,deep convolutional neural network,deep convolutional neural network
838,deep feature,deep feature
839,deep generative model,deep generative model
840,deep layer,deep layer
841,deep learning architecture,deep learning architecture
842,deep learning framework,deep learning framework
843,deep learning model,deep learning model
844,deep learning system,deep learning system
845,deep model,deep model
846,deep net,deep net
847,deep network,deep network
848,deep network architecture,deep network architecture
849,deep neural model,deep neural model
850,deep neural net,deep neural net
851,deep neural network,deep neural network
852,deep q-learning,deep Q-learning
853,deep q-network,deep Q-network
854,deep reinforcement learning,deep reinforcement learning
855,deep supervision,deep supervision
856,default logic,default logic
857,deformable template,deformable template
858,deformation field,deformation field
859,degree distribution,degree distribution
860,delexicalization,delexicalization
861,delta kernel,delta kernel
862,demographic parity,Demographic Parity
863,dendrogram,dendrogram
864,denoiser,denoiser
865,denotation,denotation
866,dense,dense
867,dense attention,dense attention
868,dense depth map,dense depth map
869,dense feature,dense feature
870,dense layer,dense layer
871,dense matrix,dense matrix
872,dense network,dense network
873,dense prediction,dense prediction
874,dense representation,dense representation
875,dense vector,dense vector
876,density estimate,density estimate
877,density estimation,density estimation
878,density estimator,density estimator
879,density field,density field
880,density function,density function
881,density gradient,density gradient
882,density ratio,density ratio
883,dependency arc,dependency arc
884,dependency feature,dependency feature
885,dependency graph,dependency graph
886,dependency label,dependency label
887,dependency model,dependency model
888,dependency parse,dependency parse
889,dependency parse tree,dependency parse tree
890,dependency parser,dependency parser
891,dependency parsing model,dependency parsing model
892,dependency path,dependency path
893,dependency relation,dependency relation
894,dependency representation,dependency representation
895,dependency structure,dependency structure
896,dependency tree,dependency tree
897,dependency treebank,dependency treebank
898,dependent variable,dependent variable
899,depth estimation,depth estimation
900,depth estimator,depth estimator
901,depth image,depth image
902,depth map,depth map
903,depth prediction,depth prediction
904,depth-first search,depth-first search
905,description logic,description logic
906,descriptor,descriptor
907,design matrix,design matrix
908,design space,design space
909,det,det
910,detection algorithm,detection algorithm
911,detection model,detection model
912,detection score,detection score
913,detection window,detection window
914,detector,detector
915,determinantal point process,Determinantal Point process
916,deterministic algorithm,deterministic algorithm
917,deterministic annealing,deterministic annealing
918,deterministic automaton,deterministic automaton
919,deterministic baseline,deterministic baseline
920,deterministic finite automaton,deterministic finite automaton
921,deterministic policy,deterministic policy
922,deterministic rule,deterministic rule
923,dev set,dev set
924,development set,development set
925,diagonal matrix,diagonal matrix
926,dialog system,dialog system
927,dialogue act,dialogue act
928,dialogue context,dialogue context
929,dialogue generation,dialogue generation
930,dialogue history,dialogue history
931,dialogue management,dialogue management
932,dialogue state,dialogue state
933,dialogue state tracker,dialogue state tracker
934,dialogue state tracking,Dialogue State Tracking
935,dialogue system,dialogue system
936,dialogue turn,dialogue turn
937,dice coefficient,Dice coefficient
938,dice loss,Dice loss
939,dictionary learning,dictionary learning
940,dictionary matrix,dictionary matrix
941,diffeomorphism,diffeomorphism
942,differentiable function,differentiable function
943,differentiable renderer,differentiable renderer
944,differentiable rendering,differentiable rendering
945,differentiable rendering function,differentiable rendering function
946,differential entropy,differential entropy
947,differential privacy,differential privacy
948,diffusion matrix,diffusion matrix
949,diffusion model,diffusion model
950,diffusion tensor,diffusion tensor
951,digamma function,digamma function
952,digit classification,digit classification
953,dilation,dilation
954,dim,dim
955,dimension,dimension
956,dimension reduction,dimension reduction
957,dimensional vector,dimensional vector
958,dimensionality,dimensionality
959,dimensionality reduction,dimensionality reduction
960,dirac distribution,Dirac distribution
961,dirichlet distribution,Dirichlet distribution
