Input.index,WorkerId,Input.English,Input.Arabic,Answer.translation
0,A5LL8EKITZLQ0,صورة ثنائية الأبعاد,2D image,صورة ثنائية الأبعاد
0,AMDP4QV7L82Q,التحقق المتقاطع بمقدار ١٠ أضعاف,10-fold cross validation,التحقق المتقاطع بعشر طيات
0,AMDP4QV7L82Q,1D الإلتواء,1D convolution,الالتفاف أحادي الأبعاد
0,AMDP4QV7L82Q,معيار 2,2 norm,معيار 2
0,AMDP4QV7L82Q,الإلتواء 2D,2D convolution,الالتفاف ثنائي الأبعاد
0,AMDP4QV7L82Q,صورة ثنائية الأبعاد,2D image,صورة ثنائية الأبعاد
1,A155OW7UP21THF,تخليق صور ثنائية الأبعاد,2D image synthesis,توليد الصور ثنائية الأبعاد
1,A155OW7UP21THF,المراسلات ثنائية وثلاثية الأبعاد,2D-3D correspondence,تطابق ثنائي وثلاثي الأبعاد
1,A155OW7UP21THF,صندوق احتواء ثلاثي الأبعاد,3D bounding box,صندوق محيط ثلاثي الأبعاد
1,A155OW7UP21THF,الرؤية الحاسوبية ثلاثية الأبعاد,3D computer vision,الرؤية الحاسوبية ثلاثية الأبعاد
1,A155OW7UP21THF,شبكة تلافيفية ثلاثية الأبعاد,3D convolutional network,شبكة التلافيف ثلاثية الأبعاد
1,A1WPT6LLCRWMDY,تخليق صور ثنائية الأبعاد,2D image synthesis,توليد الصور ثنائية الأبعاد
1,A1WPT6LLCRWMDY,المراسلات ثنائية وثلاثية الأبعاد,2D-3D correspondence,التماثل ثنائي-ثلاثي الأبعاد
1,A1WPT6LLCRWMDY,صندوق احتواء ثلاثي الأبعاد,3D bounding box,صندوق الإحاطة ثلاثي الأبعاد
1,A1WPT6LLCRWMDY,الرؤية الحاسوبية ثلاثية الأبعاد,3D computer vision,الرؤية الحاسوبية ثلاثية الأبعاد
1,A1WPT6LLCRWMDY,شبكة تلافيفية ثلاثية الأبعاد,3D convolutional network,شبكة التلافيف ثلاثية الأبعاد
1,A1YA58RRBN7NI4,تخليق صور ثنائية الأبعاد,2D image synthesis,تمثيل متجه
1,A1YA58RRBN7NI4,المراسلات ثنائية وثلاثية الأبعاد,2D-3D correspondence,تمثيل متجه
1,A1YA58RRBN7NI4,صندوق احتواء ثلاثي الأبعاد,3D bounding box,تمثيل متجه
1,A1YA58RRBN7NI4,الرؤية الحاسوبية ثلاثية الأبعاد,3D computer vision,تمثيل متجه
1,A1YA58RRBN7NI4,شبكة تلافيفية ثلاثية الأبعاد,3D convolutional network,تمثيل متجه
1,A2OTFVI83FT0QL,تخليق صور ثنائية الأبعاد,2D image synthesis,توليف الصور ثنائية الأبعاد
1,A2OTFVI83FT0QL,المراسلات ثنائية وثلاثية الأبعاد,2D-3D correspondence,تطابق 2D-3D
1,A2OTFVI83FT0QL,صندوق احتواء ثلاثي الأبعاد,3D bounding box,الصندوق المحيط ثلاثي الأبعاد
1,A2OTFVI83FT0QL,الرؤية الحاسوبية ثلاثية الأبعاد,3D computer vision,رؤية الكمبيوتر ثلاثية الأبعاد
1,A2OTFVI83FT0QL,شبكة تلافيفية ثلاثية الأبعاد,3D convolutional network,شبكة التلافيف ثلاثية الأبعاد
1,A33S3NQJEHPOMN,تخليق صور ثنائية الأبعاد,2D image synthesis,توليد الصور ثنائية الأبعاد
1,A33S3NQJEHPOMN,المراسلات ثنائية وثلاثية الأبعاد,2D-3D correspondence,مطابقة ثنائية-ثلاثية الأبعاد
1,A33S3NQJEHPOMN,صندوق احتواء ثلاثي الأبعاد,3D bounding box,صندوق محيط ثلاثي الأبعاد
1,A33S3NQJEHPOMN,الرؤية الحاسوبية ثلاثية الأبعاد,3D computer vision,رؤية الكمبيوتر ثلاثية الأبعاد
1,A33S3NQJEHPOMN,شبكة تلافيفية ثلاثية الأبعاد,3D convolutional network,شبكة تلافيف ثلاثية الأبعاد
1,A36CA3E5LT6I1P,تخليق صور ثنائية الأبعاد,2D image synthesis,تركيب الصور ثنائية الأبعاد
1,A36CA3E5LT6I1P,المراسلات ثنائية وثلاثية الأبعاد,2D-3D correspondence,تطابق ثنائي وثلاثي الأبعاد
1,A36CA3E5LT6I1P,صندوق احتواء ثلاثي الأبعاد,3D bounding box,صندوق تحديد ثلاثي الأبعاد
1,A36CA3E5LT6I1P,الرؤية الحاسوبية ثلاثية الأبعاد,3D computer vision,الرؤية الحاسوبية ثلاثية الأبعاد
1,A36CA3E5LT6I1P,شبكة تلافيفية ثلاثية الأبعاد,3D convolutional network,شبكة التلافيف ثلاثية الأبعاد
1,A3HDXVNO786Z0L,تخليق صور ثنائية الأبعاد,2D image synthesis,توليد الصور ثنائية الأبعاد
1,A3HDXVNO786Z0L,المراسلات ثنائية وثلاثية الأبعاد,2D-3D correspondence,مطابقة ثنائية الأبعاد وثلاثية الأبعاد
1,A3HDXVNO786Z0L,صندوق احتواء ثلاثي الأبعاد,3D bounding box,صندوق محيط ثلاثي الأبعاد
1,A3HDXVNO786Z0L,الرؤية الحاسوبية ثلاثية الأبعاد,3D computer vision,رؤية الحاسوب ثلاثية الأبعاد
1,A3HDXVNO786Z0L,شبكة تلافيفية ثلاثية الأبعاد,3D convolutional network,شبكة تلافيفية ثلاثية الأبعاد
1,A5LL8EKITZLQ0,تخليق صور ثنائية الأبعاد,2D image synthesis,توليد الصور ثنائية الأبعاد
1,A5LL8EKITZLQ0,المراسلات ثنائية وثلاثية الأبعاد,2D-3D correspondence,مطابقة ثنائية الأبعاد وثلاثية الأبعاد
1,A5LL8EKITZLQ0,صندوق احتواء ثلاثي الأبعاد,3D bounding box,الصندوق المحيط ثلاثي الأبعاد
1,A5LL8EKITZLQ0,الرؤية الحاسوبية ثلاثية الأبعاد,3D computer vision,الرؤية الحاسوبية ثلاثية الأبعاد
1,A5LL8EKITZLQ0,شبكة تلافيفية ثلاثية الأبعاد,3D convolutional network,شبكة التلافيف ثلاثية الأبعاد
1,AMDP4QV7L82Q,تخليق صور ثنائية الأبعاد,2D image synthesis,تركيب الصور ثنائية الأبعاد
1,AMDP4QV7L82Q,المراسلات ثنائية وثلاثية الأبعاد,2D-3D correspondence,تطابق ثنائي الأبعاد وثلاثي الأبعاد
1,AMDP4QV7L82Q,صندوق احتواء ثلاثي الأبعاد,3D bounding box,صندوق محيط ثلاثي الأبعاد
1,AMDP4QV7L82Q,الرؤية الحاسوبية ثلاثية الأبعاد,3D computer vision,رؤية الكمبيوتر ثلاثية الأبعاد
1,AMDP4QV7L82Q,شبكة تلافيفية ثلاثية الأبعاد,3D convolutional network,شبكة الالتفاف ثلاثية الأبعاد
2,A155OW7UP21THF,هندسة ثلاثية الأبعاد,3D geometry,الهندسة ثلاثية الأبعاد
2,A155OW7UP21THF,تقدير وضعية الإنسان ثلاثي الأبعاد,3D human pose estimation,تقدير وضعية الإنسان ثلاثية الأبعاد
2,A155OW7UP21THF,التحديد ثلاثي الأبعاد,3D localization,تحديد الموقع ثلاثي الأبعاد
2,A155OW7UP21THF,شبكة ثلاثية الأبعاد,3D mesh,شبكة ثلاثية الأبعاد
2,A155OW7UP21THF,نموذج ثلاثي الأبعاد,3D model,نموذج ثلاثي الأبعاد
2,A1KRZO8X16T93E,هندسة ثلاثية الأبعاد,3D geometry,الهندسة ثلاثية الأبعاد
2,A1KRZO8X16T93E,تقدير وضعية الإنسان ثلاثي الأبعاد,3D human pose estimation,تقدير وضع الإنسان ثلاثي الأبعاد
2,A1KRZO8X16T93E,التحديد ثلاثي الأبعاد,3D localization,تحديد الموقع ثلاثي الأبعاد
2,A1KRZO8X16T93E,شبكة ثلاثية الأبعاد,3D mesh,شبكة ثلاثية الأبعاد
2,A1KRZO8X16T93E,نموذج ثلاثي الأبعاد,3D model,نموذج ثلاثي الأبعاد
2,A1WPT6LLCRWMDY,هندسة ثلاثية الأبعاد,3D geometry,الهندسة ثلاثية الأبعاد
2,A1WPT6LLCRWMDY,تقدير وضعية الإنسان ثلاثي الأبعاد,3D human pose estimation,تقدير وضع الإنسان ثلاثي الأبعاد
2,A1WPT6LLCRWMDY,التحديد ثلاثي الأبعاد,3D localization,المحلية ثلاثية الأبعاد
2,A1WPT6LLCRWMDY,شبكة ثلاثية الأبعاد,3D mesh,الشبكة ثلاثية الأبعاد
2,A1WPT6LLCRWMDY,نموذج ثلاثي الأبعاد,3D model,النموذج ثلاثي الأبعاد
2,A1YA58RRBN7NI4,هندسة ثلاثية الأبعاد,3D geometry,الهندسة ثلاثية الأبعاد
2,A1YA58RRBN7NI4,تقدير وضعية الإنسان ثلاثي الأبعاد,3D human pose estimation,تقدير وضعية الإنسان ثلاثية الأبعاد
2,A1YA58RRBN7NI4,التحديد ثلاثي الأبعاد,3D localization,الموضع ثلاثي الأبعاد
2,A1YA58RRBN7NI4,شبكة ثلاثية الأبعاد,3D mesh,الشبكة ثلاثية الأبعاد
2,A1YA58RRBN7NI4,نموذج ثلاثي الأبعاد,3D model,النموذج ثلاثي الأبعاد
2,A2OTFVI83FT0QL,هندسة ثلاثية الأبعاد,3D geometry,الهندسة الثلاثية الأبعاد
2,A2OTFVI83FT0QL,تقدير وضعية الإنسان ثلاثي الأبعاد,3D human pose estimation,تقدير وضع الإنسان ثلاثي الأبعاد
2,A2OTFVI83FT0QL,التحديد ثلاثي الأبعاد,3D localization,الموقع ثلاثي الأبعاد
2,A2OTFVI83FT0QL,شبكة ثلاثية الأبعاد,3D mesh,الشبكة الثلاثية الأبعاد
2,A2OTFVI83FT0QL,نموذج ثلاثي الأبعاد,3D model,النموذج ثلاثي الأبعاد
2,A33S3NQJEHPOMN,هندسة ثلاثية الأبعاد,3D geometry,الهندسة ثلاثية الأبعاد
2,A33S3NQJEHPOMN,تقدير وضعية الإنسان ثلاثي الأبعاد,3D human pose estimation,تقدير وضع الجسم ثلاثي الأبعاد
2,A33S3NQJEHPOMN,التحديد ثلاثي الأبعاد,3D localization,تحديد المواقع ثلاثي الأبعاد
2,A33S3NQJEHPOMN,شبكة ثلاثية الأبعاد,3D mesh,شبكة ثلاثية الأبعاد
2,A33S3NQJEHPOMN,نموذج ثلاثي الأبعاد,3D model,نموذج ثلاثي الأبعاد
2,A36CA3E5LT6I1P,هندسة ثلاثية الأبعاد,3D geometry,الهندسة ثلاثية الأبعاد
2,A36CA3E5LT6I1P,تقدير وضعية الإنسان ثلاثي الأبعاد,3D human pose estimation,تقدير وضعية الإنسان ثلاثية الأبعاد
2,A36CA3E5LT6I1P,التحديد ثلاثي الأبعاد,3D localization,التحديد ثلاثي الأبعاد
2,A36CA3E5LT6I1P,شبكة ثلاثية الأبعاد,3D mesh,الشبكة ثلاثية الأبعاد
2,A36CA3E5LT6I1P,نموذج ثلاثي الأبعاد,3D model,النموذج ثلاثي الأبعاد
2,A3DIAIOB1DURSN,هندسة ثلاثية الأبعاد,3D geometry,هندسة ثلاثية الأبعاد
2,A3DIAIOB1DURSN,تقدير وضعية الإنسان ثلاثي الأبعاد,3D human pose estimation,تقدير وضعية الإنسان ثلاثية الأبعاد
2,A3DIAIOB1DURSN,التحديد ثلاثي الأبعاد,3D localization,توطين ثلاثي الأبعاد
2,A3DIAIOB1DURSN,شبكة ثلاثية الأبعاد,3D mesh,شبكة ثلاثية الأبعاد
2,A3DIAIOB1DURSN,نموذج ثلاثي الأبعاد,3D model,نموذج ثلاثي الأبعاد
2,A5LL8EKITZLQ0,هندسة ثلاثية الأبعاد,3D geometry,هندسة ثلاثية الأبعاد
2,A5LL8EKITZLQ0,تقدير وضعية الإنسان ثلاثي الأبعاد,3D human pose estimation,تقدير وضعية الإنسان ثلاثية الأبعاد
2,A5LL8EKITZLQ0,التحديد ثلاثي الأبعاد,3D localization,تحديد الموقع ثلاثي الأبعاد
2,A5LL8EKITZLQ0,شبكة ثلاثية الأبعاد,3D mesh,شبكة ثلاثية الأبعاد
2,A5LL8EKITZLQ0,نموذج ثلاثي الأبعاد,3D model,نموذج ثلاثي الأبعاد
3,A155OW7UP21THF,اكتشاف الكائنات ثلاثية الأبعاد,3D object detection,كشف الأجسام ثلاثية الأبعاد
3,A155OW7UP21THF,نقطة ثلاثية الأبعاد,3D point,نقطة ثلاثية الأبعاد
3,A155OW7UP21THF,سحابة نقاط ثلاثية الأبعاد,3D point cloud,سحابة نقاط ثلاثية الأبعاد
3,A155OW7UP21THF,وضعية ثلاثية الأبعاد,3D pose,وضع ثلاثي الأبعاد
3,A155OW7UP21THF,إعادة الإعمار ثلاثية الأبعاد,3D reconstruction,إعادة بناء ثلاثية الأبعاد
3,A1KRZO8X16T93E,اكتشاف الكائنات ثلاثية الأبعاد,3D object detection,كشف الأجسام ثلاثية الأبعاد
3,A1KRZO8X16T93E,نقطة ثلاثية الأبعاد,3D point,نقطة ثلاثية الأبعاد
3,A1KRZO8X16T93E,سحابة نقاط ثلاثية الأبعاد,3D point cloud,سحابة نقاط ثلاثية الأبعاد
3,A1KRZO8X16T93E,وضعية ثلاثية الأبعاد,3D pose,وضع ثلاثي الأبعاد
3,A1KRZO8X16T93E,إعادة الإعمار ثلاثية الأبعاد,3D reconstruction,إعادة بناء ثلاثية الأبعاد
3,A1WPT6LLCRWMDY,اكتشاف الكائنات ثلاثية الأبعاد,3D object detection,كشف الأجسام ثلاثية الأبعاد
3,A1WPT6LLCRWMDY,نقطة ثلاثية الأبعاد,3D point,نقطة ثلاثية الأبعاد
3,A1WPT6LLCRWMDY,سحابة نقاط ثلاثية الأبعاد,3D point cloud,سحابة نقاط ثلاثية الأبعاد
3,A1WPT6LLCRWMDY,وضعية ثلاثية الأبعاد,3D pose,وضعية ثلاثية الأبعاد
3,A1WPT6LLCRWMDY,إعادة الإعمار ثلاثية الأبعاد,3D reconstruction,إعادة البناء ثلاثية الأبعاد
3,A1YA58RRBN7NI4,اكتشاف الكائنات ثلاثية الأبعاد,3D object detection,الكشف عن الأجسام الثلاثية الأبعاد
3,A1YA58RRBN7NI4,نقطة ثلاثية الأبعاد,3D point,نقطة ثلاثية الأبعاد
3,A1YA58RRBN7NI4,سحابة نقاط ثلاثية الأبعاد,3D point cloud,سحابة نقاط ثلاثية الأبعاد
3,A1YA58RRBN7NI4,وضعية ثلاثية الأبعاد,3D pose,وضعية ثلاثية الأبعاد
3,A1YA58RRBN7NI4,إعادة الإعمار ثلاثية الأبعاد,3D reconstruction,إعادة بناء ثلاثية الأبعاد
3,A2OTFVI83FT0QL,اكتشاف الكائنات ثلاثية الأبعاد,3D object detection,كشف الأجسام ثلاثية الأبعاد
3,A2OTFVI83FT0QL,نقطة ثلاثية الأبعاد,3D point,نقطة ثلاثية الأبعاد
3,A2OTFVI83FT0QL,سحابة نقاط ثلاثية الأبعاد,3D point cloud,سحابة نقاط ثلاثية الأبعاد
3,A2OTFVI83FT0QL,وضعية ثلاثية الأبعاد,3D pose,وضع ثلاثي الأبعاد
3,A2OTFVI83FT0QL,إعادة الإعمار ثلاثية الأبعاد,3D reconstruction,إعادة بناء ثلاثية الأبعاد
3,A33S3NQJEHPOMN,اكتشاف الكائنات ثلاثية الأبعاد,3D object detection,كشف الكائنات ثلاثية الأبعاد
3,A33S3NQJEHPOMN,نقطة ثلاثية الأبعاد,3D point,نقطة ثلاثية الأبعاد
3,A33S3NQJEHPOMN,سحابة نقاط ثلاثية الأبعاد,3D point cloud,سحابة نقطية ثلاثية الأبعاد
3,A33S3NQJEHPOMN,وضعية ثلاثية الأبعاد,3D pose,وضعية ثلاثية الأبعاد
3,A33S3NQJEHPOMN,إعادة الإعمار ثلاثية الأبعاد,3D reconstruction,إعادة بناء ثلاثية الأبعاد
3,A36CA3E5LT6I1P,اكتشاف الكائنات ثلاثية الأبعاد,3D object detection,الكشف عن الأجسام ثلاثية الأبعاد
3,A36CA3E5LT6I1P,نقطة ثلاثية الأبعاد,3D point,نقطة ثلاثية الأبعاد
3,A36CA3E5LT6I1P,سحابة نقاط ثلاثية الأبعاد,3D point cloud,سحابة نقاط ثلاثية الأبعاد
3,A36CA3E5LT6I1P,وضعية ثلاثية الأبعاد,3D pose,وضعية ثلاثية الأبعاد  3D reconstruction: إعادة بناء ثلاثية الأبعاد
3,A36CA3E5LT6I1P,إعادة الإعمار ثلاثية الأبعاد,3D reconstruction,إعادة بناء ثلاثية الأبعاد
3,A3G58G62R7YBAE,اكتشاف الكائنات ثلاثية الأبعاد,3D object detection,كشف الأجسام ثلاثية الأبعاد
3,A3G58G62R7YBAE,نقطة ثلاثية الأبعاد,3D point,نقطة ثلاثية الأبعاد
3,A3G58G62R7YBAE,سحابة نقاط ثلاثية الأبعاد,3D point cloud,سحابة النقاط ثلاثية الأبعاد
3,A3G58G62R7YBAE,وضعية ثلاثية الأبعاد,3D pose,وضع ثلاثي الأبعاد
3,A3G58G62R7YBAE,إعادة الإعمار ثلاثية الأبعاد,3D reconstruction,إعادة بناء ثلاثية الأبعاد
3,A5LL8EKITZLQ0,اكتشاف الكائنات ثلاثية الأبعاد,3D object detection,كشف الأجسام ثلاثية الأبعاد
3,A5LL8EKITZLQ0,نقطة ثلاثية الأبعاد,3D point,نقطة ثلاثية الأبعاد
3,A5LL8EKITZLQ0,سحابة نقاط ثلاثية الأبعاد,3D point cloud,سحابة نقاط ثلاثية الأبعاد
3,A5LL8EKITZLQ0,وضعية ثلاثية الأبعاد,3D pose,وضع ثلاثي الأبعاد
3,A5LL8EKITZLQ0,إعادة الإعمار ثلاثية الأبعاد,3D reconstruction,إعادة بناء ثلاثية الأبعاد
3,AMDP4QV7L82Q,اكتشاف الكائنات ثلاثية الأبعاد,3D object detection,الترجمة: كشف الأجسام ثلاثية الأبعاد
3,AMDP4QV7L82Q,نقطة ثلاثية الأبعاد,3D point,الترجمة: نقطة ثلاثية الأبعاد
3,AMDP4QV7L82Q,سحابة نقاط ثلاثية الأبعاد,3D point cloud,الترجمة: سحابة النقاط ثلاثية الأبعاد
3,AMDP4QV7L82Q,وضعية ثلاثية الأبعاد,3D pose,الترجمة: وضعية ثلاثية الأبعاد
3,AMDP4QV7L82Q,إعادة الإعمار ثلاثية الأبعاد,3D reconstruction,الترجمة: إعادة بناء ثلاثية الأبعاد
4,A1KRZO8X16T93E,المشهد ثلاثي الأبعاد,3D scene,المشهد ثلاثي الأبعاد
4,A1KRZO8X16T93E,هندسة المشهد ثلاثية الأبعاد,3D scene geometry,هندسة المشهد ثلاثي الأبعاد
4,A1KRZO8X16T93E,البنية ثلاثية الأبعاد,3D structure,الهيكل ثلاثي الأبعاد
4,A1KRZO8X16T93E,"""التقسيم المتقاطع الخماسي""",5-fold cross validation,التحقق المتقاطع بخمس طيات
4,A1KRZO8X16T93E,"""الگوريتم A*""",A * algorithm,**خوارزمية A ***
4,A1WPT6LLCRWMDY,المشهد ثلاثي الأبعاد,3D scene,المشهد ثلاثي الأبعاد
4,A1WPT6LLCRWMDY,هندسة المشهد ثلاثية الأبعاد,3D scene geometry,هندسة المشهد ثلاثي الأبعاد
4,A1WPT6LLCRWMDY,البنية ثلاثية الأبعاد,3D structure,الهيكل ثلاثي الأبعاد
4,A1WPT6LLCRWMDY,"""التقسيم المتقاطع الخماسي""",5-fold cross validation,التحقق المتقاطع بخمس طيات
4,A1WPT6LLCRWMDY,"""الگوريتم A*""",A * algorithm,خوارزمية A*
4,A1YA58RRBN7NI4,المشهد ثلاثي الأبعاد,3D scene,خاصية توزيع
4,A1YA58RRBN7NI4,هندسة المشهد ثلاثية الأبعاد,3D scene geometry,خاصية توزيع
4,A1YA58RRBN7NI4,البنية ثلاثية الأبعاد,3D structure,خاصية توزيع
4,A1YA58RRBN7NI4,"""التقسيم المتقاطع الخماسي""",5-fold cross validation,خاصية توزيع
4,A1YA58RRBN7NI4,"""الگوريتم A*""",A * algorithm,خاصية توزيع
4,A2OTFVI83FT0QL,المشهد ثلاثي الأبعاد,3D scene,مشهد ثلاثي الأبعاد
4,A2OTFVI83FT0QL,هندسة المشهد ثلاثية الأبعاد,3D scene geometry,هندسة المشهد ثلاثي الأبعاد
4,A2OTFVI83FT0QL,البنية ثلاثية الأبعاد,3D structure,الهيكل ثلاثي الأبعاد
4,A2OTFVI83FT0QL,"""التقسيم المتقاطع الخماسي""",5-fold cross validation,التحقق المتبادل بخمسة طيات
4,A2OTFVI83FT0QL,"""الگوريتم A*""",A * algorithm,خوارزمية A*
4,A33S3NQJEHPOMN,المشهد ثلاثي الأبعاد,3D scene,مشهد ثلاثي الأبعاد
4,A33S3NQJEHPOMN,هندسة المشهد ثلاثية الأبعاد,3D scene geometry,هندسة المشهد ثلاثي الأبعاد
4,A33S3NQJEHPOMN,البنية ثلاثية الأبعاد,3D structure,بنية ثلاثية الأبعاد
4,A33S3NQJEHPOMN,"""التقسيم المتقاطع الخماسي""",5-fold cross validation,التحقق المتقاطع بخمس طيات
4,A33S3NQJEHPOMN,"""الگوريتم A*""",A * algorithm,خوارزمية A*
4,A36CA3E5LT6I1P,المشهد ثلاثي الأبعاد,3D scene,مشهد ثلاثي الأبعاد
4,A36CA3E5LT6I1P,هندسة المشهد ثلاثية الأبعاد,3D scene geometry,هندسة المشهد ثلاثي الأبعاد
4,A36CA3E5LT6I1P,البنية ثلاثية الأبعاد,3D structure,الهيكل ثلاثي الأبعاد
4,A36CA3E5LT6I1P,"""التقسيم المتقاطع الخماسي""",5-fold cross validation,التحقق المتقاطع بخمسة طيات
4,A36CA3E5LT6I1P,"""الگوريتم A*""",A * algorithm,خوارزمية A * (أستار)
4,A3DIAIOB1DURSN,المشهد ثلاثي الأبعاد,3D scene,مشهد ثلاثي الأبعاد
4,A3DIAIOB1DURSN,هندسة المشهد ثلاثية الأبعاد,3D scene geometry,هندسة المشهد ثلاثي الأبعاد
4,A3DIAIOB1DURSN,البنية ثلاثية الأبعاد,3D structure,هيكل ثلاثي الأبعاد
4,A3DIAIOB1DURSN,"""التقسيم المتقاطع الخماسي""",5-fold cross validation,التحقق من الصحة عبر 5 أضعاف
4,A3DIAIOB1DURSN,"""الگوريتم A*""",A * algorithm,أ * خوارزمية
4,A5LL8EKITZLQ0,المشهد ثلاثي الأبعاد,3D scene,الترجمة: المشهد ثلاثي الأبعاد
4,A5LL8EKITZLQ0,هندسة المشهد ثلاثية الأبعاد,3D scene geometry,الترجمة: هندسة المشهد ثلاثي الأبعاد
4,A5LL8EKITZLQ0,البنية ثلاثية الأبعاد,3D structure,الترجمة: الهيكل ثلاثي الأبعاد
4,A5LL8EKITZLQ0,"""التقسيم المتقاطع الخماسي""",5-fold cross validation,الترجمة: التحقق المتبادل بخمسة طيات
4,A5LL8EKITZLQ0,"""الگوريتم A*""",A * algorithm,الترجمة: خوارزمية A*
5,A155OW7UP21THF,اختبار أ/ب,A/B test,اختبار A/B
5,A155OW7UP21THF,a2c,A2C,A2C
5,A155OW7UP21THF,AI,AI,الذكاء الاصطناعي
5,A155OW7UP21THF,API,API,واجهة برمجة التطبيقات
5,A155OW7UP21THF,AQA,AQA,AQA
5,A1KRZO8X16T93E,اختبار أ/ب,A/B test,اختبار A/B
5,A1KRZO8X16T93E,a2c,A2C,A2C
5,A1KRZO8X16T93E,AI,AI,الذكاء الاصطناعي
5,A1KRZO8X16T93E,API,API,واجهة برمجة التطبيقات
5,A1KRZO8X16T93E,AQA,AQA,AQA
5,A1WPT6LLCRWMDY,اختبار أ/ب,A/B test,اختبار A/B
5,A1WPT6LLCRWMDY,a2c,A2C,A2C
5,A1WPT6LLCRWMDY,AI,AI,الذكاء الاصطناعي
5,A1WPT6LLCRWMDY,API,API,واجهة برمجة التطبيقات (API)
5,A1WPT6LLCRWMDY,AQA,AQA,AQA
5,A33S3NQJEHPOMN,اختبار أ/ب,A/B test,اختبار أ/ب
5,A33S3NQJEHPOMN,a2c,A2C,A2C
5,A33S3NQJEHPOMN,AI,AI,الذكاء الاصطناعي
5,A33S3NQJEHPOMN,API,API,واجهة برمجة التطبيقات
5,A33S3NQJEHPOMN,AQA,AQA,أكا
5,A36CA3E5LT6I1P,اختبار أ/ب,A/B test,اختبار A/B
5,A36CA3E5LT6I1P,a2c,A2C,A2C
5,A36CA3E5LT6I1P,AI,AI,الذكاء الاصطناعي
5,A36CA3E5LT6I1P,API,API,واجهة برمجة التطبيقات (API)
5,A36CA3E5LT6I1P,AQA,AQA,AQA
5,A3HDXVNO786Z0L,اختبار أ/ب,A/B test,اختبار A/B
5,A3HDXVNO786Z0L,a2c,A2C,A2C
