,word,prediction_ratio,1)validated_translation_by_gpt4o,2)word>=0.5,reason,back_translations
10,Markov's inequality,"[{'word': 'inégalité de Markov', 'ratio': 1.0}]",L'inégalité de Markov,inégalité de Markov,"```
1. Candidate: ""L'inégalité de Markov""
2. Explanation: The best translation candidate is ""L'inégalité de Markov"" because it accurately reflects the formal and specific nature of the term ""Markov's inequality"" in the context of probability theory and AI. The use of the definite article ""L'"" in French conveys the specificity and established nature of the concept, which is important in academic and technical discussions. This aligns well with the English usage where ""Markov's inequality"" is a well-defined mathematical concept. The back translation to ""Markov inequality"" maintains the integrity of the original term, ensuring semantic accuracy and contextual fit within the AI domain.
```","['Markov inequality', 'Markov inequality']"
11,Open Information Extraction,"[{'word': ""extraction d'information ouverte"", 'ratio': 0.9}, {'word': ""extraction d'informations ouvertes"", 'ratio': 0.1}]",Extraction d'informations ouvertes,extraction d'information ouverte,"```
1. Candidate: ""Extraction d'informations ouvertes""
2. Explanation: The candidate ""Extraction d'informations ouvertes"" is the best fit for translating ""Open Information Extraction"" in the context of AI. This translation maintains the plural form of ""informations,"" which aligns with the English term's implication of handling multiple pieces of information. The plural form is semantically accurate as it reflects the task's nature of extracting various pieces of information from text. Additionally, the back translation to ""open information extraction"" confirms its accuracy and contextual fit, ensuring that the term is understood correctly in both languages within the AI domain.
```","['Open information extraction', 'open information extraction', 'open information extraction']"
12,Routing Transformer,"[{'word': 'Transformer de routage', 'ratio': 0.6}, {'word': 'Routing Transformer', 'ratio': 0.2}, {'word': 'Transformer par routage', 'ratio': 0.1}, {'word': 'Transformateur de routage', 'ratio': 0.1}]",Transformateur de routage,Transformer de routage,"```
1. Candidate: ""Transformateur de routage""
2. Explanation: ""Transformateur de routage"" is the best fit because it maintains the original structure and meaning of the English term ""Routing Transformer"" while adhering to the conventions of French technical terminology. The term ""transformateur"" is commonly used in French to refer to ""transformer"" in the context of AI and machine learning, ensuring semantic accuracy. Additionally, the back translation to ""Routing Transformer"" confirms that the meaning is preserved, making it contextually appropriate for the AI domain.
```","['Routing Transformer', 'Routing Transformer', 'Transform by routing', 'Routing Transform']"
13,Sentence-Piece,"[{'word': 'Sentence-Piece', 'ratio': 0.8}, {'word': 'SentencePiece', 'ratio': 0.1}, {'word': 'Morceau de phrase', 'ratio': 0.1}]",SentencePiece,Sentence-Piece,"```
1. Candidate: ""SentencePiece""
2. Explanation: ""SentencePiece"" is the best translation candidate because it retains the original term used in the AI domain, which is a specific tokenization algorithm developed by Google. In AI and machine learning contexts, especially when referring to specific tools or algorithms, it is crucial to maintain the original terminology to ensure clarity and accuracy. The other candidates either do not preserve the original term or inaccurately translate it, which could lead to confusion or misinterpretation in a technical setting.
```","['Sentence-Piece', 'SentencePiece', 'Sentence piece']"
14,Transformer-based language model,"[{'word': 'modèle de langage basé sur Transformer', 'ratio': 0.6}, {'word': 'Modèle de langage basé sur les Transformers', 'ratio': 0.1}, {'word': 'modèle de langage basé sur les transformeurs', 'ratio': 0.1}, {'word': 'modèle de langage basé sur les Transformers', 'ratio': 0.1}, {'word': 'modèle de langage basé sur le Transformer', 'ratio': 0.1}]",Modèle de langage basé sur les Transformers,modèle de langage basé sur Transformer,"```
1. Candidate: ""Modèle de langage basé sur les Transformers""

2. Explanation: The candidate ""Modèle de langage basé sur les Transformers"" is the best fit because it accurately captures the plural form ""Transformers,"" which is commonly used in the AI domain to refer to the architecture rather than a single instance. This aligns with the context of large-scale, pretrained models that utilize multiple layers of Transformer architecture. The back translation ""Language model based on Transformers"" maintains the semantic integrity of the original term, ensuring that the translation is both contextually and technically accurate for the AI domain.
```","['Language model based on Transformers', 'Transformer-based language model', 'Transformer-based language model', 'Transformer-based language model', 'language model based on Transformers', 'transformer-based language model']"
15,abstractive summarization,"[{'word': 'résumé abstrait', 'ratio': 0.8}, {'word': 'résumés abstraits', 'ratio': 0.1}, {'word': 'résumé abstractif', 'ratio': 0.1}]",résumé abstractif,résumé abstrait,"```
1. Candidate: ""résumé abstractif""
2. Explanation: The term ""résumé abstractif"" is the best fit for translating ""abstractive summarization"" in the context of AI. In the AI domain, ""abstractive summarization"" refers to generating a summary that may include novel phrases not present in the original text, as opposed to ""extractive summarization,"" which involves selecting and reordering parts of the original text. The term ""abstractif"" captures the notion of abstraction and generation of new content, aligning well with the AI-specific meaning of creating summaries that are not just extracts but are generated with a deeper understanding of the content. The back translation ""abstractive summary"" also closely aligns with the original English term, ensuring semantic accuracy and contextual fit.
```","['abstractive summary', 'abstract summaries', 'abstract abstract']"
16,action sequence,"[{'word': ""séquence d'action"", 'ratio': 0.6}, {'word': ""séquence d'actions"", 'ratio': 0.4}]",séquence d'actions,séquence d'action,"```
1. Candidate: séquence d'actions
2. Explanation: In the context of AI, particularly when discussing feedback and reward functions, ""action sequence"" often refers to a series of actions taken by an agent in an environment. The candidate ""séquence d'actions"" accurately captures this meaning by emphasizing the plurality and continuity of actions, which aligns with the concept of a sequence in AI. The back translation ""sequence of actions"" also maintains the intended meaning, ensuring semantic accuracy and contextual fit within the domain.
```","['action sequence', 'sequence of actions']"
17,adapter-based fine-tuning,"[{'word': 'ajustement basé sur des adaptateurs', 'ratio': 0.6}, {'word': 'ajustement fin basé sur des adaptateurs', 'ratio': 0.4}]",ajustement fin basé sur des adaptateurs,ajustement basé sur des adaptateurs,"```
1. Candidate: ""ajustement fin basé sur des adaptateurs""
2. Explanation: The term ""ajustement fin basé sur des adaptateurs"" is the best fit because it accurately captures the concept of ""fine-tuning"" in the context of AI, where ""ajustement fin"" conveys the idea of precise or fine adjustments. The use of ""adaptateurs"" correctly translates ""adapters,"" which are specific components added to the transformer layers in this context. This candidate maintains the technical nuance of the original term, ensuring semantic accuracy and contextual fit within the AI domain. The back translation as ""fine adjustment based on adapters"" closely aligns with the original English term, indicating a high level of translation fidelity.
```","['fine adjustment based on adapters', 'adapter-based fine-tuning', 'adjustment based on adapters']"
18,anaphora resolution,"[{'word': ""résolution d'anaphore"", 'ratio': 0.5}, {'word': ""résolution de l'anaphore"", 'ratio': 0.4}, {'word': 'résolution des anaphores', 'ratio': 0.1}]",résolution des anaphores,résolution d'anaphore,"```
1. Candidate: ""résolution des anaphores""
2. Explanation: ""Résolution des anaphores"" is the best fit because it accurately captures the plural form of ""anaphora"" in the context of AI and computational linguistics, where the task involves resolving multiple instances of anaphoric references within a text. This aligns with the domain-specific usage where the task is not limited to a single instance but rather involves handling various occurrences of anaphora in natural language processing tasks. The back translation ""resolution of anaphora"" maintains the semantic integrity and reflects the task's scope in AI applications.
```","['resolution of anaphora', 'resolution of anaphora', 'anaphora resolution']"
19,approximate posterior distribution,"[{'word': 'distribution postérieure approximative', 'ratio': 0.5}, {'word': 'distribution a posteriori approximative', 'ratio': 0.4}, {'word': 'distribution postérieure approchée', 'ratio': 0.1}]",distribution postérieure approchée,distribution postérieure approximative,"```
1. Candidate: distribution postérieure approchée
2. Explanation: The term ""distribution postérieure approchée"" is the best fit because it accurately captures the concept of an ""approximate posterior distribution"" in the context of AI and machine learning. In this domain, ""postérieure"" is the standard translation for ""posterior,"" referring to the distribution of an unknown quantity after observing data. ""Approchée"" effectively conveys the notion of approximation, which is crucial in the context of variational inference and other AI methodologies where exact posterior distributions are often intractable. This candidate maintains semantic accuracy and aligns well with domain-specific usage, ensuring that the intended meaning is preserved in both languages.
```","['approximate posterior distribution', 'approximate posterior distribution', 'approximate posterior distribution']"
20,augmented state space,"[{'word': ""espace d'état augmenté"", 'ratio': 0.8}, {'word': ""espace d'états augmenté"", 'ratio': 0.1}, {'word': ""espace d'état augmentée"", 'ratio': 0.1}]",espace d'états augmenté,espace d'état augmenté,"```
1. Candidate: espace d'états augmenté
2. Explanation: The term ""espace d'états augmenté"" is the best fit for translating ""augmented state space"" in the context of AI. In French, ""états"" is the plural form of ""state,"" which aligns with the concept of a state space in AI, where multiple states are considered. The plural form is crucial here because a state space typically involves a collection of states rather than a singular state. The adjective ""augmenté"" correctly translates ""augmented,"" indicating an enhancement or expansion of the state space, which is consistent with the context provided. The back translation to ""augmented state space"" confirms the semantic accuracy and contextual fit within the AI domain.
```","['augmented state space', 'augmented state space', 'augmented state space']"
21,baseline system,"[{'word': 'système de référence', 'ratio': 0.9}, {'word': 'système de base', 'ratio': 0.1}]",système de base,système de référence,"```
1. Candidate: système de base
2. Explanation: In the context of AI and machine learning, a ""baseline system"" refers to a standard or initial model used as a point of comparison for evaluating the performance of new models or methods. The term ""système de base"" accurately captures this meaning, as it implies a foundational or starting system against which improvements are measured. The back translation ""basic system"" aligns well with the original English term, maintaining the intended meaning of a fundamental or initial system used for comparison. On the other hand, ""système de référence"" translates back to ""reference system,"" which could imply a system used for guidance or as a standard, but not necessarily as a starting point for performance comparison. Therefore, ""système de base"" is the best fit for the AI domain-specific usage in this context.
```","['reference system', 'basic system']"
22,batch optimization,"[{'word': 'optimisation par lot', 'ratio': 0.6}, {'word': 'optimisation par lots', 'ratio': 0.4}]",optimisation par lots,optimisation par lot,"```
1. Candidate: optimisation par lots
2. Explanation: ""Optimisation par lots"" is the best fit for the term ""batch optimization"" in the context of AI and machine learning. In this domain, ""batch"" often refers to processing data in groups or sets, rather than individually. The plural form ""lots"" accurately captures this idea of multiple groups or sets being optimized simultaneously, which aligns with the concept of batch processing in AI. Additionally, the back translation to ""batch optimization"" maintains the original meaning, ensuring semantic accuracy and contextual fit.
```","['batch optimization', 'batch optimization', 'batch optimization']"
23,batch processing,"[{'word': 'traitement par lot', 'ratio': 0.6}, {'word': 'traitement par lots', 'ratio': 0.4}]",traitement par lots,traitement par lot,"```
1. Candidate: traitement par lots
2. Explanation: ""Traitement par lots"" is the best translation candidate because it accurately captures the concept of ""batch processing"" in the context of AI and computing. In French, ""lots"" refers to multiple items or groups processed together, which aligns with the idea of processing data in batches to optimize computational efficiency. This term is widely used in technical and AI contexts to describe the simultaneous processing of multiple data items, making it semantically accurate and contextually appropriate. The back translation to ""batch processing"" confirms its accuracy and fit within the domain-specific usage.
```","['batch processing', 'batch processing']"
24,bi-gram,"[{'word': 'bi-gramme', 'ratio': 0.9}, {'word': 'bigramme', 'ratio': 0.1}]",bigramme,bi-gramme,"```
1. Candidate: ""bigramme""
2. Explanation: ""Bigramme"" is the best translation candidate because it is the standard term used in French for ""bi-gram"" within the context of natural language processing and AI. The term ""bigramme"" is widely recognized and used in French academic and technical literature to refer to a sequence of two adjacent elements from a string of tokens, which aligns with the English term ""bi-gram."" The back translation to ""bigram"" also maintains the semantic accuracy, ensuring that the term is understood correctly in both languages within the AI domain.
```","['bigram', 'bi-gram']"
25,bounding box regression,"[{'word': 'régression de boîte englobante', 'ratio': 0.8}, {'word': 'régression de boîte de délimitation', 'ratio': 0.1}, {'word': 'Regression de la boite englobante', 'ratio': 0.1}]",régression de la boîte englobante,régression de boîte englobante,"```
1. Candidate: ""régression de la boîte englobante""

2. Explanation: The term ""régression de la boîte englobante"" is the best fit for translating ""bounding box regression"" in the context of AI and computer vision. This translation accurately captures the concept of a ""bounding box,"" which is a fundamental element in object detection tasks. The term ""boîte englobante"" is widely used in the French-speaking AI community to refer to the rectangular box that surrounds an object in an image. Additionally, the back translation to ""bounding box regression"" confirms the semantic accuracy and contextual fit, ensuring that the technical meaning is preserved in both languages.
```","['bounding box regression', 'bounding box regression', 'Bounding box regression', 'bounding box regression']"
26,chatbot,"[{'word': 'chatbot', 'ratio': 0.9}, {'word': 'agent conversationnel', 'ratio': 0.1}]",agent conversationnel,chatbot,"```
1. Candidate: ""agent conversationnel""
2. Explanation: ""Agent conversationnel"" is the best fit for translating ""chatbot"" in the given context because it accurately conveys the function and purpose of a chatbot within AI and human-bot interaction scenarios. While ""chatbot"" is also used in French, ""agent conversationnel"" provides a clearer understanding of the role as an interactive conversational entity, which aligns well with the AI domain's emphasis on dialogue systems and human-computer interaction. The back translation to ""conversational agent"" maintains the semantic integrity and contextual fit, ensuring that the term is understood in both languages as a system designed for conversation.
```","['conversational agent', 'chatbot']"
27,chi-square distribution,"[{'word': 'distribution du chi carré', 'ratio': 0.5}, {'word': 'distribution du khi carré', 'ratio': 0.2}, {'word': 'distribution du khi-deux', 'ratio': 0.1}, {'word': 'distribution du chi-deux', 'ratio': 0.1}, {'word': 'loi du khi-carré', 'ratio': 0.1}]",distribution du khi carré,distribution du chi carré,"```
1. Candidate: ""distribution du khi carré""
2. Explanation: The term ""distribution du khi carré"" is the most semantically accurate translation for ""chi-square distribution"" in the context of AI and statistics. It directly translates to ""chi-square distribution"" in English, maintaining the technical meaning and usage. The term ""khi carré"" is widely recognized in French statistical literature, ensuring that it is understood correctly by French-speaking professionals in the field. The back translation also aligns perfectly with the original term, confirming its contextual fit and accuracy.
```","['chi-square law', 'chi-square distribution', 'chi-square distribution', 'chi square distribution', 'chi-square distribution']"
28,chi-square test,"[{'word': 'test du chi carré', 'ratio': 0.5}, {'word': 'test du khi carré', 'ratio': 0.2}, {'word': 'test du khi-deux', 'ratio': 0.1}, {'word': 'test du chi-deux', 'ratio': 0.1}, {'word': 'test du khi-carré', 'ratio': 0.1}]",test du khi-deux,test du chi carré,"```
1. Candidate: test du khi-deux

2. Explanation: The term ""test du khi-deux"" is the most semantically accurate translation for ""chi-square test"" in the context of AI and statistical analysis. In French, ""khi-deux"" is the standard term used in statistical contexts to refer to the chi-square test, maintaining the phonetic similarity to the Greek letter ""chi"" (χ) used in the original English term. This translation is widely recognized in academic and professional settings, ensuring clarity and precision in communication. The back translation to ""chi-square test"" confirms its accuracy and contextual fit, making it the best choice for domain-specific usage in AI and statistics.
```","['chi-square test', 'chi square test', 'chi-square test', 'chi-square test', 'chi square test']"
29,clipping factor,"[{'word': 'facteur de clipping', 'ratio': 0.6}, {'word': 'facteur de découpage', 'ratio': 0.2}, {'word': 'facteur de découpe', 'ratio': 0.1}, {'word': 'Facteur de découpage', 'ratio': 0.1}]",facteur d'écrêtage,facteur de clipping,"```
1. Candidate: facteur d'écrêtage
2. Explanation: ""Facteur d'écrêtage"" is the best translation for ""clipping factor"" in the context of AI and machine learning. The term ""écrêtage"" is commonly used in signal processing and related fields to refer to the process of limiting or clipping values to a certain range, which aligns well with the concept of a clipping factor in quantization processes. This translation maintains semantic accuracy and is contextually appropriate, as it conveys the idea of controlling or limiting values, which is crucial in the context of quantization error management described in the provided context.
```","['clipping factor', 'cutting factor', 'cutting factor', 'clipping factor', 'Cutting factor']"
30,cluster feature,"[{'word': 'caractéristique de cluster', 'ratio': 0.9}, {'word': 'caractéristiques de cluster', 'ratio': 0.1}]",caractéristiques de cluster,caractéristique de cluster,"```
1. Candidate: ""caractéristiques de cluster""
2. Explanation: The term ""cluster feature"" in the AI domain typically refers to attributes or properties that describe or are derived from clusters, often used in machine learning to improve model performance by leveraging grouped data. ""Caractéristiques de cluster"" translates back to ""cluster characteristics,"" which accurately captures the essence of features or attributes associated with clusters. This translation maintains the semantic meaning and aligns well with the context of aggregating distributional information and improving accuracy, as described in the provided text. The plural form ""caractéristiques"" is also appropriate given the context of discussing multiple features.
```","['cluster functionality', 'cluster characteristics', 'cluster characteristic']"
31,clustering algorithm,"[{'word': 'algorithme de clustering', 'ratio': 0.9}, {'word': 'algorithme de regroupement', 'ratio': 0.1}]",algorithme de regroupement,algorithme de clustering,"```
1. Candidate: algorithme de regroupement
2. Explanation: ""Algorithme de regroupement"" is the best fit because it accurately conveys the concept of grouping or clustering in French, which is essential in the context of AI and data analysis. While ""clustering"" is often used in English, ""regroupement"" is a more precise translation in French that aligns with the idea of organizing data into clusters or groups. This term is widely accepted in the French-speaking AI community and maintains the semantic integrity of the original term, ensuring that the concept is clearly understood in both languages.
```","['clustering algorithm', 'clustering algorithm']"
32,clustering problem,"[{'word': 'problème de regroupement', 'ratio': 0.6}, {'word': 'problème de clustering', 'ratio': 0.4}]",problème de clustering,problème de regroupement,"```
1. Candidate: ""problème de clustering""
2. Explanation: The term ""clustering problem"" in the context of AI and data analysis refers to the task of grouping a set of objects in such a way that objects in the same group (or cluster) are more similar to each other than to those in other groups. The candidate ""problème de clustering"" retains the technical specificity and is directly aligned with the English term, ensuring semantic accuracy and consistency in the AI domain. The back translation as ""clustering problem"" confirms its contextual fit, making it the best choice for maintaining the technical integrity of the term.
```","['grouping problem', 'clustering problem']"
33,co-occurrence statistic,"[{'word': 'statistique de co-occurrence', 'ratio': 0.8}, {'word': 'statistique de co-occurrenceco-référence', 'ratio': 0.1}, {'word': 'statistique de cooccurrence', 'ratio': 0.1}]",statistique de cooccurrence,statistique de co-occurrence,"```
1. Candidate: statistique de cooccurrence
2. Explanation: The candidate ""statistique de cooccurrence"" is the best fit because it accurately captures the meaning of ""co-occurrence statistic"" in the context of AI and linguistics. This term is commonly used in both English and French to describe statistical measures that quantify how often certain words or features appear together within a given dataset. The back translation to ""co-occurrence statistics"" confirms its semantic accuracy and contextual fit, ensuring that the term is understood in the same way in both languages. The other candidates introduce unnecessary complexity or errors, such as ""co-occurrenceco-référence,"" which does not accurately reflect the original term's meaning or usage in the AI domain.
```","['co-occurrence statistics', 'co-occurrence statisticco-reference', 'co-occurrence statistics']"
34,constituency tree,"[{'word': 'arbre de constituance', 'ratio': 0.5}, {'word': 'arbre de constituants', 'ratio': 0.3}, {'word': 'arbe de circonscription', 'ratio': 0.1}, {'word': 'arbre de constituency', 'ratio': 0.1}]",arbre de constituants,arbre de constituance,"```
1. Candidate: ""arbre de constituants""

2. Explanation: The term ""constituency tree"" in the context of AI and natural language processing refers to a tree structure that represents the syntactic structure of a sentence, where each node corresponds to a constituent or a group of words that function as a single unit. The translation ""arbre de constituants"" accurately captures this meaning, as ""constituants"" directly relates to the components or parts of a sentence in linguistic terms. The back translation ""constituent tree"" aligns well with the original English term, ensuring semantic accuracy and contextual fit within the AI domain. Other candidates like ""arbre de circonscription"" and ""arbre de constituance"" either introduce unrelated political connotations or are less commonly used in the linguistic context, making ""arbre de constituants"" the most precise and contextually appropriate choice.
```","['constituency tree', 'riding tree', 'riding tree', 'constituent tree', 'constituent tree']"
35,constrained optimization problem,"[{'word': ""problème d'optimisation contraint"", 'ratio': 0.6}, {'word': ""problème d'optimisation contrainte"", 'ratio': 0.4}]",problème d'optimisation contrainte,problème d'optimisation contraint,"```
1. Candidate: ""problème d'optimisation contrainte""
2. Explanation: The term ""problème d'optimisation contrainte"" is the best fit because it accurately reflects the concept of a constrained optimization problem in the context of AI and machine learning. In French, ""contrainte"" is the noun form that aligns with ""constrained"" as an adjective, which is semantically accurate for describing optimization problems that involve constraints. This translation maintains the technical nuance required in AI terminology, ensuring that the constraints are understood as integral parts of the optimization process, similar to the original English term.
```","['constrained optimization problem', 'constrained optimization problem']"
36,contextualized word vector,"[{'word': 'vecteur de mot contextualisé', 'ratio': 0.7}, {'word': 'vecteur de mots contextualisé', 'ratio': 0.2}, {'word': 'représentation contextualisée', 'ratio': 0.1}]",vecteur de mots contextualisé,vecteur de mot contextualisé,"```
1. Candidate: ""vecteur de mots contextualisé""
2. Explanation: The term ""contextualized word vector"" in the AI domain specifically refers to vectors that represent words in a context-sensitive manner, often used in models like BERT. The candidate ""vecteur de mots contextualisé"" accurately captures this meaning by maintaining the plural form ""mots"" (words), which aligns with the typical usage in AI where multiple word vectors are considered. The back translation also returns ""contextualized word vector,"" indicating semantic accuracy and consistency with the original term. This makes it the best fit for the AI domain-specific usage.
```","['contextualized word vector', 'contextualized representation', 'contextualized word vector']"
37,convex objective function,"[{'word': 'fonction objectif convexe', 'ratio': 0.9}, {'word': 'fonction objective convexe', 'ratio': 0.1}]",fonction objective convexe,fonction objectif convexe,"```
1. Candidate: fonction objective convexe
2. Explanation: The term ""fonction objective convexe"" is the best fit for translating ""convex objective function"" in the context of AI and mathematical optimization. In French, ""fonction objective"" is the standard term used in optimization problems to refer to the objective function, which aligns with the English usage. The adjective ""convexe"" correctly describes the nature of the function, maintaining the semantic meaning of the original term. The back translation to ""convex objective function"" confirms the accuracy and contextual fit, ensuring that the translation is both semantically precise and contextually appropriate for the AI domain.
```","['convex objective function', 'convex objective function']"
