,word,prediction_ratio,1)validated_translation_by_gpt4o,2)word>=0.5,reason,back_translations
10,L2 weight decay,"[{'word': 'L2权重衰减', 'ratio': 0.5555555555555556}, {'word': 'L2 权重衰减', 'ratio': 0.4444444444444444}]",L2 权重衰减,L2权重衰减,"```
1. Candidate: L2 权重衰减
2. Explanation: The candidate ""L2 权重衰减"" is the best fit because it accurately captures the technical meaning of ""L2 weight decay"" in the context of machine learning and AI. The term ""L2"" is a standard mathematical notation that does not require translation, and ""权重衰减"" directly translates to ""weight decay,"" which is a common term used in the AI domain to describe a regularization technique that helps prevent overfitting by penalizing large weights. The back translation also returns to ""L2 weight decay,"" indicating semantic accuracy and consistency with the original English term.
```","['L2 weight decay', 'L2 weight decay']"
11,Lagrange multiplier,"[{'word': '拉格朗日乘子', 'ratio': 0.5555555555555556}, {'word': '拉格朗日乘数', 'ratio': 0.4444444444444444}]",拉格朗日乘数,拉格朗日乘子,"```
1. Candidate: 拉格朗日乘数
2. Explanation: ""拉格朗日乘数"" is the more commonly used term in the Chinese mathematical and AI communities for ""Lagrange multiplier."" It accurately conveys the concept of a multiplier used in optimization problems to handle constraints, which is crucial in AI algorithms. The back translation to ""Lagrange multiplier"" confirms its semantic accuracy and contextual fit, ensuring that it aligns well with the domain-specific usage in AI and mathematics.
```","['Lagrange multiplier', 'Lagrange multiplier']"
12,Lasso penalty,"[{'word': '套索惩罚', 'ratio': 0.5}, {'word': 'Lasso惩罚', 'ratio': 0.3}, {'word': 'Lasso惩罚项', 'ratio': 0.1}, {'word': '惩罚', 'ratio': 0.1}]",Lasso惩罚项,套索惩罚,"```
1. Candidate: Lasso惩罚项
2. Explanation: ""Lasso惩罚项"" is the best translation candidate because it accurately captures the concept of ""Lasso penalty"" in the context of AI and statistical modeling. The term ""惩罚项"" (penalty item) is commonly used in Chinese to refer to penalty terms in mathematical and statistical models, which aligns well with the usage of ""Lasso penalty"" in the context of regularization techniques in machine learning. The back translation ""Lasso penalty item"" maintains the original meaning, ensuring semantic accuracy and contextual fit within the AI domain.
```","['Lasso penalty item', 'noose punishment', 'punish', 'Lasso punishment']"
13,Lyapunov function,"[{'word': '李雅普诺夫函数', 'ratio': 0.6}, {'word': 'Lyapunov 函數', 'ratio': 0.1}, {'word': 'リアプノフ関数', 'ratio': 0.1}, {'word': 'Lyapunov 函数', 'ratio': 0.1}, {'word': '利雅普诺夫函数', 'ratio': 0.1}]",李亚普诺夫函数,李雅普诺夫函数,"```
1. Candidate: ""李亚普诺夫函数""
2. Explanation: ""李亚普诺夫函数"" is the most widely accepted and commonly used translation for ""Lyapunov function"" in the Chinese academic and AI communities. It accurately reflects the pronunciation and meaning of the original term, ensuring semantic accuracy. The back translation also confirms its correctness as ""Lyapunov function,"" maintaining consistency and clarity in the context of AI and mathematical discussions. Other candidates either deviate from standard usage or introduce unnecessary variations that could lead to confusion.
```","['Lyapunov function', 'リアプノフ Off Number', 'Lyapunov function', 'Lyapunov function', 'Lyapunov function', 'Lyapunov function']"
14,Monte-Carlo return,"[{'word': '蒙特卡罗回报', 'ratio': 0.6666666666666666}, {'word': '蒙特卡洛回报', 'ratio': 0.3333333333333333}]",蒙特卡洛回报,蒙特卡罗回报,"```
1. Candidate: 蒙特卡洛回报
2. Explanation: The term ""Monte-Carlo return"" in the context of AI and reinforcement learning refers to the expected return or reward calculated using Monte Carlo methods. The candidate ""蒙特卡洛回报"" accurately captures this meaning, as ""回报"" directly translates to ""return"" in the context of rewards or gains, which is consistent with the terminology used in reinforcement learning. The back translation ""Monte Carlo Return"" confirms the semantic accuracy and contextual fit, making it the best choice among the candidates. The other candidate, ""蒙特卡洛往返,"" translates to ""Monte Carlo round trip,"" which does not fit the AI domain-specific usage of the term ""return"" as it implies a physical journey rather than a calculated reward. 
```","['Monte Carlo Return', 'Monte Carlo Return', 'Monte Carlo round trip']"
15,Q function,"[{'word': 'Q函数', 'ratio': 0.7}, {'word': 'Q 函数', 'ratio': 0.3}]",Q 函数,Q函数,"```
1. Candidate: Q 函数
2. Explanation: The term ""Q 函数"" is the best translation candidate because it accurately reflects the original English term ""Q function"" while maintaining the technical specificity required in the AI domain. In the context of reinforcement learning, ""Q 函数"" is widely recognized and used in Chinese literature and academic papers. It directly translates to ""Q function"" in English, ensuring semantic accuracy and consistency. The use of ""函数"" (function) is appropriate as it conveys the mathematical nature of the term, which is crucial for understanding its role in algorithms like DDQN and SARSA. The back translation also confirms that the meaning is preserved, making it a reliable choice for conveying the concept in both languages.
```","['Q function', 'Q function']"
16,Question Answering,"[{'word': '问答', 'ratio': 0.6666666666666666}, {'word': '问答系统', 'ratio': 0.2222222222222222}, {'word': '问题回答', 'ratio': 0.1111111111111111}]",问答系统,问答,"```
1. Candidate: 问答系统
2. Explanation: The term ""Question Answering"" in the AI domain typically refers to systems or models designed to automatically answer questions posed in natural language. The candidate ""问答系统"" translates to ""question and answer system,"" which accurately captures the concept of a structured system or model used for this purpose. This translation maintains the semantic integrity of the original term and aligns well with the AI-specific context, where ""系统"" (system) implies the technological and systematic aspect of the task, distinguishing it from more general or informal uses of ""问答"" (Q&A).
```","['Q&A', 'question and answer system', 'Questions and Answers']"
17,Runge-Kutta method,"[{'word': '龙格-库塔方法', 'ratio': 1.0}]",龙格-库塔法,龙格-库塔方法,"```
1. Candidate: 龙格-库塔法
2. Explanation: The term ""龙格-库塔法"" is the best fit because it is a widely accepted and commonly used translation for ""Runge-Kutta method"" in Chinese, especially in scientific and mathematical contexts. The term ""法"" (method) is concise and accurately conveys the concept of a mathematical method or technique, which aligns well with the domain-specific usage in AI and numerical analysis. Additionally, the back translation perfectly matches the original English term, ensuring semantic accuracy and contextual fit.
```","['Runge-Kutta method', 'Runge-Kutta method']"
18,T5-11B,"[{'word': 'T5-11B', 'ratio': 0.9}, {'word': 'T5-11B模型', 'ratio': 0.1}]",T5-11B模型,T5-11B,"```
1. Candidate: T5-11B模型
2. Explanation: The candidate ""T5-11B模型"" is the best fit because it maintains the original term ""T5-11B"" while adding ""模型"" (model) to clarify that it refers to a specific AI model. This is important in the AI domain where distinguishing between different models is crucial. The back translation ""T5-11B model"" accurately reflects the original English term, ensuring semantic accuracy and contextual fit.
```","['T5-11B model', 'T5-11B']"
19,Upper Confidence Bound,"[{'word': '上置信界', 'ratio': 0.6666666666666666}, {'word': '上置信界限', 'ratio': 0.3333333333333333}]",上置信界限,上置信界,"```
1. Candidate: 上置信界限
2. Explanation: ""上置信界限"" is the best translation candidate because it directly translates to ""upper confidence bound,"" maintaining both semantic accuracy and contextual fit within the AI domain. The term ""界限"" (boundary/limit) accurately conveys the concept of a statistical boundary used in AI algorithms to manage uncertainty, aligning well with the original English term. Additionally, the back translation matches perfectly, ensuring that the intended meaning is preserved.
```","['upper confidence bound', 'upper confidence limit', 'upper confidence bound']"
20,Viterbi,"[{'word': '维特比', 'ratio': 0.8}, {'word': '维特比算法', 'ratio': 0.2}]",维特比算法,维特比,"```
1. Candidate: 维特比算法
2. Explanation: The term ""Viterbi"" in the context provided refers to a specific algorithm used in AI, particularly in tasks involving sequence analysis and dynamic programming, such as Hidden Markov Models. The context mentions ""Viterbi training"" and ""Viterbi outside score,"" which are technical terms associated with the Viterbi algorithm. Therefore, ""维特比算法"" (Viterbi algorithm) is the best translation candidate as it accurately conveys the algorithmic nature of the term within the AI domain, ensuring semantic accuracy and contextual fit.
```","['Viterbi', 'Viterbi algorithm']"
21,Woodbury matrix identity,"[{'word': 'Woodbury矩阵恒等式', 'ratio': 0.5}, {'word': '伍德伯里矩阵恒等式', 'ratio': 0.16666666666666666}, {'word': 'Woodbury 矩阵恒等式', 'ratio': 0.16666666666666666}, {'word': 'Woodbury矩阵恒等', 'ratio': 0.16666666666666666}]",Woodbury 矩阵恒等式,Woodbury矩阵恒等式,"```
1. Candidate: ""Woodbury 矩阵恒等式""
2. Explanation: The candidate ""Woodbury 矩阵恒等式"" is the best fit because it retains the original English term ""Woodbury"" as a proper noun, which is common practice in technical translations to maintain clarity and recognition, especially for specialized terms like the Woodbury matrix identity. The term ""矩阵恒等式"" accurately translates to ""matrix identity,"" preserving the mathematical context and meaning. This candidate also has a perfect back translation, ensuring semantic accuracy and contextual fit within the AI domain.
```","['Woodbury Matrix Identity', 'Woodbury matrix identity', 'Woodbury matrix identity', 'Woodbury matrix identity']"
22,Word2Vec,"[{'word': 'Word2Vec', 'ratio': 0.6666666666666666}, {'word': '詞對維', 'ratio': 0.16666666666666666}, {'word': '词向量', 'ratio': 0.16666666666666666}]",词向量,Word2Vec,"```
1. Candidate: ""词向量""
2. Explanation: ""词向量"" is the best translation for ""Word2Vec"" in the context of AI and natural language processing. ""Word2Vec"" is a well-known model that represents words as vectors in a continuous vector space, capturing semantic meanings and relationships. The term ""词向量"" directly translates to ""word vector,"" which accurately reflects the core concept of Word2Vec—transforming words into vectors. This translation is widely accepted and used in Chinese academic and technical literature related to AI and machine learning, ensuring both semantic accuracy and contextual fit. The other candidates, ""Word2Vec"" and ""詞對維,"" do not convey the specific meaning or are not commonly used in the AI domain.
```","['word2VE C', 'word vector', 'word pair dimension']"
23,Z-score,"[{'word': 'Z分数', 'ratio': 0.7142857142857143}, {'word': 'Z得分', 'ratio': 0.14285714285714285}, {'word': 'Z-score', 'ratio': 0.14285714285714285}]",Z-score,Z分数,"```
1. Candidate: ""Z-score""
2. Explanation: The term ""Z-score"" is a standardized statistical measure used widely in various fields, including AI, to denote the number of standard deviations a data point is from the mean. In the context of AI and data analysis, maintaining the original English term ""Z-score"" is often preferred in Chinese technical literature to ensure clarity and precision, as it is a well-recognized term among professionals. This usage avoids potential confusion that might arise from translating the term into Chinese, where the nuances of the statistical concept might be lost or misinterpreted. Additionally, the back translation remains consistent with the original term, ensuring semantic accuracy and contextual fit.
```","['Z score', 'Z score', 'Z-score', 'Z score']"
24,adversarial perturbation,"[{'word': '对抗扰动', 'ratio': 0.7}, {'word': '对抗性扰动', 'ratio': 0.3}]",对抗性扰动,对抗扰动,"```
1. Candidate: 对抗性扰动
2. Explanation: The term ""对抗性扰动"" is the best fit for ""adversarial perturbation"" in the AI domain. This translation accurately captures the concept of adversarial attacks in machine learning, where small, intentional changes (perturbations) are made to input data to deceive models. The word ""对抗性"" (adversarial) clearly conveys the intent of these perturbations to challenge or deceive the model, aligning well with the original English term. The back translation ""adversarial perturbation"" confirms the semantic accuracy and contextual fit, making it the most appropriate choice for AI-specific usage.
```","['Against disturbance', 'adversarial perturbation']"
25,artificial agent,"[{'word': '人工智能体', 'ratio': 0.8}, {'word': '人工智能代理', 'ratio': 0.2}]",人工代理,人工智能体,"```
1. Candidate: 人工代理
2. Explanation: The term ""artificial agent"" in the context of AI typically refers to an entity that can perceive its environment and take actions to achieve specific goals. The candidate ""人工代理"" directly translates to ""artificial agent,"" maintaining the semantic accuracy and contextual fit within the AI domain. It avoids the broader implications of ""人工智能代理"" (artificial intelligence agent), which might imply a more complex system with built-in intelligence, and ""人工智能体"" (artificial body), which could be misinterpreted as a physical entity. ""人工代理"" is precise and aligns well with the usage in AI literature, where the focus is on the agent's role and functionality rather than its intelligence level or physical form.
```","['artificial intelligence agent', 'artificial body', 'artificial agent']"
26,asymptotic notation,"[{'word': '渐近符号', 'ratio': 1.0}]",渐近记号,渐近符号,"```
1. Candidate: 渐近记号
2. Explanation: ""渐近记号"" is the best translation for ""asymptotic notation"" because it accurately captures the mathematical and computational context in which the term is used. In the AI domain, ""asymptotic notation"" refers to a set of mathematical notations used to describe the limiting behavior of a function, often in terms of time or space complexity. The term ""记号"" (notation) is more appropriate than ""符号"" (symbol) because it conveys the idea of a systematic representation or method, which aligns with how asymptotic notation is used to express algorithmic efficiency. The back translation to ""Asymptotic notation"" confirms its semantic accuracy and contextual fit.
```","['Asymptotic notation', 'asymptotic symbol']"
27,attention score,"[{'word': '注意力分数', 'ratio': 0.6666666666666666}, {'word': '注意得分', 'ratio': 0.16666666666666666}, {'word': '注意力得分', 'ratio': 0.16666666666666666}]",注意力得分,注意力分数,"```
1. Candidate: 注意力得分
2. Explanation: ""注意力得分"" is the best translation candidate because it accurately captures the concept of ""attention score"" in the context of AI, particularly in neural networks and models like BERT. The term ""注意力"" (attention) is widely used in the AI domain to refer to mechanisms that allow models to focus on specific parts of the input data. ""得分"" (score) correctly conveys the idea of a numerical value or metric. The back translation to ""attention score"" confirms its semantic accuracy and contextual fit, making it the most appropriate choice for AI terminology.
```","['attention score', 'Note the score', 'attention score']"
28,backward pass,"[{'word': '反向传递', 'ratio': 0.6}, {'word': '反向传播过程', 'ratio': 0.2}, {'word': '向后传递', 'ratio': 0.1}, {'word': '反向传播', 'ratio': 0.1}]",反向传播,反向传递,"```
1. Candidate: 反向传播
2. Explanation: The term ""backward pass"" in the context of AI, particularly in neural networks, is closely associated with the process of backpropagation, which is a key component of training models. ""反向传播"" is the standard translation for ""backpropagation"" in Chinese and is widely recognized in the AI community. It accurately captures the concept of computing gradients and updating weights during the backward phase of training. The other candidates, such as ""反向传播过程"" and ""反向传递,"" either add unnecessary words or do not fully convey the technical specificity of the term within the AI domain.
```","['Backpropagation', 'Back propagation process', 'Backward pass', 'pass backward']"
29,bag-of-word,"[{'word': '词袋模型', 'ratio': 0.8}, {'word': '词袋', 'ratio': 0.2}]",词袋,词袋模型,"```
1. Candidate: ""词袋""
2. Explanation: The term ""bag-of-word"" in the given context refers to a concept where the order of words is not important, only their presence or absence. ""词袋"" directly translates to ""bag of words,"" which captures this unordered nature without implying a specific model, making it semantically accurate for the context. The back translation ""bag of words"" confirms its accuracy and fit within the AI domain, where ""bag-of-word"" often refers to a representation of text data without considering word order.
```","['bag of words model', 'bag of words']"
30,baseline algorithm,"[{'word': '基准算法', 'ratio': 0.6666666666666666}, {'word': '基线算法', 'ratio': 0.3333333333333333}]",基线算法,基准算法,"```
1. Candidate: 基线算法
2. Explanation: ""基线算法"" is the best translation candidate for ""baseline algorithm"" in the context of AI and machine learning. In the AI domain, ""baseline"" often refers to a standard or reference point used for comparison, which aligns well with ""基线"" (baseline) in Chinese. This term is commonly used in technical literature to denote a standard algorithm against which other algorithms are compared. The back translation ""baseline algorithm"" accurately reflects the original English term, ensuring semantic accuracy and contextual fit within the AI domain.
```","['baseline algorithm', 'Baseline Algorithm']"
31,baseline method,"[{'word': '基准方法', 'ratio': 0.6666666666666666}, {'word': '基线方法', 'ratio': 0.3333333333333333}]",基线方法,基准方法,"```
1. Candidate: 基线方法
2. Explanation: ""基线方法"" is the best translation for ""baseline method"" in the context of AI and machine learning. This term is widely used in the Chinese AI community to refer to a standard or reference method against which new methods are compared. The term ""基线"" (baseline) accurately conveys the idea of a starting point or reference line, and ""方法"" (method) clearly indicates a systematic approach. The back translation to ""baseline method"" confirms its semantic accuracy and contextual fit, making it the most appropriate choice for domain-specific usage.
```","['baseline method', 'baseline method', 'baseline method']"
32,binary classification head,"[{'word': '二元分类头', 'ratio': 0.75}, {'word': '二分类头', 'ratio': 0.25}]",二分类头,二元分类头,"```
1. Candidate: 二分类头
2. Explanation: The term ""二分类头"" is the best fit because it accurately captures the concept of ""binary classification head"" in the context of AI and machine learning. ""二分类"" directly translates to ""two-category,"" which aligns with the binary nature of the classification task, where the model distinguishes between two classes. The term ""头"" (head) is commonly used in AI to refer to the final layer or component of a model that performs a specific task, such as classification. This translation is semantically accurate and contextually appropriate for AI domain-specific usage, ensuring clarity and precision in understanding the model's function.
```","['Binary classification header', 'Two-category head']"
33,binary classification problem,"[{'word': '二元分类问题', 'ratio': 0.75}, {'word': '二分类问题', 'ratio': 0.25}]",二分类问题,二元分类问题,"```
1. Candidate: 二分类问题
2. Explanation: The term ""二分类问题"" is the best fit for translating ""binary classification problem"" in the context of AI and machine learning. In Chinese, ""二分类问题"" is commonly used in academic and technical literature to refer to problems involving two distinct classes. It succinctly captures the essence of binary classification, which is to categorize data into one of two possible categories. The back translation ""Two classification problem"" accurately reflects the original meaning, maintaining semantic accuracy and contextual fit within the AI domain. ""二元分类问题"" is less commonly used and might introduce ambiguity, as ""二元"" can also imply binary in a mathematical sense, which is not the primary focus here.
```","['Binary classification problem', 'Two classification problem']"
34,binary classifier,"[{'word': '二元分类器', 'ratio': 0.625}, {'word': '二分类器', 'ratio': 0.25}, {'word': '分类器', 'ratio': 0.125}]",二分类器,二元分类器,"```
1. Candidate: ""二分类器""
2. Explanation: ""二分类器"" is the best translation for ""binary classifier"" in the context of AI and machine learning. This term specifically refers to a classifier that distinguishes between two classes, which aligns with the concept of a binary classifier. The other candidates, ""二元分类器"" and ""分类器"", are less precise. ""二元分类器"" could be interpreted as a classifier dealing with binary data rather than binary classification, and ""分类器"" is too general, as it refers to any type of classifier without specifying the binary aspect. Therefore, ""二分类器"" provides the most semantically accurate and contextually appropriate translation for the AI domain.
```","['binary classifier', 'classifier', 'binary classifier']"
35,branch and bound algorithm,"[{'word': '分支限界算法', 'ratio': 0.6666666666666666}, {'word': '分支定界算法', 'ratio': 0.3333333333333333}]",分支定界算法,分支限界算法,"```
1. Candidate: 分支定界算法
2. Explanation: The term ""branch and bound algorithm"" is commonly translated as ""分支定界算法"" in the context of computer science and operations research, particularly in the AI domain. This translation accurately captures the concept of systematically exploring branches of a decision tree and bounding the solutions to find the optimal one. The back translation ""branch and bound algorithm"" confirms its semantic accuracy and contextual fit. While ""分支限界算法"" is also a valid translation, ""定界"" is more frequently used in technical literature and aligns better with the established terminology in AI and optimization fields.
```","['branch and bound algorithm', 'branch and bound algorithm']"
36,canonical basis,"[{'word': '标准基', 'ratio': 0.7777777777777778}, {'word': '规范基', 'ratio': 0.1111111111111111}, {'word': '规范基底', 'ratio': 0.1111111111111111}]",规范基,标准基,"```
1. Candidate: 规范基
2. Explanation: ""规范基"" is the best translation for ""canonical basis"" in the context of AI and mathematics. In linear algebra and related fields, ""canonical basis"" refers to a standard or natural choice of basis in a vector space, often the set of unit vectors. The term ""规范"" captures the idea of a standard or norm, which aligns well with the concept of a canonical basis being a standard choice. Additionally, ""基"" directly translates to ""basis,"" making ""规范基"" semantically accurate and contextually appropriate for representing the concept in AI and mathematical contexts.
```","['canonical base', 'Standard base', 'norm base', 'normative basis']"
37,canonical form,"[{'word': '标准形式', 'ratio': 0.6666666666666666}, {'word': '规范形式', 'ratio': 0.2222222222222222}, {'word': '典型形式', 'ratio': 0.1111111111111111}]",规范形式,标准形式,"```
1. Candidate: 规范形式
2. Explanation: In the context of AI and mathematics, ""canonical form"" refers to a standard or normalized representation of a mathematical object or expression. The term ""规范形式"" is the most semantically accurate translation in this context, as it directly corresponds to the concept of a ""canonical form"" in mathematical and technical fields. The back translation of ""规范形式"" is ""canonical form,"" which maintains the intended meaning without deviation. The other candidates, ""标准形式"" (standard form) and ""典型形式"" (typical form), do not capture the specific technical nuance of ""canonical form"" as used in the AI domain, where it implies a specific, standardized representation within a mathematical framework.
```","['standard form', 'typical form', 'canonical form']"
38,chunk size,"[{'word': '块大小', 'ratio': 0.8888888888888888}, {'word': '数据块大小', 'ratio': 0.1111111111111111}]",数据块大小,块大小,"```
1. Candidate: 数据块大小
2. Explanation: The term ""chunk size"" in the context of AI and machine learning often refers to the size of a subset of data that is processed at one time. ""数据块大小"" translates to ""data block size,"" which accurately captures the concept of a portion of data being processed. This translation maintains the semantic meaning and is contextually appropriate for AI terminology, where data is often handled in blocks or chunks for processing efficiency. The back translation ""Data block size"" aligns well with the original term, ensuring both semantic accuracy and contextual fit.
```","['Data block size', 'block size']"
39,cluster centroid,"[{'word': '聚类中心', 'ratio': 1.0}]",簇质心,聚类中心,"```
1. Candidate: 簇质心
2. Explanation: The term ""簇质心"" is the best fit for ""cluster centroid"" in the AI domain. In the context of clustering algorithms, a ""centroid"" specifically refers to the mean position of all the points in a cluster, which is accurately captured by ""质心"" (centroid). The term ""簇"" (cluster) directly corresponds to the grouping of data points. This translation maintains semantic accuracy and aligns well with the technical usage in AI, where precision in describing the central point of a cluster is crucial. The back translation to ""cluster centroid"" confirms its accuracy and contextual fit, ensuring that the specific concept of a centroid, as opposed to a general center, is preserved.
```","['cluster centroid', 'cluster center']"
