Index,English,Russian
364,Lagrangian duality,лагранжева двойственность
365,Lagrangian multiplier,Лагранжев множитель
366,Lagrangian relaxation,Лагранжева релаксация
367,Lambertian reflectance,Ламбертова отражательность
368,Lanczos iteration,итерация Ланцоша
369,Langevin dynamic,Динамика Ланжевена
370,Language Modeling Toolkit,Инструментарий для языкового моделирования
371,Laplace approximation,аппроксимация Лапласа
372,Laplace distribution,распределение Лапласа
373,Laplace noise,Шум Лапласа
374,Laplace smoothing,Сглаживание по Лапласу
375,Laplace-Beltrami operator,оператор Лапласа—Бельтрами
376,Laplacian distribution,распределение Лапласа
377,Laplacian matrix,лапласова матрица
378,Laplacian smoothing,лапласовское сглаживание
379,Lasso,Лассо
380,Lasso penalty,Штраф Лассо
381,Lemma,лемма
382,Levenberg-Marquardt algorithm,Алгоритм Левенберга-Марквардта
383,Levenshtein distance,расстояние Левенштейна
384,Levenshtein edit distance,Расстояние редактирования Левенштейна
385,Lexical Functional Grammar,Лексическая функциональная грамматика
386,Libratus,Либратус
387,Lie algebra,алгебра Ли
388,Likert scale,шкала Лайкерта
389,LinCE,LinCE
390,Linear Threshold,Линейный порог
391,Linear Threshold Model,Линейная пороговая модель
392,Linear Transformer,Линейный трансформер
393,Linformer,Линформер
394,Lipschitz,Липшиц
395,Lipschitz constant,константа Липшица
396,Lipschitz continuity,Липшицева непрерывность
397,Lipschitz continuous,непрерывный по Липшицу
398,Lipschitz function,Липшицева функция
399,Lipschitzness,липшицевость
400,Local Consistency,локальная согласованность
401,Log Gaussian Cox Process,лог-гауссовский процесс Кокса
402,Longformer,Лонгформер
403,Lucene,Люсене
404,Lyapunov function,Функция Ляпунова
405,M-estimation,M-оценка
406,M-step,M-шаг
407,MAWPS,MAWPS
408,MIMD architecture,МИМД архитектура
409,MTDNN,MTDNN
410,Machine Comprehension,Machine Comprehension - машинное понимание
411,Machine Learning Repository,Репозиторий машинного обучения
412,Machine Reading Comprehension,Машинное чтение с пониманием
413,Mahalanobis distance,Расстояние Махаланобиса
414,Mahalanobis distance function,Функция расстояния Махаланобиса
415,Mahalanobis matrix,матрица Махаланобиса
416,Mahalanobis metric,Метрика Махаланобиса
417,Manhattan distance,Расстояние Манхэттена
418,Marching Cubes,алгоритм Marching Cubes
419,Markov,марковский
420,Markov assumption,марковское предположение
421,Markov blanket,марковское одеяло
422,Markov chain,Марковская цепь
423,Markov chain Monte Carlo,Марковская цепь Монте-Карло
424,Markov chain model,модель марковской цепи
425,Markov decision process,Марковский процесс принятия решений
426,Markov game,Марковская игра
427,Markov kernel,Марковское ядро
428,Markov logic,логика Маркова
429,Markov logic network,Марковская логическая сеть
430,Markov model,Марковская модель
431,Markov network,Марковская сеть
432,Markov process,Марковский процесс
433,Markov property,Свойство Маркова
434,Markov random field,Марковское случайное поле
435,Markov state,Марковское состояние
436,Markov transition,марковский переход
437,Markov transition matrix,матрица переходов Маркова
438,Markov's inequality,Неравенство Маркова
439,MatConvNet,MatConvNet
440,Matching Network,Сетевой матчинг
441,MathQA,MathQA
442,Matrix factorization,Факторизация матриц
443,Matérn kernel,Ядро Матерна
444,Maximum Satisfiability,Максимальная выполнимость
445,Mechanical Turk,Механический Турок
446,Metropolis Hastings,Метод Метрополиса-Гастингса
447,Metropolis algorithm,алгоритм Метрополиса
448,Metropolis method,метод Метрополиса
449,Metropolis-Hasting,алгоритм Метрополиса-Хастингса
450,Metropolis-Hastings acceptance ratio,коэффициент принятия Метрополиса-Хастингса
451,Metropolis-Hastings algorithm,Алгоритм Метрополиса-Хастингса
452,Metropolis-Hastings sampler,Сэмплер Метрополиса-Хастингса
453,Mixup,Миксап
454,Monotonicity,Монотонность
455,Monte Carlo,метод Монте-Карло
456,Monte Carlo Dropout,Метод Монте-Карло с дроп-аутом
457,Monte Carlo algorithm,алгоритм Монте-Карло
458,Monte Carlo approximation,аппроксимация методом Монте-Карло
459,Monte Carlo estimate,оценка методом Монте-Карло
460,Monte Carlo estimation,оценка методом Монте-Карло
461,Monte Carlo estimator,оценщик методом Монте-Карло
462,Monte Carlo method,метод Монте-Карло
463,Monte Carlo sample,выборка методом Монте-Карло
464,Monte Carlo search,поиск методом Монте-Карло
465,Monte Carlo simulation,моделирование методом Монте-Карло
466,Monte Carlo tree search,Поиск по дереву Монте-Карло
467,Monte-Carlo return,возврат методом Монте-Карло
468,Moore-Penrose pseudo-inverse,псевдообратная матрица Мура-Пенроуза
469,Morfessor,Morfessor
470,Multi-Task Learning,Многозадачное обучение
471,Multidimensional Quality metric,Многомерная метрика качества
472,Multidimensional Scaling,Многомерное шкалирование
473,Multiple Choice,множественный выбор
474,NLI,NLI
475,NLP,NLP
476,Nadaraya-Watson estimator,оценщик Надарая-Уотсона
477,Nash equilibria,равновесия Нэша
478,Nash welfare,благосостояние по Нэшу
479,Natural Language Inference,вывод на основе естественного языка
480,Natural Language Understanding,понимание естественного языка
481,Natural question,Natural Questions
482,Naïve Bayes,Наивный Байес
483,Nesterov momentum,Моментум Нестерова
484,Neural Information Processing Systems,Системы обработки нейронной информации
485,Neural Radiance field,Нейронное поле радианса
486,Neural volume,Нейронный объём
487,Newton method,метод Ньютона
488,Newton's method,метод Ньютона
489,Nom-Bank,Nom-Bank
490,Non-maximum suppression,Подавление ненамаксимумов
491,Nucleus Sampling,выборка из ядра
492,Nyström approximation,аппроксимация Нюстрёма
493,OOV,OOV
494,Object Localization,локализация объектов
495,Open Information Extraction,открытое извлечение информации
496,Optimization Problem,Задача оптимизации
497,Ornstein-Uhlenbeck,Процесс Орнштейна-Уленбека
498,Osgood scale,шкала Осгуда
499,Osgood space,пространство Осгуда
500,PaLM,PaLM
501,Pareto dominated,сильно доминируемое по Парето
502,Pareto frontier,граница Парето
503,Pareto optimal,Парето-оптимальный
504,Pareto optimality,Парето-оптимальность
505,Pareto-efficient,Парето-эффективный
506,Partially Observable Markov Decision Process,Частично наблюдаемый марковский процесс принятия решений
507,Parzen window,окно Парзена
508,Pearson correlation,коэффициент корреляции Пирсона
509,Pearson correlation coefficient,коэффициент корреляции Пирсона
510,Pearson's correlation,Корреляция Пирсона
511,Pearson's correlation coefficient,коэффициент корреляции Пирсона
512,Pearson's r,r Пирсона
513,Pearson's r correlation,Корреляция Пирсона r
514,Penn English Treebank,Пенн Инглиш Трибэнк
515,Penn Treebank corpus,Корпус Penn Treebank
516,Perron-Frobenius theorem,Теорема Перрона-Фробениуса
517,Petri network,сеть Петри
518,Pinsker's inequality,Неравенство Пинскера
519,Pitman-Yor Process,Процесс Питмана-Йора
520,Platt scaling,Масштабирование Платта
521,Pointwise Mutual Information,Точечная взаимная информация
522,Poisson distribution,распределение Пуассона
523,Poisson matting,маттинг Пуассона
524,Poisson model,модель Пуассона
525,Poisson point process,точечный процесс Пуассона
526,Poisson process,Пуассоновский процесс
527,Poisson random variable,Случайная величина Пуассона
528,Poisson rate,скорость Пуассона
529,Poisson regression,регрессия Пуассона
530,Poisson sampling,выборка по распределению Пуассона
531,Post machine,машина Поста
532,Potts model,модель Поттса
533,Prop-Bank,Prop-Bank
534,Proposition,высказывание
535,Proximal Policy Optimization,Оптимизация проксимальной политики
536,PubMed,ПабМед
537,Py-Torch,PyTorch
538,Q function,Q-функция
539,Q value,Q-значение
540,Q-learning,Q-обучение
541,Q-network,Q-сеть
542,QA,Контроль качества
543,QED,QED
544,QUOREF,QUOREF
545,Quality Estimation,Оценка качества
546,Query expansion,расширение запроса
547,Question Answering,Ответ на вопрос
548,R-Precision,R-точность
549,REALM,REALM
550,RGF,RGF
551,RISC-architecture,РИСК-архитектура
552,RNSum,RNSum
553,ROUGE,ROUGE
554,Rademacher average,среднее значение Радемахера
555,Rademacher complexity,сложность Радемахера
556,Radon-Nikodym derivative,производная Радона-Никодима
557,Random Forest classifier,Классификатор случайного леса
558,Rao-Blackwellization,Рао-Блэквеллизация
559,Reading Comprehension,Понимание прочитанного
560,Receiver Operating Characteristic Curve,Кривая рабочих характеристик приемника
561,Recognizing Textual Entailment,распознавание текстуальных выводов
562,Recurrent layer,рекуррентный слой
563,Reformer,Reformer
564,Regressor,регрессор
565,ResNeXt,ResNeXt
566,Retrieval-Augmented Generation,Поисково-дополненная генерация
567,Rhetorical Structure Theory,Теория риторических структур
568,Riemannian geometry,Риманова геометрия
569,Riemannian gradient,Риманов градиент
570,Riemannian manifold,Риманово многообразие
571,Robertson-Webb model,модель Робертсона-Уэбба
572,Routing Transformer,маршрутизирующий трансформер
573,Runge-Kutta,метод Рунге-Кутта
574,Runge-Kutta method,метод Рунге-Кутта
575,Rényi entropy,энтропия Реньи
576,S node,S-узел
577,S-expression,S-выражение
578,SIMD-architecture,СИМД-архитектура
579,SMCalFlow,SMCalFlow
580,SR-model (stimulus-reaction model),модель стимул-реакция
581,SUTD,SUTD
582,SVAMP,SVAMP
583,Schur complement,Комплемент Шура
584,Scikit-learn,Scikit-learn
585,Self-supervised learning,Самостоятельное обучение
586,Semantic Scholar,Semantic Scholar
587,Semantic Web,Семантическая паутина
588,Sentence-Piece,Sentence-Piece — SentencePiece
589,Seq2Seq,Seq2Seq
590,Set Cover,Задача покрытия множеств
591,Shannon entropy,Энтропия Шеннона
592,Sherman-Morrison formula,Формула Шермана-Моррисона
593,Sherman-Morrison-Woodbury formula,формула Шермана-Моррисона-Вудбери
594,Siamese architecture,архитектура сиамской сети
595,Siamese network,Сиамская сеть
596,Sinkhorn algorithm,алгоритм Синкхорна
597,Skolem function,функция Сколема
598,Socratic dialogue,беседа сократическая
599,Softmax layer,Слой Softmax
600,Sparse Transformer,разреженный трансформер
601,Sparse reconstruction,разреженная реконструкция
602,Sparsemax,Спарсемакс
603,Spearman correlation,Корреляция Спирмена
604,Spearman rank correlation,коэффициент ранговой корреляции Спирмена
605,Spearman's correlation,Корреляция Спирмена
606,Spearman's correlation coefficient,коэффициент корреляции Спирмена
607,Spearman's rank correlation coefficient,коэффициент ранговой корреляции Спирмена
608,Squared Exponential kernel,квадратично экспоненциальное ядро
609,Stanford Parser,Синтаксический анализатор Стэнфорда
610,Stanford Question Answering Dataset,Стэнфордский набор данных для ответов на вопросы
611,Stanford Sentiment Treebank,Стэнфордское дерево настроений
612,Stanford dependency,Зависимости Стэнфорда
613,Stanford dependency framework,Фреймворк зависимостей Стэнфорда
614,Stanford dependency parser,Стэнфордский парсер зависимостей
615,State-of-the-art,Современный уровень
616,Statistical Machine Translation,Статистический машинный перевод
617,Story Cloze Test,Тест на завершение истории
618,Structure from motion,структура из движения
619,Subgraph,Подграф
620,Submodularity,Субмодулярность
621,Swin-S,Swin-S
622,T5 model,модель T5
623,T5-11B,T5-11B
624,T5-11B model,модель T5-11B
625,T5-Large,T5-Large
626,T5-base,T5-base - T5-base
627,T5-base model,Модель T5-base
628,T5-large model,Модель T5-large
629,Tanh,Tanh
630,Taylor approximation,аппроксимация Тейлора
631,Text Classification,Классификация текста
632,Text Summarization,Резюмирование текста
633,Text-to-Text Transfer Transformer,Трансформер переноса текста в текст
634,Theano,Theano
635,Toeplitz matrix,матрица Тёплица
636,Topic Detection and Tracking,Обнаружение и отслеживание тем
637,Transformer architecture,архитектура трансформера
638,Transformer block,блок трансформера
639,Transformer decoder,декодер трансформера
640,Transformer encoder,энкодер трансформера
641,Transformer-based language model,модель языка на основе трансформера
642,Transformer-based model,модель на основе трансформера
643,Transformer-like,"модель, подобная трансформеру"
644,Traveling Salesman Problem,Задача коммивояжера
645,TreeDST,TreeDST
646,Triggering Model,Модель триггеринга
647,Tucker decomposition,Разложение Такера
648,Turing machine,машина Тьюринга
649,Turing reduction,редукция Тьюринга
650,Turing test,Тест Тьюринга
651,U-statistic,U-статистика
652,Universal dependency,Универсальные зависимости
653,Upper Confidence Bound,Верхняя доверительная граница
654,VALSE,VALSE
655,VFL,VFL
656,Vandermonde matrix,матрица Вандермонда
657,Vertex Cover,Покрытие вершин
658,ViLBERT,ViLBERT
659,Vision Transformer,Vision Transformer
660,Visual Question Answering,Визуальный вопросно-ответный процессинг
661,VisualBERT,VisualBERT
662,Viterbi,Витерби
663,Viterbi algorithm,алгоритм Витерби
664,Viterbi decoding,декодирование по алгоритму Витерби
665,Wasserstein distance,Расстояние Вассерштейна
666,Weibull,Вейбулла
667,Weisfeiler-Lehman test,тест Вейсфейлера-Лемана
668,Wiener process,процесс Винера
669,Wilcoxon signed-rank test,критерий знаковых рангов Уилкоксона
670,Winograd Schema,схема Винограда
671,Winograd Schema Challenge,Задача Винограда
672,Winogrande,Winogrande
673,Woodbury matrix identity,Матричное тождество Вудбери
674,Word Mover's Distance,Расстояние перемещения слов
675,Word2Vec,Word2Vec
676,XLM,XLM
677,XLNet,XLNet
678,Z-score,Z-оценка
679,Zipf,Ципф
680,Zipf distribution,Распределение Ципфа
681,Zipf's law,закон Ципфа
682,abduction,абдукция
683,abductive explanation,абдуктивное объяснение
684,abductive inference,вывод абдуктивный
685,ablation,абляция
686,ablation analysis,абляционный анализ
687,ablation experiment,эксперимент по абляции
688,absolute inconsistency,противоречивость абсолютная
689,absolute scale,шкала абсолютная
690,abstract data type,тип данных абстрактный
691,abstract machine,машина абстрактная
692,abstraction,абстракция
693,abstraction heuristic,эвристика абстракции
694,abstractive summarization,абстрактивное резюмирование
695,accelerated gradient descent,ускоренный градиентный спуск
696,acceptance function,функция принятия
697,acceptance probability,вероятность акцептирования
698,accumulated error,накопленная ошибка
699,accuracy,точность
700,acoustic feature,акустическая характеристика
701,acoustic model,акустическая модель
702,acquisition function,функция приобретения
703,action,действие
704,action classification,классификация действий
705,action embedding,векторное представление действий
706,action recognition,распознавание действий
707,action relation,отношение действия
708,action sequence,последовательность действий
709,action set,множество действий
710,action space,пространство действий
711,action-value function,функция ценности действия
712,actionability,исполняемость
713,activation,активация
714,activation function,функция активации
715,activation matrix,матрица активации
716,activation vector,вектор активации
717,active learning,Активное обучение
718,active learning loop,цикл активного обучения
719,active set,активный набор
720,activity detection,обнаружение активности
721,activity planning,планирование деятельности
722,activity recognition,распознавание активности
723,actor,актор
724,actor critic algorithm,алгоритм актёр-критик
725,actor network,сеть актёра
