Index,English,Japanese
126,CDA,CDA
127,CEAS,CEAS
128,CLIP,CLIP
129,CLS,CLS
130,CONLL,CoNLL
131,CRF,CRF
132,Caltech-101,カルテック-101
133,CamemBERT,CamemBERT
134,Canny detector,キャニー検出器
135,Canny edge detector,キャニーエッジ検出器
136,Chamfer Distance,チャンファー距離
137,Charniak parser,チャーニアックパーサー
138,Chebyshev acceleration,チェビシェフ加速
139,Chebyshev polynomial,チェビシェフ多項式
140,Chernoff bound,チェルノフ境界
141,Cholesky decomposition,コレスキー分解
142,Cholesky factor,コレスキー因子
143,Cholesky factorization,コレスキー因子分解
144,Chomsky normal form,チョムスキー標準形
145,Chu-Liu-Edmonds algorithm,Chu-Liu-Edmonds アルゴリズム
146,Chung-Lu model,Chung-Lu モデル
147,CodeBERT,CodeBERT
148,Cohen's kappa,コーエンのカッパ
149,Cohen's kappa coefficient,コーエンのカッパ係数
150,Cohen's κ,コーエンのκ
151,Combinatory Categorial Grammar,組み合わせ的カテゴリアル文法
152,Commonsense Reasoning,常識推論
153,Compressed sensing,圧縮センシング
154,Computational linguistic,計算言語学
155,Condition 1,条件1
156,Conditional Generation,条件付き生成
157,Condorcet winner,コンドルセ勝者
158,Contrastive Learning,対照学習
159,Coreference Resolution,共参照解決
160,Coreset,コアセット
161,Corpora,コーパス
162,Cosine distance,コサイン距離
163,Counterfactual Regret Minimization,反事実的後悔最小化
164,Cross Entropy Loss,クロスエントロピー損失
165,Datalog,データログ
166,Datalog program,Datalogプログラム
167,Dataset,データセット
168,Decentralized optimization,分散最適化
169,Decision Transformer,デシジョントランスフォーマー
170,Decomposable Attention,分解可能アテンション
171,Decomposable Attention Model,分解可能注意モデル
172,Demographic Parity,デモグラフィックパリティ
174,Detectron,ディテクトロン
175,Determinantal Point process,行列式点過程
177,Dialogue State Tracking,ダイアログ状態追跡
178,Dice coefficient,ダイス係数
179,Dice loss,ダイス損失
180,Dijkstra's algorithm,ダイクストラのアルゴリズム
181,Dirac distribution,ディラック分布
182,Dirac measure,ディラック測度
183,Dirichlet,ディリクレ
184,Dirichlet Process,ディリクレ過程
185,Dirichlet distribution,ディリクレ分布
186,Dirichlet prior,ディリクレ事前分布
187,Disentanglement,分離化
188,Dropout distribution,ドロップアウト分布
189,E-step,Eステップ
190,Elastic Net,エラスティックネット
191,Electra,エレクトラ
193,Entity Linking,エンティティリンク
194,Epanechnikov kernel,エパネチニコフカーネル
195,Euclidean,ユークリッド
196,Euclidean distance,ユークリッド距離
197,Euclidean divergence,ユークリッドダイバージェンス
198,Euclidean loss,ユークリッド損失
199,Euclidean norm,ユークリッドノルム
200,Euclidean plane,ユークリッド平面
201,Euclidean projection,ユークリッド射影
202,Euclidean space,ユークリッド空間
203,Euclidean transformation,ユークリッド変換
204,Euler angle,オイラー角
205,Euler step,オイラーステップ
206,Exact Match,完全一致
207,Extended Kalman Filter,拡張カルマンフィルター
208,F-measure,F値
209,F-score,Fスコア
210,F1 measure,F1スコア
211,F1 metric,F1メトリック
212,F1 score,F1スコア
213,FLR,FLR
214,Fairseq,フェアセク
215,Fano's inequality,ファノの不等式
216,Fast Fourier Transform,高速フーリエ変換
217,FeSTE,FeSTE
218,Feature Pyramid Network,特徴ピラミッドネットワーク
219,Federated Learning,フェデレーテッドラーニング
220,Fisher information matrix,フィッシャー情報行列
221,Fisher score,フィッシャースコア
222,Fleiss' kappa,フレイスのカッパ
223,Floyd-Warshall algorithm,フロイド・ワーシャル・アルゴリズム
224,Focal Loss,フォーカルロス
225,Fokker-Planck equation,フォッカー・プランク方程式
227,Fourier basis function,フーリエ基底関数
228,Fourier coefficient,フーリエ係数
229,Fourier feature,フーリエ特徴
230,Fourier frequency,フーリエ周波数
231,Fourier transform,フーリエ変換
233,Frobenius inner product,フロベニウス内積
234,Frobenius norm,フロベニウスノルム
235,Fréchet,フレーシェ
237,GLUE,GLUE
238,GPT,GPT
239,Gamma prior,ガンマ事前分布
240,Gauss-Newton algorithm,ガウス・ニュートン法
241,Gauss-Seidel method,ガウス・ザイデル法
242,Gaussian blur,ガウスぼかし
243,Gaussian complexity,ガウス複雑性
244,Gaussian component,ガウス成分
245,Gaussian conditional random field,ガウス条件付きランダムフィールド
246,Gaussian density,ガウス密度
247,Gaussian distribution,ガウス分布
248,Gaussian elimination,ガウス消去法
249,Gaussian filter,ガウスフィルタ
250,Gaussian function,ガウス関数
251,Gaussian initialization,ガウス初期化
252,Gaussian kernel,ガウスカーネル
253,Gaussian likelihood,ガウス尤度
254,Gaussian matrix,ガウスマトリックス
255,Gaussian mixture,ガウス混合
256,Gaussian mixture model,ガウス混合モデル
257,Gaussian model,ガウスモデル
258,Gaussian noise,ガウスノイズ
259,Gaussian prior,ガウス事前分布
260,Gaussian process,ガウス過程
261,Gaussian process model,ガウス過程モデル
262,Gaussian process regression,ガウス過程回帰
263,Gaussian random variable,ガウス確率変数
264,Gaussian smoothing,ガウス平滑化
265,Gaussian variable,ガウス変数
266,Gaussian weight,ガウス重み
267,Gene Ontology,ジーンオントロジー
268,Gensim,ゲン
269,Gibbs iteration,ギブス反復
270,Gibbs sampler,ギブスサンプラー
271,Gibbs sampling,ギブスサンプリング
272,Gini coefficient,ジニ係数
273,Good-Turing estimate,グッド・チューリング推定
274,GoogLeNet,グーグルネット
275,Gram matrix,グラム行列
276,Graph Transformer,グラフトランスフォーマー
277,Gröbner basis,グレブナー基底
278,Gumbel,ガンベル
279,Gumbel distribution,ガンベル分布
280,Gumbel noise,ガンベルノイズ
281,Gumbel-softmax distribution,ガンベルソフトマックス分布
282,Haar wavelet,ハールウェーブレット
283,Hadamard matrix,ハダマード行列
284,Hadamard product,ハダマード積
285,Hamiltonian Monte Carlo,ハミルトンモンテカルロ
286,Hamming distance,ハミング距離
287,Hamming loss,ハミング損失
288,Hankel matrix,ハンケル行列
289,Hausdorff distance,ハウスドルフ距離
290,Hedge algorithm,ヘッジアルゴリズム
291,Hellinger distance,ヘリング距離
292,Helmholtz machine,ヘルムホルツマシン
294,Hessian matrix,ヘッセ行列
295,Hessian-vector product,ヘッセ行列-ベクトル積
296,Hiero system,ヒエロシステム
297,Hodge decomposition,ホッジ分解
298,Hoeffding's inequality,ヘフディングの不等式
299,Homography,ホモグラフィ
300,Horn theory,ホーン理論
301,HowTo100M,HowTo100M
302,Huber loss,フーバー・ロス
303,Huber norm,フーバー規範
304,Hungarian loss,ハンガリアン損失
305,Hyper-parameter,ハイパーパラメータ
306,Hyperband,ハイパーバンド
307,Hyperparameter search,ハイパーパラメータ探索
308,ICLR,ICLR
309,IDF,IDF
310,In-context Learning,コンテキスト内学習
311,Inception network,インセプションネットワーク
312,Independent Cascade,独立カスケード
313,Independent Cascade Model,独立カスケードモデル
314,Influence Maximization,影響最大化
315,Information Extraction,情報抽出
316,Informer model,インフォーマーモデル
317,Inside-Outside algorithm,インサイド・アウトサイドアルゴリズム
318,Instance Normalization,インスタンス正規化
319,Ising model,イジングモデル
320,Iverson bracket,アイバーソンブラケット
321,Jaccard,ジャッカード
322,Jaccard index,ジャッカード指数
323,Jaccard similarity,ジャッカード類似度
324,Jaccard similarity coefficient,ジャッカード類似係数
325,Jacobian matrix,ヤコビ行列
326,Jensen's inequality,ヤンセンの不等式
327,Jensen-Shannon,ヤンセン・シャノン
328,Jensen-Shannon divergence,ヤンセン・シャノン発散
329,K-L divergence,K-Lダイバージェンス
330,K-means,K-平均法
331,K-means algorithm,K-平均アルゴリズム
332,K-means clustering,K-平均クラスタリング
333,Kalman filter,カルマンフィルタ
334,Kendall's τ,ケンドールのτ
335,Keras,難しい
336,Kernel,カーネル
337,KinyaBERT,KinyaBERT
338,Kleene closure,クレーネ閉包
339,Kneser-Ney smoothing,クネーザー・ネイ平滑化
340,Kolmogorov-Smirnov test,コルモゴロフ・スミルノフ検定
341,Krippendorff's α,クリッペンドルフのα
342,Kronecker delta,クロネッカーのデルタ
343,Kronecker product,クロネッカー積
344,Kullback Leibler divergence,クルバック・ライブラー発散
345,L 1 -norm,L1ノルム
346,L 1 distance,L1距離
347,L 2 -norm,L2ノルム
348,L 2 distance,L2距離
349,L 2 loss,L2損失
350,L 2 regularization,L2正則化
351,L ∞ norm,L∞ノルム
352,L1 bound,L1バウンド
353,L1 difference,L1差
354,L1 loss,L1損失
355,L1 penalty,L1ペナルティ
356,L1 regularization,L1正則化
357,L1 term,L1項
358,L2 error,L2誤差
359,L2 regularisation,L2正則化
360,L2 regularizer,L2正則化項
361,L2 weight decay,L2重み減衰
362,L2-normalization,L2正規化
363,LXMert,LXMert
364,Lagrange multiplier,ラグランジュ乗数
365,Lagrangian duality,ラグランジュ双対性
366,Lagrangian multiplier,ラグランジュ乗数
367,Lagrangian relaxation,ラグランジュ緩和
368,Lambertian reflectance,ランバート反射率
369,Lanczos iteration,ランチョス反復法
370,Langevin dynamic,ランジュバン動力学
371,Language Modeling Toolkit,言語モデルツールキット
372,Laplace approximation,ラプラス近似
373,Laplace distribution,ラプラス分布
374,Laplace noise,ラプラスノイズ
375,Laplace smoothing,ラプラス平滑化
376,Laplace-Beltrami operator,ラプラス・ベルトラミ演算子
377,Laplacian distribution,ラプラス分布
378,Laplacian matrix,ラプラス行列
379,Laplacian smoothing,ラプラシアン平滑化
380,Lasso,ラッソ
381,Lasso penalty,ラッソペナルティ
382,Lemma,補題
383,Levenberg-Marquardt algorithm,レーベンバーグ-マルカートアルゴリズム
384,Levenshtein distance,レーベンシュタイン距離
385,Levenshtein edit distance,レーベンシュタイン編集距離
386,Lexical Functional Grammar,語彙機能文法
387,Libratus,リブラトゥス
388,Lie algebra,リー代数
389,Likert scale,リッカート尺度
390,LinCE,LinCE
391,Linear Threshold,線形閾値
392,Linear Threshold Model,線形閾値モデル
393,Linear Transformer,リニアトランスフォーマー
394,Linformer,リンフォーマー
395,Lipschitz,リプシッツ
396,Lipschitz constant,リプシッツ定数
397,Lipschitz continuity,リプシッツ連続性
398,Lipschitz continuous,リプシッツ連続
399,Lipschitz function,リプシッツ関数
400,Lipschitzness,リプシッツ性
401,Local Consistency,局所整合性
402,Log Gaussian Cox Process,ログガウスコックス過程
403,Longformer,ロングフォーマー
404,Lucene,ルーセーン
405,Lyapunov function,リャプノフ関数
406,M-estimation,M推定
407,M-step,Mステップ
408,MAWPS,MAWPS
409,MTDNN,MTDNN
410,Machine Comprehension,機械理解
411,Machine Learning Repository,機械学習リポジトリ
412,Machine Reading Comprehension,機械読解
413,Mahalanobis distance,マハラノビス距離
414,Mahalanobis distance function,マハラノビス距離関数
415,Mahalanobis matrix,マハラノビス行列
416,Mahalanobis metric,マハラノビス距離
417,Manhattan distance,マンハッタン距離
418,Marching Cubes,マーチングキューブ
419,Markov,マルコフ
420,Markov assumption,マルコフ仮定
421,Markov blanket,マルコフブランケット
422,Markov chain,マルコフ連鎖
423,Markov chain Monte Carlo,マルコフ連鎖モンテカルロ法
424,Markov chain model,マルコフ連鎖モデル
425,Markov decision process,マルコフ決定過程
426,Markov game,マルコフゲーム
427,Markov kernel,マルコフカーネル
428,Markov logic,マルコフ論理
429,Markov logic network,マルコフ論理ネットワーク
430,Markov model,マルコフモデル
431,Markov network,マルコフネットワーク
432,Markov process,マルコフ過程
433,Markov property,マルコフ性
434,Markov random field,マルコフランダムフィールド
435,Markov state,マルコフ状態
436,Markov transition,マルコフ遷移
437,Markov transition matrix,マルコフ遷移行列
438,Markov's inequality,マルコフの不等式
439,MatConvNet,MatConvNet
440,Matching Network,マッチングネットワーク
441,MathQA,MathQA
442,Matrix factorization,行列分解
443,Matérn kernel,マテーンカーネル
444,Maximum Satisfiability,最大充足可能性
445,Mechanical Turk,メカニカルターク
446,Metropolis Hastings,メトロポリス・ヘイスティングス
447,Metropolis algorithm,メトロポリスアルゴリズム
448,Metropolis method,メトロポリス法
449,Metropolis-Hasting,メトロポリス・ヘイスティングス
450,Metropolis-Hastings acceptance ratio,メトロポリス・ヘイスティングス受容比
451,Metropolis-Hastings algorithm,メトロポリス・ヘイスティングスアルゴリズム
452,Metropolis-Hastings sampler,メトロポリス・ヘイスティングスサンプラー
453,Mixup,ミックスアップ
455,Monotonicity,単調性
456,Monte Carlo,モンテカルロ
457,Monte Carlo Dropout,モンテカルロドロップアウト
458,Monte Carlo algorithm,モンテカルロアルゴリズム
459,Monte Carlo approximation,モンテカルロ近似
460,Monte Carlo estimate,モンテカルロ推定
461,Monte Carlo estimation,モンテカルロ推定
462,Monte Carlo estimator,モンテカルロ推定器
463,Monte Carlo method,モンテカルロ法
464,Monte Carlo sample,モンテカルロサンプル
465,Monte Carlo search,モンテカルロ探索
466,Monte Carlo simulation,モンテカルロシミュレーション
467,Monte Carlo tree search,モンテカルロ木探索
468,Monte-Carlo return,モンテカルロリターン
469,Moore-Penrose pseudo-inverse,ムーア・ペンローズ擬似逆行列
471,Morfessor,モルフェッサー
473,Multi-Task Learning,マルチタスク学習
474,Multidimensional Quality metric,多次元品質指標
475,Multidimensional Scaling,多次元尺度法
476,Multiple Choice,多肢選択
477,NLI,NLI
478,NLP,自然言語処理
479,Nadaraya-Watson estimator,ナダラヤ・ワトソン推定量
480,Nash equilibria,ナッシュ均衡
481,Nash welfare,ナッシュ福祉
482,Natural Language Inference,自然言語推論
483,Natural Language Understanding,自然言語理解
484,Natural question,ナチュラルクエスチョン
485,Naïve Bayes,ナイーブベイズ
486,Nesterov momentum,ネステロフモメンタム
487,Neural Information Processing Systems,神経情報処理システム
488,Neural Radiance field,ニューラル放射場
489,Neural volume,ニューラルボリューム
490,Newton method,ニュートン法
491,Newton's method,ニュートン法
492,Nom-Bank,ノンバンク
493,Non-maximum suppression,非最大抑制
494,Nucleus Sampling,ニュクレウスサンプリング
495,Nyström approximation,ニューストローム近似
496,OOV,OOV
497,Object Localization,物体位置特定
498,Open Information Extraction,オープン情報抽出
499,Optimization Problem,最適化問題
500,Ornstein-Uhlenbeck,オルンシュタイン-ウーレンベック
501,PaLM,PaLM
502,Pareto dominated,パレート支配
503,Pareto frontier,パレートフロンティア
504,Pareto optimal,パレート最適
505,Pareto optimality,パレート最適性
506,Pareto-efficient,パレート効率的
507,Partially Observable Markov Decision Process,部分観測マルコフ決定過程
508,Parzen window,パルゼンウィンドウ
509,Pearson correlation,ピアソンの相関
510,Pearson correlation coefficient,ピアソンの相関係数
511,Pearson's correlation,ピアソンの相関
512,Pearson's correlation coefficient,ピアソンの相関係数
513,Pearson's r,ピアソンのr
514,Pearson's r correlation,ピアソンのr相関
515,Penn English Treebank,ペン・イングリッシュ・ツリーバンク
516,Penn Treebank corpus,ペン・ツリーバンク・コーパス
517,Perron-Frobenius theorem,ペロン・フロベニウス定理
518,Pinsker's inequality,ピンスカーの不等式
519,Pitman-Yor Process,ピットマン・ヨール過程
520,Platt scaling,プラットスケーリング
521,Pointwise Mutual Information,ポイントワイズ相互情報量
522,Poisson distribution,ポアソン分布
523,Poisson matting,ポアソンマッティング
524,Poisson model,ポアソンモデル
525,Poisson point process,ポアソン点過程
526,Poisson process,ポアソン過程
527,Poisson random variable,ポアソンランダム変数
528,Poisson rate,ポアソン率
529,Poisson regression,ポアソン回帰
530,Poisson sampling,ポアソンサンプリング
531,Potts model,ポッツモデル
532,Prop-Bank,プロップバンク
533,Proposition,命題
534,Proximal Policy Optimization,近接方策最適化
535,PubMed,PubMed
536,Py-Torch,PyTorch
537,Q function,Q関数
538,Q value,Q値
539,Q-learning,Q学習
540,Q-network,Qネットワーク
541,QA,QA
542,QED,QED
543,QUOREF,QUOREF
544,Quality Estimation,品質推定
545,Query expansion,クエリ拡張
546,Question Answering,質問応答
547,R-Precision,R-精度
548,REALM,REALM
549,RGF,RGF
550,RNSum,RNSum
551,ROUGE,ROUGE
552,Rademacher average,ラデマッハー平均
553,Rademacher complexity,ラデマッハー複雑性
554,Radon-Nikodym derivative,ラドン–ニコディム導関数
555,Random Forest classifier,ランダムフォレスト分類器
556,Rao-Blackwellization,ラオ-ブラックウェル化
557,Reading Comprehension,読解力
558,Receiver Operating Characteristic Curve,受信者動作特性曲線
559,Recognizing Textual Entailment,テキスト含意認識
560,Recurrent layer,再帰層
561,Reformer,リフォーマー
562,Regressor,回帰器
563,ResNeXt,レスネクスト
564,Retrieval-Augmented Generation,検索拡張生成
565,Rhetorical Structure Theory,修辞構造理論
566,Riemannian geometry,リーマン幾何学
567,Riemannian gradient,リーマン勾配
568,Riemannian manifold,リーマン多様体
569,Robertson-Webb model,ロバートソン＝ウェッブモデル
570,Routing Transformer,ルーティングトランスフォーマー
571,Runge-Kutta,ルンゲ＝クッタ法
572,Runge-Kutta method,ルンゲ・クッタ法
573,Rényi entropy,レンyiエントロピー
574,S node,Sノード
575,S-expression,S式
576,SMCalFlow,SMCalFlow
577,SUTD,SUTD
578,SVAMP,SVAMP
579,Schur complement,シュアの補数
580,Scikit-learn,Scikit-learn
581,Self-supervised learning,自己教師あり学習
583,Semantic Scholar,セマンティック・スカラー
584,Semantic Web,セマンティックウェブ
585,Sentence-Piece,SentencePiece
586,Seq2Seq,シーケンス 2 シーケンス
587,Set Cover,セットカバー
588,Shannon entropy,シャノンエントロピー
589,Sherman-Morrison formula,シャーマン・モリソンの公式
590,Sherman-Morrison-Woodbury formula,シャーマン・モリソン・ウッドベリーの公式
591,Siamese architecture,シャムネットワークアーキテクチャ
592,Siamese network,シャムネットワーク
594,Sinkhorn algorithm,シンクホーンアルゴリズム
595,Softmax layer,ソフトマックス層
596,Sparse Transformer,スパーストランスフォーマー
597,Sparse reconstruction,スパース再構成
598,Sparsemax,スパースマックス
599,Spearman correlation,スピアマン相関
600,Spearman rank correlation,スピアマン順位相関
601,Spearman's correlation,スピアマンの相関
602,Spearman's correlation coefficient,スピアマンの相関係数
603,Spearman's rank correlation coefficient,スピアマンの順位相関係数
604,Squared Exponential kernel,二乗指数カーネル
605,Stanford Parser,スタンフォードパーサー
606,Stanford Question Answering Dataset,スタンフォード質問応答データセット
607,Stanford Sentiment Treebank,スタンフォード感情ツリーバンク
608,Stanford dependency,スタンフォード依存関係
609,Stanford dependency framework,スタンフォード依存関係フレームワーク
610,Stanford dependency parser,スタンフォード依存構文解析器
611,State-of-the-art,最先端
612,Statistical Machine Translation,統計的機械翻訳
613,Story Cloze Test,ストーリークローズテスト
614,Structure from motion,動きからの構造
615,Subgraph,サブグラフ
616,Submodularity,サブモジュラリティ
617,Swin-S,スウィンS
618,T5 model,T5モデル
619,T5-11B,T5-11B
620,T5-11B model,T5-11Bモデル
621,T5-Large,T5-ラージ
622,T5-base,T5ベース
623,T5-base model,T5ベースモデル
624,T5-large model,T5-largeモデル
625,Tanh,双曲線正接
626,Taylor approximation,テイラー近似
627,Text Classification,テキスト分類
628,Text Summarization,テキスト要約
629,Text-to-Text Transfer Transformer,テキスト・ツー・テキスト転送トランスフォーマー
630,Theano,テアノ
632,Toeplitz matrix,トプリッツ行列
633,Topic Detection and Tracking,トピック検出と追跡
634,Transformer architecture,トランスフォーマーアーキテクチャ
635,Transformer block,トランスフォーマーブロック
636,Transformer decoder,トランスフォーマーデコーダ
637,Transformer encoder,トランスフォーマーエンコーダ
638,Transformer-based language model,トランスフォーマーベースの言語モデル
639,Transformer-based model,トランスフォーマーベースのモデル
640,Transformer-like,トランスフォーマー的
641,Traveling Salesman Problem,巡回セールスマン問題
642,TreeDST,TreeDST
643,Triggering Model,トリガーモデル
644,Tucker decomposition,タッカー分解
645,Turing machine,チューリングマシン
646,Turing reduction,チューリング還元
647,Turing test,チューリングテスト
648,U-statistic,U統計量
649,Universal dependency,ユニバーサル依存関係
650,Upper Confidence Bound,上限信頼区間
651,VALSE,VALSE
652,VFL,VFL
653,Vandermonde matrix,ヴァンデルモンデ行列
654,Vertex Cover,頂点被覆
655,ViLBERT,ViLBERT
656,Vision Transformer,ビジョントランスフォーマー
657,Visual Question Answering,ビジュアル質問応答
658,VisualBERT,VisualBERT
659,Viterbi,ビタビ
660,Viterbi algorithm,ビタビアルゴリズム
661,Viterbi decoding,ビタビ復号
662,Wasserstein distance,ワッサースタイン距離
663,Weibull,ワイブル
664,Weisfeiler-Lehman test,ワイスフェイラー＝レーマンテスト
665,Wiener process,ウィーナー過程
667,Wilcoxon signed-rank test,ウィルコクソンの符号付き順位検定
668,Winograd Schema,ウィノグラードスキーマ
669,Winograd Schema Challenge,ウィノグラードスキーマチャレンジ
670,Winogrande,ウィノグランデ
671,Woodbury matrix identity,ウッドベリー行列恒等式
672,Word Mover's Distance,ワードムーバー距離
673,Word2Vec,Word2Vec
674,XLM,XLM
675,XLNet,XLNet
676,Z-score,Zスコア
677,Zipf,ジップフ
678,Zipf distribution,ジップフ分布
679,Zipf's law,ジップフの法則
680,abductive explanation,アブダクティブ説明
681,ablation,アブレーション
682,ablation analysis,アブレーション分析
683,ablation experiment,アブレーション実験
684,abstraction,抽象化
685,abstraction heuristic,抽象ヒューリスティック
686,abstractive summarization,抽象的要約
687,accelerated gradient descent,加速勾配降下法
688,acceptance function,受容関数
689,acceptance probability,受容確率
690,accumulated error,累積誤差
691,accuracy,精度
693,acoustic feature,音響特徴
694,acoustic model,音響モデル
695,acquisition function,獲得関数
696,action classification,アクション分類
697,action embedding,アクション埋め込み
698,action recognition,アクション認識
699,action sequence,アクションシーケンス
700,action set,アクションセット
701,action space,行動空間
702,action-value function,行動価値関数
703,actionability,アクショナビリティ
704,activation,活性化
705,activation function,活性化関数
706,activation matrix,活性化行列
707,activation vector,活性化ベクトル
708,active learning,アクティブラーニング
709,active learning loop,アクティブラーニングループ
710,active set,アクティブセット
711,activity detection,活動検出
712,activity recognition,活動認識
713,actor,アクター
714,actor critic algorithm,アクター・クリティックアルゴリズム
715,actor network,アクターネットワーク
716,actor-critic framework,アクター・クリティックフレームワーク
717,actor-critic method,アクター・クリティック法
718,adapter-based fine-tuning,アダプターベースのファインチューニング
719,adaptive boosting algorithm,アダプティブブースティングアルゴリズム
720,adaptive thresholding,適応的しきい値処理
721,additive Gaussian noise,加法的ガウスノイズ
722,additive noise,加法ノイズ
723,adjacency,隣接性
724,adjacency matrix,隣接行列
725,advantage function,アドバンテージ関数
726,advcl,副詞節
728,adversarial attack,敵対的攻撃
729,adversarial dataset,敵対的データセット
730,adversarial example,敵対的例
731,adversarial filtering,敵対的フィルタリング
732,adversarial input,敵対的入力
733,adversarial learning,敵対的学習
734,adversarial loss,敵対的損失
735,adversarial network,敵対的ネットワーク
736,adversarial perturbation,敵対的摂動
737,adversarial prompt,敵対的プロンプト
738,adversarial robustness,敵対的ロバスト性
739,adversarial training,敵対的訓練
740,adversary,敵対者
741,advmod,advmod
742,affine,アフィン
743,affine subspace,アフィン部分空間
744,affine transform,アフィン変換
745,affine transformation,アフィン変換
746,affinity matrix,アフィニティ行列
747,affinity measure,親和性の尺度
748,agent architecture,エージェントアーキテクチャ
749,agent learning,エージェント学習
750,agent policy,エージェントポリシー
751,agent's policy,エージェントのポリシー
752,agent-based model,エージェントベースモデル
753,aggregate function,集約関数
754,aggregation,集約
755,aggregation function,集約関数
756,aleatoric uncertainty,アレアトリック不確実性
758,algorithm class,アルゴリズムクラス
759,algorithm design,アルゴリズム設計
760,algorithmic approach,アルゴリズム的アプローチ
761,algorithmic bias,アルゴリズム的バイアス
762,algorithmic fairness,アルゴリズム的公正性
