Index,English,French
148,Berkeley parser,analyseur Berkeley
149,Berkeley segmentation dataset,jeu de données de segmentation de Berkeley
150,Berlekamp's algorithm,algorithme de Berlekamp
151,Bernoulli,Bernoulli
152,Bernoulli distribution,distribution de Bernoulli
153,Bernoulli likelihood,vraisemblance de Bernoulli
154,Bernoulli random variable,variable aléatoire de Bernoulli
155,Bernoulli sampling,échantillonnage de Bernoulli
156,Bernoulli trial,essai de Bernoulli
157,Bernoulli variable,variable de Bernoulli
158,Bernstein's inequality,inégalité de Bernstein
159,Bernstein–Von Mises theorem,théorème de Bernstein-von Mises
160,BertViz,BertViz
161,Bethe approximation,approximation de Bethe
162,Bhattacharyya coefficient,coefficient de Bhattacharyya
163,Bhattacharyya's distance,distance de Bhattacharyya
164,BigQuery,BigQuery
165,Bloom filter,filtre de Bloom
166,Boltzmann distribution,distribution de Boltzmann
167,Boltzmann exploration,exploration de Boltzmann
168,Boltzmann machine,machine de Boltzmann
169,Bonferroni correction,correction de Bonferroni
170,Boolean formula,formule booléenne
171,Boolean function,fonction booléenne
172,Boolean satisfiability problem,problème de satisfaisabilité booléenne
173,Boolean variable,variable booléenne
174,Borda scores,scores de Borda
175,Bradley-Terry Model,Modèle Bradley-Terry
176,Branch and Bound,Méthode de Branch and Bound
177,Bregman divergence,divergence de Bregman
178,Bregman's method,méthode de Bregman
179,Bresenham's line algorithm,algorithme de tracé de segment de Bresenham
180,BrownBoost,BrownBoost
181,Broyden-Fletcher-Goldfarb-Shanno method,méthode de Broyden-Fletcher-Goldfarb-Shanno
182,Bruceton method,méthode de Bruceton
183,Bundle adjustment,ajustement de faisceau
184,Byte-Pair Encoding,codage par paires de bytes
185,C4.5 algorithm,algorithme C4.5
186,CAP theorem,théorème CAP
187,CAPTCHA,CAPTCHA
188,CAS,CAS
189,CBOW algorithm,algorithme CBOW
190,CDA,CDA
191,CEAS,CEAS
192,CHAID,CHAID
193,CLIP,CLIP
194,CLIQUE clustering,algorithme CLIQUE
195,CLS,CLS
196,CMOS,CMOS
197,CN2 algorithm,algorithme CN2
198,COCO dataset,base de données COCO
199,CONLL,CoNLL
200,CRF,CRF
201,CUSUM procedures,procédures de carte de contrôle des sommes cumulées
202,Caffe,Caffe
203,Caltech-101,Caltech-101
204,CamemBERT,CamemBERT
205,Canny detector,détecteur de Canny
206,Canny edge detector,détecteur de contours de Canny
207,Cauchy distribution,loi de Cauchy
208,Cauchy-Schwarz inequality,inégalité de Cauchy-Bunyakovski-Schwarz
209,Chamfer Distance,Distance de Chamfer
210,Charniak parser,analyseur Charniak
211,ChatGPT,ChatGPT
212,Chauvenet's criterion,test de Chauvenet
213,Chebyshev acceleration,accélération de Chebyshev
214,Chebyshev polynomial,polynôme de Chebyshev
215,Chernoff bound,borne de Chernoff
216,Chinese room argument,argument de la chambre chinoise
217,Cholesky decomposition,décomposition de Cholesky
218,Cholesky factor,facteur de Cholesky
219,Cholesky factorization,factorisation de Cholesky
220,Chomsky hierarchy,hiérarchie de Chomsky
221,Chomsky normal form,forme normale de Chomsky
222,Chu-Liu-Edmonds algorithm,algorithme de Chu-Liu-Edmonds
223,Chung-Lu model,modèle de Chung-Lu
224,Cochran's Q-test,critère de Cochran
225,Cochran-Mantel-Haenzel test,test du χ² de CMH
226,CodeBERT,CodeBERT
227,Cohen's kappa,kappa de Cohen
228,Cohen's kappa coefficient,coefficient kappa de Cohen
229,Cohen's κ,κ de Cohen
230,Cohen-Grossberg neural networks model,réseaux neuronaux de Cohen et Grossberg
231,Cohen-Lynch-Riesenfel algorithm,algorithme de Cohen-Lynch-Riesenfel
232,Combinatory Categorial Grammar,Grammaire catégorielle combinatoire
233,Commonsense Reasoning,raisonnement de bon sens
234,Compressed sensing,sensing compressé
235,Computational linguistic,linguistique computationnelle
236,Condition 1,Condition 1
237,Conditional Generation,génération conditionnelle
238,Condorcet winner,gagnant de Condorcet
239,Contrastive Learning,apprentissage contrastif
240,Coppersmith–Winograd algorithm,algorithme de Coppersmith-Winograd
241,Coreference Resolution,Résolution de coréférence
242,Coreset,Coreset
243,Corpora,Corpus
244,Cosine distance,distance cosinus
245,Counterfactual Regret Minimization,Minimisation du regret contrefactuel
246,Cover's theorem,Théorème de Cover
247,Cox model,modèle de Cox
248,Cox regression model,modèle de vraisemblance partielle
249,Cox's theorem,théorème de Cox
250,Cromwell’s rule,la règle de Cromwell
251,Cross Entropy Loss,Perte d'Entropie Croisée
252,DALL-E,DALL-E
253,DBSCAN,DBSCAN
254,Dartmouth workshop,la conférence de Dartmouth
255,Datalog,Datalog
256,Datalog program,programme Datalog
257,Dataset,ensemble de données
258,De Casteljau's algorithm,algorithme de de Casteljau
259,Decentralized optimization,optimisation décentralisée
260,Decision Transformer,Transformateur de décision
261,Decomposable Attention,Attention décomposable
262,Decomposable Attention Model,Modèle d'Attention Décomposable
263,Deep Blue,Deep Blue
264,DeepMind,DeepMind
265,Dehaene–Changeux model,modèle Dehaene-Changeux
266,Dekker's algorithm,algorithme de Dekker
267,Delaunay triangulation,triangulation de Delaunay
268,Demographic Parity,Parité Démographique
269,Dempster-Shafer theory,théorie de Dempster-Shafer
270,Dendral,Dendral
272,Detectron,Detectron
273,Determinantal Point process,Processus de point déterminantal
275,Dialogue State Tracking,Suivi de l'état du dialogue
276,Dice coefficient,Coefficient de Dice
277,Dice loss,Perte de Dice
278,Dijkstra's algorithm,algorithme de Dijkstra
279,Dirac distribution,Distribution de Dirac
280,Dirac measure,mesure de Dirac
281,Dirichlet,Dirichlet
282,Dirichlet Process,processus de Dirichlet
283,Dirichlet distribution,distribution de Dirichlet
284,Dirichlet prior,prior de Dirichlet
285,Disentanglement,Démêlage
286,Docker container,conteneur Docker
287,Dropout distribution,distribution de Dropout
288,E-step,étape E
289,ELIZA,ELIZA
290,ELIZA effect,effet ELIZA
291,Eclat algorithm,algorithme Eclat
292,Elastic Net,régularisation elastic net
293,Electra,Electra
295,Entity Linking,Liaison d'entités
296,Epanechnikov kernel,noyau d'Épanechnikov
297,Euclidean,euclidien
298,Euclidean distance,distance euclidienne
299,Euclidean divergence,divergence euclidienne
300,Euclidean loss,perte euclidienne
301,Euclidean norm,norme euclidienne
302,Euclidean plane,plan euclidien
303,Euclidean projection,projection euclidienne
304,Euclidean space,espace euclidien
305,Euclidean transformation,transformation euclidienne
306,Euler angle,angle d'Euler
307,Euler step,étape d'Euler
308,Exact Match,Correspondance exacte
309,Extended Kalman Filter,filtre de Kalman étendu
310,F-distribution,distribution de F
311,F-measure,mesure F
312,F-score,score F
313,F-test,test F
314,F1 measure,mesure F1
315,F1 metric,métrique F1
316,F1 score,mesure F1
317,F1-score,mesure F
318,FLR,FLR
319,FP-growth algorithm,algorithme FP-growth
320,Faddeev–LeVerrier algorithm,algorithme de Faddeev-Leverrier
321,Fairseq,Fairseq
322,Fano's inequality,inégalité de Fano
323,Fast Fourier Transform,Transformée de Fourier rapide
324,FastICA,FastICA
325,FastText,FastText
326,FeSTE,FeSTE
327,Feature Pyramid Network,Réseau de pyramide de caractéristiques
328,Federated Learning,apprentissage fédéré
329,Fisher information matrix,Matrice d'information de Fisher
330,Fisher score,score de Fisher
331,Fisher's method,méthode de Fisher
332,Fleiss' kappa,kappa de Fleiss
333,Floyd Warshall algorithm,algorithme de Floyd-Warshall
334,Floyd-Warshall algorithm,algorithme de Floyd-Warshall
335,Floyd’s cycle finding algorithm,algorithme de détection de cycle de Floyd
336,Focal Loss,Focal Loss
337,Fokker-Planck equation,équation de Fokker-Planck
339,Ford-Fulkerson algorithm,algorithme de Ford-Fulkerson
340,Fourier basis function,fonction de base de Fourier
341,Fourier coefficient,coefficient de Fourier
342,Fourier feature,caractéristique de Fourier
343,Fourier frequency,fréquence de Fourier
344,Fourier transform,transformée de Fourier
345,Frank-Wolfe algorithm,algorithme de Frank-Wolfe
346,Freivalds' algorithm,algorithme de Freivalds
348,Frobenius inner product,produit intérieur de Frobenius
349,Frobenius norm,norme de Frobenius
350,Fréchet,Fréchet
352,GLUE,GLUE
353,GPT,GPT
354,GPT-3,GPT-3
355,GPT-4,GPT-4
356,Galton-Watson process,processus de Galton-Watson
357,Gamma prior,a priori Gamma
358,Gartner hype cycle,cycle d'engouement de Gartner
359,Gauss-Newton algorithm,algorithme de Gauss-Newton
360,Gauss-Seidel method,méthode de Gauss-Seidel
361,Gaussian blur,flou gaussien
362,Gaussian complexity,complexité gaussienne
363,Gaussian component,composant gaussien
364,Gaussian conditional random field,champ aléatoire conditionnel gaussien
365,Gaussian density,densité gaussienne
366,Gaussian distribution,loi de Laplace-Gauss
367,Gaussian elimination,élimination gaussienne
368,Gaussian filter,filtre gaussien
369,Gaussian function,fonction gaussienne
370,Gaussian initialization,initialisation gaussienne
371,Gaussian kernel,noyau gaussien
372,Gaussian likelihood,vraisemblance gaussienne
373,Gaussian matrix,matrice gaussienne
374,Gaussian mixture,mélange gaussien
375,Gaussian mixture model,modèle de mélange gaussien
376,Gaussian model,modèle gaussien
377,Gaussian noise,bruit gaussien
378,Gaussian prior,prior gaussien
379,Gaussian process,processus gaussien
380,Gaussian process model,modèle de processus gaussien
381,Gaussian process regression,régression par processus gaussien
382,Gaussian random variable,variable aléatoire gaussienne
383,Gaussian smoothing,lissage gaussien
384,Gaussian variable,variable gaussienne
385,Gaussian weight,poids gaussien
386,Gene Ontology,Ontologie des gènes
387,Gensim,Gensim
388,Gibbs iteration,Itération de Gibbs
389,Gibbs sampler,échantillonneur de Gibbs
390,Gibbs sampling,échantillonnage de Gibbs
391,Gini coefficient,coefficient de Gini
392,Glivenko–Cantelli theorem,théorème de Glivenko-Cantelli
393,GloVe,GloVe
394,Good-Turing estimate,estimation de Good-Turing
395,GoogLeNet,GoogLeNet
396,Google Brain,Google Brain
397,Gram matrix,matrice de Gram
398,Graph Transformer,transformateur de graphes
399,GrowCut algorithm,algorithme GrowCut
400,Gröbner basis,base de Gröbner
401,Gumbel,Gumbel
402,Gumbel distribution,distribution de Gumbel
403,Gumbel noise,bruit de Gumbel
404,Gumbel-softmax distribution,distribution de Gumbel-softmax
405,H-infinity,hinfini
406,Haar wavelet,ondelette de Haar
407,Haar-like features,caractéristiques pseudo-Haar
408,Hadamard matrix,matrice de Hadamard
409,Hadamard product,produit de Hadamard
410,Hadoop,Hadoop
411,Hadoop cluster,Grappe Hadoop
412,Hamiltonian Monte Carlo,Monte Carlo Hamiltonien
413,Hamming distance,distance de Hamming
414,Hamming loss,perte de Hamming
415,Hankel matrix,matrice de Hankel
416,Hausdorff distance,distance de Hausdorff
417,Hebb's theory,postulat de Hebb
418,Hedge algorithm,algorithme Hedge
419,Hellinger distance,distance de Hellinger
420,Helmholtz machine,machine de Helmholtz
422,Herbrand universe,univers de Herbrand
423,Hessian matrix,matrice Hessienne
424,Hessian-vector product,produit Hessien-vecteur
425,Hick's law,loi de Hick
426,Hick–Hyman law,loi de Hick-Hyman
427,Hiero system,système Hiero
428,Hodge decomposition,décomposition de Hodge
429,Hoeffding's inequality,inégalité de Hoeffding
430,Holt-Winters forecasting,prévision Holt-Winters
431,Homography,homographie
432,Horn clause,clause de Horn
433,Horn theory,théorie de Horn
434,Hough transform,transformée de Hough
435,HowTo100M,HowTo100M
436,Huber loss,perte de Huber
437,Huber norm,norme de Huber
438,Huffman coding,codage de Huffman
439,Hugging Face,Hugging Face
440,Hungarian loss,perte hongroise
441,Hurst coefficient,coefficient de Hurst
442,Hyper-parameter,hyperparamètre
443,Hyperband,Hyperband
444,Hyperparameter search,recherche d'hyperparamètres
445,ICLR,ICLR
446,ID3,algorithme ID3
447,IDF,IDF
448,ImageNet,ImageNet
449,In-context Learning,Apprentissage en contexte
450,Inception model,modèle Inception
451,Inception network,Réseau Inception
452,Independent Cascade,Cascade indépendante
453,Independent Cascade Model,Modèle de Cascade Indépendante
454,Influence Maximization,Maximisation de l'Influence
455,Information Extraction,Extraction d'Information
456,Informer model,modèle Informer
457,Inside-Outside algorithm,algorithme Inside-Outside
458,Instance Normalization,normalisation d'instance
459,IoMT,internet des objets médicaux
460,IoT gateway,passerelle IDO
461,Ising model,modèle d'Ising
462,Iverson bracket,crochet d'Iverson
463,JPEG,JPEG
464,Jaccard,Jaccard
465,Jaccard index,indice de Jaccard
466,Jaccard similarity,similarité de Jaccard
467,Jaccard similarity coefficient,coefficient de similarité de Jaccard
468,Jacobian matrix,matrice jacobienne
469,Jensen's inequality,inégalité de Jensen
470,Jensen-Shannon,Jensen-Shannon
471,Jensen-Shannon divergence,divergence de Jensen-Shannon
472,Jupyter notebooks,Jupyter notebooks
473,K-L divergence,divergence K-L
474,K-means,algorithme des k-moyennes
475,K-means algorithm,algorithme K-means
476,K-means clustering,partitionnement en k-moyennes
477,KL-ONE,KL-ONE
478,KNIME,KNIME
479,Kaggle,Kaggle
480,Kalman filter,filtrage de Kalman
481,Karmarkar algorithm,algorithme de Karmarkar
482,Karush–Kuhn–Tucker conditions,conditions de Karush-Kuhn-Tucker
483,Kendall rank correlation coefficient,coefficient de corrélation des rangs de Kendall
484,Kendall's notation,notation de Kendall
485,Kendall's τ,τ de Kendall
486,Keras,Keras
487,Kernel,noyau
488,KinyaBERT,KinyaBERT
489,Kleene closure,fermeture de Kleene
490,Kleene star,étoile de Kleene
491,Kneser-Ney smoothing,lissage de Kneser-Ney
492,Kohonen networks,Réseaux de Kohonen
493,Kolmogorov-Smirnov test,test de Kolmogorov-Smirnov
494,Kolmogorov–Arnold network,Réseau de Kolmogorov–Arnold
495,Krippendorff's α,α de Krippendorff
496,Kronecker delta,delta de Kronecker
497,Kronecker product,produit de Kronecker
498,Kruskal Wallis test,ANOVA à un facteur contrôlé sur rangs
499,Kubeflow,Kubeflow
500,Kullback Leibler divergence,divergence de Kullback-Leibler
501,Kullback–Leibler divergence,entropie relative
502,L 1 -norm,norme L 1
503,L 1 distance,distance L 1
504,L 2 -norm,norme L 2
505,L 2 distance,distance L 2
506,L 2 loss,perte L 2
507,L 2 regularization,régularisation L2
508,L ∞ norm,norme L∞
509,L-estimator,estimateur L
510,L1 bound,borne L1
511,L1 difference,différence L1
512,L1 loss,perte L1
513,L1 penalty,pénalité L1
514,L1 regularization,régularisation L1
515,L1 term,terme L1
516,L2 error,erreur L2
517,L2 regularisation,régularisation L2
518,L2 regularization,régularisation L2
519,L2 regularizer,régularisateur L2
520,L2 weight decay,décroissance de poids L2
521,L2-normalization,normalisation L2
522,LIDAR,télédétection par laser
523,LLaMA,LLaMA
524,LLaMA 2,LlaMA 2
525,LXMert,LXMert
526,LaMDA,LaMDA
527,Lagrange multiplier,multiplicateur de Lagrange
528,Lagrangian duality,dualité lagrangienne
529,Lagrangian multiplier,multiplicateur de Lagrange
530,Lagrangian relaxation,relaxation lagrangienne
531,Lambertian reflectance,réflectance lambertienne
532,Lamport's bakery algorithm,algorithme de la boulangerie
533,Lanczos iteration,itération de Lanczos
534,Langevin dynamic,dynamique de Langevin
535,Language Modeling Toolkit,boîte à outils de modélisation du langage
536,Laplace approximation,approximation de Laplace
537,Laplace distribution,distribution doublement exponentielle
538,Laplace noise,bruit de Laplace
539,Laplace smoothing,lissage de Laplace
540,Laplace-Beltrami operator,opérateur de Laplace-Beltrami
541,Laplacian distribution,distribution de Laplace
542,Laplacian matrix,matrice de Laplace
543,Laplacian smoothing,lissage laplacien
544,Las Vegas algorithm,algorithme de Las Vegas
545,Lasso,Lasso
546,Lasso penalty,pénalité Lasso
547,Leabra,Leabra
548,Lemma,Lemme
549,Levenberg-Marquardt algorithm,algorithme de Levenberg-Marquardt
550,Levenshtein distance,distance d'édition
551,Levenshtein edit distance,distance d'édition de Levenshtein
552,Lexical Functional Grammar,Grammaire fonctionnelle lexicale
553,Libratus,Libratus
554,Lie algebra,algèbre de Lie
555,Likert scale,échelle de Likert
556,Lin-Kernighan heuristic,heuristique de Lin-Kernighan
557,LinCE,LinCE
558,Linde–Buzo–Gray algorithm,algorithme de Linde–Buzo–Gray
559,Lindley's paradox,paradoxe de Jeffreys-Lindley
560,Linear Threshold,seuil linéaire
561,Linear Threshold Model,modèle de seuil linéaire
562,Linear Transformer,Transformateur Linéaire
563,Linformer,Linformer
564,Lipschitz,Lipschitz
565,Lipschitz constant,constante de Lipschitz
566,Lipschitz continuity,continuité de Lipschitz
567,Lipschitz continuous,Lipschitzienne
568,Lipschitz function,fonction de Lipschitz
569,Lipschitzness,Lipschitzianité
570,Lisp,Lisp
571,Local Consistency,Consistance locale
572,Log Gaussian Cox Process,Processus de Cox Log-Gaussien
573,LogitBoost,LogitBoost
574,Longformer,Longformer
575,Lucene,Lucene
576,Lyapunov function,fonction de Lyapunov
577,M-estimation,M-estimation
578,M-step,étape M
579,MATLAB,MATLAB
580,MAWPS,MAWPS
581,ML sensor,capteur ML
582,MLOps,OpérAA
583,MNIST,MNIST
584,MNIST database,base de données MNIST
585,MTDNN,MTDNN
586,Machine Comprehension,Compréhension automatique
587,Machine Learning Repository,Répertoire d'apprentissage automatique
588,Machine Reading Comprehension,Compréhension automatique de texte
589,Mahalanobis distance,distance de Mahalanobis
590,Mahalanobis distance function,Fonction de distance de Mahalanobis
591,Mahalanobis matrix,matrice de Mahalanobis
592,Mahalanobis metric,métrique de Mahalanobis
593,Manhattan distance,distance de Manhattan
594,Mann-Whitney U test,test de Wilcoxon-Mann-Whitney
595,Mann-Whitney test,test de Mann-Whitney
596,MapReduce,MapReduce: diviser-traiter-regrouper
597,Marching Cubes,Marching Cubes
598,Markov,Markov
599,Markov assumption,Hypothèse de Markov
600,Markov blanket,couverture de Markov
601,Markov chain,chaîne de Markov
602,Markov chain Monte Carlo,méthode de Monte-Carlo par chaînes de Markov
603,Markov chain model,modèle de chaîne de Markov
604,Markov decision process,processus de décision de Markov
605,Markov game,jeu de Markov
606,Markov kernel,noyau de Markov
607,Markov logic,logique de Markov
608,Markov logic network,réseau de logique de Markov
609,Markov model,modèle de Markov
610,Markov network,réseau de Markov
611,Markov process,processus markovien
612,Markov property,propriété de Markov
613,Markov random field,champ aléatoire de Markov
614,Markov state,état de Markov
615,Markov transition,transition de Markov
616,Markov transition matrix,matrice de transition de Markov
617,Markov's inequality,inégalité de Markov
618,MatConvNet,MatConvNet
619,Matching Network,Réseau de correspondance
620,MathQA,MathQA
621,Matrix factorization,Factorisation de matrice
622,Matérn kernel,Noyau de Matérn
623,Maximum Satisfiability,Satisfiabilité Maximale
624,McCulloch-Pitts neuron,neurone artificiel de McCulloch et Pitts
625,Mechanical Turk,Turc mécanique
626,Metropolis Hastings,Méthode de Metropolis-Hastings
627,Metropolis algorithm,algorithme de Metropolis
628,Metropolis method,méthode de Metropolis
629,Metropolis-Hasting,Metropolis-Hastings
630,Metropolis-Hastings acceptance ratio,ratio d'acceptation de Metropolis-Hastings
631,Metropolis-Hastings algorithm,algorithme de Metropolis-Hastings
632,Metropolis-Hastings sampler,échantillonneur de Metropolis-Hastings
633,Mexican-hat function,fonction du chapeau mexicain
634,Microsoft Cognitive Toolkit,CNTK
635,Mixup,Mixup
637,Monotonicity,Monotonie
638,Monte Carlo,Monte Carlo
639,Monte Carlo Dropout,Monte Carlo Dropout
640,Monte Carlo algorithm,algorithme de Monte Carlo
641,Monte Carlo approximation,approximation de Monte Carlo
642,Monte Carlo estimate,estimation de Monte Carlo
643,Monte Carlo estimation,estimation de Monte Carlo
644,Monte Carlo estimator,estimateur de Monte Carlo
645,Monte Carlo method,méthode Monte-Carlo
646,Monte Carlo sample,échantillon de Monte Carlo
647,Monte Carlo search,recherche Monte Carlo
648,Monte Carlo simulation,simulation Monte Carlo
649,Monte Carlo tree search,fouille arborescente Monte Carlo
650,Monte-Carlo return,retour de Monte-Carlo
651,Moore-Penrose pseudo-inverse,pseudo-inverse de Moore-Penrose
652,Moran's I,indice de Moran
654,Morfessor,Morfessor
656,Multi-Task Learning,apprentissage multitâche
657,Multidimensional Quality metric,Métrique de qualité multidimensionnelle
658,Multidimensional Scaling,cadrage multidimensionnel
659,Multiple Choice,Choix Multiple
660,MxNet,Apache MxNet
661,Mycin,MYCIN
662,NLI,NLI
663,NLP,TAL traitement automatique du langage naturel
664,NORTA method,méthode NORTA
665,NP-completeness,NP-complet
666,NP-hardness,NP-difficile
667,Nadaraya-Watson estimator,estimateur de Nadaraya-Watson
668,Nagle algorithm,algorithme de Nagle
669,Nash equilibria,équilibres de Nash
670,Nash welfare,bien-être de Nash
671,Natural Language Inference,inférence en langage naturel
672,Natural Language Understanding,compréhension du langage naturel
673,Natural question,Questions Naturelles
674,Naïve Bayes,Naïve Bayes
675,Nelder-Mead method,méthode de Nelder-Mead
676,Nesterov momentum,momentum de Nesterov
677,Neural Information Processing Systems,Systèmes de Traitement de l'Information Neuronale
678,Neural Radiance field,champ de radiance neuronal
679,Neural volume,Volume neuronal
680,Newton method,Méthode de Newton
681,Newton's method,méthode de Newton-Raphson
682,Neyman–Rubin causal model,modèle causal de Neyman-Rubin
683,NoSQL,NoSQL
684,Nom-Bank,Nom-Bank
685,Non-maximum suppression,Suppression des non-maxima
686,Nucleus Sampling,échantillonnage par noyau
687,NumPy,NumPy
688,Nyström approximation,approximation de Nyström
689,OOV,OOV
690,OPTICS algorithm,algorithme OPTICS
691,Object Localization,localisation d'objet
692,Occam's razor,principe d'Occam
693,Open Information Extraction,extraction d'information ouverte
694,OpenCog,OpenCog
695,OpenNN,OpenNN
696,Optimization Problem,Problème d'optimisation
697,Ornstein-Uhlenbeck,Ornstein-Uhlenbeck
698,PAC learning,apprentissage PAC
699,PaLM,PaLM
700,PageRank algorithm,algorithme de classement de Google
701,Pareto dominated,fortement dominé par Pareto
702,Pareto frontier,frontière de Pareto
703,Pareto optimal,optimal de Pareto
704,Pareto optimality,optimalité de Pareto
705,Pareto principle,loi des 80-20
706,Pareto-efficient,efficace au sens de Pareto
707,Partially Observable Markov Decision Process,Processus de Décision de Markov Partiellement Observable
708,Parzen window,fenêtre de Parzen
709,Pearson chi-squared test,test khi-deux de Pearson
710,Pearson correlation,corrélation de Pearson
711,Pearson correlation coefficient,coefficient de corrélation de Pearson
712,Pearson's correlation,corrélation de Pearson
713,Pearson's correlation coefficient,coefficient de corrélation de Pearson
714,Pearson's r,r de Pearson
715,Pearson's r correlation,corrélation de Pearson
716,Penn English Treebank,Penn English Treebank
717,Penn Treebank corpus,corpus Penn Treebank
718,Perron-Frobenius theorem,théorème de Perron-Frobenius
719,Pinsker's inequality,inégalité de Pinsker
720,Pitman-Yor Process,processus de Pitman-Yor
721,Platt scaling,mise à l'échelle de Platt
