Index,English,Arabic
143,Cholesky factor,عامل تشوليسكي
144,Cholesky factorization,تحليل تشوليسكي
145,Chomsky normal form,الشكل العادي لشومسكي
146,Chu-Liu-Edmonds algorithm,خوارزمية تشو-ليو-إدموندز
147,Chung-Lu model,نموذج تشونغ لو
148,CodeBERT,CodeBERT
149,Cohen's kappa,معامل كابا لكوهين
150,Cohen's kappa coefficient,معامل كابا لكوهين
151,Cohen's κ,كابا لكوهين
152,Combinatory Categorial Grammar,قواعد النحو التصنيفي التوليفي
153,Commonsense Reasoning,استدلال بديهي
154,Compressed sensing,الاستشعار المضغوط
155,Computational linguistic,اللغويات الحاسوبية
156,Condition 1,الشرط 1
157,Conditional Generation,الجيل المشروط
158,Condorcet winner,الفائز وفقًا لمعيار كوندورسيه
159,Contrastive Learning,التعلم التبايني
160,Coreference Resolution,حل الإحالة المرجعية
161,Coreset,مجموعة النواة
162,Corpora,مجموعات بيانات
163,Cosine distance,مسافة جيب التمام
164,Counterfactual Regret Minimization,تقليل الندم المضاد للوقائع
165,Cross Entropy Loss,خسارة الإنتروبيا المتقاطعة
166,Datalog,داتالوج
167,Datalog program,برنامج داتالوغ
168,Dataset,مجموعة بيانات
169,Decentralized optimization,تحسين لامركزي
170,Decision Transformer,محول القرار
171,Decomposable Attention,الانتباه القابل للتفكيك
172,Decomposable Attention Model,نموذج الاهتمام القابل للتفكيك
173,Demographic Parity,التكافؤ الديموغرافي
174,Detectron,ديتكترون
175,Determinantal Point process,عملية النقاط الحتمية
176,Dialogue State Tracking,تتبع حالة الحوار
177,Dice coefficient,معامل دايس
178,Dice loss,خسارة دايس
179,Dijkstra's algorithm,خوارزمية دايكسترا
180,Dirac distribution,توزيع ديراك
181,Dirac measure,قياس ديراك
182,Dirichlet,ديريتشليه
183,Dirichlet Process,عملية ديريشليت
184,Dirichlet distribution,توزيع ديريشليه
185,Dirichlet prior,توزيع سابق لديريشليت
186,Disentanglement,التفكيك
187,Dropout distribution,توزيع الإسقاط
188,E-step,خطوة التوقع
189,Elastic Net,الشبكة المرنة
190,Electra,إليكترا
191,Entity Linking,ربط الكيانات
192,Epanechnikov kernel,نواة إيبانيتشنيكوف
193,Euclidean,إقليدي
194,Euclidean distance,المسافة الإقليدية
195,Euclidean divergence,تباعد إقليدي
196,Euclidean loss,الخسارة الإقليدية
197,Euclidean norm,المعيار الإقليدي
198,Euclidean plane,الطائرة الإقليدية
199,Euclidean projection,الإسقاط الإقليدي
200,Euclidean space,الفضاء الإقليدي
201,Euclidean transformation,التحويل الإقليدي
202,Euler angle,زاوية أويلر
203,Euler step,خطوة أويلر
204,Exact Match,التطابق التام
205,Extended Kalman Filter,مرشح كالمان الممتد
206,F-measure,قياس F
207,F-score,مقياس إف
208,F1 measure,مقياس F1
209,F1 metric,متري F1
210,F1 score,نتيجة F1
211,FLR,FLR
212,Fairseq,فيرسيك
213,Fano's inequality,متباينة فانو
214,Fast Fourier Transform,تحويل فورييه السريع
215,FeSTE,FeSTE
216,Feature Pyramid Network,شبكة هرم الميزات
217,Federated Learning,تعلم متحد
218,Fisher information matrix,مصفوفة معلومات فيشر
219,Fisher score,درجة فيشر
220,Fleiss' kappa,كاپا فلييس
221,Floyd-Warshall algorithm,خوارزمية فلويد-وارشال
222,Focal Loss,الخسارة البؤرية
223,Fokker-Planck equation,معادلة فوكر-بلانك
224,Fourier basis function,دالة الأساس فورييه
225,Fourier coefficient,معامل فورييه
226,Fourier feature,خاصية فورييه
227,Fourier frequency,تردد فورييه
228,Fourier transform,تحويل فورييه
229,Frobenius inner product,جداء فروبنيوس الداخلي
230,Frobenius norm,معيار فروبينيوس
231,Fréchet,فريشيت
232,GLUE,GLUE
233,GPT,GPT
234,Gamma prior,توزيع غاما المسبق
235,Gauss-Newton algorithm,خوارزمية غاوس-نيوتن
236,Gauss-Seidel method,طريقة غاوس-سايدل
237,Gaussian blur,ضبابية غاوسية
238,Gaussian complexity,التعقيد الغاوسي
239,Gaussian component,مكون غاوسي
240,Gaussian conditional random field,حقل عشوائي شرطي غاوسي
241,Gaussian density,الكثافة الغاوسية
242,Gaussian distribution,التوزيع الغاوسي
243,Gaussian elimination,الحذف الجاوسي
244,Gaussian filter,فلتر غاوسي
245,Gaussian function,دالة غاوسية
246,Gaussian initialization,تهيئة غاوسية
247,Gaussian kernel,نواة غاوسية
248,Gaussian likelihood,الاحتمالية الجاوسية
249,Gaussian matrix,مصفوفة غاوسية
250,Gaussian mixture,مزيج غاوسي
251,Gaussian mixture model,نموذج الخليط الغاوسي
252,Gaussian model,نموذج غاوسي
253,Gaussian noise,الضوضاء الغاوسية
254,Gaussian prior,التوزيع الأولي الغاوسي
255,Gaussian process,العملية الغاوسية
256,Gaussian process model,نموذج العملية الغاوسية
257,Gaussian process regression,انحدار العملية الغاوسية
258,Gaussian random variable,المتغير العشوائي الغاوسي
259,Gaussian smoothing,التنعيم الغاوسي
260,Gaussian variable,متغير غاوسي
261,Gaussian weight,وزن غاوسي
262,Gene Ontology,أنطولوجيا الجينات
263,Gensim,جينسيم
264,Gibbs iteration,تكرار غيبس
265,Gibbs sampler,جيبس ​​أخذ العينات
266,Gibbs sampling,أخذ عينات جيبس
267,Gini coefficient,معامل جيني
268,Good-Turing estimate,تقدير جود-تيرينغ
269,GoogLeNet,جوجل نت
270,Gram matrix,مصفوفة غرام
271,Graph Transformer,محول الرسم البياني
272,Gröbner basis,أساس غروبنر
273,Gumbel,غومبل
274,Gumbel distribution,توزيع غومبل
275,Gumbel noise,ضوضاء غومبل
276,Gumbel-softmax distribution,توزيع غومبل-سوفتماكس
277,Haar wavelet,مويجات هار
278,Hadamard matrix,مصفوفة هادامارد
279,Hadamard product,جداء هادامارد
280,Hamiltonian Monte Carlo,هاملتونيان مونت كارلو
281,Hamming distance,مسافة هامينغ
282,Hamming loss,خسارة هامينغ
283,Hankel matrix,مصفوفة هانكل
284,Hausdorff distance,مسافة هاوسدورف
285,Hedge algorithm,خوارزمية هيدج
286,Hellinger distance,مسافة هيلنجر
287,Helmholtz machine,آلة هيلمهولتز
288,Hessian matrix,مصفوفة هسيان
289,Hessian-vector product,حاصل ضرب هسيان-متجه
290,Hiero system,نظام هييرو
291,Hodge decomposition,تحلل هودج
292,Hoeffding's inequality,متباينة هوفدينغ
293,Homography,الهوموغرافيا
294,Horn theory,نظرية هورن
295,HowTo100M,HowTo100M
296,Huber loss,خسارة هوبير
297,Huber norm,"""معيار هوبر"" (Huber standard)"
298,Hungarian loss,خسارة هنغارية
299,Hyper-parameter,المعلمات الفائقة
300,Hyperband,هايبرباند
301,Hyperparameter search,بحث المعلمات الفائقة
302,ICLR,ICLR
303,IDF,IDF
304,In-context Learning,التعلم في السياق
305,Inception network,شبكة إنسيبشن
306,Independent Cascade,الكاسكيد المستقل
307,Independent Cascade Model,نموذج الكاسكيد المستقل
308,Influence Maximization,تعظيم التأثير
309,Information Extraction,استخراج المعلومات
310,Informer model,نموذج إنفورمر
311,Inside-Outside algorithm,خوارزمية من الداخل إلى الخارج
312,Instance Normalization,تطبيع المثيل
313,Ising model,نموذج إيسينغ
314,Iverson bracket,علامة إيفرسون
315,Jaccard,جاكارد
316,Jaccard index,مؤشر جاكارد
317,Jaccard similarity,تشابه جاكارد
318,Jaccard similarity coefficient,معامل تشابه جاكارد
319,Jacobian matrix,مصفوفة جاكوبي
320,Jensen's inequality,متباينة جنسن
321,Jensen-Shannon,جينسن-شانون
322,Jensen-Shannon divergence,تباعد جنسن-شانون
323,K-L divergence,تباعد كولباك-ليبلر
324,K-means,تجميع بالمتوسط
325,K-means algorithm,خوارزمية K-المتوسطات
326,K-means clustering,تجميع K-Means
327,Kalman filter,فلتر كالمان
328,Kendall's τ,"""معامل كيندال"" (Kendall coefficient)"
329,Keras,كيراس
330,Kernel,النواة
331,KinyaBERT,KinyaBERT
332,Kleene closure,الإغلاق كلين
333,Kneser-Ney smoothing,تنعيم كنيزر-ني
334,Kolmogorov-Smirnov test,اختبار كولموغوروف-سميرنوف
335,Krippendorff's α,α لكريبندورف
336,Kronecker delta,دلتا كرونكر
337,Kronecker product,جداء كرونيكر
338,Kullback Leibler divergence,تباعد كولباك-ليبلر
339,L 1 -norm,المعيار 𝐿 1
340,L 1 distance,مسافة L1
341,L 2 -norm,المعيار 𝐿 2 L 2 ​
342,L 2 distance,مسافة L2
343,L 2 loss,خسارة L2
344,L 2 regularization,تنظيم L2
345,L ∞ norm,معيار L∞
346,L1 bound,الحد L1
347,L1 difference,فرق L1
348,L1 loss,خسارة L1
349,L1 penalty,عقوبة L1
350,L1 regularization,تنظيم L1
351,L1 term,مصطلح L1
352,L2 error,خطأ L2
353,L2 regularisation,تسوية L2
354,L2 regularizer,منظم L2
355,L2 weight decay,اضمحلال الوزن L2
356,L2-normalization,التطبيع L2
357,LXMert,LXMert
358,Lagrange multiplier,مضاعف لاغرانج
359,Lagrangian duality,الازدواجية اللاغرانجية
360,Lagrangian multiplier,مضاعف لاجرانج
361,Lagrangian relaxation,الاسترخاء اللاغرانجي
362,Lambertian reflectance,الانعكاس اللامبرتي
363,Lanczos iteration,تكرار لانكزوس
364,Langevin dynamic,ديناميكا لانجفين
365,Language Modeling Toolkit,مجموعة أدوات نمذجة اللغة
366,Laplace approximation,تقريب لابلاس
367,Laplace distribution,توزيع لابلاس
368,Laplace noise,ضجيج لابلاس
369,Laplace smoothing,تنعيم لابلاس
370,Laplace-Beltrami operator,مشغل لابلاس-بيلترامي
371,Laplacian distribution,التوزيع اللابلاسي
372,Laplacian matrix,مصفوفة لابلاس
373,Laplacian smoothing,التنعيم اللاپلاسي
374,Lasso,اللاسو
375,Lasso penalty,عقوبة لاسو
376,Lemma,ليمّا
377,Levenberg-Marquardt algorithm,خوارزمية ليفنبرغ-ماركاردت
378,Levenshtein distance,مسافة ليفنشتاين
379,Levenshtein edit distance,مسافة تحرير ليفينشتاين
380,Lexical Functional Grammar,قواعد اللغة الوظيفية المعجمية
381,Libratus,ليبراتوس
382,Lie algebra,جبر لاي
383,Likert scale,مقياس ليكرت
384,LinCE,LinCE
385,Linear Threshold,العتبة الخطية
386,Linear Threshold Model,نموذج العتبة الخطية
387,Linear Transformer,المحول الخطي
388,Linformer,لينفورمر
389,Lipschitz,ليبشيتز
390,Lipschitz constant,ثابت ليبشيتز
391,Lipschitz continuity,استمرارية ليبشيتز
392,Lipschitz continuous,ليبشيتز مستمر
393,Lipschitz function,دالة ليبشيتز
394,Lipschitzness,خاصية ليبشيتز
395,Local Consistency,الاتساق المحلي
396,Log Gaussian Cox Process,عملية كوكس لوغاريتمية غاوسية
397,Longformer,لونغفورمر
398,Lucene,لوسين
399,Lyapunov function,دالة ليابونوف
400,M-estimation,تقدير M
401,M-step,خطوة M
402,MAWPS,MAWPS
403,MTDNN,MTDNN
404,Machine Comprehension,الفهم الآلي
405,Machine Learning Repository,مستودع التعلم الآلي
406,Machine Reading Comprehension,فهم القراءة الآلية
407,Mahalanobis distance,مسافة ماهالانوبيس
408,Mahalanobis distance function,دالة مسافة ماهالانوبس
409,Mahalanobis matrix,مصفوفة ماهالانوبيس
410,Mahalanobis metric,ماهالانوبيس متري
411,Manhattan distance,مسافة مانهاتن
412,Marching Cubes,مكعبات مارشينغ
413,Markov,ماركوف
414,Markov assumption,افتراض ماركوف
415,Markov blanket,غلاف ماركوف
416,Markov chain,سلسلة ماركوف
417,Markov chain Monte Carlo,سلسلة ماركوف مونت كارلو
418,Markov chain model,نموذج سلسلة ماركوف
419,Markov decision process,عملية قرار ماركوف
420,Markov decision processes,عملية قرار ماركوف
421,Markov game,لعبة ماركوف
422,Markov kernel,نواة ماركوف
423,Markov logic,منطق ماركوف
424,Markov logic network,شبكة ماركوف المنطقية
425,Markov model,نموذج ماركوف
426,Markov network,شبكة ماركوف
427,Markov process,عملية ماركوف
428,Markov property,خاصية ماركوف
429,Markov random field,حقل ماركوف العشوائي
430,Markov state,حالة ماركوف
431,Markov transition,انتقال ماركوف
432,Markov transition matrix,مصفوفة انتقال ماركوف
433,Markov's inequality,متباينة ماركوف
434,MatConvNet,ماتكونفنت
435,Matching Network,شبكة المطابقة
436,MathQA,MathQA
437,Matrix factorization,تحليل المصفوفة
438,Matérn kernel,نواة ماتيرن
439,Maximum Satisfiability,أقصى إشباع
440,Mechanical Turk,ميكانيكال تورك
441,Metropolis Hastings,ميتروبوليس هاستينغز
442,Metropolis algorithm,خوارزمية ميتروبوليس
443,Metropolis method,طريقة متروبوليس
444,Metropolis-Hasting,خوارزمية متروبوليس-هاستينغز
445,Metropolis-Hastings acceptance ratio,نسبة قبول متروبوليس-هاستينغز
446,Metropolis-Hastings algorithm,خوارزمية ميتروبوليس-هاستينغز
447,Metropolis-Hastings sampler,مولد متروبوليس-هاستينغز
448,Mixup,خلط البيانات
449,Monotonicity,رتابية
450,Monte Carlo,مونت كارلو
451,Monte Carlo Dropout,مونت كارلو دروب آوت
452,Monte Carlo algorithm,خوارزمية مونت كارلو
453,Monte Carlo approximation,تقريب مونت كارلو
454,Monte Carlo estimate,تقدير مونت كارلو
455,Monte Carlo estimation,تقدير مونت كارلو
456,Monte Carlo estimator,مُقدّر مونت كارلو
457,Monte Carlo method,طريقة مونت كارلو
458,Monte Carlo sample,عينة مونت كارلو
459,Monte Carlo search,بحث مونت كارلو
460,Monte Carlo simulation,محاكاة مونتي كارلو
461,Monte Carlo tree search,البحث الشجري باستخدام مونت كارلو
462,Monte-Carlo return,عائد مونت كارلو
463,Moore-Penrose pseudo-inverse,المعكوس الزائف لمور-بينروز
464,Morfessor,مورفيسور
465,Multi-Task Learning,التعلم متعدد المهام
466,Multidimensional Quality metric,مقياس الجودة متعدد الأبعاد
467,Multidimensional Scaling,التحجيم متعدد الأبعاد
468,Multiple Choice,اختيار من متعدد
469,NLI,NLI
470,NLP,معالجة اللغة الطبيعية
471,Nadaraya-Watson estimator,مقدّر نادارايا-واتسون
472,Nash equilibria,توازنات ناش
473,Nash welfare,رفاهية ناش
474,Natural Language Inference,استدلال اللغة الطبيعية
475,Natural Language Understanding,فهم اللغة الطبيعية
476,Natural question,الأسئلة الطبيعية
477,Naïve Bayes,بايز الساذج
478,Nesterov momentum,زخم نيستروف
479,Neural Information Processing Systems,أنظمة معالجة المعلومات العصبية
480,Neural Radiance field,حقل الإشعاع العصبي
481,Neural volume,الحجم العصبي
482,Newton method,طريقة نيوتن
483,Newton's method,طريقة نيوتن
484,Nom-Bank,بنك الأسماء
485,Non-maximum suppression,قمع غير الأقصى
486,Nucleus Sampling,أخذ العينات باستخدام النواة
487,Nyström approximation,تقريب نايستروم
488,OOV,OOV
489,Object Localization,توطين الكائن
490,Open Information Extraction,الاستخراج المفتوح للمعلومات
491,Optimization Problem,مشكلة التحسين
492,Ornstein-Uhlenbeck,أورنشتاين-أولنبيك
493,PaLM,PaLM
494,Pareto dominated,مهيمن عليه باريتو
495,Pareto frontier,حدود باريتو
496,Pareto optimal,الأمثل من حيث باريتو
497,Pareto optimality,الأمثلية باريتو
498,Pareto-efficient,كفء باريتو
499,Partially Observable Markov Decision Process,عملية اتخاذ قرار ماركوف يمكن ملاحظتها جزئيًا
500,Parzen window,نافذة بارزن
501,Pearson correlation,معامل ارتباط بيرسون
502,Pearson correlation coefficient,معامل ارتباط بيرسون
503,Pearson's correlation,معامل الارتباط لبيرسون
504,Pearson's correlation coefficient,معامل ارتباط بيرسون
505,Pearson's r,معامل الارتباط لبيرسون
506,Pearson's r correlation,معامل الارتباط بيرسون r
507,Penn English Treebank,بنك شجرة اللغة الإنجليزية بجامعة بنسلفانيا
508,Penn Treebank corpus,مجموعة بيانات بن تريبانك
509,Perron-Frobenius theorem,نظرية بيرون-فروبينيوس
510,Pinsker's inequality,متباينة بينسكر
511,Pitman-Yor Process,عملية بيتمان-يور
512,Platt scaling,تحجيم بلات
513,Pointwise Mutual Information,المعلومات المتبادلة على مستوى النقطة
514,Poisson distribution,توزيع بواسون
515,Poisson matting,تأطير بواسون
516,Poisson model,نموذج بواسون
517,Poisson point process,عملية نقطة بواسون
518,Poisson process,عملية بواسون
519,Poisson random variable,متغير بواسون العشوائي
520,Poisson rate,معدل بواسون
521,Poisson regression,انحدار بواسون
522,Poisson sampling,أخذ العينات بواسون
523,Potts model,نموذج بوتس
524,Prop-Bank,بروب-بانك
525,Proposition,المسلمة
526,Proximal Policy Optimization,تحسين السياسة القريبة
527,PubMed,PubMed
528,Py-Torch,باي تورش
529,Q function,دالة Q
530,Q value,قيمة Q
531,Q-learning,تعلم كيو
532,Q-network,شبكة Q
533,QA,ضمان الجودة
534,QED,QED
535,QUOREF,QUOREF
536,Quality Estimation,تقييم الجودة
537,Query expansion,توسيع الاستعلام
538,Question Answering,الإجابة عن الأسئلة
539,R-Precision,دقة R
540,REALM,REALM
541,RGF,RGF
542,RNSum,RNSum
543,ROC curve,منحنى دّقة الأداء
544,ROUGE,ROUGE
545,Rademacher average,متوسط راديماخر
546,Rademacher complexity,تعقيد راديماخر
547,Radon-Nikodym derivative,مشتق رادون-نيكوديم
548,Random Forest classifier,مصنف غابات عشوائية
549,Rao-Blackwellization,راو بلاكويليزيشن
550,Reading Comprehension,فهم القراءة
551,Receiver Operating Characteristic Curve,منحنى خصائص التشغيل المستقبِل
552,Recognizing Textual Entailment,التعرف على الدلالة النصية
553,Recurrent layer,الطبقة المتكررة
554,Reformer,المُصلِح
555,Regressor,المُنحدِر
556,ResNeXt,ريزنيكست
557,Retrieval-Augmented Generation,التوليد المعزز بالاسترجاع
558,Rhetorical Structure Theory,نظرية البنية البلاغية
559,Riemannian geometry,الهندسة الريمانية
560,Riemannian gradient,التدرج الريماني
561,Riemannian manifold,مشعب ريماني
562,Robertson-Webb model,نموذج روبرتسون-ويب
563,Routing Transformer,المحول الموجه
564,Runge-Kutta,رونج-كوتا
565,Runge-Kutta method,طريقة رونج-كوتا
566,Rényi entropy,إنتروبيا ريني
567,S node,عقدة S
568,S-expression,تعبير S
569,SMCalFlow,SMCalFlow
570,SUTD,SUTD
571,SVAMP,SVAMP
572,Schur complement,متمم شُور
573,Scikit-learn,سايكيت-ليرن
574,Self-supervised learning,تعلم ذاتي التوجيه
575,Semantic Scholar,الباحث الدلالي
576,Semantic Web,ويب دلالي
577,Sentence-Piece,جملة-قطعة
578,Seq2Seq,التسلسل إلى التسلسل
579,Set Cover,تغطية المجموعة
580,Shannon entropy,إنتروبيا شانون
581,Sherman-Morrison formula,صيغة شيرمان-موريسون
582,Sherman-Morrison-Woodbury formula,صيغة شيرمان-موريسون-وودبري
583,Siamese architecture,العمارة السيامية
584,Siamese network,الشبكة السيامية
585,Sinkhorn algorithm,خوارزمية سينكهورن
586,Softmax layer,طبقة سوفتماكس
587,Sparse Transformer,المحوّل المتناثر
588,Sparse reconstruction,إعادة بناء متفرقة
589,Sparsemax,سبارسماكس
590,Spearman correlation,معامل ارتباط سبيرمان
591,Spearman rank correlation,ارتباط رتبة سبيرمان
592,Spearman's correlation,معامل ارتباط سبيرمان
593,Spearman's correlation coefficient,معامل ارتباط سبيرمان
594,Spearman's rank correlation coefficient,معامل ارتباط رتبة سبيرمان
595,Squared Exponential kernel,نواة الأسية المربعة
596,Stanford Parser,محلل ستانفورد
597,Stanford Question Answering Dataset,مجموعة بيانات ستانفورد للإجابة على الأسئلة
598,Stanford Sentiment Treebank,مجموعة بيانات ستانفورد لتحليل المشاعر
599,Stanford dependency,تبعيات ستانفورد
600,Stanford dependency framework,إطار عمل تبعية ستانفورد
601,Stanford dependency parser,محلل التبعيات في ستانفورد
602,State-of-the-art,أحدث التقنيات
603,Statistical Machine Translation,الترجمة الآلية الإحصائية
604,Story Cloze Test,اختبار إكمال القصة
605,Structure from motion,البنية من الحركة
606,Subgraph,الرسم البياني الفرعي
607,Submodularity,التفرعية
608,Swin-S,سوين-S
609,T5 model,نموذج T5
610,T5-11B,تي5-11بي
611,T5-11B model,نموذج T5-11B
612,T5-Large,T5-Large
613,T5-base,قاعدة T5
614,T5-base model,نموذج T5-base
615,T5-large model,نموذج T5-large
616,Tanh,تانH
617,Taylor approximation,تقريب تايلور
618,TensorFlow,تينسرفلو
619,Text Classification,تصنيف النصوص
620,Text Summarization,تلخيص النصوص
621,Text-to-Text Transfer Transformer,محول نقل النص إلى النص
622,Theano,ثيانو
623,Toeplitz matrix,مصفوفة توبليتز
624,Topic Detection and Tracking,كشف وتتبع الموضوعات
625,Transformer architecture,معمارية المحول
626,Transformer block,كتلة المحولات
627,Transformer decoder,جهاز فك ترميز المحولات
628,Transformer encoder,جهاز ترميز المحولات
629,Transformer-based language model,نموذج اللغة القائم على المحولات
630,Transformer-based model,نموذج قائم على المحولات
631,Transformer-like,شبيه بالمحولات
632,Traveling Salesman Problem,مسألة البائع المتجول
633,TreeDST,TreeDST
634,Triggering Model,نموذج التفعيل
635,Tucker decomposition,تحليل تاكر
636,Turing machine,آلة تورينغ
637,Turing reduction,اختزال تورينغ
638,Turing test,اختبار تورينج
639,U-statistic,إحصائية U
640,Universal dependency,التبعية العالمية
641,Upper Confidence Bound,الحد الأعلى للثقة
642,VALSE,VALSE
643,VFL,VFL
644,Vandermonde matrix,مصفوفة فانديرموند
645,Vertex Cover,غطاء فيرتكس
646,ViLBERT,ViLBERT
647,Vision Transformer,محول الرؤية
648,Visual Question Answering,الإجابة على الأسئلة البصرية
649,VisualBERT,VisualBERT
650,Viterbi,فيتربي
651,Viterbi algorithm,خوارزمية فيتربي
652,Viterbi decoding,فك تشفير فيتربي
653,Wasserstein distance,مسافة فاسرشتاين
654,Weibull,ويبل
655,Weisfeiler-Lehman test,اختبار وايزفيلر-ليهمان
656,Wiener process,عملية وينر
657,Wilcoxon signed-rank test,اختبار ويلكوكسون ذو الرتبة الموقعة
658,Winograd Schema,مخطط وينوغراد
659,Winograd Schema Challenge,تحدي مخطط وينوجراد
660,Winogrande,وينوجراندي
661,Woodbury matrix identity,متطابقة وودبري للمصفوفات
