,English,French
146,Bentley–Ottmann algorithm,algorithme de Bentley-Ottmann
147,Berkeley parser,analyseur Berkeley
148,Berkeley segmentation dataset,jeu de données de segmentation de Berkeley
149,Berlekamp's algorithm,algorithme de Berlekamp
150,Bernoulli,Bernoulli
151,Bernoulli distribution,distribution de Bernoulli
152,Bernoulli likelihood,vraisemblance de Bernoulli
153,Bernoulli random variable,variable aléatoire de Bernoulli
154,Bernoulli sampling,échantillonnage de Bernoulli
155,Bernoulli trial,essai de Bernoulli
156,Bernoulli variable,variable de Bernoulli
157,Bernstein's inequality,inégalité de Bernstein
158,Bernstein–Von Mises theorem,théorème de Bernstein-von Mises
159,BertViz,BertViz
160,Bethe approximation,approximation de Bethe
161,Bhattacharyya coefficient,coefficient de Bhattacharyya
162,Bhattacharyya's distance,distance de Bhattacharyya
163,BigQuery,BigQuery
164,Bloom filter,filtre de Bloom
165,Boltzmann distribution,distribution de Boltzmann
166,Boltzmann exploration,exploration de Boltzmann
167,Boltzmann machine,machine de Boltzmann
168,Bonferroni correction,correction de Bonferroni
169,Boolean formula,formule booléenne
170,Boolean function,fonction booléenne
171,Boolean satisfiability problem,problème de satisfaisabilité booléenne
172,Boolean variable,variable booléenne
173,Borda scores,scores de Borda
174,Bradley-Terry Model,Modèle Bradley-Terry
175,Branch and Bound,Méthode de Branch and Bound
176,Bregman divergence,divergence de Bregman
177,Bregman's method,méthode de Bregman
178,Bresenham's line algorithm,algorithme de tracé de segment de Bresenham
179,BrownBoost,BrownBoost
180,Broyden-Fletcher-Goldfarb-Shanno method,méthode de Broyden-Fletcher-Goldfarb-Shanno
181,Bruceton method,méthode de Bruceton
182,Bundle adjustment,ajustement de faisceau
183,Byte-Pair Encoding,codage par paires de bytes
184,C4.5 algorithm,algorithme C4.5
185,CAP theorem,théorème CAP
186,CAPTCHA,CAPTCHA
187,CAS,CAS
188,CBOW algorithm,algorithme CBOW
189,CDA,CDA
190,CEAS,CEAS
191,CHAID,CHAID
192,CLIP,CLIP
193,CLIQUE clustering,algorithme CLIQUE
194,CLS,CLS
195,CMOS,CMOS
196,CN2 algorithm,algorithme CN2
197,COCO dataset,base de données COCO
198,CONLL,CoNLL
199,CRF,CRF
200,CUSUM procedures,procédures de carte de contrôle des sommes cumulées
201,Caffe,Caffe
202,Caltech-101,Caltech-101
203,CamemBERT,CamemBERT
204,Canny detector,détecteur de Canny
205,Canny edge detector,détecteur de contours de Canny
206,Cauchy distribution,loi de Cauchy
207,Cauchy-Schwarz inequality,inégalité de Cauchy-Bunyakovski-Schwarz
208,Chamfer Distance,Distance de Chamfer
209,Charniak parser,analyseur Charniak
210,ChatGPT,ChatGPT
211,Chauvenet's criterion,test de Chauvenet
212,Chebyshev acceleration,accélération de Chebyshev
213,Chebyshev polynomial,polynôme de Chebyshev
214,Chernoff bound,borne de Chernoff
215,Chinese room argument,argument de la chambre chinoise
216,Cholesky decomposition,décomposition de Cholesky
217,Cholesky factor,facteur de Cholesky
218,Cholesky factorization,factorisation de Cholesky
219,Chomsky hierarchy,hiérarchie de Chomsky
220,Chomsky normal form,forme normale de Chomsky
221,Chu-Liu-Edmonds algorithm,algorithme de Chu-Liu-Edmonds
222,Chung-Lu model,modèle de Chung-Lu
223,Cochran's Q-test,critère de Cochran
224,Cochran-Mantel-Haenzel test,test du χ² de CMH
225,CodeBERT,CodeBERT
226,Cohen's kappa,kappa de Cohen
227,Cohen's kappa coefficient,coefficient kappa de Cohen
228,Cohen's κ,κ de Cohen
229,Cohen-Grossberg neural networks model,réseaux neuronaux de Cohen et Grossberg
230,Cohen-Lynch-Riesenfel algorithm,algorithme de Cohen-Lynch-Riesenfel
231,Combinatory Categorial Grammar,Grammaire catégorielle combinatoire
1744,Commonsense Reasoning,raisonnement de bon sens
232,Compressed sensing,sensing compressé
233,Computational linguistic,linguistique computationnelle
234,Condition 1,Condition 1
235,Conditional Generation,génération conditionnelle
236,Condorcet winner,gagnant de Condorcet
1928,Contrastive Learning,apprentissage contrastif
237,Coppersmith–Winograd algorithm,algorithme de Coppersmith-Winograd
238,Coreference Resolution,Résolution de coréférence
239,Coreset,Coreset
240,Corpora,Corpus
243,Cosine distance,distance cosinus
244,Counterfactual Regret Minimization,Minimisation du regret contrefactuel
246,Cover's theorem,Théorème de Cover
247,Cox model,modèle de Cox
248,Cox regression model,modèle de vraisemblance partielle
249,Cox's theorem,théorème de Cox
250,Cromwell’s rule,la règle de Cromwell
251,Cross Entropy Loss,Perte d'Entropie Croisée
252,DALL-E,DALL-E
253,DBSCAN,DBSCAN
254,Dartmouth workshop,la conférence de Dartmouth
255,Datalog,Datalog
256,Datalog program,programme Datalog
257,Dataset,ensemble de données
259,De Casteljau's algorithm,algorithme de de Casteljau
260,Decentralized optimization,optimisation décentralisée
261,Decision Transformer,Transformateur de décision
263,Decomposable Attention,Attention décomposable
264,Decomposable Attention Model,Modèle d'Attention Décomposable
265,Deep Blue,Deep Blue
266,DeepMind,DeepMind
267,Dehaene–Changeux model,modèle Dehaene-Changeux
268,Dekker's algorithm,algorithme de Dekker
269,Delaunay triangulation,triangulation de Delaunay
270,Demographic Parity,Parité Démographique
271,Dempster-Shafer theory,théorie de Dempster-Shafer
272,Dendral,Dendral
273,Detecting,détecter
274,Detectron,Detectron
275,Determinantal Point process,Processus de point déterminantal
276,Dialogue,dialogue
277,Dialogue State Tracking,Suivi de l'état du dialogue
278,Dice coefficient,Coefficient de Dice
279,Dice loss,Perte de Dice
280,Dijkstra's algorithm,algorithme de Dijkstra
281,Dirac distribution,Distribution de Dirac
282,Dirac measure,mesure de Dirac
283,Dirichlet,Dirichlet
284,Dirichlet Process,processus de Dirichlet
285,Dirichlet distribution,distribution de Dirichlet
286,Dirichlet prior,prior de Dirichlet
289,Disentanglement,Démêlage
290,Docker container,conteneur Docker
291,Dropout distribution,distribution de Dropout
293,E-step,étape E
294,ELIZA,ELIZA
295,ELIZA effect,effet ELIZA
296,Eclat algorithm,algorithme Eclat
2577,Elastic Net,régularisation elastic net
297,Electra,Electra
300,English,anglais
301,Entity Linking,Liaison d'entités
303,Epanechnikov kernel,noyau d'Épanechnikov
304,Euclidean,euclidien
305,Euclidean distance,distance euclidienne
306,Euclidean divergence,divergence euclidienne
307,Euclidean loss,perte euclidienne
308,Euclidean norm,norme euclidienne
309,Euclidean plane,plan euclidien
310,Euclidean projection,projection euclidienne
311,Euclidean space,espace euclidien
312,Euclidean transformation,transformation euclidienne
313,Euler angle,angle d'Euler
314,Euler step,étape d'Euler
315,Exact Match,Correspondance exacte
319,Extended Kalman Filter,filtre de Kalman étendu
320,F-distribution,distribution de F
321,F-measure,mesure F
322,F-score,score F
323,F-test,test F
324,F1 measure,mesure F1
325,F1 metric,métrique F1
326,F1 score,mesure F1
327,F1-score,mesure F
328,FLR,FLR
329,FP-growth algorithm,algorithme FP-growth
330,Faddeev–LeVerrier algorithm,algorithme de Faddeev-Leverrier
331,Fairseq,Fairseq
332,Fano's inequality,inégalité de Fano
333,Fast Fourier Transform,Transformée de Fourier rapide
334,FastICA,FastICA
335,FastText,FastText
336,FeSTE,FeSTE
337,Feature Pyramid Network,Réseau de pyramide de caractéristiques
2860,Federated Learning,apprentissage fédéré
338,Fisher information matrix,Matrice d'information de Fisher
339,Fisher score,score de Fisher
340,Fisher's method,méthode de Fisher
341,Fleiss' kappa,kappa de Fleiss
342,Floyd Warshall algorithm,algorithme de Floyd-Warshall
343,Floyd-Warshall algorithm,algorithme de Floyd-Warshall
344,Floyd’s cycle finding algorithm,algorithme de détection de cycle de Floyd
345,Focal Loss,Focal Loss
346,Fokker-Planck equation,équation de Fokker-Planck
347,For,pour
348,Ford-Fulkerson algorithm,algorithme de Ford-Fulkerson
349,Fourier basis function,fonction de base de Fourier
350,Fourier coefficient,coefficient de Fourier
351,Fourier feature,caractéristique de Fourier
352,Fourier frequency,fréquence de Fourier
353,Fourier transform,transformée de Fourier
354,Frank-Wolfe algorithm,algorithme de Frank-Wolfe
355,Freivalds' algorithm,algorithme de Freivalds
356,French,français
358,Frobenius inner product,produit intérieur de Frobenius
357,Frobenius norm,norme de Frobenius
359,Fréchet,Fréchet
360,Furthermore,en outre
361,GLUE,GLUE
362,GPT,GPT
363,GPT-3,GPT-3
364,GPT-4,GPT-4
365,Galton-Watson process,processus de Galton-Watson
366,Gamma prior,a priori Gamma
367,Gartner hype cycle,cycle d'engouement de Gartner
368,Gauss-Newton algorithm,algorithme de Gauss-Newton
369,Gauss-Seidel method,méthode de Gauss-Seidel
371,Gaussian blur,flou gaussien
372,Gaussian complexity,complexité gaussienne
373,Gaussian component,composant gaussien
374,Gaussian conditional random field,champ aléatoire conditionnel gaussien
375,Gaussian density,densité gaussienne
376,Gaussian distribution,loi de Laplace-Gauss
377,Gaussian elimination,élimination gaussienne
378,Gaussian filter,filtre gaussien
379,Gaussian function,fonction gaussienne
380,Gaussian initialization,initialisation gaussienne
381,Gaussian kernel,noyau gaussien
382,Gaussian likelihood,vraisemblance gaussienne
383,Gaussian matrix,matrice gaussienne
384,Gaussian mixture,mélange gaussien
385,Gaussian mixture model,modèle de mélange gaussien
386,Gaussian model,modèle gaussien
387,Gaussian noise,bruit gaussien
388,Gaussian prior,prior gaussien
370,Gaussian process,processus gaussien
389,Gaussian process model,modèle de processus gaussien
2985,Gaussian process regression,régression par processus gaussien
390,Gaussian random variable,variable aléatoire gaussienne
391,Gaussian smoothing,lissage gaussien
392,Gaussian variable,variable gaussienne
393,Gaussian weight,poids gaussien
394,Gene Ontology,Ontologie des gènes
397,Gensim,Gensim
398,Gibbs iteration,Itération de Gibbs
399,Gibbs sampler,échantillonneur de Gibbs
400,Gibbs sampling,échantillonnage de Gibbs
401,Gini coefficient,coefficient de Gini
402,Glivenko–Cantelli theorem,théorème de Glivenko-Cantelli
403,GloVe,GloVe
404,Good-Turing estimate,estimation de Good-Turing
405,GoogLeNet,GoogLeNet
406,Google Brain,Google Brain
407,Gram matrix,matrice de Gram
410,Graph Transformer,transformateur de graphes
412,GrowCut algorithm,algorithme GrowCut
413,Gröbner basis,base de Gröbner
414,Gumbel,Gumbel
415,Gumbel distribution,distribution de Gumbel
416,Gumbel noise,bruit de Gumbel
417,Gumbel-softmax distribution,distribution de Gumbel-softmax
418,H-infinity,hinfini
419,Haar wavelet,ondelette de Haar
420,Haar-like features,caractéristiques pseudo-Haar
421,Hadamard matrix,matrice de Hadamard
422,Hadamard product,produit de Hadamard
423,Hadoop,Hadoop
424,Hadoop cluster,Grappe Hadoop
425,Hamiltonian Monte Carlo,Monte Carlo Hamiltonien
426,Hamming distance,distance de Hamming
427,Hamming loss,perte de Hamming
428,Hankel matrix,matrice de Hankel
429,Hausdorff distance,distance de Hausdorff
430,Hebb's theory,postulat de Hebb
431,Hedge algorithm,algorithme Hedge
432,Hellinger distance,distance de Hellinger
433,Helmholtz machine,machine de Helmholtz
434,Hence,donc
435,Herbrand universe,univers de Herbrand
436,Hessian matrix,matrice Hessienne
437,Hessian-vector product,produit Hessien-vecteur
438,Hick's law,loi de Hick
439,Hick–Hyman law,loi de Hick-Hyman
440,Hiero system,système Hiero
441,Hodge decomposition,décomposition de Hodge
442,Hoeffding's inequality,inégalité de Hoeffding
443,Holt-Winters forecasting,prévision Holt-Winters
444,Homography,homographie
445,Horn clause,clause de Horn
446,Horn theory,théorie de Horn
447,Hough transform,transformée de Hough
448,HowTo100M,HowTo100M
449,Huber loss,perte de Huber
450,Huber norm,norme de Huber
451,Huffman coding,codage de Huffman
452,Hugging Face,Hugging Face
453,Hungarian loss,perte hongroise
454,Hurst coefficient,coefficient de Hurst
455,Hyper-parameter,hyperparamètre
456,Hyperband,Hyperband
457,Hyperparameter search,recherche d'hyperparamètres
458,ICLR,ICLR
459,ID3,algorithme ID3
460,IDF,IDF
461,ImageNet,ImageNet
463,In-context Learning,Apprentissage en contexte
464,Inception model,modèle Inception
465,Inception network,Réseau Inception
466,Independent Cascade,Cascade indépendante
467,Independent Cascade Model,Modèle de Cascade Indépendante
468,Influence Maximization,Maximisation de l'Influence
469,Information Extraction,Extraction d'Information
471,Informer model,modèle Informer
473,Inside-Outside algorithm,algorithme Inside-Outside
474,Instance Normalization,normalisation d'instance
475,IoMT,internet des objets médicaux
476,IoT gateway,passerelle IDO
477,Ising model,modèle d'Ising
478,Iverson bracket,crochet d'Iverson
479,JPEG,JPEG
480,Jaccard,Jaccard
481,Jaccard index,indice de Jaccard
482,Jaccard similarity,similarité de Jaccard
483,Jaccard similarity coefficient,coefficient de similarité de Jaccard
484,Jacobian matrix,matrice jacobienne
485,Jensen's inequality,inégalité de Jensen
486,Jensen-Shannon,Jensen-Shannon
487,Jensen-Shannon divergence,divergence de Jensen-Shannon
488,Jupyter notebooks,Jupyter notebooks
489,K-L divergence,divergence K-L
3602,K-means,algorithme des k-moyennes
490,K-means algorithm,algorithme K-means
3603,K-means clustering,partitionnement en k-moyennes
491,KL-ONE,KL-ONE
492,KNIME,KNIME
493,Kaggle,Kaggle
494,Kalman filter,filtrage de Kalman
495,Karmarkar algorithm,algorithme de Karmarkar
496,Karush–Kuhn–Tucker conditions,conditions de Karush-Kuhn-Tucker
497,Kendall rank correlation coefficient,coefficient de corrélation des rangs de Kendall
498,Kendall's notation,notation de Kendall
499,Kendall's τ,τ de Kendall
500,Keras,Keras
501,Kernel,noyau
503,KinyaBERT,KinyaBERT
504,Kleene closure,fermeture de Kleene
505,Kleene star,étoile de Kleene
506,Kneser-Ney smoothing,lissage de Kneser-Ney
508,Kohonen networks,Réseaux de Kohonen
509,Kolmogorov-Smirnov test,test de Kolmogorov-Smirnov
510,Kolmogorov–Arnold network,Réseau de Kolmogorov–Arnold
511,Krippendorff's α,α de Krippendorff
512,Kronecker delta,delta de Kronecker
513,Kronecker product,produit de Kronecker
514,Kruskal Wallis test,ANOVA à un facteur contrôlé sur rangs
515,Kubeflow,Kubeflow
516,Kullback Leibler divergence,divergence de Kullback-Leibler
517,Kullback–Leibler divergence,entropie relative
518,L 1 -norm,norme L 1
519,L 1 distance,distance L 1
520,L 2 -norm,norme L 2
521,L 2 distance,distance L 2
522,L 2 loss,perte L 2
523,L 2 regularization,régularisation L2
524,L ∞ norm,norme L∞
525,L-estimator,estimateur L
526,L1 bound,borne L1
527,L1 difference,différence L1
528,L1 loss,perte L1
529,L1 penalty,pénalité L1
530,L1 regularization,régularisation L1
531,L1 term,terme L1
532,L2 error,erreur L2
533,L2 regularisation,régularisation L2
534,L2 regularization,régularisation L2
535,L2 regularizer,régularisateur L2
536,L2 weight decay,décroissance de poids L2
537,L2-normalization,normalisation L2
538,LIDAR,télédétection par laser
539,LLaMA,LLaMA
540,LLaMA 2,LlaMA 2
541,LXMert,LXMert
542,LaMDA,LaMDA
543,Lagrange multiplier,multiplicateur de Lagrange
544,Lagrangian duality,dualité lagrangienne
545,Lagrangian multiplier,multiplicateur de Lagrange
546,Lagrangian relaxation,relaxation lagrangienne
547,Lambertian reflectance,réflectance lambertienne
548,Lamport's bakery algorithm,algorithme de la boulangerie
549,Lanczos iteration,itération de Lanczos
550,Langevin dynamic,dynamique de Langevin
551,Language Modeling Toolkit,boîte à outils de modélisation du langage
552,Laplace approximation,approximation de Laplace
553,Laplace distribution,distribution doublement exponentielle
554,Laplace noise,bruit de Laplace
555,Laplace smoothing,lissage de Laplace
556,Laplace-Beltrami operator,opérateur de Laplace-Beltrami
557,Laplacian distribution,distribution de Laplace
558,Laplacian matrix,matrice de Laplace
559,Laplacian smoothing,lissage laplacien
560,Las Vegas algorithm,algorithme de Las Vegas
561,Lasso,Lasso
562,Lasso penalty,pénalité Lasso
566,Leabra,Leabra
567,Lemma,Lemme
568,Levenberg-Marquardt algorithm,algorithme de Levenberg-Marquardt
569,Levenshtein distance,distance d'édition
570,Levenshtein edit distance,distance d'édition de Levenshtein
571,Lexical Functional Grammar,Grammaire fonctionnelle lexicale
572,Libratus,Libratus
573,Lie algebra,algèbre de Lie
575,Likert scale,échelle de Likert
576,Lin-Kernighan heuristic,heuristique de Lin-Kernighan
577,LinCE,LinCE
578,Linde–Buzo–Gray algorithm,algorithme de Linde–Buzo–Gray
579,Lindley's paradox,paradoxe de Jeffreys-Lindley
580,Linear Threshold,seuil linéaire
581,Linear Threshold Model,modèle de seuil linéaire
582,Linear Transformer,Transformateur Linéaire
583,Linformer,Linformer
584,Lipschitz,Lipschitz
585,Lipschitz constant,constante de Lipschitz
586,Lipschitz continuity,continuité de Lipschitz
587,Lipschitz continuous,Lipschitzienne
588,Lipschitz function,fonction de Lipschitz
589,Lipschitzness,Lipschitzianité
590,Lisp,Lisp
591,Local Consistency,Consistance locale
592,Log Gaussian Cox Process,Processus de Cox Log-Gaussien
593,LogitBoost,LogitBoost
594,Longformer,Longformer
595,Lucene,Lucene
596,Lyapunov function,fonction de Lyapunov
597,M-estimation,M-estimation
598,M-step,étape M
599,MATLAB,MATLAB
600,MAWPS,MAWPS
601,ML sensor,capteur ML
602,MLOps,OpérAA
603,MNIST,MNIST
604,MNIST database,base de données MNIST
605,MTDNN,MTDNN
606,Machine Comprehension,Compréhension automatique
607,Machine Learning Repository,Répertoire d'apprentissage automatique
608,Machine Reading Comprehension,Compréhension automatique de texte
609,Mahalanobis distance,distance de Mahalanobis
610,Mahalanobis distance function,Fonction de distance de Mahalanobis
611,Mahalanobis matrix,matrice de Mahalanobis
612,Mahalanobis metric,métrique de Mahalanobis
613,Manhattan distance,distance de Manhattan
614,Mann-Whitney U test,test de Wilcoxon-Mann-Whitney
615,Mann-Whitney test,test de Mann-Whitney
616,MapReduce,MapReduce: diviser-traiter-regrouper
617,Marching Cubes,Marching Cubes
618,Markov,Markov
619,Markov assumption,Hypothèse de Markov
620,Markov blanket,couverture de Markov
621,Markov chain,chaîne de Markov
622,Markov chain Monte Carlo,méthode de Monte-Carlo par chaînes de Markov
623,Markov chain model,modèle de chaîne de Markov
624,Markov decision process,processus de décision de Markov
625,Markov game,jeu de Markov
626,Markov kernel,noyau de Markov
627,Markov logic,logique de Markov
628,Markov logic network,réseau de logique de Markov
629,Markov model,modèle de Markov
630,Markov network,réseau de Markov
631,Markov process,processus markovien
632,Markov property,propriété de Markov
633,Markov random field,champ aléatoire de Markov
634,Markov state,état de Markov
635,Markov transition,transition de Markov
636,Markov transition matrix,matrice de transition de Markov
637,Markov's inequality,inégalité de Markov
638,MatConvNet,MatConvNet
639,Matching Network,Réseau de correspondance
640,MathQA,MathQA
642,Matrix factorization,Factorisation de matrice
643,Matérn kernel,Noyau de Matérn
644,Maximum Satisfiability,Satisfiabilité Maximale
645,McCulloch-Pitts neuron,neurone artificiel de McCulloch et Pitts
646,Mechanical Turk,Turc mécanique
647,Metropolis Hastings,Méthode de Metropolis-Hastings
648,Metropolis algorithm,algorithme de Metropolis
649,Metropolis method,méthode de Metropolis
650,Metropolis-Hasting,Metropolis-Hastings
651,Metropolis-Hastings acceptance ratio,ratio d'acceptation de Metropolis-Hastings
652,Metropolis-Hastings algorithm,algorithme de Metropolis-Hastings
653,Metropolis-Hastings sampler,échantillonneur de Metropolis-Hastings
654,Mexican-hat function,fonction du chapeau mexicain
655,Microsoft Cognitive Toolkit,CNTK
656,Mixup,Mixup
657,Modeling,modélisation
658,Monotonicity,Monotonie
659,Monte Carlo,Monte Carlo
660,Monte Carlo Dropout,Monte Carlo Dropout
661,Monte Carlo algorithm,algorithme de Monte Carlo
662,Monte Carlo approximation,approximation de Monte Carlo
663,Monte Carlo estimate,estimation de Monte Carlo
664,Monte Carlo estimation,estimation de Monte Carlo
665,Monte Carlo estimator,estimateur de Monte Carlo
666,Monte Carlo method,méthode Monte-Carlo
667,Monte Carlo sample,échantillon de Monte Carlo
668,Monte Carlo search,recherche Monte Carlo
669,Monte Carlo simulation,simulation Monte Carlo
670,Monte Carlo tree search,fouille arborescente Monte Carlo
671,Monte-Carlo return,retour de Monte-Carlo
672,Moore-Penrose pseudo-inverse,pseudo-inverse de Moore-Penrose
673,Moran's I,indice de Moran
674,Moreover,de plus
675,Morfessor,Morfessor
676,Morphology,morphologique
4329,Multi-Task Learning,apprentissage multitâche
678,Multidimensional Quality metric,Métrique de qualité multidimensionnelle
4345,Multidimensional Scaling,cadrage multidimensionnel
679,Multiple Choice,Choix Multiple
681,MxNet,Apache MxNet
682,Mycin,MYCIN
684,NLI,NLI
685,NLP,TAL traitement automatique du langage naturel
686,NORTA method,méthode NORTA
687,NP-completeness,NP-complet
688,NP-hardness,NP-difficile
689,Nadaraya-Watson estimator,estimateur de Nadaraya-Watson
690,Nagle algorithm,algorithme de Nagle
693,Nash equilibria,équilibres de Nash
694,Nash welfare,bien-être de Nash
696,Natural Language Inference,inférence en langage naturel
4411,Natural Language Understanding,compréhension du langage naturel
697,Natural question,Questions Naturelles
698,Naïve Bayes,Naïve Bayes
700,Nelder-Mead method,méthode de Nelder-Mead
701,Nesterov momentum,momentum de Nesterov
702,Neural Information Processing Systems,Systèmes de Traitement de l'Information Neuronale
4466,Neural Radiance field,champ de radiance neuronal
703,Neural volume,Volume neuronal
704,Newton method,Méthode de Newton
705,Newton's method,méthode de Newton-Raphson
706,Neyman–Rubin causal model,modèle causal de Neyman-Rubin
707,NoSQL,NoSQL
708,Nom-Bank,Nom-Bank
709,Non-maximum suppression,Suppression des non-maxima
710,Nucleus Sampling,échantillonnage par noyau
711,NumPy,NumPy
712,Nyström approximation,approximation de Nyström
713,OOV,OOV
714,OPTICS algorithm,algorithme OPTICS
715,Object Localization,localisation d'objet
716,Occam's razor,principe d'Occam
717,Open Information Extraction,extraction d'information ouverte
718,OpenCog,OpenCog
719,OpenNN,OpenNN
720,Optimization Problem,Problème d'optimisation
721,Ornstein-Uhlenbeck,Ornstein-Uhlenbeck
722,PAC learning,apprentissage PAC
723,PaLM,PaLM
724,PageRank algorithm,algorithme de classement de Google
725,Pareto dominated,fortement dominé par Pareto
726,Pareto frontier,frontière de Pareto
727,Pareto optimal,optimal de Pareto
728,Pareto optimality,optimalité de Pareto
729,Pareto principle,loi des 80-20
730,Pareto-efficient,efficace au sens de Pareto
731,Partially Observable Markov Decision Process,Processus de Décision de Markov Partiellement Observable
732,Parzen window,fenêtre de Parzen
733,Pearson chi-squared test,test khi-deux de Pearson
734,Pearson correlation,corrélation de Pearson
735,Pearson correlation coefficient,coefficient de corrélation de Pearson
736,Pearson's correlation,corrélation de Pearson
737,Pearson's correlation coefficient,coefficient de corrélation de Pearson
738,Pearson's r,r de Pearson
739,Pearson's r correlation,corrélation de Pearson
740,Penn English Treebank,Penn English Treebank
