,English,Japanese
137,Byte-Pair Encoding,バイトペアエンコーディング
138,CAS,CAS
139,CDA,CDA
140,CEAS,CEAS
141,CLIP,CLIP
142,CLS,CLS
143,CONLL,CoNLL
144,CRF,CRF
145,Caltech-101,カルテック-101
146,CamemBERT,CamemBERT
147,Canny detector,キャニー検出器
148,Canny edge detector,キャニーエッジ検出器
150,Chamfer Distance,チャンファー距離
151,Charniak parser,チャーニアックパーサー
152,Chebyshev acceleration,チェビシェフ加速
153,Chebyshev polynomial,チェビシェフ多項式
154,Chernoff bound,チェルノフ境界
155,Cholesky decomposition,コレスキー分解
156,Cholesky factor,コレスキー因子
157,Cholesky factorization,コレスキー因子分解
158,Chomsky normal form,チョムスキー標準形
159,Chu-Liu-Edmonds algorithm,Chu-Liu-Edmonds アルゴリズム
160,Chung-Lu model,Chung-Lu モデル
163,CodeBERT,CodeBERT
164,Cohen's kappa,コーエンのカッパ
165,Cohen's kappa coefficient,コーエンのカッパ係数
166,Cohen's κ,コーエンのκ
167,Combinatory Categorial Grammar,組み合わせ的カテゴリアル文法
168,Commonsense Reasoning,常識推論
170,Compressed sensing,圧縮センシング
171,Computational linguistic,計算言語学
173,Condition 1,条件1
174,Conditional Generation,条件付き生成
176,Condorcet winner,コンドルセ勝者
177,Contrastive Learning,対照学習
179,Coreference Resolution,共参照解決
180,Coreset,コアセット
181,Corpora,コーパス
185,Cosine distance,コサイン距離
186,Counterfactual Regret Minimization,反事実的後悔最小化
188,Cross Entropy Loss,クロスエントロピー損失
190,Datalog,データログ
191,Datalog program,Datalogプログラム
192,Dataset,データセット
194,Decentralized optimization,分散最適化
195,Decision Transformer,デシジョントランスフォーマー
197,Decomposable Attention,分解可能アテンション
198,Decomposable Attention Model,分解可能注意モデル
201,Demographic Parity,デモグラフィックパリティ
203,Detecting,検出
204,Detectron,ディテクトロン
205,Determinantal Point process,行列式点過程
206,Dialogue,ダイアログ
207,Dialogue State Tracking,ダイアログ状態追跡
208,Dice coefficient,ダイス係数
209,Dice loss,ダイス損失
210,Dijkstra's algorithm,ダイクストラのアルゴリズム
211,Dirac distribution,ディラック分布
212,Dirac measure,ディラック測度
213,Dirichlet,ディリクレ
214,Dirichlet Process,ディリクレ過程
215,Dirichlet distribution,ディリクレ分布
216,Dirichlet prior,ディリクレ事前分布
219,Disentanglement,分離化
222,Dropout distribution,ドロップアウト分布
224,E-step,Eステップ
225,Elastic Net,エラスティックネット
226,Electra,エレクトラ
229,English,英語
230,Entity Linking,エンティティリンク
232,Epanechnikov kernel,エパネチニコフカーネル
233,Euclidean,ユークリッド
234,Euclidean distance,ユークリッド距離
235,Euclidean divergence,ユークリッドダイバージェンス
236,Euclidean loss,ユークリッド損失
237,Euclidean norm,ユークリッドノルム
238,Euclidean plane,ユークリッド平面
239,Euclidean projection,ユークリッド射影
240,Euclidean space,ユークリッド空間
241,Euclidean transformation,ユークリッド変換
242,Euler angle,オイラー角
243,Euler step,オイラーステップ
244,Exact Match,完全一致
248,Extended Kalman Filter,拡張カルマンフィルター
249,F-measure,F値
250,F-score,Fスコア
251,F1 measure,F1スコア
252,F1 metric,F1メトリック
253,F1 score,F1スコア
254,FLR,FLR
255,Fairseq,フェアセク
256,Fano's inequality,ファノの不等式
257,Fast Fourier Transform,高速フーリエ変換
258,FeSTE,FeSTE
259,Feature Pyramid Network,特徴ピラミッドネットワーク
260,Federated Learning,フェデレーテッドラーニング
261,Fisher information matrix,フィッシャー情報行列
262,Fisher score,フィッシャースコア
263,Fleiss' kappa,フレイスのカッパ
264,Floyd-Warshall algorithm,フロイド・ワーシャル・アルゴリズム
265,Focal Loss,フォーカルロス
266,Fokker-Planck equation,フォッカー・プランク方程式
267,For,の為
269,Fourier basis function,フーリエ基底関数
270,Fourier coefficient,フーリエ係数
271,Fourier feature,フーリエ特徴
272,Fourier frequency,フーリエ周波数
268,Fourier transform,フーリエ変換
273,French,フランス語
275,Frobenius inner product,フロベニウス内積
274,Frobenius norm,フロベニウスノルム
276,Fréchet,フレーシェ
277,Furthermore,さらに
278,GLUE,GLUE
279,GPT,GPT
281,Gamma prior,ガンマ事前分布
282,Gauss-Newton algorithm,ガウス・ニュートン法
283,Gauss-Seidel method,ガウス・ザイデル法
286,Gaussian blur,ガウスぼかし
287,Gaussian complexity,ガウス複雑性
288,Gaussian component,ガウス成分
289,Gaussian conditional random field,ガウス条件付きランダムフィールド
290,Gaussian density,ガウス密度
291,Gaussian distribution,ガウス分布
292,Gaussian elimination,ガウス消去法
293,Gaussian filter,ガウスフィルタ
294,Gaussian function,ガウス関数
295,Gaussian initialization,ガウス初期化
296,Gaussian kernel,ガウスカーネル
297,Gaussian likelihood,ガウス尤度
298,Gaussian matrix,ガウスマトリックス
299,Gaussian mixture,ガウス混合
284,Gaussian mixture model,ガウス混合モデル
300,Gaussian model,ガウスモデル
301,Gaussian noise,ガウスノイズ
302,Gaussian prior,ガウス事前分布
285,Gaussian process,ガウス過程
303,Gaussian process model,ガウス過程モデル
304,Gaussian process regression,ガウス過程回帰
305,Gaussian random variable,ガウス確率変数
306,Gaussian smoothing,ガウス平滑化
307,Gaussian variable,ガウス変数
308,Gaussian weight,ガウス重み
309,Gene Ontology,ジーンオントロジー
314,Gensim,ゲン
316,Gibbs iteration,ギブス反復
317,Gibbs sampler,ギブスサンプラー
315,Gibbs sampling,ギブスサンプリング
318,Gini coefficient,ジニ係数
319,Good-Turing estimate,グッド・チューリング推定
320,GoogLeNet,グーグルネット
323,Gram matrix,グラム行列
326,Graph Transformer,グラフトランスフォーマー
329,Gröbner basis,グレブナー基底
330,Gumbel,ガンベル
331,Gumbel distribution,ガンベル分布
332,Gumbel noise,ガンベルノイズ
333,Gumbel-softmax distribution,ガンベルソフトマックス分布
334,Haar wavelet,ハールウェーブレット
335,Hadamard matrix,ハダマード行列
336,Hadamard product,ハダマード積
337,Hamiltonian Monte Carlo,ハミルトンモンテカルロ
338,Hamming distance,ハミング距離
339,Hamming loss,ハミング損失
340,Hankel matrix,ハンケル行列
341,Hausdorff distance,ハウスドルフ距離
342,Hedge algorithm,ヘッジアルゴリズム
343,Hellinger distance,ヘリング距離
344,Helmholtz machine,ヘルムホルツマシン
345,Hence,よって
346,Hessian matrix,ヘッセ行列
347,Hessian-vector product,ヘッセ行列-ベクトル積
349,Hiero system,ヒエロシステム
350,Hodge decomposition,ホッジ分解
351,Hoeffding's inequality,ヘフディングの不等式
352,Homography,ホモグラフィ
353,Horn theory,ホーン理論
354,HowTo100M,HowTo100M
355,Huber loss,フーバー・ロス
356,Huber norm,フーバー規範
357,Hungarian loss,ハンガリアン損失
358,Hyper-parameter,ハイパーパラメータ
359,Hyperband,ハイパーバンド
360,Hyperparameter search,ハイパーパラメータ探索
361,ICLR,ICLR
362,IDF,IDF
364,In-context Learning,コンテキスト内学習
365,Inception network,インセプションネットワーク
366,Independent Cascade,独立カスケード
367,Independent Cascade Model,独立カスケードモデル
369,Influence Maximization,影響最大化
370,Information Extraction,情報抽出
372,Informer model,インフォーマーモデル
374,Inside-Outside algorithm,インサイド・アウトサイドアルゴリズム
375,Instance Normalization,インスタンス正規化
377,Ising model,イジングモデル
378,Iverson bracket,アイバーソンブラケット
379,Jaccard,ジャッカード
380,Jaccard index,ジャッカード指数
381,Jaccard similarity,ジャッカード類似度
382,Jaccard similarity coefficient,ジャッカード類似係数
383,Jacobian matrix,ヤコビ行列
384,Jensen's inequality,ヤンセンの不等式
385,Jensen-Shannon,ヤンセン・シャノン
386,Jensen-Shannon divergence,ヤンセン・シャノン発散
387,K-L divergence,K-Lダイバージェンス
388,K-means,K-平均法
390,K-means algorithm,K-平均アルゴリズム
389,K-means clustering,K-平均クラスタリング
391,Kalman filter,カルマンフィルタ
392,Kendall's τ,ケンドールのτ
393,Keras,難しい
394,Kernel,カーネル
396,KinyaBERT,KinyaBERT
397,Kleene closure,クレーネ閉包
398,Kneser-Ney smoothing,クネーザー・ネイ平滑化
402,Kolmogorov-Smirnov test,コルモゴロフ・スミルノフ検定
403,Krippendorff's α,クリッペンドルフのα
404,Kronecker delta,クロネッカーのデルタ
405,Kronecker product,クロネッカー積
406,Kullback Leibler divergence,クルバック・ライブラー発散
407,L 1 -norm,L1ノルム
408,L 1 distance,L1距離
409,L 2 -norm,L2ノルム
410,L 2 distance,L2距離
411,L 2 loss,L2損失
412,L 2 regularization,L2正則化
413,L ∞ norm,L∞ノルム
414,L1 bound,L1バウンド
415,L1 difference,L1差
416,L1 loss,L1損失
417,L1 penalty,L1ペナルティ
418,L1 regularization,L1正則化
419,L1 term,L1項
420,L2 error,L2誤差
421,L2 regularisation,L2正則化
422,L2 regularizer,L2正則化項
423,L2 weight decay,L2重み減衰
424,L2-normalization,L2正規化
425,LXMert,LXMert
426,Lagrange multiplier,ラグランジュ乗数
427,Lagrangian duality,ラグランジュ双対性
428,Lagrangian multiplier,ラグランジュ乗数
429,Lagrangian relaxation,ラグランジュ緩和
430,Lambertian reflectance,ランバート反射率
431,Lanczos iteration,ランチョス反復法
432,Langevin dynamic,ランジュバン動力学
434,Language Modeling Toolkit,言語モデルツールキット
435,Laplace approximation,ラプラス近似
436,Laplace distribution,ラプラス分布
437,Laplace noise,ラプラスノイズ
438,Laplace smoothing,ラプラス平滑化
439,Laplace-Beltrami operator,ラプラス・ベルトラミ演算子
440,Laplacian distribution,ラプラス分布
441,Laplacian matrix,ラプラス行列
442,Laplacian smoothing,ラプラシアン平滑化
443,Lasso,ラッソ
444,Lasso penalty,ラッソペナルティ
449,Lemma,補題
450,Levenberg-Marquardt algorithm,レーベンバーグ-マルカートアルゴリズム
451,Levenshtein distance,レーベンシュタイン距離
452,Levenshtein edit distance,レーベンシュタイン編集距離
453,Lexical Functional Grammar,語彙機能文法
454,Libratus,リブラトゥス
455,Lie algebra,リー代数
457,Likert scale,リッカート尺度
458,LinCE,LinCE
460,Linear Threshold,線形閾値
461,Linear Threshold Model,線形閾値モデル
462,Linear Transformer,リニアトランスフォーマー
463,Linformer,リンフォーマー
464,Lipschitz,リプシッツ
465,Lipschitz constant,リプシッツ定数
466,Lipschitz continuity,リプシッツ連続性
467,Lipschitz continuous,リプシッツ連続
468,Lipschitz function,リプシッツ関数
469,Lipschitzness,リプシッツ性
470,Local Consistency,局所整合性
471,Log Gaussian Cox Process,ログガウスコックス過程
473,Longformer,ロングフォーマー
474,Lucene,ルーセーン
475,Lyapunov function,リャプノフ関数
476,M-estimation,M推定
477,M-step,Mステップ
478,MAWPS,MAWPS
479,MTDNN,MTDNN
480,Machine Comprehension,機械理解
482,Machine Learning Repository,機械学習リポジトリ
483,Machine Reading Comprehension,機械読解
485,Mahalanobis distance,マハラノビス距離
486,Mahalanobis distance function,マハラノビス距離関数
487,Mahalanobis matrix,マハラノビス行列
488,Mahalanobis metric,マハラノビス距離
489,Manhattan distance,マンハッタン距離
490,Marching Cubes,マーチングキューブ
491,Markov,マルコフ
496,Markov assumption,マルコフ仮定
497,Markov blanket,マルコフブランケット
492,Markov chain,マルコフ連鎖
493,Markov chain Monte Carlo,マルコフ連鎖モンテカルロ法
498,Markov chain model,マルコフ連鎖モデル
494,Markov decision process,マルコフ決定過程
499,Markov game,マルコフゲーム
500,Markov kernel,マルコフカーネル
501,Markov logic,マルコフ論理
502,Markov logic network,マルコフ論理ネットワーク
503,Markov model,マルコフモデル
504,Markov network,マルコフネットワーク
505,Markov process,マルコフ過程
506,Markov property,マルコフ性
495,Markov random field,マルコフランダムフィールド
507,Markov state,マルコフ状態
508,Markov transition,マルコフ遷移
509,Markov transition matrix,マルコフ遷移行列
510,Markov's inequality,マルコフの不等式
511,MatConvNet,MatConvNet
512,Matching Network,マッチングネットワーク
513,MathQA,MathQA
515,Matrix factorization,行列分解
516,Matérn kernel,マテーンカーネル
518,Maximum Satisfiability,最大充足可能性
519,Mechanical Turk,メカニカルターク
521,Metropolis Hastings,メトロポリス・ヘイスティングス
522,Metropolis algorithm,メトロポリスアルゴリズム
523,Metropolis method,メトロポリス法
524,Metropolis-Hasting,メトロポリス・ヘイスティングス
525,Metropolis-Hastings acceptance ratio,メトロポリス・ヘイスティングス受容比
526,Metropolis-Hastings algorithm,メトロポリス・ヘイスティングスアルゴリズム
527,Metropolis-Hastings sampler,メトロポリス・ヘイスティングスサンプラー
528,Mixup,ミックスアップ
530,Modeling,モデリング
531,Monotonicity,単調性
532,Monte Carlo,モンテカルロ
533,Monte Carlo Dropout,モンテカルロドロップアウト
535,Monte Carlo algorithm,モンテカルロアルゴリズム
536,Monte Carlo approximation,モンテカルロ近似
537,Monte Carlo estimate,モンテカルロ推定
538,Monte Carlo estimation,モンテカルロ推定
539,Monte Carlo estimator,モンテカルロ推定器
540,Monte Carlo method,モンテカルロ法
541,Monte Carlo sample,モンテカルロサンプル
542,Monte Carlo search,モンテカルロ探索
543,Monte Carlo simulation,モンテカルロシミュレーション
534,Monte Carlo tree search,モンテカルロ木探索
544,Monte-Carlo return,モンテカルロリターン
545,Moore-Penrose pseudo-inverse,ムーア・ペンローズ擬似逆行列
546,Moreover,また
547,Morfessor,モルフェッサー
548,Morphology,語形論
550,Multi-Task Learning,マルチタスク学習
551,Multidimensional Quality metric,多次元品質指標
552,Multidimensional Scaling,多次元尺度法
553,Multiple Choice,多肢選択
556,NLI,NLI
557,NLP,自然言語処理
558,Nadaraya-Watson estimator,ナダラヤ・ワトソン推定量
562,Nash equilibria,ナッシュ均衡
563,Nash welfare,ナッシュ福祉
565,Natural Language Inference,自然言語推論
567,Natural Language Understanding,自然言語理解
568,Natural question,ナチュラルクエスチョン
569,Naïve Bayes,ナイーブベイズ
571,Nesterov momentum,ネステロフモメンタム
572,Neural Information Processing Systems,神経情報処理システム
575,Neural Radiance field,ニューラル放射場
576,Neural volume,ニューラルボリューム
577,Newton method,ニュートン法
578,Newton's method,ニュートン法
579,Nom-Bank,ノンバンク
580,Non-maximum suppression,非最大抑制
582,Nucleus Sampling,ニュクレウスサンプリング
583,Nyström approximation,ニューストローム近似
584,OOV,OOV
585,Object Localization,物体位置特定
587,Open Information Extraction,オープン情報抽出
588,Optimization Problem,最適化問題
589,Ornstein-Uhlenbeck,オルンシュタイン-ウーレンベック
590,PaLM,PaLM
591,Pareto dominated,パレート支配
592,Pareto frontier,パレートフロンティア
593,Pareto optimal,パレート最適
594,Pareto optimality,パレート最適性
595,Pareto-efficient,パレート効率的
596,Partially Observable Markov Decision Process,部分観測マルコフ決定過程
597,Parzen window,パルゼンウィンドウ
598,Pearson correlation,ピアソンの相関
599,Pearson correlation coefficient,ピアソンの相関係数
600,Pearson's correlation,ピアソンの相関
601,Pearson's correlation coefficient,ピアソンの相関係数
602,Pearson's r,ピアソンのr
603,Pearson's r correlation,ピアソンのr相関
604,Penn English Treebank,ペン・イングリッシュ・ツリーバンク
605,Penn Treebank corpus,ペン・ツリーバンク・コーパス
608,Perron-Frobenius theorem,ペロン・フロベニウス定理
609,Pinsker's inequality,ピンスカーの不等式
610,Pitman-Yor Process,ピットマン・ヨール過程
611,Platt scaling,プラットスケーリング
612,Pointwise Mutual Information,ポイントワイズ相互情報量
613,Poisson distribution,ポアソン分布
614,Poisson matting,ポアソンマッティング
615,Poisson model,ポアソンモデル
616,Poisson point process,ポアソン点過程
617,Poisson process,ポアソン過程
618,Poisson random variable,ポアソンランダム変数
619,Poisson rate,ポアソン率
620,Poisson regression,ポアソン回帰
621,Poisson sampling,ポアソンサンプリング
622,Potts model,ポッツモデル
625,Prop-Bank,プロップバンク
626,Proposition,命題
627,Proximal Policy Optimization,近接方策最適化
628,PubMed,PubMed
629,Py-Torch,PyTorch
630,Q function,Q関数
631,Q value,Q値
632,Q-learning,Q学習
633,Q-network,Qネットワーク
634,QA,QA
635,QED,QED
636,QUOREF,QUOREF
637,Quality Estimation,品質推定
638,Query expansion,クエリ拡張
639,Question Answering,質問応答
640,R-Precision,R-精度
641,REALM,REALM
642,RGF,RGF
643,RNSum,RNSum
644,ROUGE,ROUGE
645,Rademacher average,ラデマッハー平均
646,Rademacher complexity,ラデマッハー複雑性
647,Radon-Nikodym derivative,ラドン–ニコディム導関数
649,Random Forest classifier,ランダムフォレスト分類器
651,Rao-Blackwellization,ラオ-ブラックウェル化
652,Reading Comprehension,読解力
654,Receiver Operating Characteristic Curve,受信者動作特性曲線
655,Recognizing Textual Entailment,テキスト含意認識
657,Recurrent layer,再帰層
658,Reformer,リフォーマー
660,Regressor,回帰器
663,ResNeXt,レスネクスト
664,Retrieval-Augmented Generation,検索拡張生成
666,Rhetorical Structure Theory,修辞構造理論
668,Riemannian geometry,リーマン幾何学
669,Riemannian gradient,リーマン勾配
670,Riemannian manifold,リーマン多様体
671,Robertson-Webb model,ロバートソン＝ウェッブモデル
672,Routing Transformer,ルーティングトランスフォーマー
673,Runge-Kutta,ルンゲ＝クッタ法
674,Runge-Kutta method,ルンゲ・クッタ法
675,Rényi entropy,レンyiエントロピー
676,S node,Sノード
677,S-expression,S式
678,SMCalFlow,SMCalFlow
679,SUTD,SUTD
680,SVAMP,SVAMP
681,Schur complement,シュアの補数
682,Scikit-learn,Scikit-learn
684,Self-supervised learning,自己教師あり学習
685,Semantic,意味論
686,Semantic Scholar,セマンティック・スカラー
687,Semantic Web,セマンティックウェブ
688,Sentence-Piece,SentencePiece
690,Seq2Seq,シーケンス 2 シーケンス
692,Set Cover,セットカバー
693,Shannon entropy,シャノンエントロピー
694,Sherman-Morrison formula,シャーマン・モリソンの公式
695,Sherman-Morrison-Woodbury formula,シャーマン・モリソン・ウッドベリーの公式
696,Siamese architecture,シャムネットワークアーキテクチャ
697,Siamese network,シャムネットワーク
700,Similar,類似
702,Sinkhorn algorithm,シンクホーンアルゴリズム
703,Softmax layer,ソフトマックス層
705,Sparse Transformer,スパーストランスフォーマー
706,Sparse reconstruction,スパース再構成
707,Sparsemax,スパースマックス
708,Spearman correlation,スピアマン相関
709,Spearman rank correlation,スピアマン順位相関
710,Spearman's correlation,スピアマンの相関
711,Spearman's correlation coefficient,スピアマンの相関係数
712,Spearman's rank correlation coefficient,スピアマンの順位相関係数
713,Squared Exponential kernel,二乗指数カーネル
714,Stanford Parser,スタンフォードパーサー
715,Stanford Question Answering Dataset,スタンフォード質問応答データセット
716,Stanford Sentiment Treebank,スタンフォード感情ツリーバンク
717,Stanford dependency,スタンフォード依存関係
718,Stanford dependency framework,スタンフォード依存関係フレームワーク
719,Stanford dependency parser,スタンフォード依存構文解析器
720,State-of-the-art,最先端
721,Statistical Machine Translation,統計的機械翻訳
723,Story Cloze Test,ストーリークローズテスト
724,Structure from motion,動きからの構造
725,Subgraph,サブグラフ
726,Submodularity,サブモジュラリティ
728,Swin-S,スウィンS
729,T5 model,T5モデル
730,T5-11B,T5-11B
731,T5-11B model,T5-11Bモデル
732,T5-Large,T5-ラージ
733,T5-base,T5ベース
734,T5-base model,T5ベースモデル
735,T5-large model,T5-largeモデル
736,Tanh,双曲線正接
737,Taylor approximation,テイラー近似
739,Text Classification,テキスト分類
740,Text Summarization,テキスト要約
741,Text-to-Text Transfer Transformer,テキスト・ツー・テキスト転送トランスフォーマー
742,Theano,テアノ
743,Therefore,したがって
744,Toeplitz matrix,トプリッツ行列
746,Topic Detection and Tracking,トピック検出と追跡
749,Transformer architecture,トランスフォーマーアーキテクチャ
750,Transformer block,トランスフォーマーブロック
751,Transformer decoder,トランスフォーマーデコーダ
752,Transformer encoder,トランスフォーマーエンコーダ
754,Transformer-based language model,トランスフォーマーベースの言語モデル
755,Transformer-based model,トランスフォーマーベースのモデル
756,Transformer-like,トランスフォーマー的
757,Traveling Salesman Problem,巡回セールスマン問題
758,TreeDST,TreeDST
760,Triggering Model,トリガーモデル
761,Tucker decomposition,タッカー分解
763,Turing machine,チューリングマシン
764,Turing reduction,チューリング還元
762,Turing test,チューリングテスト
765,U-statistic,U統計量
767,Universal dependency,ユニバーサル依存関係
768,Upper Confidence Bound,上限信頼区間
769,VALSE,VALSE
770,VFL,VFL
771,Vandermonde matrix,ヴァンデルモンデ行列
773,Vertex Cover,頂点被覆
774,ViLBERT,ViLBERT
775,Vision Transformer,ビジョントランスフォーマー
776,Visual Question Answering,ビジュアル質問応答
777,VisualBERT,VisualBERT
778,Viterbi,ビタビ
779,Viterbi algorithm,ビタビアルゴリズム
780,Viterbi decoding,ビタビ復号
781,Wasserstein distance,ワッサースタイン距離
782,Weibull,ワイブル
783,Weisfeiler-Lehman test,ワイスフェイラー＝レーマンテスト
784,Wiener process,ウィーナー過程
785,Wikipedia,wikipedia
786,Wilcoxon signed-rank test,ウィルコクソンの符号付き順位検定
787,Winograd Schema,ウィノグラードスキーマ
788,Winograd Schema Challenge,ウィノグラードスキーマチャレンジ
789,Winogrande,ウィノグランデ
790,Woodbury matrix identity,ウッドベリー行列恒等式
791,Word Mover's Distance,ワードムーバー距離
792,Word2Vec,Word2Vec
794,XLM,XLM
795,XLNet,XLNet
796,Z-score,Zスコア
797,Zipf,ジップフ
798,Zipf distribution,ジップフ分布
799,Zipf's law,ジップフの法則
800,abductive explanation,アブダクティブ説明
801,ablation,アブレーション
802,ablation analysis,アブレーション分析
803,ablation experiment,アブレーション実験
804,abstraction,抽象化
805,abstraction heuristic,抽象ヒューリスティック
806,abstractive summarization,抽象的要約
807,accelerated gradient descent,加速勾配降下法
808,acceptance function,受容関数
809,acceptance probability,受容確率
810,accumulated error,累積誤差
32,accuracy,精度
811,achieves,達成する
812,acoustic feature,音響特徴
813,acoustic model,音響モデル
814,acquisition function,獲得関数
815,action classification,アクション分類
816,action embedding,アクション埋め込み
817,action recognition,アクション認識
818,action sequence,アクションシーケンス
819,action set,アクションセット
820,action space,行動空間
821,action-value function,行動価値関数
822,actionability,アクショナビリティ
823,activation,活性化
824,activation function,活性化関数
825,activation matrix,活性化行列
826,activation vector,活性化ベクトル
33,active learning,アクティブラーニング
827,active learning loop,アクティブラーニングループ
828,active set,アクティブセット
829,activity detection,活動検出
830,activity recognition,活動認識
831,actor,アクター
832,actor critic algorithm,アクター・クリティックアルゴリズム
833,actor network,アクターネットワーク
834,actor-critic framework,アクター・クリティックフレームワーク
835,actor-critic method,アクター・クリティック法
836,adapter-based fine-tuning,アダプターベースのファインチューニング
837,adaptive boosting algorithm,アダプティブブースティングアルゴリズム
838,adaptive thresholding,適応的しきい値処理
839,additive Gaussian noise,加法的ガウスノイズ
840,additive noise,加法ノイズ
841,adjacency,隣接性
842,adjacency matrix,隣接行列
843,advantage function,アドバンテージ関数
844,advcl,副詞節
845,adversarial,敵対的
846,adversarial attack,敵対的攻撃
847,adversarial dataset,敵対的データセット
848,adversarial example,敵対的例
849,adversarial filtering,敵対的フィルタリング
850,adversarial input,敵対的入力
851,adversarial learning,敵対的学習
852,adversarial loss,敵対的損失
853,adversarial network,敵対的ネットワーク
854,adversarial perturbation,敵対的摂動
855,adversarial prompt,敵対的プロンプト
856,adversarial robustness,敵対的ロバスト性
857,adversarial training,敵対的訓練
858,adversary,敵対者
859,advmod,advmod
860,affine,アフィン
861,affine subspace,アフィン部分空間
862,affine transform,アフィン変換
863,affine transformation,アフィン変換
864,affinity matrix,アフィニティ行列
865,affinity measure,親和性の尺度
866,agent architecture,エージェントアーキテクチャ
867,agent learning,エージェント学習
868,agent policy,エージェントポリシー
869,agent's policy,エージェントのポリシー
