,word,annotation6060,label60
140,visual,بصري,مرئي
141,multitask,متعدد المهام,متعددة المهام
142,XLM,إكس إل إم,XLM
143,compositionality,التركيبية,نمذجة التركيبة
144,correlations,الارتباطات,ارتباطات
145,softmax,سوفتماكس,softmax
146,corpus,مجموعة نصوص,مجموعة
147,VALSE,فالس,VALSE
152,meaning,المعنى,معنى
153,ARENA,أرينا,ARENA
154,decoding,فك التشفير,فك تشفير
156,datasets,مجموعات البيانات,مجموعة بيانات
158,perplexity,الارتباك,حيرة
162,BSARD,بي إس إيه آر دي,BSARD
164,retrieved,المسترجع,مسترجع
165,tokens,الرموز,رموز
167,annotators,المُعَلِّقون,المعلقين
168,edit,تعديل,تحرير
169,news,أخبار,الأخبار
171,adversarial,خصمي,عدائي
172,sentiment,المشاعر,شعور
174,contexts,السياقات,سياقات
176,Hence,وبالتالي,ومن ثم
179,predicates,المحمولات,الفرضيات
180,learning,التعلم,تعلم
183,ablation,دراسة الاجتثاث,استئصال
187,XLNet,إكس إل نت,XLNet
188,semantics,الدلالات,دلالات
191,modalities,الأنماط,طرائق
199,weights,الأوزان,أوزان
200,Clustering,التجميع,تجميع
201,language,لغة,اللغة
202,encoders,المشفرات,مشفرو
203,coreference,الإحالة المرجعية,مراجع مشترك
204,monolingual,أحادي اللغة,أحاديّ اللغة
205,generated,الذي تم توليده,الناشئة
206,BIO,ترميز BIO,BIO
211,interpretable,قابل للتفسير,قابلةٍ للتفسير
212,Architectures,الهياكل,هياكل
214,parsing,التحليل النحوي,تحليل
215,linguistics,اللغويات,لغويات
216,previous,سابق,السابق
217,Dialogue,الحوار,حوار
218,encode,ترميز,تشفير
219,QA,الأسئلة والأجوبة,ضمان الجودة
220,Additionally,بالإضافة إلى ذلك,وبالإضافة إلى ذلك
222,text,نص,النص
224,biases,التحيزات,biases
228,propose,اقترح,نقترح
231,approach,نهج,النهج
236,context,السياق,context
237,morphemes,المورفيمات,مورفيمات
238,word2vec,وورد تو فيك,word2vec
241,GPT,نموذج GPT,GPT
242,encoding,ترميز,تشفير
246,dataset,مجموعة البيانات,مجموعة بيانات
249,methods,طرق,أساليب
250,namely,أي,وهي
251,tasks,المهام,مهام
253,PubMed,بوبمد,PubMed
254,labeled,مُعَلَّم,مصنف
255,captions,التسميات التوضيحية,التعليقات
258,noun,اسم,أسم
259,unsupervised,غير خاضع للإشراف,غير الخاضع للإشراف
260,Morphology,علم الصرف,مورفولوجيا
262,semantically,دلاليًا,لغوياً
263,BLEU,مقياس بليو,BLEU
264,utterances,الكلام,اقوال
267,BETO,بيتو,BETO
268,Detecting,الكشف,كشف
269,API,واجهة برمجة التطبيقات,API
270,Modeling,النمذجة,نمذجة
