en_word1,anno1_word1,anno2_word1,source1,en_word2,anno1_word2,anno2_word2,source2,en_word3,anno1_word3,anno2_word3,source3,en_word4,anno1_word4,anno2_word4,source4,en_word5,anno1_word5,anno2_word5,source5
factor of variation,变异因素,变化因子,threshold,gold label,金标,黄金标签,threshold,graphlet kernel,图小元核,图元核,threshold,greedy maximization,贪心最大化,贪婪最大化,threshold,greedy policy,贪心策略,贪婪策略,threshold
heatmap,热力图,热图,threshold,hidden state representation,隐藏状态表示,隐状态表示,threshold,hierarchical reinforcement learning,分层强化学习,层次强化学习,threshold,hierarchical structure,分层结构,层次结构,threshold,histogram of oriented gradient,定向梯度直方图,方向梯度直方图,threshold
importance sampling estimator,重要性抽样估计器,重要性采样估计器,threshold,instruction tuning,指令调优,指令微调,threshold,interest point,特征点,兴趣点,threshold,internal regret,内部后悔,内部遗憾,threshold,intrinsic camera parameter,相机内参数,内在相机参数,threshold
intrinsic image,本质图像,内在图像,threshold,k-d tree,k-d 树,k-d树,threshold,kernel bandwidth,内核带宽,核带宽,threshold,kernel evaluation,核函数计算,核评估,threshold,keypoint match,特征点匹配,关键点匹配,threshold
language representation,语言表征,语言表示,threshold,latent representation,潜在表征,潜在表示,threshold,least square minimization,最小二乘法最小化,最小二乘最小化,threshold,linear function approximation,线性函数逼近,线性函数近似,threshold,linear probe,线性探针,线性探测器,threshold
local optima,局部最优,局部最优解,threshold,log-odd score,对数几率得分,对数优势分数,threshold,macro-action,宏动作,宏观动作,threshold,matrix-vector multiplication,矩阵向量乘法,矩阵-向量乘法,threshold,model inference,模型推断,模型推理,threshold
monotonic,单调性,单调的,threshold,multi-armed bandit,多臂老虎机问题,多臂赌博机,threshold,multi-class,多类,多类别,threshold,multi-class logistic regression,多类逻辑回归,多类别逻辑回归,threshold,multiclass classifier,多类别分类器,多类分类器,threshold
mutex,互斥量,互斥锁,threshold,normalized cut,归一化割,归一化切割,threshold,one-hot representation,独热编码表示,独热表示,threshold,ontology-mediated query,本体介导查询,本体中介查询,threshold,open set,开放集,开集,threshold
paraphrase,同义改写,释义,threshold,pattern profile,模式特征,模式概况,threshold,pattern summarization,模式总结,模式摘要,threshold,payoff function,payoff函数,收益函数,threshold,perceptual feature,知觉特征,感知特征,threshold
presence penalty,出现惩罚,存在惩罚,threshold,projective dependency parsing,投影依存句法分析,投影依赖解析,threshold,projective parsing,投射解析,投影解析,threshold,quantal response equilibrium,量子响应均衡,量子反应均衡,threshold,randomized algorithm,随机算法,随机化算法,threshold
reparameterization trick,重参数化技巧,重新参数化技巧,threshold,reprojection error,重投影误差,重新投影误差,threshold,rule body,规则体,规则主体,threshold,semidefinite program,半正定规划,半正定程序,threshold,sentiment transfer,情感迁移,情感转移,threshold
similarity measure,相似性度量,相似度度量,threshold,skip-gram model,跳词模型,跳字模型,threshold,softmax function,softmax 函数,softmax函数,threshold,softmax loss,softmax 损失,softmax损失,threshold,spectral embedding,光谱嵌入,谱嵌入,threshold
spectral learning,光谱学习,谱学习,threshold,state of the art algorithm,最先进的算法,最先进算法,threshold,state transition,状态转换,状态转移,threshold,stereo pair,立体像对,立体对,threshold,stochastic gradient method,随机梯度法,随机梯度方法,threshold
structured perceptron,结构化感知机,结构化感知器,threshold,surrogate function,代理函数,替代函数,threshold,syntactic category,句法范畴,句法类别,threshold,tagger,词性标注器,标注器,threshold,target token,目标词元,目标标记,threshold
transformation function,变换函数,转换函数,threshold,value network,价值网络,值网络,threshold,zero-one loss,0-1损失,零一损失,threshold,A2C,优势-价值,A2C,threshold,Bernoulli,伯努利分布,伯努利,threshold
Euclidean distance,欧氏距离,欧几里得距离,threshold,Hedge algorithm,Hedge算法,对冲算法,threshold,Hessian-vector product,海森矩阵-向量积,海森向量积,threshold,Machine Comprehension,机器阅读理解,机器理解,threshold,Routing Transformer,路由变压器,路由变换器,threshold
Spearman rank correlation,斯皮尔曼秩相关,斯皮尔曼等级相关,threshold,Token,词元,令牌,threshold,Transformer,Transformer,变换器,threshold,annotated corpus,标注语料库,注释语料库,threshold,answer span,答案跨度,答案范围,threshold
averaged perceptron algorithm,平均感知机算法,平均感知器算法,threshold,back-off strategy,退避策略,回退策略,threshold,beam search algorithm,波束搜索算法,束搜索算法,threshold,big-O notation,大O表示法,大O符号,threshold,block matrix,分块矩阵,块矩阵,threshold
brute force search,穷举搜索,暴力搜索,threshold,contextualized embedding,情境化嵌入,上下文化嵌入,threshold,credit assignment,奖励分配,信用分配,threshold,datum dependency,数据依赖,数据依赖性,threshold,dual program,对偶规划,对偶程序,threshold
facial recognition,人脸识别,面部识别,threshold,few-shot classification,小样本分类,少样本分类,threshold,generative parser,生成式解析器,生成解析器,threshold,hidden size,隐藏层大小,隐藏大小,threshold,inference process,推断过程,推理过程,threshold
leaf node,叶子节点,叶节点,threshold,max-product semiring,最大乘积半环,最大积半环,threshold,multi-classification,多类别分类,多分类,threshold,mutual entropy,互信息,互信息熵,threshold,nominal mention,名词性提及,名义提及,threshold
object proposal,物体候选区域,物体提议,threshold,object tracking,目标跟踪,物体跟踪,threshold,part of speech tag,词性标签,词性标记,threshold,partial evaluation,部分求值,部分评估,threshold,primal-dual algorithm,原始对偶算法,原始-对偶算法,threshold
recurrent dynamic,循环动力学,循环动态,threshold,regret bound,遗憾界限,遗憾界,threshold,regret minimization,后悔最小化,遗憾最小化,threshold,roll-out policy,回滚策略,展开策略,threshold,seq2seq model,seq2seq模型,序列到序列模型,threshold
sequential decision making,序贯决策,序列决策,threshold,similarity function,相似度函数,相似性函数,threshold,span,生成子空间,张成,threshold,syntactic dependency parsing,句法依存解析,句法依赖解析,threshold,tangent space,切线空间,切空间,threshold
word alignment,词对齐,单词对齐,threshold,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
