en_word1,anno1_word1,anno2_word1,source1,en_word2,anno1_word2,anno2_word2,source2,en_word3,anno1_word3,anno2_word3,source3,en_word4,anno1_word4,anno2_word4,source4,en_word5,anno1_word5,anno2_word5,source5
clip range,диапазон клипа,диапазон обрезки,threshold,clipping threshold,порог отсечения,порог обрезки,threshold,coarse-to-fine,от грубого к тонкому,грубый к тонкому,threshold,column vector,вектор-столбец,столбцовый вектор,threshold,conditional expectation,условное математическое ожидание,условное ожидание,threshold
conditional log likelihood,условное логарифмическое правдоподобие,условная логарифмическая вероятность,threshold,confusion network,сеть неразберихи,сеть путаницы,threshold,conjugate gradient,метод сопряжённых градиентов,сопряженный градиент,threshold,contextual model,контекстуальная модель,контекстная модель,threshold,contextual vector,контекстуальный вектор,контекстный вектор,threshold
contingency table,таблица сопряженности,контингентная таблица,threshold,contrastive objective,контрастивная цель,контрастная цель,threshold,convex conjugate,выпуклый сопряженный функционал,выпуклый сопряжённый,threshold,convex objective,выпуклая целевая функция,выпуклая цель,threshold,convolution layer,свёрточный слой,сверточный слой,threshold
coordinate descent,координатный спуск,спуск по координатам,threshold,cost volume,объем затрат,объем стоимости,threshold,cumulative distribution function,функция накопленного распределения,кумулятивная функция распределения,threshold,data mining,интеллектуальный анализ данных,добыча данных,threshold,datum fidelity,достоверность данных,точность данных,threshold
decision boundary,граница принятия решения,граница решения,threshold,deep net,глубокая нейронная сеть,глубокая сеть,threshold,dependency path,путь зависимостей,путь зависимости,threshold,directed acyclic graph,ориентированный ациклический граф,направленный ациклический граф,threshold,distance transform,трансформация расстояния,преобразование расстояния,threshold
distributional model,модель распределения,распределительная модель,threshold,domain knowledge,знание предметной области,предметные знания,threshold,domain-specific,специфичный для домена,специфичный для области,threshold,dual norm,двойственная норма,двойная норма,threshold,dual program,двойственная задача,двойная программа,threshold
eigenspectrum,спектр собственных значений,собственный спектр,threshold,embedding model,модель эмбеддинга,модель встраивания,threshold,embedding space,пространство эмбеддингов,пространство встраивания,threshold,embedding vector,вектор эмбеддинга,вектор встраивания,threshold,encoder layer,слой энкодера,слой кодировщика,threshold
encoder model,модель энкодера,модель кодировщика,threshold,equalized odd,уравненные шансы,уравновешенные шансы,threshold,equivalence query,запрос эквивалентности,запрос на эквивалентность,threshold,error tolerance,толерантность к ошибкам,допустимая ошибка,threshold,evaluation set,оценочный набор,набор для оценки,threshold
feature matching,соответствие признаков,сопоставление признаков,threshold,feature representation learning,обучение представления признаков,обучение представлению признаков,threshold,fine-tune,дообучить,дообучение,threshold,functionality assertion,утверждение о функциональности,утверждение функциональности,threshold,generative pre-training,генеративное предобучение,генеративное предварительное обучение,threshold
geodesic,геодезический,геодезическая,threshold,gradient vector,вектор градиента,градиентный вектор,threshold,graph attention,внимание к графу,внимание графа,threshold,hard attention,жёсткое внимание,жесткое внимание,threshold,human annotation,человеческие аннотации,человеческая аннотация,threshold
image encoder,кодировщик изображений,кодировщик изображения,threshold,image pyramid,пирамида изображений,пирамидальная структура изображения,threshold,indicator matrix,Индикаторная матрица,матрица индикаторов,threshold,indicator vector,индикаторный вектор,вектор индикаторов,threshold,inference machinery,механизм инференции,механизм вывода,threshold
information retrieval system,информационно-поисковая система,система поиска информации,threshold,information theoretic,теоретико-информационный,информационно-теоретический,threshold,information theoretic measure,теоретико-информационная мера,информационно-теоретическая мера,threshold,input representation,представление входных данных,входное представление,threshold,interval estimate,оценка интервала,интервальная оценка,threshold
intrinsic image,внутренние изображения,внутреннее изображение,threshold,joint embedding space,совместное пространство вложений,совместное пространство встраивания,threshold,joint likelihood,совместная правдоподобие,совместная вероятность,threshold,joint probability table,таблица совместной вероятности,таблица совместных вероятностей,threshold,lambda calculus,лямбда-исчисление,λ-исчисление,threshold
latent distribution,Латентное распределение,скрытое распределение,threshold,latent semantic,латентная семантика,скрытая семантика,threshold,latent topic,латентная тема,скрытая тема,threshold,lazy grounding,ленивое заземление,ленивое связывание,threshold,leaf node,узел-лист,листовой узел,threshold
learning agent,агент обучения,обучающий агент,threshold,majority voting,голосование большинством,голосование большинства,threshold,matrix vector product,умножение матрицы на вектор,произведение матрицы на вектор,threshold,maximal clique,максимальная клика,максимальный клика,threshold,maximum entropy,максимум энтропии,максимальная энтропия,threshold
meta-learn,метаобучение,мета-обучение,threshold,meta-parameter,метапараметр,мета-параметр,threshold,metric score,метрический балл,метрическая оценка,threshold,micro-average,микросредний,микро-среднее,threshold,misclassification error,ошибка неверной классификации,ошибка классификации,threshold
mixed integer programming,задача смешанного целочисленного программирования,смешанное целочисленное программирование,threshold,model bias,Предвзятость модели,смещение модели,threshold,model distillation,Модельная дистилляция,дистилляция модели,threshold,model inference,инференс модели,вывод модели,threshold,multi-agent,мультиагентный,многоагентный,threshold
multi-modal learning,мультимодальное обучение,многомодальное обучение,threshold,multi-scale,многомасштабный,многоуровневый,threshold,n-step returns,n-шаговые возвраты,n-шаговые вознаграждения,threshold,negative sample,отрицательный пример,отрицательный образец,threshold,neighborhood function,функция окрестности,функция соседства,threshold
node representation,представление узлов,представление узла,threshold,non-convex problem,невыпуклая задача,неконвексная задача,threshold,normal,нормали,нормаль,threshold,object domain,домен объектов,область объектов,threshold,open-ended text generation,генерация текста с открытым завершением,генерация текста с открытым концом,threshold
optimization objective,целевая функция оптимизации,цель оптимизации,threshold,parsing model,модель синтаксического анализа,модель разбора,threshold,perceptual loss,перцептивная потеря,перцептивные потери,threshold,permutation test,пермутационный тест,тест на перестановки,threshold,pipeline,трубопровод,конвейер,threshold
point match,сопоставление точек,соответствие точек,threshold,policy class,класс стратегий,класс политик,threshold,pooling layer,слой объединения,слой подвыборки,threshold,precision matrix,прецизионная матрица,матрица точности,threshold,precision-recall curve,кривая точность-полнота,кривая точности и полноты,threshold
predicate-argument relation,предикатно-аргументное отношение,отношение предикат-аргумент,threshold,prediction head,головка предсказания,голова предсказания,threshold,predictive model,прогностическая модель,предсказательная модель,threshold,primal variable,Примальная переменная,первичная переменная,threshold,proposal distribution,предлагаемое распределение,распределение предложений,threshold
pruning algorithm,алгоритм отсечения,алгоритм обрезки,threshold,random crop,случайная обрезка,случайное обрезание,threshold,recommendation model,рекомендательная модель,модель рекомендаций,threshold,regression task,регрессионная задача,задача регрессии,threshold,relative positional embedding,относительное позиционное вложение,относительное позиционное встраивание,threshold
satisfiability problem,проблема удовлетворимости,задача удовлетворимости,threshold,scene recognition,распознавание сцен,распознавание сцены,threshold,semantic equivalence,семантическая эквивалентность,семантическое эквивалентность,threshold,semantic feature,семантическая характеристика,семантическая особенность,threshold,sentiment classification,классификация тональности,классификация настроений,threshold
source token,токен источника,исходный токен,threshold,sparsification,разреживание,разрежение,threshold,state transition probability,вероятность перехода состояний,вероятность перехода состояния,threshold,steerable filter,направляемый фильтр,управляемый фильтр,threshold,stochastic gradient method,метод стохастического градиента,стохастический градиентный метод,threshold
symmetric matrix,симметричная матрица,симметрическая матрица,threshold,temporal derivative,темпоральная производная,временная производная,threshold,temporal variable,темпоральная переменная,временная переменная,threshold,term frequency,Частота термина,частотность термина,threshold,time-series datum,элемент временного ряда,данные временного ряда,threshold
topic assignment,присвоение тем,назначение темы,threshold,trainable parameter,обучаемый параметр,настраиваемый параметр,threshold,training error,ошибка на обучающей выборке,ошибка обучения,threshold,training example,пример обучения,обучающий пример,threshold,training token,обучающий токен,токен обучения,threshold
tree-based model,модель на основе деревьев,модель на основе дерева,threshold,treebank annotation,аннотация синтаксического дерева,аннотация дерева,threshold,uncertainty,неопределённость,неопределенность,threshold,unsupervised method,метод без учителя,неконтролируемый метод,threshold,user-item matrix,матрица пользователь-элемент,матрица пользователь-объект,threshold
value network,ценностная сеть,сеть ценности,threshold,value-based reinforcement learning,обучение с подкреплением на основе ценности,обучение с подкреплением на основе ценностей,threshold,vanishing gradient,проблема исчезающего градиента,исчезающий градиент,threshold,volume rendering,объемный рендеринг,объемная визуализация,threshold,weight parameter,весовой параметр,параметр веса,threshold
weight vector,весовой вектор,вектор весов,threshold,worst case,наихудший случай,худший случай,threshold,2D-3D correspondence,соответствие 2D-3D,2D-3D соответствие,threshold,3D mesh,3D модель,3D сетка,threshold,Hedge algorithm,алгоритм Хеджа,алгоритм Hedge,threshold
Iverson bracket,Скобки Айверсона,скобка Айверсона,threshold,Lexical Functional Grammar,Лексическая функциональная грамматика,Лексико-функциональная грамматика,threshold,Libratus,Либратус,Libratus,threshold,Markov logic network,Марковская логическая сеть,Сеть логики Маркова,threshold,answer span,интервал ответа,диапазон ответа,threshold
autodiff,автоматическое дифференцирование,автодифференцирование,threshold,backbone network,магистральная сеть,основная сеть,threshold,big-O notation,нотация «большое О»,нотация большого O,threshold,constraint set,набор ограничений,множество ограничений,threshold,convolution layer,свёрточный слой,сверточный слой,threshold
covariate shift,ковариатный сдвиг,смещение ковариат,threshold,cross entropy,перекрестная энтропия,кросс-энтропия,threshold,cycle inequality,неравенство цикла,циклическая неравенство,threshold,dialogue generation,генерация диалогов,генерация диалога,threshold,document-level,на уровне документа,уровень документа,threshold
encoder model,модель энкодера,модель кодировщика,threshold,image-text pre-training,предварительное обучение на основе изображений и текста,предварительное обучение на изображениях и текстах,threshold,indicator vector,индикаторный вектор,вектор индикаторов,threshold,inference algorithm,алгоритм инференции,алгоритм вывода,threshold,information theoretic,теоретико-информационный,информационно-теоретический,threshold
infoset,информационное множество,информационный набор,threshold,interaction matrix,матрица взаимодействий,матрица взаимодействия,threshold,lambda calculus,лямбда-исчисление,λ-исчисление,threshold,multi-modal learning,мультимодальное обучение,многомодальное обучение,threshold,multivariate time series,многомерные временные ряды,многомерный временной ряд,threshold
orthographic camera model,ортографическая модель камеры,ортографическая камера,threshold,perceptual loss,перцептивная ошибка,перцептивные потери,threshold,pre-training task,задача предобучения,задача предварительного обучения,threshold,probabilistic inference,вероятностное выведение,вероятностное вывод,threshold,prototype embedding,встраивание прототипов,встраивание прототипа,threshold
recommendation system,рекомендательная система,система рекомендаций,threshold,softmax activation,активация softmax,активация софтмакс,threshold,softmax activation function,Функция активации softmax,функция активации софтмакс,threshold,super-resolution,сверхразрешение,суперразрешение,threshold,temporal variable,темпоральная переменная,временная переменная,threshold
test accuracy,точность на тестовых данных,точность тестирования,threshold,test domain,тестовый домен,тестовая область,threshold,unigram distribution,распределение униграмм,униграммное распределение,threshold,-,-,-,-,-,-,-,-
