,word,validated_translation
444,Bayes-Nash equilibrium,贝叶斯-纳什均衡
458,Bayesian Information Criterion,贝叶斯信息准则
461,Bayesian MCMC methods,贝叶斯马尔可夫链蒙特卡洛方法
445,Bayesian active learning,贝叶斯主动学习
446,Bayesian analysis,贝叶斯分析
447,Bayesian approach,贝叶斯方法
448,Bayesian clustering,贝叶斯聚类
449,Bayesian decision,贝叶斯决策
450,Bayesian decision theory,贝叶斯决策理论
451,Bayesian deep learning,贝叶斯深度学习
452,Bayesian estimation,贝叶斯估计
453,Bayesian evidence,贝叶斯证据
454,Bayesian framework,贝叶斯框架
455,Bayesian game,贝叶斯博弈
456,Bayesian induction,贝叶斯归纳
457,Bayesian inference,贝叶斯推断
459,Bayesian learning,贝叶斯学习
460,Bayesian linear regression,贝叶斯线性回归
462,Bayesian method,贝叶斯方法
463,Bayesian methods,贝叶斯方法
464,Bayesian model,贝叶斯模型
465,Bayesian molecular,贝叶斯分子
466,Bayesian network,贝叶斯网
467,Bayesian optimization,贝叶斯优化
468,Bayesian perspective,贝叶斯视角
469,Bayesian prior,贝叶斯先验
470,Bayesian probabilistic model,贝叶斯概率模型
471,Bayesian probability,贝叶斯概率
472,Bayesian program learning,贝叶斯程序学习
473,Bayesian regularized neural network,贝叶斯正则化神经网络
474,Bayesian statistics,贝叶斯统计
475,Bayesian update,贝叶斯更新
488,Bellman,贝尔曼
489,Bellman backup,贝尔曼回溯
490,Bellman equation,贝尔曼方程
491,Bellman error,贝尔曼误差
492,Bellman operator,贝尔曼算子
493,Bellman optimality equation,贝尔曼最优方程
497,Berkeley parser,伯克利解析器
498,Berkeley segmentation dataset,伯克利分割数据集
499,Bernoulli,伯努利
500,Bernoulli distribution,伯努利分布
501,Bernoulli likelihood,伯努利似然
502,Bernoulli output distribution,伯努利输出分布
503,Bernoulli random variable,伯努利随机变量
504,Bernoulli sampling,伯努利采样
505,Bernoulli trial,伯努利试验
506,Bernoulli variable,伯努利变量
507,Bernstein's inequality,伯恩斯坦不等式
516,Bethe approximation,贝特近似
522,Bhattacharyya coefficient,巴塔查里亚系数
618,Bloom filter,布隆过滤器
621,Boltzmann,玻尔兹曼
622,Boltzmann distribution,玻尔兹曼分布
623,Boltzmann exploration,玻尔兹曼探索
624,Boltzmann factor,玻尔兹曼因子
625,Boltzmann machine,玻尔兹曼机
627,Bonferroni correction,邦弗朗尼校正
628,Boolean formula,布尔公式
629,Boolean function,布尔函数
630,Boolean variable,布尔变量
642,Borda scores,博尔达得分
657,Bradley-Terry Model,布拉德利-特里模型
658,Branch and Bound,分支定界法
664,Bregman divergence,布雷格曼散度
665,Bregman's method,布雷格曼方法
668,Broyden's algorithm,Broyden类算法
669,Broyden–Fletcher–Goldfarb–Shanno,BFGS
672,Buchwald−Hartwig cross-coupling,Buchwald–Hartwig 偶联
674,Bundle adjustment,光束法平差
678,Byte-Pair Encoding,字节对编码
679,C4.5 algorithm,C4.5 算法
712,CAS,具体含义需根据上下文确定
716,CASP,国际蛋白质结构预测竞赛
738,CDA,对比数据增强
739,CEAS,认知情感分析系统
818,CLIP,对比语言-图像预训练模型
834,CLS,CLS
890,COLT,国际学习理论会议
1020,CONLL,会议自然语言处理与计算语言学
1220,CRF,条件随机场
686,Caltech-101,Caltech-101数据集
687,CamemBERT,CamemBERT
695,Canny detector,Canny检测器
696,Canny edge detector,Canny边缘检测器
710,Cartesian coordinate,笛卡尔坐标
711,Cartesian distance vector,笛卡尔距离向量
715,Cascade-Correlation,级联相关
749,Chamfer Distance,倒角距离
758,Charniak parser,Charniak解析器
762,Chebyshev acceleration,切比雪夫加速
763,Chebyshev distance,切比雪夫距离
764,Chebyshev polynomial,切比雪夫多项式
766,ChemDataExtractor,化学数据提取器
768,Chernoff bound,切尔诺夫界
773,Cholesky decomposition,Cholesky 分解
774,Cholesky factor,Cholesky 因子
775,Cholesky factorization,Cholesky 分解法
776,Chomsky normal form,乔姆斯基范式
780,Chu-Liu-Edmonds algorithm,Chu-Liu-Edmonds 算法
781,Chung-Lu model,Chung-Lu模型
869,CodeBERT,CodeBERT
878,Cohen's kappa,科恩卡帕系数
879,Cohen's kappa coefficient,Cohen's kappa系数
880,Cohen's κ,科恩κ系数
898,Combinatory Categorial Grammar,组合范畴语法
906,Commonsense Reasoning,常识推理
928,Compressed sensing,压缩感知
942,Computational linguistic,计算语言学
968,Condition 1,条件1
976,Conditional Generation,条件生成
998,Condorcet winner,孔多塞赢家
1089,Contrastive Learning,对比学习
1163,Coreference Resolution,共指消解
1167,Coreset,核心集
1169,Corpora,语料库
1182,Cosine distance,余弦距离
1196,Coulomb matrix,库仑矩阵
1203,Counterfactual Regret Minimization,反事实遗憾最小化
1204,Coupled-cluster predictions,耦合簇预测
1231,Cross Entropy Loss,交叉熵损失
1343,DE algorithm,差分进化算法
1515,DFT calculations,DFT计算
1321,Datalog,数据逻辑
1322,Datalog program,Datalog 程序
1324,Dataset,数据集
1341,Davidon-Fletcher-Powell,DFP
1347,Decentralized optimization,分布式优化
1359,Decision Transformer,决策变换器
1375,Decomposable Attention,可分解注意力
1376,Decomposable Attention Model,可分解注意力模型
1425,Delta-bar-delta,Delta-Bar-Delta
1426,Demographic Parity,人口统计平等
1493,Detecting,检测
1501,Detectron,Detectron
1503,Determinantal Point process,行列式点过程
1518,Dialogue,对话
1526,Dialogue State Tracking,对话状态跟踪
1530,Dice coefficient,Dice系数
1531,Dice loss,Dice损失
1532,Dice similarity,戴斯相似度
1552,Dijkstra's algorithm,Dijkstra算法
1562,Dirac delta function,Dirac Delta函数
1563,Dirac distribution,Dirac分布
1564,Dirac measure,狄拉克测度
1575,Dirichlet,狄利克雷
1578,Dirichlet Process,狄利克雷过程
1576,Dirichlet distribution,狄利克雷分布
1577,Dirichlet prior,狄利克雷先验
1608,Disentanglement,解缠结
1689,Dropout distribution,Dropout分布
1724,E-step,E步
1729,Earth-mover's distance,推土机距离
1731,Edge,边
1754,Elastic Net,弹性网络
1757,Electra,Electra
1766,Elman,埃尔曼
1835,English,英语
1857,Entity Linking,实体链接
1875,Epanechnikov kernel,Epanechnikov核函数
1911,Euclidean,欧几里得
1912,Euclidean distance,欧氏距离
1913,Euclidean distances,欧几里得距离
1914,Euclidean divergence,欧几里得散度
1915,Euclidean loss,欧几里得损失
1916,Euclidean norm,欧几里得范数
1917,Euclidean plane,欧几里得平面
1918,Euclidean projection,欧几里得投影
1919,Euclidean space,欧氏空间
1920,Euclidean transformation,欧几里得变换
1921,Euler angle,欧拉角
1922,Euler step,欧拉步
1923,Euler-Lagrange equation,欧拉-拉格朗日方程
1943,Exact Match,精确匹配
1995,Extended Kalman Filter,扩展卡尔曼滤波器
2010,F-measure,F值
2011,F-score,F分数
2012,F1 measure,F1值
2013,F1 metric,F1指标
2014,F1 score,F1分数
2034,FAIR data principles,FAIR数据原则
2169,FLR,最终延迟减少
2015,Faber-Christensen-Huang-Lilienfeld,Faber-Christensen-Huang-Lilienfeld
2038,Fairseq,Fairseq
2046,Fano's inequality,法诺不等式
2049,Fast Fourier Transform,快速傅里叶变换
2053,Fchl representation,Fchl 表示
2113,FeSTE,FeSTE
2082,Feature Pyramid Network,特征金字塔网络
2099,Federated Learning,联邦学习
2148,Fisher information matrix,Fisher信息矩阵
2149,Fisher score,费舍尔得分
2159,Fleiss' kappa,弗莱斯κ系数
2168,Floyd-Warshall algorithm,弗洛伊德-沃肖尔算法
2171,Focal Loss,焦点损失
2173,Fokker-Planck equation,福克-普朗克方程
2175,For,例如
2195,Fourier basis function,傅里叶基函数
2196,Fourier coefficient,傅里叶系数
2197,Fourier feature,傅里叶特征
2198,Fourier frequency,傅里叶频率
2199,Fourier transform,傅立叶变换
2209,French,法语
2219,Frobenius inner product,弗罗贝尼乌斯内积
2220,Frobenius norm,Frobenius 范数
2221,Fréchet,弗雷歇
2246,Furthermore,此外
2393,GLUE,GLUE基准
2400,GPT,GPT
2252,Ga-based approaches,基于遗传算法的方法
2253,Gabor function,Gabor函数
2260,Gamma prior,伽马先验
2273,Gauss-Newton algorithm,高斯-牛顿算法
2274,Gauss-Seidel method,高斯-赛德尔方法
2302,Gaussian RBM,高斯RBM
2275,Gaussian blur,高斯模糊
2276,Gaussian complexity,高斯复杂度
2277,Gaussian component,高斯成分
2278,Gaussian conditional random field,高斯条件随机场
2279,Gaussian density,高斯密度
2280,Gaussian distribution,高斯分布
2281,Gaussian elimination,高斯消元法
2282,Gaussian error linear unit,高斯误差线性单元
2283,Gaussian filter,高斯滤波器
2284,Gaussian function,高斯函数
2285,Gaussian initialization,高斯初始化
2286,Gaussian kernel,高斯核
2287,Gaussian kernel function,高斯核函数
2288,Gaussian kernels,高斯核
2289,Gaussian likelihood,高斯似然
2290,Gaussian matrix,高斯矩阵
2291,Gaussian mixture,高斯混合
2292,Gaussian mixture model,高斯混合模型
2293,Gaussian mixtures,高斯混合
2294,Gaussian model,高斯模型
2295,Gaussian noise,高斯噪声
2296,Gaussian output distribution,高斯输出分布
2297,Gaussian prior,高斯先验
2298,Gaussian process,高斯过程
2299,Gaussian process model,高斯过程模型
2300,Gaussian process regression,高斯过程回归
2301,Gaussian random variable,高斯随机变量
2303,Gaussian smoothing,高斯平滑
2304,Gaussian variable,高斯变量
2305,Gaussian weight,高斯权重
2306,Gaussian-Bernoulli RBM,高斯-伯努利RBM
2307,Gaussian-type structure descriptors,高斯型结构描述符
2308,Gene Ontology,基因本体
2358,Gensim,Gensim
2369,Gibbs distribution,吉布斯分布
2370,Gibbs iteration,吉布斯迭代
2371,Gibbs sampler,吉布斯采样器
2372,Gibbs sampling,吉布斯采样
2373,Gibbs steps,吉布斯步数
2374,Gini coefficient,基尼系数
2375,Gini index,基尼指数
2397,Good-Turing estimate,古德-图灵估计
2398,GoogLeNet,GoogLeNet
2443,Gram matrix,Gram 矩阵
2491,Graph Transformer,图转换器
2542,Gröbner basis,Gröbner 基
2543,Gumbel,甘贝尔分布
2544,Gumbel distribution,Gumbel 分布
2545,Gumbel noise,古姆贝尔噪声
2546,Gumbel-softmax distribution,古姆贝尔-softmax分布
2547,Haar wavelet,哈尔小波
2548,Hadamard matrix,哈达玛矩阵
2549,Hadamard product,Hadamard积
2552,Hamiltonian Monte Carlo,哈密顿蒙特卡罗
2551,Hamiltonian matrix,哈密顿矩阵
2553,Hamiltonian operator,哈密顿算符
2554,Hamming distance,汉明距离
2555,Hamming loss,汉明损失
2557,Hankel matrix,汉克尔矩阵
2569,Harris chain,哈里斯链
2576,Hausdorff distance,豪斯多夫距离
2581,Hebbian rule,赫布法则
2582,Hebbian theory,赫布理论
2583,Hedge algorithm,对冲算法
2585,Hellinger distance,Hellinger距离
2586,Helmholtz machine,Helmholtz机
2587,Hence,因此
2588,Hesse matrix,海赛矩阵
2589,Hessian,Hessian
2590,Hessian matrix,黑塞矩阵
2591,Hessian-vector product,海森向量积
2631,Hiero system,Hiero系统
2647,Hilbert space,希尔伯特空间
2654,Hodge decomposition,霍奇分解
2655,Hoeffding's inequality,霍夫丁不等式
2661,Homography,单应性
2665,Hopfield network,Hopfield网络
2666,Horn theory,霍恩理论
2667,HowTo100M,HowTo100M
2668,Huber loss,Huber 损失
2669,Huber norm,胡贝尔范数
2670,Huffman coding,霍夫曼编码
2680,Hungarian loss,匈牙利损失
2684,Hybrid-neural model,混合神经模型
2686,Hyper-parameter,超参数
2688,Hyperband,Hyperband算法
2696,Hyperparameter search,超参数搜索
2714,ICLR,国际学习表征会议
2724,IDF,逆文档频率
2715,Id3 algorithm,Id3 算法
2772,In-context Learning,上下文学习
2779,Inception network,Inception网络
2788,Independent Cascade,独立级联模型
2789,Independent Cascade Model,独立级联模型
2826,Influence Maximization,影响力最大化
2832,Information Extraction,信息提取
2842,Informer model,Informer模型
2883,Inside-Outside algorithm,内外算法
2886,Instance Normalization,实例归一化
2965,Ising model,伊辛模型
2986,Iverson bracket,艾弗森括号
2987,Jaccard,杰卡德
2988,Jaccard index,杰卡德指数
2989,Jaccard similarity,杰卡德相似度
2990,Jaccard similarity coefficient,杰卡德相似系数
2991,Jacobian,雅克比
2992,Jacobian matrix,雅可比矩阵
2993,Jensen inequality,Jensen不等式
2994,Jensen's inequality,詹森不等式
2995,Jensen-Shannon,詹森-香农
2996,Jensen-Shannon divergence,JS散度
3014,Jordan-Elman neural networks,Jordan-Elman 神经网络
3020,K-1 folds,K-1 折
3029,K-L divergence,K-L散度
3021,K-armed bandit problem,k-摇臂老虎机
3026,K-edge,K-边缘
3030,K-means,K-均值
3031,K-means algorithm,K均值算法
3032,K-means clustering,k-均值聚类
3086,KL divergence,KL散度
3090,KNN model,K 近邻模型
3038,Kalman filter,卡尔曼滤波器
3039,Karush-Kuhn-Tucker condition,KKT条件
3040,Karush–Kuhn–Tucker,Karush–Kuhn–Tucker
3041,Kd tree,Kd 树
3042,Kendall's τ,肯德尔秩相关系数
3043,Kendall’s tau,肯德尔等级相关系数
3044,Keras,Keras
3045,Kernel,核函数
3085,KinyaBERT,KinyaBERT
3087,Kleene closure,克林闭包
3089,Kneser-Ney smoothing,Kneser-Ney平滑
3103,Kolmogorov-Smirnov test,科尔莫戈罗夫-斯米尔诺夫检验
3104,Krippendorff's α,克里彭多夫 α 系数
3105,Kronecker delta,克罗内克δ函数
3106,Kronecker product,Kronecker积
3107,Krylov method,Krylov方法
3108,Kullback Leibler divergence,库尔贝克-莱布勒散度
3109,L 1 -norm,L₁范数
3110,L 1 distance,L₁距离
3111,L 2 -norm,L₂范数
3112,L 2 distance,L₂距离
3113,L 2 loss,L₂损失
3114,L 2 regularization,L2正则化
3115,L ∞ norm,L∞范数
3116,L-BFGS,L-BFGS
3117,L1 and L2 regularization,L1与L2正则化
3118,L1 bound,L1界
3119,L1 difference,L1差异
3120,L1 loss,L1损失
3121,L1 penalty,L1惩罚
3122,L1 regularization,L1正则化
3123,L1 term,L1项
3124,L2 error,L2误差
3125,L2 regularisation,L2正则化
3126,L2 regularizer,L2 正则化器
3127,L2 weight decay,L2权重衰减
3128,L2-normalization,L2归一化
3230,LBP,局部二值模式
3508,LXMert,LXMert
3145,Lagrange dual problem,拉格朗日对偶问题
3146,Lagrange duality,拉格朗日对偶性
3147,Lagrange function,拉格朗日函数
3148,Lagrange multiplier,拉格朗日乘子
3149,Lagrangian duality,拉格朗日对偶性
3150,Lagrangian multiplier,拉格朗日乘子
3151,Lagrangian relaxation,拉格朗日松弛
3153,Lambertian reflectance,朗伯反射
3154,Lanczos iteration,兰佐斯迭代
3157,Langevin dynamic,Langevin 动力学
3167,Language Modeling Toolkit,语言建模工具包
3174,Laplace approximation,拉普拉斯近似
3175,Laplace distribution,Laplace分布
3176,Laplace noise,拉普拉斯噪声
3177,Laplace smoothing,拉普拉斯平滑
3178,Laplace-Beltrami operator,拉普拉斯-贝尔特拉米算子
3179,Laplacian correction,拉普拉斯修正
3180,Laplacian distribution,拉普拉斯分布
3181,Laplacian matrix,拉普拉斯矩阵
3182,Laplacian prior,拉普拉斯先验
3183,Laplacian smoothing,拉普拉斯平滑
3189,Las Vegas method,拉斯维加斯方法
3191,Lasso,套索回归
3192,Lasso penalty,套索惩罚
3274,Lebesgue-integrable,勒贝格可积
3278,Leibniz's rule,莱布尼兹法则
3279,Lemma,引理
3283,Levenberg-Marquardt algorithm,列文伯格-马夸特算法
3284,Levenshtein distance,莱文斯坦距离
3285,Levenshtein edit distance,莱文斯坦编辑距离
3294,Lexical Functional Grammar,词汇功能语法
3305,Libratus,Libratus
3306,Lie algebra,李代数
3315,Likert scale,李克特量表
3316,LinCE,LinCE代码切换数据集
3368,Linear Threshold,线性阈值
3369,Linear Threshold Model,线性阈值模型
3374,Linear Transformer,线性变换器
3383,Linformer,Linformer
3393,Lipschitz,Lipschitz
3394,Lipschitz constant,Lipschitz常数
3395,Lipschitz continuity,利普希茨连续性
3396,Lipschitz continuous,Lipschitz连续
3397,Lipschitz function,利普希茨函数
3398,Lipschitzness,利普希茨性
3403,Local Consistency,局部一致性
3437,Log Gaussian Cox Process,对数高斯考克斯过程
3483,Longformer,Longformer
3506,Lp distance,Lp距离
3507,Lucene,Lucene
3509,Lyapunov function,李雅普诺夫函数
3510,M-estimation,M估计
3511,M-step,M步
3621,MAWPS,MAWPS
3659,MCTS method,蒙特卡洛树搜索方法
3798,ML algorithm,机器学习算法
3800,ML potentials,机器学习势能
3801,ML-driven,机器学习驱动的
3802,ML-driven optimization,机器学习驱动的最优化
3803,MLP neural model,多层感知机神经模型
3943,MTDNN,MTDNN
3512,Machine Comprehension,机器理解
3517,Machine Learning Repository,机器学习库
3520,Machine Reading Comprehension,机器阅读理解
3533,Macron-R,宏查全率
3535,Mahalanobis distance,马哈拉诺比斯距离
3536,Mahalanobis distance function,马哈拉诺比斯距离函数
3537,Mahalanobis distances,马氏距离
3538,Mahalanobis matrix,马哈拉诺比斯矩阵
3539,Mahalanobis metric,马哈拉诺比斯度量
3543,Manhattan distance,曼哈顿距离
3553,Marching Cubes,行进立方体算法
3567,Markov,马尔可夫
3568,Markov assumption,马尔可夫假设
3569,Markov blanket,马尔可夫毯
3570,Markov chain,马尔可夫链
3572,Markov chain Monte Carlo,马尔可夫链蒙特卡罗
3571,Markov chain model,马尔可夫链模型
3573,Markov decision process,马尔可夫决策过程
3574,Markov game,马尔可夫博弈
3575,Markov kernel,马尔可夫核
3576,Markov logic,马尔可夫逻辑
3577,Markov logic network,马尔可夫逻辑网络
3578,Markov model,马尔可夫模型
3579,Markov network,马尔可夫网络
3580,Markov process,马尔可夫过程
3581,Markov property,马尔可夫性质
3582,Markov random field,马尔可夫随机场
3583,Markov state,马尔可夫状态
3584,Markov transition,马尔可夫转移
3585,Markov transition matrix,马尔可夫转移矩阵
3586,Markov's inequality,马尔可夫不等式
3599,MatConvNet,MatConvNet
3598,Matching Network,匹配网络
3601,MathQA,数学问答
3608,Matrix factorization,矩阵分解
3619,Matthews correlation coefficient,马修斯相关系数
3620,Matérn kernel,Matérn 核函数
3655,Maximum Satisfiability,最大可满足性
3687,Mechanical Turk,机械土耳其人
3702,Mercer kernel,Mercer 核
3734,Metropolis Hastings,梅特罗波利斯-黑斯廷斯算法
3733,Metropolis algorithm,梅特罗波利斯算法
3735,Metropolis method,Metropolis方法
3736,Metropolis-Hasting,梅特罗波利斯-哈斯廷斯
3737,Metropolis-Hastings acceptance ratio,梅特罗波利斯-哈斯廷斯接受比率
3738,Metropolis-Hastings algorithm,梅特罗波利斯-哈斯廷斯算法
3739,Metropolis-Hastings sampler,Metropolis-Hastings采样器
3743,Micro-P,微査准率
3772,Minkowski distance,闵可夫斯基距离
3797,Mixup,混合数据增强
3871,Modeling,建模
3899,Monotonicity,单调性
3900,Monte Carlo,蒙特卡罗
3903,Monte Carlo Dropout,蒙特卡罗丢弃法
3901,Monte Carlo algorithm,蒙特卡罗算法
3902,Monte Carlo approximation,蒙特卡罗近似
3904,Monte Carlo estimate,蒙特卡罗估计
3905,Monte Carlo estimation,蒙特卡罗估计
3906,Monte Carlo estimator,蒙特卡罗估计器
3907,Monte Carlo integration,蒙特卡罗积分
3908,Monte Carlo method,蒙特卡罗方法
3909,Monte Carlo sample,蒙特卡罗样本
3910,Monte Carlo search,蒙特卡罗搜索
3911,Monte Carlo simulation,蒙特卡罗模拟
3912,Monte Carlo tree search,蒙特卡洛树搜索
3913,Monte-Carlo return,蒙特卡罗回报
3914,Moore's law,摩尔定律
3915,Moore-Penrose pseudo-inverse,摩尔-彭罗斯伪逆
3916,Moore-Penrose pseudoinverse,Moore-Penrose 伪逆
3917,Moore’s law,摩尔定律
3920,Moreover,此外
3921,Morfessor,Morfessor形态分析器
3931,Morphology,形态学
3998,Multi-Task Learning,多任务学习
4013,Multidimensional Quality metric,多维质量指标
4014,Multidimensional Scaling,多维尺度分析
4030,Multiple Choice,多项选择
4185,NLI,自然语言推理
4186,NLP,自然语言处理
4058,Nadaraya-Watson estimator,Nadaraya-Watson估计量
4072,Nash equilibria,纳什均衡
4073,Nash equilibrium,纳什均衡
4074,Nash reversion,纳什回归
4075,Nash welfare,纳什福利
4082,Natural Language Inference,自然语言推理
4085,Natural Language Understanding,自然语言理解
4089,Natural question,自然问题
4090,Naïve Bayes,朴素贝叶斯
4118,Nesterov accelerated gradient,Nesterov加速梯度
4119,Nesterov momentum,Nesterov动量法
4142,Neural Information Processing Systems,神经信息处理系统
4159,Neural Radiance field,神经辐射场
4170,Neural volume,神经体积
4181,Newton method,牛顿法
4182,Newton's method,牛顿法
4213,Nom-Bank,名词库
4236,Non-maximum suppression,非极大值抑制
4302,Nucleus Sampling,核采样
4314,Nyström approximation,Nyström 近似
4382,OOV,超出词汇表
4326,Object Localization,目标定位
4343,Occam's razor,奥卡姆剃刀
4383,Open Information Extraction,开放信息抽取
4413,Optimization Problem,优化问题
4427,Ornstein-Uhlenbeck,奥恩斯坦-乌伦贝克
4468,PAC learning,PAC学习
4469,PAC-learnable,PAC可学习
4746,PR curve,P-R曲线
4482,PaLM,PaLM
4524,Pareto dominated,帕累托支配
4525,Pareto frontier,帕累托前沿
4526,Pareto optimal,帕累托最优
4527,Pareto optimality,帕累托最优性
4528,Pareto-efficient,帕累托有效
4551,Partially Observable Markov Decision Process,部分可观测马尔可夫决策过程
4557,Parzen window,帕尔岑窗口
4569,Pearson correlation,皮尔逊相关系数
4570,Pearson correlation coefficient,皮尔逊相关系数
4571,Pearson's correlation,皮尔逊相关
4572,Pearson's correlation coefficient,皮尔逊相关系数
4573,Pearson's r,皮尔逊r
4574,Pearson's r correlation,皮尔逊相关系数
4579,Penn English Treebank,宾州英语树库
4580,Penn Treebank corpus,宾州树库语料库
4600,Perron-Frobenius theorem,佩龙-弗罗贝尼乌斯定理
4624,Pinsker's inequality,平斯克不等式
4626,Pitman-Yor Process,皮特曼-约尔过程
4637,Platt scaling,普拉特缩放
4650,Pointwise Mutual Information,逐点互信息
4651,Poisson distribution,泊松分布
4652,Poisson matting,泊松抠图
4653,Poisson model,泊松模型
4654,Poisson point process,泊松点过程
4655,Poisson process,泊松过程
4656,Poisson random variable,泊松随机变量
4657,Poisson rate,泊松率
4658,Poisson regression,泊松回归
4659,Poisson sampling,泊松采样
4742,Potts model,波茨模型
4897,Prop-Bank,语义角色标注库
4904,Proposition,命题
4918,Proximal Policy Optimization,近端策略优化
4925,PubMed,PubMed
4927,Py-Torch,PyTorch
4929,Q function,Q函数
4930,Q value,Q值
4931,Q-learning,Q学习
4932,Q-network,Q网络
4933,QA,问答
4934,QED,查询分解框架
4985,QUOREF,QUOREF
4944,Quality Estimation,质量估计
4969,Query expansion,查询扩展
4983,Question Answering,问答
4986,R-Precision,R-精确率
5035,REALM,REALM
5195,RGF,RGF
5211,RNSum,RNSum
5231,ROUGE,ROUGE
4987,Rademacher average,拉德马赫平均
4988,Rademacher complexity,拉德马赫复杂度
4991,Radon-Nikodym derivative,拉东-尼科迪姆导数
4998,Random Forest classifier,随机森林分类器
5023,Rao-Blackwellization,Rao-Blackwell化
5032,Reading Comprehension,阅读理解
5040,Receiver Operating Characteristic Curve,接收者操作特征曲线
5046,Recognizing Textual Entailment,识别文本蕴含
5070,Recurrent layer,循环层
5088,Reformer,Reformer
5099,Regressor,回归器
5171,ResNeXt,ResNeXt
5181,Retrieval-Augmented Generation,检索增强生成
5196,Rhetorical Structure Theory,修辞结构理论
5199,Riemann integral,黎曼积分
5200,Riemannian geometry,黎曼几何
5201,Riemannian gradient,黎曼梯度
5202,Riemannian manifold,黎曼流形
5213,Robertson-Webb model,罗伯逊-韦布模型
5233,Routing Transformer,路由变换器
5239,Runge-Kutta,龙格-库塔
5240,Runge-Kutta method,龙格-库塔方法
5242,Rényi entropy,雷尼熵
5243,S node,S节点
5244,S-expression,S表达式
5554,SMCalFlow,SMCalFlow
5925,SUTD,新加坡科技设计大学
5926,SVAMP,SVAMP
5300,Schur complement,舒尔补
5301,Scikit-learn,Scikit-learn
5345,Self-supervised learning,自监督学习
5354,Semantic,语义
5383,Semantic Scholar,语义学者
5395,Semantic Web,语义网
5423,Sentence-Piece,SentencePiece
5440,Seq2Seq,序列到序列
5471,Set Cover,集合覆盖
5478,Shannon entropy,香农熵
5479,Shannons,香农
5486,Sherman-Morrison formula,谢尔曼-莫里森公式
5487,Sherman-Morrison-Woodbury formula,谢尔曼-莫里森-伍德伯里公式
5498,Siamese architecture,孪生架构
5499,Siamese network,孪生网络
5511,Similar,相似的
5539,Sinkhorn algorithm,Sinkhorn算法
5574,Softmax layer,Softmax层
5614,Sparse Transformer,稀疏变换器
5610,Sparse reconstruction,稀疏重建
5617,Sparsemax,稀疏最大化
5627,Spearman correlation,斯皮尔曼相关系数
5628,Spearman rank correlation,斯皮尔曼等级相关
5629,Spearman's correlation,斯皮尔曼相关
5630,Spearman's correlation coefficient,斯皮尔曼相关系数
5631,Spearman's rank correlation coefficient,斯皮尔曼等级相关系数
5666,Squared Exponential kernel,平方指数核
