,word,validated_translation
153,Chebyshev polynomial,كثيرات الحدود تشيبيشيف
154,Chernoff bound,حد تشيرنوف
155,Cholesky decomposition,تحليل شولي
156,Cholesky factor,عامل شولي
157,Cholesky factorization,تحليل شولي
158,Chomsky normal form,الشكل العادي لشومسكي
159,Chu-Liu-Edmonds algorithm,خوارزمية تشو-ليو-إدموندز
160,Chung-Lu model,نموذج تشونغ-لو
162,CodeBERT,كودبيرت
163,Cohen's kappa,كابا كوهين
164,Cohen's kappa coefficient,معامل كابا لكوهين
165,Cohen's κ,كابا لكوهين
166,Combinatory Categorial Grammar,قواعد النحو التصنيفي التوليفي
1298,Commonsense Reasoning,استدلال بديهي
168,Compressed sensing,الاستشعار المضغوط
169,Computational linguistic,اللسانيات الحاسوبية
170,Condition 1,الشرط 1
171,Conditional Generation,التوليد الشرطي
173,Condorcet winner,الفائز وفقًا لمعيار كوندورسيه
174,Contrastive Learning,التعلم التبايني
176,Coreference Resolution,حل الإحالة المرجعية
177,Coreset,مجموعة النواة
178,Corpora,مجموعات بيانات
182,Cosine distance,مسافة جيب التمام
183,Counterfactual Regret Minimization,تقليل الندم المضاد للوقائع
185,Cross Entropy Loss,خسارة الانتروبيا المتقاطعة
186,Datalog,داتالوج
187,Datalog program,برنامج داتالوغ
188,Dataset,مجموعة بيانات
190,Decentralized optimization,التحسين اللامركزي
191,Decision Transformer,محول القرار
193,Decomposable Attention,الانتباه القابل للتفكيك
194,Decomposable Attention Model,نموذج الانتباه القابل للتفكيك
196,Demographic Parity,التكافؤ الديموغرافي
198,Detecting,الكشف
199,Detectron,ديتكترون
200,Determinantal Point process,عملية النقاط الحتمية
201,Dialogue,الحوار
202,Dialogue State Tracking,تتبع حالة الحوار
203,Dice coefficient,معامل دايس
204,Dice loss,خسارة دايس
205,Dijkstra's algorithm,خوارزمية ديكسترا
206,Dirac distribution,توزيع ديراك
207,Dirac measure,مقياس ديراك
208,Dirichlet,ديريشليه
209,Dirichlet Process,عملية ديريشليه
210,Dirichlet distribution,توزيع ديريشليه
211,Dirichlet prior,توزيع سابق لديريشليت
214,Disentanglement,فصل
216,Dropout distribution,توزيع الإسقاط
218,E-step,خطوة E
219,Elastic Net,الشبكة المرنة
220,Electra,إلكترا
223,English,الإنجليزية
224,Entity Linking,ربط الكيانات
226,Epanechnikov kernel,نواة إيبانيتشنيكوف
227,Euclidean,إقليدي
228,Euclidean distance,المسافة الإقليدية
229,Euclidean divergence,تباعد إقليدي
230,Euclidean loss,خسارة إقليدية
231,Euclidean norm,المعيار الإقليدي
232,Euclidean plane,المستوى الإقليدي
233,Euclidean projection,الإسقاط الإقليدي
234,Euclidean space,الفضاء الإقليدي
235,Euclidean transformation,التحويل الإقليدي
236,Euler angle,زاوية أويلر
237,Euler step,خطوة أويلر
238,Exact Match,التطابق التام
242,Extended Kalman Filter,مرشح كالمان الممتد
243,F-measure,مقياس F
244,F-score,مقياس إف
245,F1 measure,مقياس F1
246,F1 metric,مقياس F1
247,F1 score,درجة F1
248,FLR,تقليل زمن التأخير النهائي (FLR
249,Fairseq,Fairseq
250,Fano's inequality,متباينة فانو
251,Fast Fourier Transform,تحويل فورييه السريع
252,FeSTE,FeSTE
253,Feature Pyramid Network,شبكة هرم الميزات
2117,Federated Learning,تعلم متحد
254,Fisher information matrix,مصفوفة معلومات فيشر
255,Fisher score,درجة فيشر
256,Fleiss' kappa,كاپا فلييس
257,Floyd-Warshall algorithm,خوارزمية فلويد-وارشال
258,Focal Loss,الخسارة البؤرية
259,Fokker-Planck equation,معادلة فوكر-بلانك
260,For,على سبيل المثال
262,Fourier basis function,دالة أساس فورييه
263,Fourier coefficient,معامل فورييه
264,Fourier feature,ميزة فورييه
265,Fourier frequency,تردد فورييه
261,Fourier transform,تحويل فورييه
266,French,فرنسي
268,Frobenius inner product,جداء فروبنيوس الداخلي
267,Frobenius norm,معيار فروبينيوس
269,Fréchet,فريشيت
270,Furthermore,علاوة على ذلك
271,GLUE,GLUE
272,GPT,نموذج GPT
274,Gamma prior,توزيع غاما المسبق
275,Gauss-Newton algorithm,خوارزمية غاوس-نيوتن
276,Gauss-Seidel method,طريقة غاوس-سايدل
279,Gaussian blur,ضبابية غاوسية
280,Gaussian complexity,التعقيد الغاوسي
281,Gaussian component,المكون الغاوسي
282,Gaussian conditional random field,حقل عشوائي شرطي غاوسي
283,Gaussian density,كثافة غاوسية
284,Gaussian distribution,التوزيع الغاوسي
285,Gaussian elimination,الحذف الجاوسي
286,Gaussian filter,فلتر غاوسي
287,Gaussian function,دالة غاوسية
288,Gaussian initialization,تهيئة غاوسية
289,Gaussian kernel,نواة غاوسية
290,Gaussian likelihood,الاحتمالية الجاوسية
291,Gaussian matrix,مصفوفة غاوسية
292,Gaussian mixture,مزيج غاوسي
277,Gaussian mixture model,نموذج المزيج الغاوسي
293,Gaussian model,نموذج غاوسي
294,Gaussian noise,الضوضاء الغاوسية
295,Gaussian prior,التوزيع الأولي الغاوسي
278,Gaussian process,العملية الغاوسية
296,Gaussian process model,نموذج العملية الغاوسية
297,Gaussian process regression,انحدار العملية الغاوسية
298,Gaussian random variable,متغير عشوائي غاوسي
299,Gaussian smoothing,التنعيم الغاوسي
300,Gaussian variable,المتغير الغاوسي
301,Gaussian weight,وزن غاوسي
302,Gene Ontology,أنطولوجيا الجينات
307,Gensim,جينسيم
309,Gibbs iteration,تكرار غيبس
310,Gibbs sampler,جيبس ​​أخذ العينات
308,Gibbs sampling,أخذ عينات جيبس
311,Gini coefficient,معامل جيني
312,Good-Turing estimate,تقدير جود-تيرينغ
313,GoogLeNet,جوجل نت
314,Gram matrix,مصفوفة جرام
317,Graph Transformer,محول الرسم البياني
320,Gröbner basis,أساس غروبنر
321,Gumbel,غومبل
322,Gumbel distribution,توزيع غومبل
323,Gumbel noise,ضوضاء غومبل
324,Gumbel-softmax distribution,توزيع غومبل-سوفتماكس
325,Haar wavelet,موجة هار
326,Hadamard matrix,مصفوفة هادامارد
327,Hadamard product,جداء هادامارد
328,Hamiltonian Monte Carlo,هاملتونيان مونت كارلو
329,Hamming distance,مسافة هامينغ
330,Hamming loss,خسارة هامينغ
331,Hankel matrix,مصفوفة هانكل
332,Hausdorff distance,مسافة هاوسدورف
333,Hedge algorithm,خوارزمية هيدج
334,Hellinger distance,مسافة هيلينجر
335,Helmholtz machine,آلة هيلمهولتز
336,Hence,وبالتالي
337,Hessian matrix,مصفوفة هيسيان
338,Hessian-vector product,حاصل ضرب هسيان-متجه
340,Hiero system,نظام هيرو
341,Hodge decomposition,تحليل هودج
342,Hoeffding's inequality,متباينة هوفدينغ
343,Homography,الهوموغرافيا
344,Horn theory,نظرية هورن
345,HowTo100M,HowTo100M
346,Huber loss,خسارة هوبر
347,Huber norm,معيار هوبر
348,Hungarian loss,خسارة هنغارية
349,Hyper-parameter,المعلمات الفائقة
350,Hyperband,هايبر باند
351,Hyperparameter search,بحث المعلمات الفائقة
352,ICLR,مؤتمر ICLR
353,IDF,التردد العكسي في المستندات
355,In-context Learning,التعلم في السياق
356,Inception network,شبكة إنسيبشن
357,Independent Cascade,الكاسكيد المستقل
358,Independent Cascade Model,نموذج الكاسكيد المستقل
360,Influence Maximization,تعظيم التأثير
361,Information Extraction,استخراج المعلومات
363,Informer model,نموذج إنفورمر
365,Inside-Outside algorithm,خوارزمية الداخل-الخارج
366,Instance Normalization,تطبيع المثيل
368,Ising model,نموذج إيسينغ
369,Iverson bracket,قوس إيفرسون
370,Jaccard,جاكارد
371,Jaccard index,مؤشر جاكارد
372,Jaccard similarity,تشابه جاكارد
373,Jaccard similarity coefficient,معامل تشابه جاكارد
374,Jacobian matrix,مصفوفة جاكوب
375,Jensen's inequality,متباينة جنسن
376,Jensen-Shannon,جينسن-شانون
377,Jensen-Shannon divergence,تباعد جنسن-شانون
378,K-L divergence,تباعد كولباك-ليبلر
380,K-means,تجميع بالمتوسط
381,K-means algorithm,خوارزمية K-المتوسطات
379,K-means clustering,تجميع K-Means
382,Kalman filter,مرشح كالمان
383,Kendall's τ,"""معامل كيندال"" (Kendall coefficient)"
384,Keras,كيراس
385,Kernel,نواة
386,KinyaBERT,كينيا بيرت
387,Kleene closure,الإغلاق كلين
388,Kneser-Ney smoothing,تنعيم كنيزر-ني
391,Kolmogorov-Smirnov test,اختبار كولموغوروف-سميرنوف
392,Krippendorff's α,ألفا كريبندورف
393,Kronecker delta,دلتا كرونكر
394,Kronecker product,جداء كرونيكر
395,Kullback Leibler divergence,تباعد كولباك-ليبلر
396,L 1 -norm,المعيار 𝐿 1
397,L 1 distance,مسافة L1
398,L 2 -norm,المعيار 𝐿 2 L 2 ​
399,L 2 distance,مسافة L2
400,L 2 loss,خسارة L2
401,L 2 regularization,تنظيم L2
402,L ∞ norm,معيار L∞
403,L1 bound,حد L1
404,L1 difference,فرق L1
405,L1 loss,خسارة L1
406,L1 penalty,عقوبة L1
407,L1 regularization,تنظيم L1
408,L1 term,مصطلح L1
409,L2 error,خطأ L2
410,L2 regularisation,تنظيم L2
411,L2 regularizer,منظم L2
412,L2 weight decay,اضمحلال الوزن L2
413,L2-normalization,تطبيع L2
414,LXMert,LXMert
415,Lagrange multiplier,مضاعف لاغرانج
416,Lagrangian duality,الازدواجية اللاغرانجية
417,Lagrangian multiplier,مضاعف لاجرانج
418,Lagrangian relaxation,الاسترخاء اللاغرانجي
419,Lambertian reflectance,الانعكاس اللامبرتي
420,Lanczos iteration,تكرار لانكزوس
421,Langevin dynamic,ديناميكا لانجفين
423,Language Modeling Toolkit,مجموعة أدوات نمذجة اللغة
424,Laplace approximation,تقريب لابلاس
425,Laplace distribution,توزيع لابلاس
426,Laplace noise,ضوضاء لابلاس
427,Laplace smoothing,تنعيم لابلاس
428,Laplace-Beltrami operator,مشغل لابلاس-بيلترامي
429,Laplacian distribution,توزيع لابلاس
430,Laplacian matrix,مصفوفة لابلاس
431,Laplacian smoothing,تنعيم لابلاس
432,Lasso,لاسو
433,Lasso penalty,عقوبة لاسو
437,Lemma,ليمّا
438,Levenberg-Marquardt algorithm,خوارزمية ليفنبرغ-ماركاردت
439,Levenshtein distance,مسافة ليفنشتاين
440,Levenshtein edit distance,مسافة تحرير ليفينشتاين
441,Lexical Functional Grammar,قواعد اللغة الوظيفية المعجمية
442,Libratus,ليبراتوس
443,Lie algebra,جبر لاي
445,Likert scale,مقياس ليكرت
446,LinCE,لينس
447,Linear Threshold,العتبة الخطية
448,Linear Threshold Model,نموذج العتبة الخطية
449,Linear Transformer,المحول الخطي
450,Linformer,لينفورمر
451,Lipschitz,ليبشيتز
452,Lipschitz constant,ثابت ليبشيتز
453,Lipschitz continuity,استمرارية ليبشيتز
454,Lipschitz continuous,مستمر ليبشيتز
455,Lipschitz function,دالة ليبشيتز
456,Lipschitzness,خاصية ليبشيتز
457,Local Consistency,التناسق المحلي
458,Log Gaussian Cox Process,عملية كوكس لوغاريتمية غاوسية
459,Longformer,لونغفورمر
460,Lucene,لوسين
461,Lyapunov function,دالة ليابونوف
462,M-estimation,تقدير M
463,M-step,خطوة M
464,MAWPS,MAWPS
465,MTDNN,MTDNN
466,Machine Comprehension,فهم الآلة
467,Machine Learning Repository,مستودع تعلم الآلة
468,Machine Reading Comprehension,فهم القراءة الآلي
470,Mahalanobis distance,مسافة ماهالانوبس
471,Mahalanobis distance function,دالة مسافة ماهالانوبس
472,Mahalanobis matrix,مصفوفة ماهالانوبس
473,Mahalanobis metric,مقياس ماهالانوبس
474,Manhattan distance,مسافة مانهاتن
475,Marching Cubes,مكعبات مارشينغ
476,Markov,ماركوف
481,Markov assumption,افتراض ماركوف
482,Markov blanket,غلاف ماركوف
477,Markov chain,سلسلة ماركوف
478,Markov chain Monte Carlo,سلسلة ماركوف مونت كارلو
483,Markov chain model,نموذج سلسلة ماركوف
479,Markov decision process,عملية قرار ماركوف
484,Markov decision processes,عملية قرار ماركوف
485,Markov game,لعبة ماركوف
486,Markov kernel,نواة ماركوف
487,Markov logic,منطق ماركوف
488,Markov logic network,شبكة ماركوف المنطقية
489,Markov model,نموذج ماركوف
490,Markov network,شبكة ماركوف
491,Markov process,عملية ماركوف
492,Markov property,خاصية ماركوف
480,Markov random field,حقل ماركوف العشوائي
493,Markov state,حالة ماركوف
494,Markov transition,انتقال ماركوف
495,Markov transition matrix,مصفوفة انتقال ماركوف
496,Markov's inequality,متباينة ماركوف
497,MatConvNet,MatConvNet
498,Matching Network,شبكة المطابقة
499,MathQA,MathQA
501,Matrix factorization,تحليل المصفوفة
502,Matérn kernel,نواة ماتيرن
504,Maximum Satisfiability,أقصى إشباع
505,Mechanical Turk,ميكانيكال تورك
507,Metropolis Hastings,ميتروبوليس هاستينغز
508,Metropolis algorithm,خوارزمية ميتروبوليس
509,Metropolis method,طريقة متروبوليس
510,Metropolis-Hasting,خوارزمية متروبوليس-هاستينغز
511,Metropolis-Hastings acceptance ratio,نسبة قبول متروبوليس-هاستينغز
512,Metropolis-Hastings algorithm,خوارزمية ميتروبوليس-هاستينغز
513,Metropolis-Hastings sampler,مولد متروبوليس-هاستينغز
514,Mixup,خلط البيانات
516,Modeling,النمذجة
517,Monotonicity,رتابية
518,Monte Carlo,مونت كارلو
519,Monte Carlo Dropout,مونت كارلو دروب آوت
520,Monte Carlo algorithm,خوارزمية مونت كارلو
521,Monte Carlo approximation,تقريب مونت كارلو
522,Monte Carlo estimate,تقدير مونت كارلو
523,Monte Carlo estimation,تقدير مونت كارلو
524,Monte Carlo estimator,مقدر مونت كارلو
525,Monte Carlo method,طريقة مونت كارلو
526,Monte Carlo sample,عينة مونت كارلو
527,Monte Carlo search,بحث مونت كارلو
528,Monte Carlo simulation,محاكاة مونت كارلو
529,Monte Carlo tree search,البحث الشجري باستخدام مونت كارلو
530,Monte-Carlo return,عائد مونت كارلو
531,Moore-Penrose pseudo-inverse,المعكوس الزائف لمور-بينروز
532,Moreover,علاوة على ذلك
533,Morfessor,مورفيسور
534,Morphology,علم الصرف
536,Multi-Task Learning,التعلم متعدد المهام
537,Multidimensional Quality metric,مقياس الجودة متعدد الأبعاد
538,Multidimensional Scaling,التحجيم متعدد الأبعاد
539,Multiple Choice,اختيار من متعدد
542,NLI,استنتاج اللغة الطبيعية
543,NLP,معالجة اللغة الطبيعية
544,Nadaraya-Watson estimator,مقدّر نادارايا-واتسون
548,Nash equilibria,توازن ناش
549,Nash welfare,رفاهية ناش
551,Natural Language Inference,استدلال اللغة الطبيعية
552,Natural Language Understanding,فهم اللغة الطبيعية
553,Natural question,الأسئلة الطبيعية
554,Naïve Bayes,بايز الساذج
556,Nesterov momentum,زخم نيستروف
557,Neural Information Processing Systems,أنظمة معالجة المعلومات العصبية
559,Neural Radiance field,مجال الإشعاع العصبي
560,Neural volume,الحجم العصبي
561,Newton method,طريقة نيوتن
562,Newton's method,طريقة نيوتن
563,Nom-Bank,بنك الأسماء
564,Non-maximum suppression,قمع غير الأقصى
566,Nucleus Sampling,أخذ العينات باستخدام النواة
567,Nyström approximation,تقريب نايستروم
568,OOV,خارج المفردات
569,Object Localization,توطين الكائن
571,Open Information Extraction,استخراج المعلومات المفتوحة
572,Optimization Problem,مشكلة التحسين
573,Ornstein-Uhlenbeck,أورنشتاين-أولنبيك
574,PaLM,بالم
575,Pareto dominated,مهيمن عليه باريتو
576,Pareto frontier,حدود باريتو
577,Pareto optimal,الأمثل من حيث باريتو
578,Pareto optimality,الأمثلية باريتو
579,Pareto-efficient,كفء باريتو
580,Partially Observable Markov Decision Process,عملية اتخاذ قرار ماركوف يمكن ملاحظتها جزئيًا
581,Parzen window,نافذة بارزين
582,Pearson correlation,معامل ارتباط بيرسون
583,Pearson correlation coefficient,معامل ارتباط بيرسون
584,Pearson's correlation,ارتباط بيرسون
585,Pearson's correlation coefficient,معامل ارتباط بيرسون
586,Pearson's r,معامل الارتباط لبيرسون
587,Pearson's r correlation,معامل ارتباط بيرسون
588,Penn English Treebank,شجرة بن الإنجليزية
589,Penn Treebank corpus,مجموعة بيانات شجرة بن
591,Perron-Frobenius theorem,نظرية بيرون-فروبينيوس
592,Pinsker's inequality,متباينة بينسكر
593,Pitman-Yor Process,عملية بيتمان-يور
594,Platt scaling,تحجيم بلات
595,Pointwise Mutual Information,المعلومات المتبادلة على مستوى النقطة
596,Poisson distribution,توزيع بواسون
597,Poisson matting,تأطير بواسون
598,Poisson model,نموذج بواسون
599,Poisson point process,عملية نقطة بواسون
600,Poisson process,عملية بواسون
601,Poisson random variable,متغير بواسون العشوائي
602,Poisson rate,معدل بواسون
603,Poisson regression,انحدار بواسون
604,Poisson sampling,أخذ العينات بواسون
605,Potts model,نموذج بوتس
606,Prop-Bank,بروب-بانك
607,Proposition,المسلمة
608,Proximal Policy Optimization,تحسين السياسة القريب
609,PubMed,بوبمد
610,Py-Torch,باي تورش
611,Q function,دالة Q
612,Q value,قيمة Q
613,Q-learning,تعلم Q
614,Q-network,شبكة Q
615,QA,الأسئلة والأجوبة
616,QED,QED
617,QUOREF,QUOREF
618,Quality Estimation,تقدير الجودة
619,Query expansion,توسيع الاستعلام
620,Question Answering,الإجابة على الأسئلة
621,R-Precision,دقة R
622,REALM,REALM
623,RGF,RGF
624,RNSum,RNSum
625,ROC curve,منحنى دّقة الأداء
626,ROUGE,ROUGE
627,Rademacher average,متوسط راديماشر
628,Rademacher complexity,تعقيد راديماشر
629,Radon-Nikodym derivative,مشتق رادون-نيكوديم
630,Random Forest classifier,مصنف الغابة العشوائية
632,Rao-Blackwellization,راو بلاكويليزيشن
633,Reading Comprehension,فهم القراءة
634,Receiver Operating Characteristic Curve,منحنى خصائص التشغيل المستقبِل
635,Recognizing Textual Entailment,التعرف على الدلالة النصية
637,Recurrent layer,الطبقة المتكررة
638,Reformer,المُصلِح
640,Regressor,المُنحدِر
642,ResNeXt,ريزنيكست
643,Retrieval-Augmented Generation,التوليد المعزز بالاسترجاع
645,Rhetorical Structure Theory,نظرية البنية البلاغية
647,Riemannian geometry,الهندسة الريمانية
648,Riemannian gradient,التدرج الريماني
649,Riemannian manifold,مشعب ريماني
650,Robertson-Webb model,نموذج روبرتسون-ويب
651,Routing Transformer,المحول الموجه
652,Runge-Kutta,رونج-كوتا
653,Runge-Kutta method,طريقة رونج-كوتا
654,Rényi entropy,انتروبيا ريني
655,S node,عقدة S
656,S-expression,تعبير S
657,SMCalFlow,SMCalFlow
658,SUTD,SUTD
659,SVAMP,SVAMP
660,Schur complement,متمم شُور
661,Scikit-learn,سايكيت-ليرن
4167,Self-supervised learning,تعلم ذاتي التوجيه
662,Semantic,دلالي
663,Semantic Scholar,الباحث الدلالي
4212,Semantic Web,ويب دلالي
664,Sentence-Piece,جملة-قطعة
665,Seq2Seq,التسلسل إلى التسلسل
667,Set Cover,تغطية المجموعة
668,Shannon entropy,إنتروبيا شانون
669,Sherman-Morrison formula,صيغة شيرمان-موريسون
670,Sherman-Morrison-Woodbury formula,صيغة شيرمان-موريسون-وودبري
671,Siamese architecture,العمارة السيامية
672,Siamese network,الشبكة السيامية
674,Similar,مشابه
676,Sinkhorn algorithm,خوارزمية سينكهورن
677,Softmax layer,طبقة سوفتماكس
679,Sparse Transformer,المحوّل المتناثر
680,Sparse reconstruction,إعادة بناء متفرقة
681,Sparsemax,سبارسماكس
682,Spearman correlation,معامل ارتباط سبيرمان
683,Spearman rank correlation,ارتباط رتبة سبيرمان
684,Spearman's correlation,معامل ارتباط سبيرمان
685,Spearman's correlation coefficient,معامل ارتباط سبيرمان
686,Spearman's rank correlation coefficient,معامل ارتباط رتبة سبيرمان
687,Squared Exponential kernel,نواة الأسية المربعة
688,Stanford Parser,محلل ستانفورد
689,Stanford Question Answering Dataset,مجموعة بيانات ستانفورد للإجابة على الأسئلة
690,Stanford Sentiment Treebank,مجموعة بيانات ستانفورد لتحليل المشاعر
691,Stanford dependency,تبعيات ستانفورد
692,Stanford dependency framework,إطار عمل تبعية ستانفورد
693,Stanford dependency parser,محلل التبعيات في ستانفورد
694,State-of-the-art,الأحدث
695,Statistical Machine Translation,الترجمة الآلية الإحصائية
697,Story Cloze Test,اختبار إكمال القصة
698,Structure from motion,الهيكل من الحركة
699,Subgraph,الرسم البياني الفرعي
700,Submodularity,التفرعية
701,Swin-S,سوين-S
702,T5 model,نموذج T5
703,T5-11B,T5-11B
704,T5-11B model,نموذج T5-11B
705,T5-Large,T5-Large
706,T5-base,T5-base
707,T5-base model,نموذج T5-base
708,T5-large model,نموذج T5-large
709,Tanh,تانH
710,Taylor approximation,تقريب تايلور
711,TensorFlow,تينسرفلو
712,Text Classification,تصنيف النصوص
713,Text Summarization,تلخيص النصوص
714,Text-to-Text Transfer Transformer,محول نقل النص إلى النص
715,Theano,ثيانو
716,Therefore,لذلك
717,Toeplitz matrix,مصفوفة توبليتز
718,Topic Detection and Tracking,كشف وتتبع الموضوعات
719,Transformer architecture,معمارية المحول
720,Transformer block,كتلة المحولات
721,Transformer decoder,جهاز فك ترميز المحولات
722,Transformer encoder,جهاز ترميز المحولات
724,Transformer-based language model,نموذج اللغة القائم على المحولات
725,Transformer-based model,نموذج قائم على المحولات
726,Transformer-like,شبيه بالمحولات
727,Traveling Salesman Problem,مشكلة البائع المتجول
728,TreeDST,شجرةDST
730,Triggering Model,نموذج التحفيز
731,Tucker decomposition,تحليل توكر
732,Turing machine,آلة تورينج
733,Turing reduction,اختزال تورينغ
734,Turing test,اختبار تورينج
735,U-statistic,إحصائية U
737,Universal dependency,التبعية العالمية
738,Upper Confidence Bound,الحد الأعلى للثقة
739,VALSE,فالس
740,VFL,دوري فيكتوريا لكرة القدم
741,Vandermonde matrix,مصفوفة فانديرموندي
743,Vertex Cover,تغطية الرؤوس
744,ViLBERT,فيلبرت
745,Vision Transformer,محول الرؤية
746,Visual Question Answering,الإجابة على الأسئلة البصرية
747,VisualBERT,فيجوال بيرت
748,Viterbi,فيتربي
749,Viterbi algorithm,خوارزمية فيتربي
