,word,prediction_ratio,1)validated_translation_by_gpt4o,2)word>=0.5,reason,back_translations
10,annotated corpus,"[{'word': '注释语料库', 'ratio': 0.5}, {'word': '标注语料库', 'ratio': 0.5}]",标注语料库,注释语料库,"```
1. Candidate: 标注语料库
2. Explanation: The term ""标注语料库"" is the best fit for ""annotated corpus"" in the context of AI and natural language processing. In the AI domain, ""标注"" specifically refers to the process of labeling or tagging data, which aligns with the concept of an ""annotated corpus"" where data is systematically labeled for training machine learning models. This term is widely used in Chinese academic and technical literature related to AI, ensuring both semantic accuracy and contextual fit. The back translation also accurately reflects the original English term, maintaining the intended meaning.
```","['annotated corpus', 'annotated corpus', 'Annotated corpus']"
11,answer span,"[{'word': '答案范围', 'ratio': 0.7142857142857143}, {'word': '答案片段', 'ratio': 0.2857142857142857}]",答案跨度,答案范围,"```
1. Candidate: 答案跨度
2. Explanation: The term ""answer span"" in the context of AI and natural language processing refers to the specific segment of text that directly answers a given question within a passage. The candidate ""答案跨度"" directly translates to ""answer span,"" which accurately captures the concept of a range or span of text that contains the answer. This is semantically accurate and aligns well with the domain-specific usage in AI, where the focus is on identifying the precise start and end points of an answer within a text. The other candidates, ""答案片段"" (answer fragment) and ""答案范围"" (answer range), do not convey the same precision and specificity required in this context. ""答案片段"" suggests a fragment, which may imply a smaller or less defined portion, while ""答案范围"" suggests a broader range, which may not accurately reflect the precise nature of an ""answer span.""
```","['answer fragment', 'answer span', 'Answer range']"
12,averaged perceptron algorithm,"[{'word': '平均感知器算法', 'ratio': 0.7}, {'word': '平均感知机算法', 'ratio': 0.3}]",平均感知机算法,平均感知器算法,"```
1. Candidate: 平均感知机算法
2. Explanation: The term ""averaged perceptron algorithm"" is best translated as ""平均感知机算法"" because ""感知机"" accurately reflects the term ""perceptron,"" which is a specific type of algorithm used in machine learning and AI. The back translation ""average perceptron algorithm"" closely matches the original English term, ensuring semantic accuracy. In the AI domain, ""感知机"" is the standard term used for ""perceptron,"" making this translation more contextually appropriate and widely recognized among Chinese-speaking AI professionals.
```","['average perceptron algorithm', 'average perceptron algorithm']"
13,back-off strategy,"[{'word': '回退策略', 'ratio': 1.0}]",退避策略,回退策略,"```
1. Candidate: 退避策略
2. Explanation: ""退避策略"" is the best translation for ""back-off strategy"" in the context of AI and computational linguistics. The term ""back-off"" in AI typically refers to a method where the system resorts to simpler or less specific models when more detailed information is unavailable or unreliable. ""退避策略"" accurately captures this concept, as ""退避"" implies a strategic retreat or fallback to a less complex state, aligning well with the AI domain's usage of progressively less reliable information. The back translation as ""backoff strategy"" also maintains the original meaning, ensuring semantic accuracy and contextual fit.
```","['fallback strategy', 'backoff strategy']"
14,beam search algorithm,"[{'word': '束搜索算法', 'ratio': 0.625}, {'word': '波束搜索算法', 'ratio': 0.125}, {'word': '光束搜索算法', 'ratio': 0.125}, {'word': '信息集', 'ratio': 0.125}]",波束搜索算法,束搜索算法,"```
1. Candidate: 波束搜索算法
2. Explanation: ""波束搜索算法"" is the best translation candidate because it accurately captures the technical meaning of ""beam search algorithm"" in the AI domain. The term ""波束"" (beam) is commonly used in Chinese technical literature to refer to the concept of ""beam"" in algorithms, particularly in natural language processing and machine learning contexts. This translation maintains semantic accuracy and is widely recognized in the field, ensuring that it fits well within the context of AI-related discussions and documentation.
```","['Beam search algorithm', 'Beam search algorithm', 'beam search algorithm', 'information set']"
15,big-O notation,"[{'word': '大O符号', 'ratio': 0.8}, {'word': '大O表示法', 'ratio': 0.1}, {'word': '大 O 表示法', 'ratio': 0.1}]",大O表示法,大O符号,"```
1. Candidate: 大O表示法
2. Explanation: The term ""大O表示法"" is the best fit for translating ""big-O notation"" in the context of AI and computer science. This candidate accurately captures the mathematical and technical nature of the term, as ""表示法"" (notation) is commonly used in mathematical contexts to describe symbolic representations. The back translation also confirms its accuracy, as it directly translates back to ""Big O notation,"" maintaining the intended meaning without introducing ambiguity. Additionally, ""大O表示法"" is widely recognized in Chinese technical literature, ensuring that it is understood by those familiar with algorithm analysis and computational complexity.
```","['Big O notation', 'Big O notation', 'Big O notation']"
16,block matrix,"[{'word': '块矩阵', 'ratio': 0.7}, {'word': '分块矩阵', 'ratio': 0.3}]",分块矩阵,块矩阵,"```
1. Candidate: 分块矩阵
2. Explanation: The term ""分块矩阵"" is the best fit for translating ""block matrix"" in the context of AI and mathematics. This term is widely used in mathematical literature to describe matrices that are partitioned into smaller matrix blocks, which aligns with the context provided where permutations and block-diagonal matrices are discussed. The back translation ""block matrix"" accurately reflects the original English term, ensuring semantic accuracy and contextual fit within the AI domain.
```","['block matrix', 'block matrix']"
17,brute force search,"[{'word': '暴力搜索', 'ratio': 0.625}, {'word': '穷举搜索', 'ratio': 0.375}]",穷举搜索,暴力搜索,"```
1. Candidate: 穷举搜索
2. Explanation: ""穷举搜索"" translates to ""exhaustive search,"" which accurately captures the essence of ""brute force search"" in the AI domain. This term emphasizes the methodical and comprehensive nature of the search process, where all possible solutions are considered. In the context of AI and computer science, ""brute force search"" refers to evaluating all potential options to find a solution, which aligns well with the concept of ""exhaustive search."" The back translation ""exhaustive search"" maintains the intended meaning, ensuring semantic accuracy and contextual fit within the AI domain.
```","['Brutal search', 'Exhaustive search']"
18,contextualized embedding,"[{'word': '上下文化嵌入', 'ratio': 0.5}, {'word': '上下文嵌入', 'ratio': 0.375}, {'word': '上下文化的嵌入', 'ratio': 0.125}]",情境化嵌入,上下文化嵌入,"```
1. Candidate: ""情境化嵌入""
2. Explanation: ""情境化嵌入"" is the best translation candidate because it accurately captures the meaning of ""contextualized embedding"" in the AI domain. The term ""情境化"" directly translates to ""contextualized,"" which implies the process of embedding that takes into account the surrounding context, a crucial aspect in AI models like transformers and BERT. The back translation also matches perfectly with ""contextualized embedding,"" ensuring semantic accuracy and contextual fit.
```","['contextual embedding', 'contextual embedding', 'contextual embedding', 'contextualized embedding']"
19,credit assignment,"[{'word': '信用分配', 'ratio': 0.8}, {'word': '奖励分配', 'ratio': 0.1}, {'word': '归因问题', 'ratio': 0.1}]",奖励分配,信用分配,"```
1. Candidate: 奖励分配
2. Explanation: In the context of AI, particularly in reinforcement learning, ""credit assignment"" refers to the process of determining which actions are responsible for certain outcomes, often in terms of rewards. The term ""奖励分配"" (Reward distribution) accurately captures this concept, as it emphasizes the distribution of rewards to actions or states, which aligns with the AI domain-specific usage. The other candidates either focus on attribution in a broader sense or imply a different kind of allocation that doesn't fit the reinforcement learning context as well.
```","['attribution problem', 'Credit allocation', 'Reward distribution', 'credit allocation']"
20,datum dependency,"[{'word': '数据依赖性', 'ratio': 0.8888888888888888}, {'word': '数据依赖', 'ratio': 0.1111111111111111}]",数据依赖,数据依赖性,"```
1. Candidate: 数据依赖
2. Explanation: ""数据依赖"" is the best translation for ""datum dependency"" in the context of AI and computational graphs. This term accurately captures the concept of dependencies between data elements in a task graph, which is crucial for understanding how tasks are interconnected through data flow. The back translation ""data dependency"" aligns well with the original term, ensuring semantic accuracy and contextual fit within the AI domain. The alternative ""数据依赖性"" suggests a more general notion of dependency, which may not specifically convey the precise relationship between data elements in computational tasks.
```","['data dependency', 'data dependencies']"
21,dual program,"[{'word': '对偶程序', 'ratio': 0.6}, {'word': '对偶规划', 'ratio': 0.2}, {'word': '对偶解', 'ratio': 0.1}, {'word': '双计划', 'ratio': 0.1}]",对偶规划,对偶程序,"```
1. Candidate: 对偶规划
2. Explanation: ""对偶规划"" is the best translation for ""dual program"" in the context of AI and optimization. In the field of linear programming and optimization, ""对偶规划"" is a standard term used to refer to the dual of a given optimization problem. The term accurately captures the concept of duality in mathematical programming, which is crucial in the context provided, where the dual program is used to derive bounds and solutions. The other candidates either do not accurately reflect the technical meaning (""双计划"" translates to ""dual plan,"" which is not specific to optimization) or are less commonly used in this context (""对偶解"" means ""dual solution,"" which refers to a solution rather than the program itself, and ""对偶程序"" is less standard in mathematical optimization terminology).
```","['dual plan', 'dual solution', 'dual program', 'Dual programming']"
22,facial recognition,"[{'word': '面部识别', 'ratio': 0.7777777777777778}, {'word': '面部识别 / 人脸识别', 'ratio': 0.1111111111111111}, {'word': '人脸识别', 'ratio': 0.1111111111111111}]",人脸识别,面部识别,"```
1. Candidate: 人脸识别
2. Explanation: ""人脸识别"" is the best translation candidate for ""facial recognition"" in the context of AI terminology. It is widely used in the Chinese AI community and industry to refer specifically to the technology that identifies or verifies a person from a digital image or a video frame. The term ""人脸识别"" directly translates to ""face recognition,"" which aligns well with the English term's meaning and usage. Additionally, it is more commonly used in technical and academic contexts compared to ""面部识别,"" which can be seen as a more general term. The back translation ""face recognition"" also confirms its semantic accuracy and contextual fit within the AI domain.
```","['facial recognition/face recognition', 'face recognition', 'facial recognition']"
23,few-shot classification,"[{'word': '少样本分类', 'ratio': 0.6666666666666666}, {'word': '小样本分类', 'ratio': 0.3333333333333333}]",小样本分类,少样本分类,"```
1. Candidate: 小样本分类
2. Explanation: ""小样本分类"" is the best translation for ""few-shot classification"" in the context of AI and machine learning. In the AI domain, ""few-shot"" refers to the ability of a model to learn and make predictions with a very limited number of training examples. The term ""小样本"" (small sample) accurately captures this concept, as it implies working with a small number of samples, which aligns with the idea of few-shot learning. Additionally, ""小样本分类"" is a widely accepted term in Chinese AI literature, ensuring both semantic accuracy and contextual fit. The back translation as ""Small sample classification"" also maintains the intended meaning, reinforcing its suitability in the AI context.
```","['few-shot classification', 'Small sample classification']"
24,generative parser,"[{'word': '生成解析器', 'ratio': 0.6}, {'word': '生成式解析器', 'ratio': 0.4}]",生成式解析器,生成解析器,"```
1. Candidate: 生成式解析器
2. Explanation: The term ""生成式解析器"" is the best fit because it accurately captures the concept of a ""generative parser"" in the AI domain. The word ""生成式"" specifically refers to the generative nature of the parser, which is crucial in distinguishing it from other types of parsers, such as discriminative ones. This translation maintains the semantic integrity of the original term and aligns well with the context provided, where the generative aspect is a foundational characteristic of the parser being discussed.
```","['Generate parser', 'Generative parser']"
25,hidden size,"[{'word': '隐藏大小', 'ratio': 0.8888888888888888}, {'word': '隐藏层大小', 'ratio': 0.1111111111111111}]",隐藏层大小,隐藏大小,"```
1. Candidate: 隐藏层大小
2. Explanation: ""隐藏层大小"" (Hidden layer size) is the best translation candidate because it accurately reflects the AI domain-specific usage of ""hidden size"" in the context of neural networks. In AI, particularly in neural network architectures like transformers, ""hidden size"" refers to the size of the hidden layers, which is a critical parameter that defines the number of units in each hidden layer. The term ""隐藏层大小"" directly conveys this meaning, ensuring semantic accuracy and contextual fit. The other candidates, ""隐藏尺寸"" (Hidden dimensions) and ""隐藏大小"" (Hide size), do not specifically capture the concept of hidden layers in neural networks, which could lead to confusion in technical discussions.
```","['Hidden dimensions', 'Hide size', 'Hidden layer size']"
26,inference process,"[{'word': '推理过程', 'ratio': 0.8888888888888888}, {'word': '推断过程', 'ratio': 0.1111111111111111}]",推断过程,推理过程,"```
1. Candidate: 推断过程
2. Explanation: ""推断过程"" is the best translation for ""inference process"" in the context of AI. In AI terminology, ""inference"" refers to the process of making predictions or decisions based on a model, typically after it has been trained. The term ""推断"" directly translates to ""inference"" and is commonly used in the AI field to describe this process. On the other hand, ""推理过程"" translates to ""reasoning process,"" which implies a broader and more general cognitive process not specific to AI. Therefore, ""推断过程"" is semantically accurate and contextually fits the AI domain-specific usage.
```","['inference process', 'reasoning process']"
27,leaf node,"[{'word': '叶节点', 'ratio': 0.8571428571428571}, {'word': '叶子节点', 'ratio': 0.14285714285714285}]",叶子节点,叶节点,"```
1. Candidate: 叶子节点
2. Explanation: ""叶子节点"" is the best translation for ""leaf node"" in the context of AI and computer science. This term is widely used in the field to refer to the terminal nodes of a tree structure, such as decision trees or parse trees, which do not have any children. The back translation ""leaf node"" confirms its semantic accuracy and contextual fit. The alternative ""叶节点"" is less commonly used and might not convey the same level of specificity and recognition in technical contexts.
```","['leaf node', 'leaf node']"
28,max-product semiring,"[{'word': '最大积半环', 'ratio': 0.5}, {'word': '最大乘法半环', 'ratio': 0.3333333333333333}, {'word': '最大乘积半环', 'ratio': 0.16666666666666666}]",最大乘积半环,最大积半环,"```
1. Candidate: 最大乘积半环
2. Explanation: The term ""最大乘积半环"" is the best fit because it accurately captures the mathematical concept of a ""max-product semiring"" in the context of AI. The term ""乘积"" directly translates to ""product,"" which is crucial for maintaining the semantic integrity of the original term. Additionally, ""半环"" is a standard translation for ""semiring"" in mathematical contexts, ensuring that the term is understood correctly within the AI domain. The back translation ""maximum product semiring"" closely matches the original English term, indicating a high level of accuracy and contextual fit.
```","['maximum product semiring', 'Maximum multiplicative half ring', 'Maximum product half ring']"
29,multi-classification,"[{'word': '多分类', 'ratio': 0.8888888888888888}, {'word': '多类别分类', 'ratio': 0.1111111111111111}]",多类别分类,多分类,"```
1. Candidate: 多类别分类
2. Explanation: ""多类别分类"" is the best translation candidate for ""multi-classification"" in the AI domain. This term accurately captures the concept of classifying data into multiple categories, which is essential in tasks like SVM multiclass classification. The back translation ""Multi-category classification"" aligns well with the original English term, ensuring semantic accuracy and contextual fit. In contrast, ""多分类"" is more general and could imply simply having multiple categories without the specific context of classification tasks, making it less precise for AI-specific usage.
```","['Multi-category classification', 'Multiple categories']"
30,mutual entropy,"[{'word': '互信息熵', 'ratio': 0.6}, {'word': '互熵', 'ratio': 0.3}, {'word': '互信息', 'ratio': 0.1}]",互信息,互信息熵,"```
1. Candidate: 互信息
2. Explanation: In the context of AI and information theory, ""mutual information"" is a well-established term used to describe the measure of mutual dependence between two variables or distributions. The term ""互信息"" directly translates to ""mutual information"" and is widely recognized in the Chinese AI and information theory communities. It accurately captures the concept of mutual dependence, which aligns with the context provided. The other candidates, ""互熵"" and ""互信息熵,"" are less commonly used and may not convey the precise meaning intended in the AI domain.
```","['mutual entropy', 'mutual information', 'mutual information entropy']"
31,nominal mention,"[{'word': '名义提及', 'ratio': 0.625}, {'word': '名词性提及', 'ratio': 0.25}, {'word': '名词性指称', 'ratio': 0.125}]",名词性提及,名义提及,"```
1. Candidate: 名词性提及
2. Explanation: ""名词性提及"" is the best translation for ""nominal mention"" in the context of AI and natural language processing. The term ""名词性"" accurately captures the grammatical aspect of ""nominal,"" referring to noun-like structures, which is crucial in understanding how mentions are categorized in linguistic tasks. ""提及"" directly translates to ""mention,"" maintaining the focus on the act of referring to entities. This candidate preserves the semantic meaning and aligns well with domain-specific usage, ensuring clarity and precision in AI-related discussions.
```","['nominal mention', 'nominal mention', 'nominal reference']"
32,object proposal,"[{'word': '物体提议', 'ratio': 0.5555555555555556}, {'word': '物体候选区域', 'ratio': 0.2222222222222222}, {'word': '目标提议', 'ratio': 0.1111111111111111}, {'word': '对象提议', 'ratio': 0.1111111111111111}]",物体候选区域,物体提议,"```
1. Candidate: ""物体候选区域""
2. Explanation: The term ""object proposal"" in the context of AI, particularly in computer vision, refers to the process of identifying regions in an image that are likely to contain objects. The candidate ""物体候选区域"" translates to ""object candidate area,"" which accurately captures the essence of this process by emphasizing the identification of potential object-containing regions. This translation aligns well with the technical usage in AI, where proposals are not just suggestions but specific areas identified for further analysis. The back translation also maintains the contextual meaning, making it the most semantically accurate choice.
```","['goal proposal', 'Object proposal', 'object proposal', 'object proposal', 'Object candidate area']"
33,object tracking,"[{'word': '物体跟踪', 'ratio': 0.6666666666666666}, {'word': '目标跟踪', 'ratio': 0.1111111111111111}, {'word': '物体追踪', 'ratio': 0.1111111111111111}, {'word': '对象跟踪', 'ratio': 0.1111111111111111}]",目标跟踪,物体跟踪,"```
1. Candidate: 目标跟踪
2. Explanation: ""目标跟踪"" is the best translation for ""object tracking"" in the context of AI and computer vision. In the AI domain, ""目标"" (target) is often used to refer to objects or entities that are being tracked or detected within a scene, especially in the context of machine learning and computer vision. This term is widely used in technical literature and accurately conveys the concept of tracking objects within a visual field. The back translation as ""target tracking"" also aligns well with the intended meaning, ensuring semantic accuracy and contextual fit.
```","['object tracking', 'object tracking', 'Object tracking', 'target tracking']"
34,part of speech tag,"[{'word': '词性标记', 'ratio': 0.6}, {'word': '词性标签', 'ratio': 0.3}, {'word': '词性标注', 'ratio': 0.1}]",词性标签,词性标记,"```
1. Candidate: 词性标签
2. Explanation: The term ""词性标签"" is the best fit for translating ""part of speech tag"" in the context of AI and computational linguistics. This choice is semantically accurate as ""标签"" (tag) directly corresponds to the concept of labeling or tagging parts of speech in text, which is a common task in natural language processing. The back translation ""part-of-speech tags"" aligns well with the original English term, ensuring contextual fit. Additionally, ""词性标签"" is widely used in the AI domain to refer to the tags assigned to words to denote their parts of speech, making it the most appropriate choice for domain-specific usage.
```","['part-of-speech tag', 'part-of-speech tagging', 'part-of-speech tags']"
35,partial evaluation,"[{'word': '部分评估', 'ratio': 0.7}, {'word': '部分求值', 'ratio': 0.2}, {'word': '局部评估', 'ratio': 0.1}]",部分求值,部分评估,"```
1. Candidate: 部分求值
2. Explanation: The term ""partial evaluation"" in the context of AI and computer science refers to a program optimization technique where a program is executed as far as possible with known inputs, producing a more efficient program. The translation ""部分求值"" directly corresponds to this concept, as ""求值"" means ""evaluation"" in the mathematical or computational sense, which is crucial for maintaining the technical accuracy of the term. The other candidates, such as ""部分评价"" (partial review) and ""部分评估"" (partial assessment), do not capture the computational aspect of ""evaluation"" and are more aligned with general assessment or review, which is not suitable in this AI context.
```","['Partial review', 'partial assessment', 'local assessment', 'partial evaluation']"
36,primal-dual algorithm,"[{'word': '原始-对偶算法', 'ratio': 0.6666666666666666}, {'word': '原始对偶算法', 'ratio': 0.2222222222222222}, {'word': '原对偶算法', 'ratio': 0.1111111111111111}]",原始对偶算法,原始-对偶算法,"```
1. Candidate: ""原始对偶算法""
2. Explanation: The term ""原始对偶算法"" is the best fit for translating ""primal-dual algorithm"" in the context of AI and optimization. This candidate maintains the semantic integrity of the original term by directly translating ""primal"" to ""原始"" and ""dual"" to ""对偶,"" which are standard translations in mathematical optimization contexts. The absence of a hyphen in ""原始对偶算法"" aligns with common Chinese terminology usage, making it more natural and widely accepted in academic and professional settings. Additionally, the back translation ""primal dual algorithm"" accurately reflects the original English term, ensuring contextual fit and clarity in the AI domain.
```","['Primal-dual algorithm', 'primal dual algorithm', 'primal dual algorithm']"
37,recurrent dynamic,"[{'word': '循环动态', 'ratio': 0.75}, {'word': '递归动态', 'ratio': 0.125}, {'word': '循环动力学', 'ratio': 0.125}]",循环动力学,循环动态,"```
1. Candidate: 循环动力学
2. Explanation: ""循环动力学"" is the best translation candidate because it accurately captures the concept of ""recurrent dynamic"" in the context of AI and machine learning. The term ""循环"" (cyclic) aligns well with the idea of cycles or repeated patterns, which is essential in understanding dynamic systems that do not necessarily converge. ""动力学"" (dynamics) is a precise translation for ""dynamic"" in the context of systems and processes, especially in scientific and technical fields. This translation maintains semantic accuracy and fits well within the AI domain, where understanding the behavior of systems over time is crucial.
```","['Recursive dynamics', 'Cyclic Dynamics', 'Circular dynamics']"
38,regret bound,"[{'word': '遗憾界', 'ratio': 0.5}, {'word': '遗憾界限', 'ratio': 0.3333333333333333}, {'word': '后悔界限', 'ratio': 0.16666666666666666}]",遗憾界限,遗憾界,"```
1. Candidate: ""遗憾界限""
2. Explanation: ""遗憾界限"" is the best translation candidate for ""regret bound"" in the context of AI and machine learning. The term ""遗憾"" (regret) accurately captures the concept of regret in decision-making processes, which is a common term in reinforcement learning and online learning algorithms. ""界限"" (boundary) aligns well with the mathematical notion of a bound, which refers to a limit or constraint. This translation maintains semantic accuracy and is contextually appropriate for the AI domain, where ""regret"" is a measure of the difference between the actual performance and the optimal performance over time.
```","['world of regret', 'Regret Boundary', 'regret boundary', 'Regret the bondage']"
39,regret minimization,"[{'word': '遗憾最小化', 'ratio': 0.8333333333333334}, {'word': '后悔最小化', 'ratio': 0.16666666666666666}]",后悔最小化,遗憾最小化,"```
1. Candidate: ""后悔最小化""
2. Explanation: ""后悔最小化"" is the best translation for ""regret minimization"" in the context of AI and game theory. In the AI domain, ""regret"" often refers to the difference between the actual outcome and the best possible outcome in hindsight. ""后悔"" accurately captures this notion of regret in decision-making processes, which is crucial for understanding concepts like coarse correlated equilibria and policy optimization. Additionally, ""后悔最小化"" aligns well with the back translation ""Minimize regret,"" ensuring semantic accuracy and contextual fit.
```","['Minimize regret', 'Minimize regret']"
