,word,prediction_ratio,1)validated_translation_by_gpt4o,2)word>=0.5,reason,back_translations
16,Spearman's correlation coefficient,"[{'word': 'коэффициент корреляции Спирмена', 'ratio': 0.9}, {'word': 'Коэффициент корреляции Спирмена', 'ratio': 0.1}]",Коэффициент корреляции Спирмена,коэффициент корреляции Спирмена,"```
1. Candidate: ""Коэффициент корреляции Спирмена""
2. Explanation: The candidate ""Коэффициент корреляции Спирмена"" is the best fit because it accurately reflects the established Russian terminology for ""Spearman's correlation coefficient"" in statistical and AI contexts. The back translation ""Spearman correlation coefficient"" confirms that the semantic meaning is preserved. This term is widely recognized in Russian academic and professional circles, ensuring clarity and precision in AI-related discussions.
```","['Spearman correlation coefficient', 'Spearman correlation coefficient']"
17,Support Vector Machine,"[{'word': 'Метод опорных векторов', 'ratio': 0.8888888888888888}, {'word': 'метод опорных векторов', 'ratio': 0.1111111111111111}]",метод опорных векторов,Метод опорных векторов,"```
1. Candidate: метод опорных векторов
2. Explanation: ""Метод опорных векторов"" is the most semantically accurate and contextually appropriate translation for ""Support Vector Machine"" in the AI domain. This term is widely recognized and used in Russian academic and professional literature related to machine learning and AI. It accurately conveys the concept of a method or technique involving support vectors, which aligns with the original English term. The back translation also matches perfectly, ensuring that the meaning is preserved when translated back to English.
```","['support vector machine', 'Support Vector Machine', 'Support Vector Machine']"
18,answer span,"[{'word': 'диапазон ответа', 'ratio': 0.9}, {'word': 'интервал ответа', 'ratio': 0.1}]",интервал ответа,диапазон ответа,"```
1. Candidate: ""интервал ответа""
2. Explanation: The term ""answer span"" in the context of AI and natural language processing refers to a specific segment of text that contains the answer to a given question. The translation ""интервал ответа"" (response interval) captures this meaning more accurately than ""диапазон ответа"" or ""диапазон ответов,"" which suggest a range or variety of responses rather than a specific segment. ""Интервал"" implies a defined start and end, aligning well with the concept of a span in text, making it the best fit for the AI domain-specific usage.
```","['response range', 'response range', 'response interval']"
19,autodiff,"[{'word': 'автодифференцирование', 'ratio': 0.7}, {'word': 'автоматическое дифференцирование', 'ratio': 0.2}, {'word': 'автодифференциация', 'ratio': 0.1}]",автоматическое дифференцирование,автодифференцирование,"```
1. Candidate: ""автоматическое дифференцирование""
2. Explanation: ""Автоматическое дифференцирование"" is the best fit because it accurately captures the concept of ""autodiff"" in the context of AI and machine learning. This term is widely used in the Russian-speaking AI community to describe the process of automatically computing derivatives, which is essential for tasks like optimizing neural networks. The back translation ""automatic differentiation"" aligns well with the original English term, ensuring semantic accuracy and contextual fit.
```","['autodifferentiation', 'auto differential', 'automatic differentiation', 'autodifferentiation']"
20,backbone network,"[{'word': 'основная сеть', 'ratio': 0.6}, {'word': 'базовая сеть', 'ratio': 0.1}, {'word': 'сеть основного узла', 'ratio': 0.1}, {'word': 'сеть основы', 'ratio': 0.1}, {'word': 'сеть-основа', 'ratio': 0.1}]",магистральная сеть,основная сеть,"```
1. Candidate: ""магистральная сеть""
2. Explanation: The term ""магистральная сеть"" is the best fit for translating ""backbone network"" in the context of AI and neural networks. In the AI domain, a ""backbone network"" refers to the main structure or framework that processes input data and extracts features, which aligns with the concept of a ""магистральная сеть"" as a primary or main network. This translation maintains semantic accuracy and is commonly used in technical contexts to describe the core network infrastructure, ensuring that the meaning is preserved in both languages. Additionally, the back translation to ""backbone network"" confirms its contextual fit and accuracy.
```","['backbone network', 'backbone network', 'core network', 'main node network', 'main network', 'network basics']"
21,big-O notation,"[{'word': 'нотация большого O', 'ratio': 0.6}, {'word': 'нотация Большого О', 'ratio': 0.1}, {'word': 'нотация «большое О»', 'ratio': 0.1}, {'word': 'нотация ""большое O""', 'ratio': 0.1}, {'word': 'нотация большого О', 'ratio': 0.1}]",нотация «большое О»,нотация большого O,"```
1. Candidate: ""нотация «большое О»""
2. Explanation: This candidate is the best fit because it accurately captures the term ""big-O notation"" in a way that is commonly used in Russian mathematical and computer science literature. The use of the word ""нотация"" (notation) aligns with the technical nature of the term, and the phrase «большое О» is a direct and clear translation of ""big O,"" maintaining the original meaning and context. The back translation to ""big O notation"" confirms its semantic accuracy and contextual fit within the AI domain.
```","['big O notation', '""Big O"" designation', 'big O notation', 'big O notation', 'Big O notation', '""big O"" notation']"
22,constraint set,"[{'word': 'множество ограничений', 'ratio': 1.0}]",набор ограничений,множество ограничений,"```
1. Candidate: набор ограничений
2. Explanation: The term ""набор ограничений"" translates back to ""set of constraints,"" which closely matches the original English term ""constraint set."" In the context of AI and mathematical optimization, ""constraint set"" refers to a specific set of conditions or limits applied to a problem or model. The candidate ""набор ограничений"" accurately captures this meaning, maintaining the technical nuance required in AI terminology. The alternative ""множество ограничений"" translates back to ""many restrictions,"" which implies a different meaning and lacks the precision needed for the context of defining a specific set of constraints in an experiment.
```","['many restrictions', 'set of constraints']"
23,convexity,"[{'word': 'выпуклость', 'ratio': 0.9}, {'word': 'Выпуклость', 'ratio': 0.1}]",Выпуклость,выпуклость,"```
1. Candidate: ""Выпуклость""
2. Explanation: The term ""выпуклость"" is the correct translation for ""convexity"" in the context of optimization problems and mathematical functions, which are common in AI and machine learning. In the AI domain, ""convexity"" refers to properties of functions or sets that ensure certain optimization problems are easier to solve. The back translation ""convex"" aligns well with the original English term, maintaining the semantic accuracy needed for discussions about mathematical properties in AI. The use of ""выпуклость"" is standard in Russian mathematical and AI literature, ensuring that the translation is both contextually and technically appropriate.
```","['Convex', 'convex']"
24,convolution layer,"[{'word': 'сверточный слой', 'ratio': 0.7}, {'word': 'свёрточный слой', 'ratio': 0.2}, {'word': 'слой свертки', 'ratio': 0.1}]",свёрточный слой,сверточный слой,"```
1. Candidate: ""свёрточный слой""
2. Explanation: The term ""свёрточный слой"" is the best fit for translating ""convolution layer"" in the context of AI and neural networks. This term is widely used in Russian technical literature and accurately conveys the concept of a layer in a neural network that performs convolution operations. The back translation ""convolutional layer"" closely matches the original English term, ensuring semantic accuracy and contextual fit. Additionally, the use of ""свёрточный"" aligns with the standard terminology in the AI domain, making it the most appropriate choice for conveying the intended meaning in both provided contexts.
```","['convolutional layer', 'convolution layer', 'convolutional layer']"
25,covariate shift,"[{'word': 'смещение ковариат', 'ratio': 0.7}, {'word': 'covariate shift смещение ковариат', 'ratio': 0.1}, {'word': 'сдвиг ковариат', 'ratio': 0.1}, {'word': 'Сдвиг ковариат', 'ratio': 0.1}]",ковариатный сдвиг,смещение ковариат,"```
1. Candidate: ""ковариатный сдвиг""
2. Explanation: The term ""ковариатный сдвиг"" is the best fit because it directly translates to ""covariate shift,"" maintaining both the semantic and contextual accuracy needed in the AI domain. This term is widely recognized in the Russian-speaking AI community and accurately conveys the concept of changes in the distribution of input features (covariates) between training and test datasets, which is crucial for understanding model generalization and adaptation challenges. The back translation also aligns perfectly with the original English term, ensuring consistency and clarity in communication.
```","['covariate bias', 'covariate shift', 'shift of covariates', 'covariate shift', 'Shift of covariates']"
26,cross entropy,"[{'word': 'кросс-энтропия', 'ratio': 0.7}, {'word': 'перекрестная энтропия', 'ratio': 0.2}, {'word': 'Кросс-энтропия', 'ratio': 0.1}]",перекрестная энтропия,кросс-энтропия,"```
1. Candidate: перекрестная энтропия
2. Explanation: The term ""перекрестная энтропия"" is the most semantically accurate translation for ""cross entropy"" in the context of AI and machine learning. It directly translates to ""cross entropy"" and is widely used in Russian technical literature to describe the concept of cross entropy in statistical models and neural networks. The other candidates, ""Кросс-энтропия"" and ""кросс-энтропия,"" are transliterations rather than translations, which might not convey the precise meaning in a technical context. ""Перекрестная энтропия"" ensures clarity and understanding for Russian-speaking audiences familiar with AI terminology.
```","['Cross entropy', 'cross entropy', 'cross entropy']"
27,cycle inequality,"[{'word': 'циклическая неравенство', 'ratio': 0.7}, {'word': 'циклическое неравенство', 'ratio': 0.2}, {'word': 'циклические неравенства', 'ratio': 0.1}]",неравенство цикла,циклическая неравенство,"```
1. Candidate: неравенство цикла

2. Explanation: The term ""cycle inequality"" in the context of AI and mathematical optimization refers to a specific type of inequality related to cycles in graph theory, particularly in the study of polytopes and optimization problems. The candidate ""неравенство цикла"" directly translates to ""cycle inequality,"" maintaining the precise meaning and context of the original term. This translation is semantically accurate as it preserves the technical specificity required in the AI domain, where the term is used to describe a class of inequalities related to cycles in graphs. The back translation also confirms the accuracy, as it returns to ""cycle inequality,"" ensuring contextual fit and domain-specific usage.
```","['cyclical inequality', 'cycle inequality', 'cyclic inequalities', 'cyclic inequality']"
28,decision stumps,"[{'word': 'решающие пни', 'ratio': 0.6}, {'word': 'Деревья решений', 'ratio': 0.1}, {'word': 'Решающие пни', 'ratio': 0.1}, {'word': 'решения слабыми классификаторами', 'ratio': 0.1}, {'word': 'древовидные решатели', 'ratio': 0.1}]",Решающие пни,решающие пни,"```
1. Candidate: ""Решающие пни""
2. Explanation: The term ""decision stumps"" in the context of AI refers to a simple decision tree with only one level, which is used as a weak classifier. The translation ""Решающие пни"" is a direct and semantically accurate translation of ""decision stumps,"" capturing the essence of the term as used in machine learning. It maintains the metaphorical nature of the original term, which is important for conveying the concept of a simple, foundational decision-making tool. The back translation ""Decisive stumps"" closely aligns with the original term, ensuring contextual fit and preserving the intended meaning within the AI domain.
```","['decisive stumps', 'tree solvers', 'solutions with weak classifiers', 'the decision is baffling', 'Decision trees', 'Decisive stumps']"
29,deep layer,"[{'word': 'глубокий слой', 'ratio': 0.9}, {'word': 'Глубокий слой', 'ratio': 0.1}]",Глубокий слой,глубокий слой,"```
1. Candidate: ""Глубокий слой""
2. Explanation: The translation ""Глубокий слой"" is the best fit because it accurately captures the concept of ""deep layer"" in the context of AI and neural networks. In AI terminology, ""deep"" often refers to the depth of layers in a neural network, which is crucial for understanding how information is processed and transformed. The back translation ""Deep layer"" confirms that the semantic meaning is preserved, ensuring that the term is understood correctly in both languages. This translation aligns well with the domain-specific usage, where ""deep layers"" are integral to the architecture and functioning of deep learning models.
```","['Deep layer', 'deep layer']"
30,dense network,"[{'word': 'плотная сеть', 'ratio': 0.8}, {'word': 'Плотная сеть', 'ratio': 0.1}, {'word': 'dense network плотная сеть', 'ratio': 0.1}]",Плотная сеть,плотная сеть,"```
1. Candidate: ""Плотная сеть""
2. Explanation: ""Плотная сеть"" is the best translation candidate because it accurately captures the concept of a ""dense network"" in the AI domain, where ""dense"" refers to a network with fully connected layers, as opposed to a sparse network. The back translation ""Dense network"" confirms the semantic accuracy and contextual fit, ensuring that the term is understood correctly in both languages within the context of AI and machine learning.
```","['Dense network', 'dense network', 'dense network']"
31,depth estimation,"[{'word': 'оценка глубины', 'ratio': 0.9}, {'word': 'Оценка глубины', 'ratio': 0.1}]",Оценка глубины,оценка глубины,"```
1. Candidate: Оценка глубины
2. Explanation: ""Оценка глубины"" is the best translation candidate because it accurately captures the concept of ""depth estimation"" in the context of AI and computer vision. The term ""оценка"" (estimation) is commonly used in Russian to describe the process of evaluating or calculating a certain parameter, which aligns well with the technical process of estimating depth in images or video data. Additionally, the back translation ""Depth estimation"" confirms that the semantic meaning is preserved, ensuring contextual fit within the AI domain.
```","['Depth estimation', 'depth estimation']"
32,dialogue generation,"[{'word': 'генерация диалога', 'ratio': 0.5}, {'word': 'генерация диалогов', 'ratio': 0.3}, {'word': 'Генерация диалогов', 'ratio': 0.1}, {'word': 'генерация диалоговистория диалога', 'ratio': 0.1}]",генерация диалогов,генерация диалога,"```
1. Candidate: ""генерация диалогов""
2. Explanation: ""Генерация диалогов"" is the best translation candidate because it accurately captures the concept of generating dialogues in a plural form, which is consistent with the AI domain's focus on creating multiple dialogue instances or sequences. The back translation ""dialog generation"" closely aligns with the original English term ""dialogue generation,"" ensuring semantic accuracy and contextual fit. The plural form ""диалогов"" is appropriate as it reflects the generation of multiple dialogues, which is often the case in AI applications involving dialogue systems.
```","['dialog generation', 'dialogue generation dialogue history', 'dialogue generation', 'Dialogue generation']"
33,dialogue system,"[{'word': 'диалоговая система', 'ratio': 0.7}, {'word': 'Диалоговая система', 'ratio': 0.1}, {'word': 'пара вход-выход', 'ratio': 0.1}, {'word': 'система диалога', 'ratio': 0.1}]",Диалоговая система,диалоговая система,"```
1. Candidate: ""Диалоговая система""
2. Explanation: ""Диалоговая система"" is the best translation candidate because it directly translates to ""dialogue system"" and is widely used in the AI domain to refer to systems that manage and process conversational interactions. The term accurately captures the concept of a system designed to handle dialogues, which aligns with the context provided, where the system deals with speech recognition and conversation management. The back translation also confirms its accuracy, maintaining the original meaning without introducing ambiguity.
```","['Dialogue system', 'input-output pair', 'dialogue system', 'dialogue system']"
34,document-level,"[{'word': 'уровень документа', 'ratio': 0.7}, {'word': 'на уровне документа', 'ratio': 0.2}, {'word': 'Уровень документа', 'ratio': 0.1}]",на уровне документа,уровень документа,"```
1. Candidate: ""на уровне документа""
2. Explanation: The phrase ""на уровне документа"" translates back to ""at the document level,"" which accurately captures the intended meaning in the context of AI and NLP. This candidate emphasizes the scope or granularity of analysis or processing, which is crucial in AI terminology when discussing document-level tasks or datasets. The other candidates, ""Уровень документа"" and ""уровень документа,"" translate back to ""Document level"" and ""document level,"" respectively, which might imply a more static or categorical interpretation rather than a dynamic or process-oriented one. Therefore, ""на уровне документа"" is the best fit for conveying the intended meaning in the AI domain-specific context.
```","['at the document level', 'Document level', 'document level']"
35,encoder model,"[{'word': 'модель кодировщика', 'ratio': 0.8}, {'word': 'модель энкодера', 'ratio': 0.2}]",модель энкодера,модель кодировщика,"```
1. Candidate: ""модель энкодера""
2. Explanation: The term ""модель энкодера"" is the best fit for translating ""encoder model"" in the context of AI and machine learning. In the AI domain, ""энкодер"" is a widely accepted transliteration of ""encoder,"" which maintains the technical specificity and familiarity for Russian-speaking professionals. This term is commonly used in Russian technical literature and discussions about neural networks and machine learning architectures, ensuring semantic accuracy and contextual fit. The back translation also accurately returns to ""encoder model,"" confirming its appropriateness in both languages.
```","['encoder model', 'encoder model', 'encoder model']"
36,graph construction,"[{'word': 'построение графа', 'ratio': 0.6666666666666666}, {'word': 'конструкция графа', 'ratio': 0.1111111111111111}, {'word': 'Построение графа', 'ratio': 0.1111111111111111}, {'word': 'Конструкция графа', 'ratio': 0.1111111111111111}]",Построение графа,построение графа,"```
1. Candidate: Построение графа
2. Explanation: ""Построение графа"" is the best translation candidate because it accurately captures the process-oriented nature of ""graph construction"" in the context of AI and algorithmic procedures. The term ""построение"" (construction) implies the act of building or creating, which aligns with the context of constructing a graph to solve binary subproblems effectively. This translation maintains semantic accuracy and is consistent with domain-specific usage in AI, where constructing graphs is a common task. The back translation also matches perfectly, ensuring contextual fit.
```","['Graph construction', 'graph construction', 'graph construction', 'Graph construction']"
