Index,English,French
146,Berkeley parser,analyseur Berkeley
147,Berkeley segmentation dataset,jeu de données de segmentation de Berkeley
148,Berlekamp's algorithm,algorithme de Berlekamp
149,Bernoulli,Bernoulli
150,Bernoulli distribution,distribution de Bernoulli
151,Bernoulli likelihood,vraisemblance de Bernoulli
152,Bernoulli random variable,variable aléatoire de Bernoulli
153,Bernoulli sampling,échantillonnage de Bernoulli
154,Bernoulli trial,essai de Bernoulli
155,Bernoulli variable,variable de Bernoulli
156,Bernstein's inequality,inégalité de Bernstein
157,Bernstein–Von Mises theorem,théorème de Bernstein-von Mises
158,BertViz,BertViz
159,Bethe approximation,approximation de Bethe
160,Bhattacharyya coefficient,coefficient de Bhattacharyya
161,Bhattacharyya's distance,distance de Bhattacharyya
162,BigQuery,BigQuery
163,Bloom filter,filtre de Bloom
164,Boltzmann distribution,distribution de Boltzmann
165,Boltzmann exploration,exploration de Boltzmann
166,Boltzmann machine,machine de Boltzmann
167,Bonferroni correction,correction de Bonferroni
168,Boolean formula,formule booléenne
169,Boolean function,fonction booléenne
170,Boolean satisfiability problem,problème de satisfaisabilité booléenne
171,Boolean variable,variable booléenne
172,Borda scores,scores de Borda
173,Bradley-Terry Model,Modèle Bradley-Terry
174,Branch and Bound,Méthode de Branch and Bound
175,Bregman divergence,divergence de Bregman
176,Bregman's method,méthode de Bregman
177,Bresenham's line algorithm,algorithme de tracé de segment de Bresenham
178,BrownBoost,BrownBoost
179,Broyden-Fletcher-Goldfarb-Shanno method,méthode de Broyden-Fletcher-Goldfarb-Shanno
180,Bruceton method,méthode de Bruceton
181,Bundle adjustment,ajustement de faisceau
182,Byte-Pair Encoding,codage par paires de bytes
183,C4.5 algorithm,algorithme C4.5
184,CAP theorem,théorème CAP
185,CAPTCHA,CAPTCHA
186,CAS,CAS
187,CBOW algorithm,algorithme CBOW
188,CDA,CDA
189,CEAS,CEAS
190,CHAID,CHAID
191,CLIP,CLIP
192,CLIQUE clustering,algorithme CLIQUE
193,CLS,CLS
194,CMOS,CMOS
195,CN2 algorithm,algorithme CN2
196,COCO dataset,base de données COCO
197,CONLL,CoNLL
198,CRF,CRF
199,CUSUM procedures,procédures de carte de contrôle des sommes cumulées
200,Caffe,Caffe
201,Caltech-101,Caltech-101
202,CamemBERT,CamemBERT
203,Canny detector,détecteur de Canny
204,Canny edge detector,détecteur de contours de Canny
205,Cauchy distribution,loi de Cauchy
206,Cauchy-Schwarz inequality,inégalité de Cauchy-Bunyakovski-Schwarz
207,Chamfer Distance,Distance de Chamfer
208,Charniak parser,analyseur Charniak
209,ChatGPT,ChatGPT
210,Chauvenet's criterion,test de Chauvenet
211,Chebyshev acceleration,accélération de Chebyshev
212,Chebyshev polynomial,polynôme de Chebyshev
213,Chernoff bound,borne de Chernoff
214,Chinese room argument,argument de la chambre chinoise
215,Cholesky decomposition,décomposition de Cholesky
216,Cholesky factor,facteur de Cholesky
217,Cholesky factorization,factorisation de Cholesky
218,Chomsky hierarchy,hiérarchie de Chomsky
219,Chomsky normal form,forme normale de Chomsky
220,Chu-Liu-Edmonds algorithm,algorithme de Chu-Liu-Edmonds
221,Chung-Lu model,modèle de Chung-Lu
222,Cochran's Q-test,critère de Cochran
223,Cochran-Mantel-Haenzel test,test du χ² de CMH
224,CodeBERT,CodeBERT
225,Cohen's kappa,kappa de Cohen
226,Cohen's kappa coefficient,coefficient kappa de Cohen
227,Cohen's κ,κ de Cohen
228,Cohen-Grossberg neural networks model,réseaux neuronaux de Cohen et Grossberg
229,Cohen-Lynch-Riesenfel algorithm,algorithme de Cohen-Lynch-Riesenfel
230,Combinatory Categorial Grammar,Grammaire catégorielle combinatoire
231,Commonsense Reasoning,raisonnement de bon sens
232,Compressed sensing,sensing compressé
233,Computational linguistic,linguistique computationnelle
234,Condition 1,Condition 1
235,Conditional Generation,génération conditionnelle
236,Condorcet winner,gagnant de Condorcet
237,Contrastive Learning,apprentissage contrastif
238,Coppersmith–Winograd algorithm,algorithme de Coppersmith-Winograd
239,Coreference Resolution,Résolution de coréférence
240,Coreset,Coreset
241,Corpora,Corpus
242,Cosine distance,distance cosinus
243,Counterfactual Regret Minimization,Minimisation du regret contrefactuel
244,Cover's theorem,Théorème de Cover
245,Cox model,modèle de Cox
246,Cox regression model,modèle de vraisemblance partielle
247,Cox's theorem,théorème de Cox
248,Cromwell’s rule,la règle de Cromwell
249,Cross Entropy Loss,Perte d'Entropie Croisée
250,DALL-E,DALL-E
251,DBSCAN,DBSCAN
252,Dartmouth workshop,la conférence de Dartmouth
253,Datalog,Datalog
254,Datalog program,programme Datalog
255,Dataset,ensemble de données
256,De Casteljau's algorithm,algorithme de de Casteljau
257,Decentralized optimization,optimisation décentralisée
258,Decision Transformer,Transformateur de décision
259,Decomposable Attention,Attention décomposable
260,Decomposable Attention Model,Modèle d'Attention Décomposable
261,Deep Blue,Deep Blue
262,DeepMind,DeepMind
263,Dehaene–Changeux model,modèle Dehaene-Changeux
264,Dekker's algorithm,algorithme de Dekker
265,Delaunay triangulation,triangulation de Delaunay
266,Demographic Parity,Parité Démographique
267,Dempster-Shafer theory,théorie de Dempster-Shafer
268,Dendral,Dendral
269,Detectron,Detectron
270,Determinantal Point process,Processus de point déterminantal
271,Dialogue State Tracking,Suivi de l'état du dialogue
272,Dice coefficient,Coefficient de Dice
273,Dice loss,Perte de Dice
274,Dijkstra's algorithm,algorithme de Dijkstra
275,Dirac distribution,Distribution de Dirac
276,Dirac measure,mesure de Dirac
277,Dirichlet,Dirichlet
278,Dirichlet Process,processus de Dirichlet
279,Dirichlet distribution,distribution de Dirichlet
280,Dirichlet prior,prior de Dirichlet
281,Disentanglement,Démêlage
282,Docker container,conteneur Docker
283,Dropout distribution,distribution de Dropout
284,E-step,étape E
285,ELIZA,ELIZA
286,ELIZA effect,effet ELIZA
287,Eclat algorithm,algorithme Eclat
288,Elastic Net,régularisation elastic net
289,Electra,Electra
290,Entity Linking,Liaison d'entités
291,Epanechnikov kernel,noyau d'Épanechnikov
292,Euclidean,euclidien
293,Euclidean distance,distance euclidienne
294,Euclidean divergence,divergence euclidienne
295,Euclidean loss,perte euclidienne
296,Euclidean norm,norme euclidienne
297,Euclidean plane,plan euclidien
298,Euclidean projection,projection euclidienne
299,Euclidean space,espace euclidien
300,Euclidean transformation,transformation euclidienne
301,Euler angle,angle d'Euler
302,Euler step,étape d'Euler
303,Exact Match,Correspondance exacte
304,Extended Kalman Filter,filtre de Kalman étendu
305,F-distribution,distribution de F
306,F-measure,mesure F
307,F-score,score F
308,F-test,test F
309,F1 measure,mesure F1
310,F1 metric,métrique F1
311,F1 score,mesure F1
312,F1-score,mesure F
313,FLR,FLR
314,FP-growth algorithm,algorithme FP-growth
315,Faddeev–LeVerrier algorithm,algorithme de Faddeev-Leverrier
316,Fairseq,Fairseq
317,Fano's inequality,inégalité de Fano
318,Fast Fourier Transform,Transformée de Fourier rapide
319,FastICA,FastICA
320,FastText,FastText
321,FeSTE,FeSTE
322,Feature Pyramid Network,Réseau de pyramide de caractéristiques
323,Federated Learning,apprentissage fédéré
324,Fisher information matrix,Matrice d'information de Fisher
325,Fisher score,score de Fisher
326,Fisher's method,méthode de Fisher
327,Fleiss' kappa,kappa de Fleiss
328,Floyd Warshall algorithm,algorithme de Floyd-Warshall
329,Floyd-Warshall algorithm,algorithme de Floyd-Warshall
330,Floyd’s cycle finding algorithm,algorithme de détection de cycle de Floyd
331,Focal Loss,Focal Loss
332,Fokker-Planck equation,équation de Fokker-Planck
333,Ford-Fulkerson algorithm,algorithme de Ford-Fulkerson
334,Fourier basis function,fonction de base de Fourier
335,Fourier coefficient,coefficient de Fourier
336,Fourier feature,caractéristique de Fourier
337,Fourier frequency,fréquence de Fourier
338,Fourier transform,transformée de Fourier
339,Frank-Wolfe algorithm,algorithme de Frank-Wolfe
340,Freivalds' algorithm,algorithme de Freivalds
341,Frobenius inner product,produit intérieur de Frobenius
342,Frobenius norm,norme de Frobenius
343,Fréchet,Fréchet
344,GLUE,GLUE
345,GPT,GPT
346,GPT-3,GPT-3
347,GPT-4,GPT-4
348,Galton-Watson process,processus de Galton-Watson
349,Gamma prior,a priori Gamma
350,Gartner hype cycle,cycle d'engouement de Gartner
351,Gauss-Newton algorithm,algorithme de Gauss-Newton
352,Gauss-Seidel method,méthode de Gauss-Seidel
353,Gaussian blur,flou gaussien
354,Gaussian complexity,complexité gaussienne
355,Gaussian component,composant gaussien
356,Gaussian conditional random field,champ aléatoire conditionnel gaussien
357,Gaussian density,densité gaussienne
358,Gaussian distribution,loi de Laplace-Gauss
359,Gaussian elimination,élimination gaussienne
360,Gaussian filter,filtre gaussien
361,Gaussian function,fonction gaussienne
362,Gaussian initialization,initialisation gaussienne
363,Gaussian kernel,noyau gaussien
364,Gaussian likelihood,vraisemblance gaussienne
365,Gaussian matrix,matrice gaussienne
366,Gaussian mixture,mélange gaussien
367,Gaussian mixture model,modèle de mélange gaussien
368,Gaussian model,modèle gaussien
369,Gaussian noise,bruit gaussien
370,Gaussian prior,prior gaussien
371,Gaussian process,processus gaussien
372,Gaussian process model,modèle de processus gaussien
373,Gaussian process regression,régression par processus gaussien
374,Gaussian random variable,variable aléatoire gaussienne
375,Gaussian smoothing,lissage gaussien
376,Gaussian variable,variable gaussienne
377,Gaussian weight,poids gaussien
378,Gene Ontology,Ontologie des gènes
379,Gensim,Gensim
380,Gibbs iteration,Itération de Gibbs
381,Gibbs sampler,échantillonneur de Gibbs
382,Gibbs sampling,échantillonnage de Gibbs
383,Gini coefficient,coefficient de Gini
384,Glivenko–Cantelli theorem,théorème de Glivenko-Cantelli
385,GloVe,GloVe
386,Good-Turing estimate,estimation de Good-Turing
387,GoogLeNet,GoogLeNet
388,Google Brain,Google Brain
389,Gram matrix,matrice de Gram
390,Graph Transformer,transformateur de graphes
391,GrowCut algorithm,algorithme GrowCut
392,Gröbner basis,base de Gröbner
393,Gumbel,Gumbel
394,Gumbel distribution,distribution de Gumbel
395,Gumbel noise,bruit de Gumbel
396,Gumbel-softmax distribution,distribution de Gumbel-softmax
397,H-infinity,hinfini
398,Haar wavelet,ondelette de Haar
399,Haar-like features,caractéristiques pseudo-Haar
400,Hadamard matrix,matrice de Hadamard
401,Hadamard product,produit de Hadamard
402,Hadoop,Hadoop
403,Hadoop cluster,Grappe Hadoop
404,Hamiltonian Monte Carlo,Monte Carlo Hamiltonien
405,Hamming distance,distance de Hamming
406,Hamming loss,perte de Hamming
407,Hankel matrix,matrice de Hankel
408,Hausdorff distance,distance de Hausdorff
409,Hebb's theory,postulat de Hebb
410,Hedge algorithm,algorithme Hedge
411,Hellinger distance,distance de Hellinger
412,Helmholtz machine,machine de Helmholtz
413,Herbrand universe,univers de Herbrand
414,Hessian matrix,matrice Hessienne
415,Hessian-vector product,produit Hessien-vecteur
416,Hick's law,loi de Hick
417,Hick–Hyman law,loi de Hick-Hyman
418,Hiero system,système Hiero
419,Hodge decomposition,décomposition de Hodge
420,Hoeffding's inequality,inégalité de Hoeffding
421,Holt-Winters forecasting,prévision Holt-Winters
422,Homography,homographie
423,Horn clause,clause de Horn
424,Horn theory,théorie de Horn
425,Hough transform,transformée de Hough
426,HowTo100M,HowTo100M
427,Huber loss,perte de Huber
428,Huber norm,norme de Huber
429,Huffman coding,codage de Huffman
430,Hugging Face,Hugging Face
431,Hungarian loss,perte hongroise
432,Hurst coefficient,coefficient de Hurst
433,Hyper-parameter,hyperparamètre
434,Hyperband,Hyperband
435,Hyperparameter search,recherche d'hyperparamètres
436,ICLR,ICLR
437,ID3,algorithme ID3
438,IDF,IDF
439,ImageNet,ImageNet
440,In-context Learning,Apprentissage en contexte
441,Inception model,modèle Inception
442,Inception network,Réseau Inception
443,Independent Cascade,Cascade indépendante
444,Independent Cascade Model,Modèle de Cascade Indépendante
445,Influence Maximization,Maximisation de l'Influence
446,Information Extraction,Extraction d'Information
447,Informer model,modèle Informer
448,Inside-Outside algorithm,algorithme Inside-Outside
449,Instance Normalization,normalisation d'instance
450,IoMT,internet des objets médicaux
451,IoT gateway,passerelle IDO
452,Ising model,modèle d'Ising
453,Iverson bracket,crochet d'Iverson
454,JPEG,JPEG
455,Jaccard,Jaccard
456,Jaccard index,indice de Jaccard
457,Jaccard similarity,similarité de Jaccard
458,Jaccard similarity coefficient,coefficient de similarité de Jaccard
459,Jacobian matrix,matrice jacobienne
460,Jensen's inequality,inégalité de Jensen
461,Jensen-Shannon,Jensen-Shannon
462,Jensen-Shannon divergence,divergence de Jensen-Shannon
463,Jupyter notebooks,Jupyter notebooks
464,K-L divergence,divergence K-L
465,K-means,algorithme des k-moyennes
466,K-means algorithm,algorithme K-means
467,K-means clustering,partitionnement en k-moyennes
468,KL-ONE,KL-ONE
469,KNIME,KNIME
470,Kaggle,Kaggle
471,Kalman filter,filtrage de Kalman
472,Karmarkar algorithm,algorithme de Karmarkar
473,Karush–Kuhn–Tucker conditions,conditions de Karush-Kuhn-Tucker
474,Kendall rank correlation coefficient,coefficient de corrélation des rangs de Kendall
475,Kendall's notation,notation de Kendall
476,Kendall's τ,τ de Kendall
477,Keras,Keras
478,Kernel,noyau
479,KinyaBERT,KinyaBERT
480,Kleene closure,fermeture de Kleene
481,Kleene star,étoile de Kleene
482,Kneser-Ney smoothing,lissage de Kneser-Ney
483,Kohonen networks,Réseaux de Kohonen
484,Kolmogorov-Smirnov test,test de Kolmogorov-Smirnov
485,Kolmogorov–Arnold network,Réseau de Kolmogorov–Arnold
486,Krippendorff's α,α de Krippendorff
487,Kronecker delta,delta de Kronecker
488,Kronecker product,produit de Kronecker
489,Kruskal Wallis test,ANOVA à un facteur contrôlé sur rangs
490,Kubeflow,Kubeflow
491,Kullback Leibler divergence,divergence de Kullback-Leibler
492,Kullback–Leibler divergence,entropie relative
493,L 1 -norm,norme L 1
494,L 1 distance,distance L 1
495,L 2 -norm,norme L 2
496,L 2 distance,distance L 2
497,L 2 loss,perte L 2
498,L 2 regularization,régularisation L2
499,L ∞ norm,norme L∞
500,L-estimator,estimateur L
501,L1 bound,borne L1
502,L1 difference,différence L1
503,L1 loss,perte L1
504,L1 penalty,pénalité L1
505,L1 regularization,régularisation L1
506,L1 term,terme L1
507,L2 error,erreur L2
508,L2 regularisation,régularisation L2
509,L2 regularization,régularisation L2
510,L2 regularizer,régularisateur L2
511,L2 weight decay,décroissance de poids L2
512,L2-normalization,normalisation L2
513,LIDAR,télédétection par laser
514,LLaMA,LLaMA
515,LLaMA 2,LlaMA 2
516,LXMert,LXMert
517,LaMDA,LaMDA
518,Lagrange multiplier,multiplicateur de Lagrange
519,Lagrangian duality,dualité lagrangienne
520,Lagrangian multiplier,multiplicateur de Lagrange
521,Lagrangian relaxation,relaxation lagrangienne
522,Lambertian reflectance,réflectance lambertienne
523,Lamport's bakery algorithm,algorithme de la boulangerie
524,Lanczos iteration,itération de Lanczos
525,Langevin dynamic,dynamique de Langevin
526,Language Modeling Toolkit,boîte à outils de modélisation du langage
527,Laplace approximation,approximation de Laplace
528,Laplace distribution,distribution doublement exponentielle
529,Laplace noise,bruit de Laplace
530,Laplace smoothing,lissage de Laplace
531,Laplace-Beltrami operator,opérateur de Laplace-Beltrami
532,Laplacian distribution,distribution de Laplace
533,Laplacian matrix,matrice de Laplace
534,Laplacian smoothing,lissage laplacien
535,Las Vegas algorithm,algorithme de Las Vegas
536,Lasso,Lasso
537,Lasso penalty,pénalité Lasso
538,Leabra,Leabra
539,Lemma,Lemme
540,Levenberg-Marquardt algorithm,algorithme de Levenberg-Marquardt
541,Levenshtein distance,distance d'édition
542,Levenshtein edit distance,distance d'édition de Levenshtein
543,Lexical Functional Grammar,Grammaire fonctionnelle lexicale
544,Libratus,Libratus
545,Lie algebra,algèbre de Lie
546,Likert scale,échelle de Likert
547,Lin-Kernighan heuristic,heuristique de Lin-Kernighan
548,LinCE,LinCE
549,Linde–Buzo–Gray algorithm,algorithme de Linde–Buzo–Gray
550,Lindley's paradox,paradoxe de Jeffreys-Lindley
551,Linear Threshold,seuil linéaire
552,Linear Threshold Model,modèle de seuil linéaire
553,Linear Transformer,Transformateur Linéaire
554,Linformer,Linformer
555,Lipschitz,Lipschitz
556,Lipschitz constant,constante de Lipschitz
557,Lipschitz continuity,continuité de Lipschitz
558,Lipschitz continuous,Lipschitzienne
559,Lipschitz function,fonction de Lipschitz
560,Lipschitzness,Lipschitzianité
561,Lisp,Lisp
562,Local Consistency,Consistance locale
563,Log Gaussian Cox Process,Processus de Cox Log-Gaussien
564,LogitBoost,LogitBoost
565,Longformer,Longformer
566,Lucene,Lucene
567,Lyapunov function,fonction de Lyapunov
568,M-estimation,M-estimation
569,M-step,étape M
570,MATLAB,MATLAB
571,MAWPS,MAWPS
572,ML sensor,capteur ML
573,MLOps,OpérAA
574,MNIST,MNIST
575,MNIST database,base de données MNIST
576,MTDNN,MTDNN
577,Machine Comprehension,Compréhension automatique
578,Machine Learning Repository,Répertoire d'apprentissage automatique
579,Machine Reading Comprehension,Compréhension automatique de texte
580,Mahalanobis distance,distance de Mahalanobis
581,Mahalanobis distance function,Fonction de distance de Mahalanobis
582,Mahalanobis matrix,matrice de Mahalanobis
583,Mahalanobis metric,métrique de Mahalanobis
584,Manhattan distance,distance de Manhattan
585,Mann-Whitney U test,test de Wilcoxon-Mann-Whitney
586,Mann-Whitney test,test de Mann-Whitney
587,MapReduce,MapReduce: diviser-traiter-regrouper
588,Marching Cubes,Marching Cubes
589,Markov,Markov
590,Markov assumption,Hypothèse de Markov
591,Markov blanket,couverture de Markov
592,Markov chain,chaîne de Markov
593,Markov chain Monte Carlo,méthode de Monte-Carlo par chaînes de Markov
594,Markov chain model,modèle de chaîne de Markov
595,Markov decision process,processus de décision de Markov
596,Markov game,jeu de Markov
597,Markov kernel,noyau de Markov
598,Markov logic,logique de Markov
599,Markov logic network,réseau de logique de Markov
600,Markov model,modèle de Markov
601,Markov network,réseau de Markov
602,Markov process,processus markovien
603,Markov property,propriété de Markov
604,Markov random field,champ aléatoire de Markov
605,Markov state,état de Markov
606,Markov transition,transition de Markov
607,Markov transition matrix,matrice de transition de Markov
608,Markov's inequality,inégalité de Markov
609,MatConvNet,MatConvNet
610,Matching Network,Réseau de correspondance
611,MathQA,MathQA
612,Matrix factorization,Factorisation de matrice
613,Matérn kernel,Noyau de Matérn
614,Maximum Satisfiability,Satisfiabilité Maximale
615,McCulloch-Pitts neuron,neurone artificiel de McCulloch et Pitts
616,Mechanical Turk,Turc mécanique
617,Metropolis Hastings,Méthode de Metropolis-Hastings
618,Metropolis algorithm,algorithme de Metropolis
619,Metropolis method,méthode de Metropolis
620,Metropolis-Hasting,Metropolis-Hastings
621,Metropolis-Hastings acceptance ratio,ratio d'acceptation de Metropolis-Hastings
622,Metropolis-Hastings algorithm,algorithme de Metropolis-Hastings
623,Metropolis-Hastings sampler,échantillonneur de Metropolis-Hastings
624,Mexican-hat function,fonction du chapeau mexicain
625,Microsoft Cognitive Toolkit,CNTK
626,Mixup,Mixup
627,Monotonicity,Monotonie
628,Monte Carlo,Monte Carlo
629,Monte Carlo Dropout,Monte Carlo Dropout
630,Monte Carlo algorithm,algorithme de Monte Carlo
631,Monte Carlo approximation,approximation de Monte Carlo
632,Monte Carlo estimate,estimation de Monte Carlo
633,Monte Carlo estimation,estimation de Monte Carlo
634,Monte Carlo estimator,estimateur de Monte Carlo
635,Monte Carlo method,méthode Monte-Carlo
636,Monte Carlo sample,échantillon de Monte Carlo
637,Monte Carlo search,recherche Monte Carlo
638,Monte Carlo simulation,simulation Monte Carlo
639,Monte Carlo tree search,fouille arborescente Monte Carlo
640,Monte-Carlo return,retour de Monte-Carlo
641,Moore-Penrose pseudo-inverse,pseudo-inverse de Moore-Penrose
642,Moran's I,indice de Moran
643,Morfessor,Morfessor
644,Multi-Task Learning,apprentissage multitâche
645,Multidimensional Quality metric,Métrique de qualité multidimensionnelle
646,Multidimensional Scaling,cadrage multidimensionnel
647,Multiple Choice,Choix Multiple
648,MxNet,Apache MxNet
649,Mycin,MYCIN
650,NLI,NLI
651,NLP,TAL traitement automatique du langage naturel
652,NORTA method,méthode NORTA
653,NP-completeness,NP-complet
654,NP-hardness,NP-difficile
655,Nadaraya-Watson estimator,estimateur de Nadaraya-Watson
656,Nagle algorithm,algorithme de Nagle
657,Nash equilibria,équilibres de Nash
658,Nash welfare,bien-être de Nash
659,Natural Language Inference,inférence en langage naturel
660,Natural Language Understanding,compréhension du langage naturel
661,Natural question,Questions Naturelles
662,Naïve Bayes,Naïve Bayes
663,Nelder-Mead method,méthode de Nelder-Mead
664,Nesterov momentum,momentum de Nesterov
665,Neural Information Processing Systems,Systèmes de Traitement de l'Information Neuronale
666,Neural Radiance field,champ de radiance neuronal
667,Neural volume,Volume neuronal
668,Newton method,Méthode de Newton
669,Newton's method,méthode de Newton-Raphson
670,Neyman–Rubin causal model,modèle causal de Neyman-Rubin
671,NoSQL,NoSQL
672,Nom-Bank,Nom-Bank
673,Non-maximum suppression,Suppression des non-maxima
674,Nucleus Sampling,échantillonnage par noyau
675,NumPy,NumPy
676,Nyström approximation,approximation de Nyström
677,OOV,OOV
678,OPTICS algorithm,algorithme OPTICS
679,Object Localization,localisation d'objet
680,Occam's razor,principe d'Occam
681,Open Information Extraction,extraction d'information ouverte
682,OpenCog,OpenCog
683,OpenNN,OpenNN
684,Optimization Problem,Problème d'optimisation
685,Ornstein-Uhlenbeck,Ornstein-Uhlenbeck
686,PAC learning,apprentissage PAC
687,PaLM,PaLM
688,PageRank algorithm,algorithme de classement de Google
689,Pareto dominated,fortement dominé par Pareto
690,Pareto frontier,frontière de Pareto
691,Pareto optimal,optimal de Pareto
692,Pareto optimality,optimalité de Pareto
693,Pareto principle,loi des 80-20
694,Pareto-efficient,efficace au sens de Pareto
695,Partially Observable Markov Decision Process,Processus de Décision de Markov Partiellement Observable
696,Parzen window,fenêtre de Parzen
697,Pearson chi-squared test,test khi-deux de Pearson
698,Pearson correlation,corrélation de Pearson
699,Pearson correlation coefficient,coefficient de corrélation de Pearson
700,Pearson's correlation,corrélation de Pearson
701,Pearson's correlation coefficient,coefficient de corrélation de Pearson
702,Pearson's r,r de Pearson
703,Pearson's r correlation,corrélation de Pearson
704,Penn English Treebank,Penn English Treebank
705,Penn Treebank corpus,corpus Penn Treebank
706,Perron-Frobenius theorem,théorème de Perron-Frobenius
707,Pinsker's inequality,inégalité de Pinsker
708,Pitman-Yor Process,processus de Pitman-Yor
709,Platt scaling,mise à l'échelle de Platt
