english,chinese,turkish,arabic,persian,dutch,german,portuguese,french,russian,japanese
parsing,解析,ayrıştırma,تحليل,تجزیه,ontleden:::parsen,Parsing,analisando,analyse syntaxique,парсинг,構文解析
text,文本,Metin,النص,متن,tekst,Text,Texto,texte,текст ,テキスト
speech,语音,konuşma,الكلام,گفتگو,spraak,Sprach-,fala,dicours,речь,スピーチ
automatic,自动类,otomatik,تلقائي,خودکار,automatisch:::automatische,automatisch,automática,automatique,Автоматический,自動
detection,检测,algılama; tespit,كشف,تشخیص,detectie,Erkennung,detecção,detéction,Обнаружение,検出
propose,提出,önermek,نقترح,پیشنهاد,voorstellen:::stellen voor,vorschlagen,propor,proposé,предлагать,提案
newswire,新闻专线,online gazete,إخبارية,newswire,newswire,Nachrichten,newswire,fil d'actualité,новостная лента новостей,ニュースワイヤー
extracting,提取,Ayıklama,استخراج,استخراج,Extraheren,extrahieren,Extraindo,extraction,Извлечение,抽出
sentence,句子,cümle,جملة,جمله,zin,Satz,frase,phrase,предложение,文章
spans,跨度,süre,امتدادات,گستردگی,spannen,Spann-,espaços,étendage,пяди,スパン
texts,文本,metinler,نصوص,متن‌ها,teksten,Texte,textos,textes,Тексты,テキスト
previous,之前,Önceki,السابق,قبلی,Eerder:::eerdere,frühere,Anterior,antérieur,Предыдущий,以前の
word,单词,sözcük,كلمة,واژه,woordinbeddingen,Word:::Wort,palavra,mot,слово,単語
CRF,CRF,CRF,CRF,CRF,CRF,CRF,CRF,CRF,CRF,CRF
model,模型,model,نموذج,مدل,model,Modell,modelo,modèle,модель,モデル
approach,方法,yaklaşım,النهج,رویکرد,benadering,Ansatz,abordagem,approche,подход,アプローチ
news,消息,haberler,الأخبار,اخبار,nieuws,Nachrichten,notícia,nouvelles,новости,ニュース
training,训练,eğitim,تدريب,آموزش,training,Training,treinamento,formation,обучение,訓練
generalize,概括,genelleştirmek,التعميم,تعمیم,generaliseren,verallgemeinern:::generalisieren,generalizar,généralise,обобщить,一般化する
unseen,未见,görülmeyen; görülmemiş,غير المرئيي,مشاهده‌نشده,onzichtbaar:::onzichtbare:::ongezien:::ongeziene,unbekannt,não conhecido,invisible,невидимый,見えない
annotated,带注释,ek açıklama eklenmiş,مشروحة,شرح‌نویسی‌شده,geannoteerd,annotiert,anotada,annoté,аннотированный,注釈付き
tokens,令牌,belirteç,رموز,توکن‌ها,tokens,Token,tokens,gages,Маркеры,トークン
OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV
corpus,语料库,derlem,مجموعة,پیکره زبانی,corpus,Korpus,corpus linguístico,corpus,корпус,コーパス
CONLL,CoNLL,CoNLL,CoNLL,CoNLL,CoNLL,CoNLL,CoNLL,CoNLL,CoNLL,CoNLL
BIO,BIO,BIO,BIO,BIO,BIO,BIO,BIO,BIO,BIO,BIO
encoding,编码,kodlama,تشفير,رمزگذاری,coderen,Kodierung,codificação,encodage,кодировка,エンコーディング
encode,编码,şifrelemek,تشفير,کدگذاری,coderen,kodieren,codificar,encode,кодировать,エンコード
token,令牌,belirteç,رمز,توکن,token,Token,token,gage,жетон,トークン
number,数字,sayı; rakam,عدد,شماره,nummer:::aantal:::cijfer,Reihe,número,nombre,число,数字
labeled,标签化,etiketli,مصنف,برچسب‌دار,gelabeld:::gelabelde,markiert,rotulado,étiquetés,обозначеный,ラベル付き
features,特征,özellikler,ميزات,قابلیت‌ها,functies,Funktionen,características,fonctions,Функции,機能
binary,二进制,ikili,تصنيف ثنائي,دوتایی,binair:::binaire,binär,binário,binaire,двоичный,バイナリ
transformer,转换器,Dönüştürücü,محول,مبدل,transformer,Transformer,Transformador,conversion,преобразователь ,トランスフォーマー
BETO,BETO,BETO,BETO,BETO,BETO,BETO,BETO,BETO,BETO,BETO
monolingual,单语,tek dilli,أحاديّ اللغة,تک‌زبانه,eentalig,einsprachig,monolíngue,monolingue,одноязычный,単一言語
transformers,转换器,dönüştürücüler,محولات,مبدل‌ها,transformers,Transformer,transformadores,transformateurs,преобразователи,トランスフォーマー
metrics,指标,metrikler,مقاييس,متریک,statistieken:::cijfers,Metriken,métricas,indicateurs,метрики,メトリックス
question,问题,soru,سؤال,سؤال,vraag,Frage,pergunta,question,вопрос,質問
embeddings,嵌入,eklemeler,التضمينات,تعبیه‌سازی‌ها,inbeddingen,Einbettungen,integrações,intégration,встраивания,埋込み
information,信息,bilgi,معلومات,اطلاعات,informatie,Informationen,informação,information,информация,情報
contextualized,情境化,bağlam içinde kullanılmış; bağlam kazandırılmış,السياقية,بافتارمند,gecontextualiseerd:::gecontextualiseerde,kontextualisiert,contextualizado,contextualisé,контекстуализированный,文脈で理解できる
BERT,BERT,BERT,بيرت,بِرت,BERT,BERT,BERT,Représentations d'encodeurs bidirectionnels à partir de transformateurs,BERT,BERT
BPE,BPE,BPE,BPE,BPE,BPE,BPE,BPE,BPE,BPE,BPE
pretrained,预训练,önceden eğitilmiş,مدرب مسبقًا,از قبل آموزش‌دیده,vooraf getraind:::pre-trained,vortrainiert,pré-treinado,pré-formation,предварительно обученный,事前訓練された
LinCE,LinCE,LinCE,LinCE,LinCE,LinCE,LinCE,LinCE,LinCE,LinCE,LinCE
resources,资源,kaynaklar,الموارد,منابع,resources:::bronnen:::middelen,Ressourcen,recursos,ressources,ресурсы,リソース
analysis,分析,analiz,تحليل,تحلیل,analyse,Analyse,análise,analyse,анализ,分析
embedding,嵌入,ekleme,التضمين,تعبیه‌سازی,inbedding,Einbettung,integração,intégration,внедрение,埋込み
paper,纸,makale,ورقة,کاغذ,paper:::artikel,Paper:::Aufsatz:::Beitrag,artigo,article,бумага,論文
KinyaBERT,KinyaBERT,KinyaBERT,KinyaBERT,KinyaBERT,KinyaBERT,KinyaBERT,KinyaBERT,KinyaBERT,KinyaBERT,KinyaBERT
Morphology,形态学,morfoloji,مورفولوجيا,تکواژشناسی,morfologie,Morphologie,morfologia,morphologique,морфология,語形論
research,研究,araştırma,بحث,پژوهش,onderzoek,Forschung,pesquisa,recherches,исследование,研究
morphologically,形态上,morfolojik olarak,مورفولوجيا,تکواژشناختی,morfologisch:::morfologische,morphologisch,morfologicamente,morphologie,морфологически,形態的に
tokenization,标记化,belirteç haline getirme,الترميز,توکن‌سازی,tokenisering,Tokenisierung,tokenização,marquage,токенизация,トークン化
algorithm,算法,algoritma,خوارزمية,الگوریتم,algoritme,Algorithmus,algoritmo,algorithme,алгоритм,アリゴリズム
subword,子词,alt sözcük,الكلمات الفرعية,زير کلمه,subwoord,Unterwort,subpalavra,sous-mot,подсловие,サブ単語
meaning,意义,anlam,معنى,معنا,betekenis,Bedeutung,significado,sens,значение,意味
morphemes,语素,biçimbirim,مورفيمات,تکواژ,morfemen,Morpheme,morfemas,morphèmes,Морфем,形態素
representation,表达,Temsil,تمثيل,بازنمایی,representatie,Representation:::Darstellung:::Repräsentation,Representação,représentation,Представление,表現
algorithms,算法,algoritmalar,خوارزميات,الگوریتم‌ها,algoritmen,Algorithmen,algoritmos,algorithmes,Алгоритмы,アリゴリズム
morphological,形态化,morfolojik; biçim bilimsel,مورفولوجي,تکواژشناختی,morfologisch,morphologisch,morfológica,morphologique,морфологический,形態的
oracle,甲骨文,Oracle,أوراكل,اوراکل,oracle,Oracle,oráculo,oracle,оракул,Oracle
compositionality,组合性,tümleme,نمذجة التركيبة,ترکیب,compositionaliteit,Kompositionalität,composicionalidade,compositionnalité,композиционность,構成の可能性
Therefore,所以,Bu nedenle,لذلك,بنابراین,daarom:::om die reden:::vandaar:::dus:::zodoende,Daher,Assim,par conséquent,Следовательно,したがって
spoken,口语,Konuşma,منطوق,گفتار...گفتاری,gesproken,Sprach-,falada,parlé,Разговорный,音声
input,输入,girdi; giriş,الإدخال,ورودی,input,eingegeben,entrada,saisient,ввод,入力
document,文档,belge,مستندات,سند,document,Dokument,documento,document,документ,文章
aspect,方面,özellik,جانب,جنبه,aspect,Aspekt,aspecto,aspect,аспект,アスペクト
verbs,动词,fiiller,أفعال,فعل‌ها,werkwoorden,Verben,verbos,verbes,Глаголы,動詞
noun,名词,isim,أسم,اسم,zelfstandig naamwoord,Substantiv,substantivo,nom,существительное,名詞
encoder,编码器,kodlayıcı,مشفر,کدگذار,encoder,Encoder,codificador,encodeur,кодировщик,エンコーダ
vectors,矢量,vektörler,متجهات,بردارها,vectoren,Vektoren,vetores,vecteurs,векторa,ベクトル
corresponding,相应的,karşılık gelen,تطابق,متناظر,overeenkomend:::overeenkomende:::komt overeen,passend:::entsprechend,correspondente,correspondant,соответствующий,対応する
nouns,名词,isimler,أسماء,اسم‌ها,zelfstandige naamwoorden,Substantive,substantivos,noms,Существительные,名詞
pronouns,代词,zamirler,الضمائر,ضمیرها,voornaamwoorden,Pronomen,pronomes,pronoms,Местоимения,代名詞
unsupervised,无监督,Denetimsiz,غير الخاضع للإشراف,بدون نظارت,unsupervised:::zonder toezicht,nicht überwacht,Não supervisionada,non supervisé,Безнадзорный,監視なし
tagging,标记,etiketleme,وضع علامات,برچسب‌گذاری,tagging,Tagging,rotulagem,classification,Маркировка,タグ付け
syntactic,句法,söz dizimsel,النحوي,نحوی,syntactisch:::syntactische,syntaktisch,sintática,syntaxique,синтаксический,構文
tagger,标记器,etiketleyici,علامة,برچسب‌گذار,tagger,Tagger,marcador,marqueurs,теггер,タグ付け部
bidirectional,双向,iki yönlü,ثنائية الاتجاه,دوطرفه,bidirectioneel:::bidirectionele,bidirektional,bidirecional,bidirectionnel,двунаправленный,双方向
inference,推理,çıkarım,استدلال,استنباط,interferentie,Interferenz,inferência,inférence,вывод,推論
decoding,解码,kod çözme,فك تشفير,رمزگشایی,decodering:::decoderen,Dekodierung,decodificando,décodage,расшифровка,デコーディング
ICLR,ICLR,ICLR,ICLR,ICLR,ICLR,ICLR,ICLR,ICLR,ICLR,ICLR
correlations,相关性,korelasyonlar,ارتباطات,همبستگی‌ها,correlaties,Korrelationen,correlações,corrélation,Корреляции,相関
attention,注意力,dikkat,انتباه,توجه,aandacht,Aufmerksamkeit,atenção,attention,внимание,アテンション
computation,计算,hesaplama,حساب,محاسبات,berekening,Berechnung,computação,calcul,вычисление,計算
Similar,相似的,Benzer,مماثلة,مشابه,vergelijkbaar:::vergelijkbare,ähnlich,Semelhante,similaire,Похожий,類似
prediction,预测,tahmin,تنبؤ,پیش‌بینی,voorspelling,Vorhersage,previsão,prévention,предсказание,予測
classification,分类,sınıflandırma,لتصنيف,دسته‌بندی,classificatie,Klassifikation,classificação,classification,классификация,分類
problem,问题,sorun,مشكلة,مشکل,probleem,Problem,problema,problèmes,проблема,問題
vector,向量,vektör,متجه,بردار,vector,Vektor,vetor,vectoriel,вектор,ベクトル
multilingual,多语言,çok dilli,متعدد اللغات,چندزبانه,meertalig,mehrsprachig,vários idiomas,multilingue,многоязычный,他言語
XLM,XLM,XLM,XLM,XLM,XLM,XLM,XLM,XLM,XLM,XLM
large,大的,geniş;  büyük,كبير,عظیم,groot:::grote,groß,grande,grand,большой,大規模な
corpora,语料库,derlemler,المجاميع,پیکره‌های زبانی,corpora,Korpora,corpora linguística,corpus,корпуса,コーパス
baselines,基线,temel; taban çizgisi,خطوط الأساس,مبناها,baselines,Baselines,linhas de referência,bases,базовых линий,ベースライン
gradient,坡度,gradyan,تدرج,شیب‌دار,gradiënt,Gradient,gradiente,pente,градиент,傾度
sequences,序列,diziler,تسلسل,توالی‌ها,sequenties:::reeksen,Sequenzen,sequências,séquences,Последовательности,シーケンス
GLUE,GLUE,GLUE,GLUE,GLUE,GLUE,GLUE,GLUE,GLUE,GLUE,GLUE
data,数据,veri; veriler,بيانات,داده‌ها,data:::gegevens,Daten,dados,données,данные,データ
quality,质量,kalite,جودة,کیفیت,kwaliteit,Qualität,qualidade,qualité,качество,品質
finetuning,微调,hassas ayar ayapma,الضبط الدقيق,تنظیم دقیق,finetunen,Feinabstimmung,ajuste fino,raffinement,тонкая настройка,微調整
user,用户,kullanıcı,مستخدم,کاربر,gebruiker,Benutzer,usuário,utilisateur,пользователь,ユーザー
evaluation,评估,Değerlendirme,تقييم,ارزیابی,evaluatie,Evaluation,Avaliação,évaluation,оценка,評価
translations,翻译,çeviriler,الترجمات,ترجمه‌ها,vertalingen,Übersetzungen,traduções,traductions,Переводы,翻訳
assessing,评估,değerlendirmeler,تقييم,ارزیابی,beoordelen,Bewertung:::Beurteilung,Avaliando,évalution,проведение оценки,評価
translation,翻译,çeviri,الترجمة,ترجمه,vertaling,Übersetzung,tradução,traduction,перевод,翻訳
regression,回归,gerileme,تراجع,رگرسیون,regressie,Regression,regressão,régression,регрессия,回帰
ablation,消融,ablasyon,استئصال,قطع,ablatie,Ablation,ablação,ablation,абляция,アブレーション
AI,人工智能,yapay zeka,AI,AI,AI,KI,IA,intelligence artificielle,AI,AI
method,方法,yöntem,طريقة,روش,methode,Methode,método,méthode,метод,方法
answer,回答,yanıt,إجابة,پاسخ,antwoord,Antwort,resposta,réponse,ответ,応答
relations,relations,bağıntılar,علاقات,ارتباط‌ها,relaties,Relationen:::Beziehungen,relações,relations,Отношения,relations
computational,计算类,hesaplamalı,الحسابية,محاسباتی,reken-:::computer-,rechen-,computacional,informatique,вычислительный,計算
sequence,顺序,dizi,التسلسل,ترتیب,sequentie:::reeks,Sequenz,sequência,séquence,последовательность,シーケンス
representations,陈述,temsiller,تمثيلات,بازنمایی,representaties,Darstellung,representações,représentations,Представления,表現
decoder,解码器,kod çözücü,وحدة فك الترميز,رمزگشا,decoder,Decoder,decodificador,décodeur,дешифратор,デコーダ
target,目标,hedef,هدف,مقصد,doel,abzielen,destino,cible,цель,ターゲット
dependencies,依赖关系,bağımlılıklar,تبعيات,وابستگی‌ها,afhankelijkheden,Abhängigkeiten,dependências,dépendances,Зависимости,依存性
linear,线性的,doğrusal; lineer,خطي,خطی,lineair:::lineaire,linear,linear,linéaire,линейный,線形
weights,权重,ağırlıklar,أوزان,وزن,waardes,Gewichtungen,pesos,poids,веса,荷重
softmax,softmax,softmax,softmax,softmax,softmax,Softmax,softmax,softmax,софтмакс,softmax
qualitative,定性的,nitel,نوعي,کیفی,kwalitatief:::kwalitatieve,qualitativ,qualitativa,qualitative,качественный,質的
summarization,总结,özetleme,تلخيص,خلاصه‌سازی,samenvatting,Zusammenfassung,sumarização,synthèse,суммирования,要約
PubMed,PubMed,PubMed,PubMed,PubMed,PubMed,PubMed,PubMed,PubMed,ПабМед,PubMed
re,关系提取,RE,RE,RE,RE,RE,RE,RE,RE,RE
parameter,参数,parametre,معلمة,پارامتر,parameter,Parameter,parâmetro,paramètres,параметр,パラメータ
pretraining,预训练,ön eğitim,التدريب المسبق,آموزش قبلی,pre-training,Vortraining:::Pre-training:::Pretraining,pré-treinamento,pré-formation,предварительная подготовка,事前訓練
Dialogue,对话,diyalog,حوار,گفت‌وگو,dialoog,Dialog,diálogo,dialogue,диалог,ダイアログ
Semantic,语义,anlamsal,الدلاليّة,نقش معنایی,semantisch,semantisch,semântica,sémantique,семантический,意味論
system,系统,sistem,نظام,سیستم,systeem,System,sistema,système,система,システム
utterances,话语,ifade; söylem,اقوال,گفته‌ها,uitingen,Äußerungen,enunciados,discours,Высказываний,発話
utterance,发声,ifade,نُطقٍ,گفته,uiting,Äußerung,enunciado,énonciation,высказывание,発話
graph,图形,grafik,رسم بياني,گراف,graaf:::grafiek,Graph,grafo,"graphique, diagramme",диаграммa,グラフ
nodes,节点,düğümler,العقد,گره‌ها,knooppunten,Knoten,nós,nodules,узлы,ノード
graphs,图表,grafikler,نماذج,گراف‌ها,grafen:::grafieken,Graphen,grafos,diagrammes,диаграммы,グラフ
generating,生成,Oluşturma,توليد,تولید,Genereren,generieren,Gerando,production,генерация,生成
simultaneous,同时,Eş zamanlı,متزامن,همزمان,Simultaan:::Simultane,Simultaneaous,Simultânea,simultanée,Одновременный,同時
event,事件,olay,حدث,رویداد,gebeurtenis:::event,Ereignis,evento,activité,событие,イベント
parallel,平行线,paralel,متوازي,موازی,parallel:::parallelle,parallel,paralelo,parallèle,параллельный, 並列
dependency,依赖,bağımlılık,تبعية,وابستگی,afhankelijkheid,Abhängigkeit,dependência,dépendance,зависимость,依存
structure,结构体,yapı,بنية,ساختار,structuur,Struktur,estrutura,structure,структура,構成
BART,BART,BART,BART,BART,BART,BART,BART,BART,BART,BART
parser,解析器,ayrıştırıcı,محلل,تجزیه‌کننده,parser,Parser,analisador,analyseur,синтаксический анализатор,パーサー
generated,已生成,oluşturulan; üretilen,الناشئة,تولیدشده,gegenereerde,generiert,gerado,générés,созданный,生成された
heuristic,启发式,buluşsal,إرشادي,اکتشافی,heuristisch:::heuristische,heuristisch,heurística,heuristique,эвристический,ヒューリスティック
methods,方法,yöntemler,أساليب,روش‌ها,methoden,Methoden,métodos,méthodes,методика,方法
FLR,FLR,FLR,FLR,FLR,FLR,FLR,FLR,FLR,FLR,FLR
systems,系统,sistemler,نظم,سیستم‌ها,systemen,Systeme,sistemas,systèmes,Системы,システム
conversational,会话式,konuşmayla ilgili,حواري,مکالمه‌ای,conversationeel:::conversationele:::gespreks-,Conversational:::Konversation,conversacional,conversationnel,разговорный,会話的
datasets,数据集,veri kümeleri,مجموعة بيانات,مجموعه‌های داده‌ها,datasets,Datensätze,conjuntos de dados,données,наборы данных,データセット
SMCalFlow,SMCalFlow,SMCalFlow,SMCalFlow,SMCalFlow,SMCalFlow,SMCalFlow,SMCalFlow,SMCalFlow,SMCalFlow,SMCalFlow
TreeDST,TreeDST,TreeDST,TreeDST,TreeDST,TreeDST,TreeDST,TreeDST,TreeDST,TreeDST,TreeDST
achieves,达到,başarmak; elde etmek; ulaşmak,يحقق,دست‌یابی...دست یافته است,behaalt:::realiseert:::bereikt,erreicht,alcança,performance,Достигает,達成する
BLEU,BLEU,BLEU,BLEU,BLEU,BLEU,BLEU,BLEU,bleu,BLEU,BLEU
generation,一代,oluşturma,توليد,تولید,genereren:::generatie,Generierung,geração,génération,генерация,生成
Moreover,而且,Dahası,وفضلا عن ذلك,در ضمن,bovendien:::voorts:::daarnaast:::tevens,Darüber hinaus,Além disso,de plus,Сверх того,また
domains,域,etki alanları,مجالات,دامنه‌ها,domeinen,Domänen,domínios,domaines,Домены,ドメイン
retrieval,恢复,alma,استرجاع,بازیابی,retrieval,Retrieval,recuperação,extraction,возвращение,取得
augmented,增强型,çoğaltılmış,معزز,افزایش‌داده‌شده,aangevuld:::versterkt:::vergroot,erweitert:::ergänzt,aumentada,amélioré,увеличенный,強化された
counterfactual,反事实的,karşı olgusal,counterfactual,خلاف واقع,contrafeitelijk:::contrafeitelijke,kontrafaktisch,contrafactual,contrefactuel,Противного,非現実節
sentiment,情绪,Duygu,شعور,احساسات,sentiment,Stimmungs-,Sentimento,émotionel,Настроение,感情
biases,偏见,yanlılık; önyargı,biases,تعصبات,vertekeningen:::bias,Bias:::Verzerrungen,preconceitos,biais,Предубеждения,バイアス
human,人类,insan,بشري,انسان,menselijk:::menselijke,menschlich,humana,civique,человек,人間の
annotation,注释,açıklama,التعليق التوضيحي,شرح‌نویسی,annotatie,Annotation,anotação,annotation,аннотация,注釈
syntax,句法,söz dizimi,بناء جملة,نحو,syntaxis,Syntax,sintaxe,syntaxe,синтаксис,構文論
knowledge,知识,bilgi,معرفة,دانش,kennis,Wissen,conhecimento,connaissance,знание,知識
Furthermore,此外,Ayrıca,علاوة على ذلك,علاوه بر این,Bovendien:::voorts:::daarbij:::verder,Darüber hinaus,além disso,en outre,Кроме того,さらに
questions,问题,sorular,أسئلة,سؤالات,vragen,Fragen,perguntas,questions,Вопросы,質問
RGF,RGF,RGF,RGF,RGF,RGF,RGF,RGF,RGF,RGF,RGF
REALM,REALM,REALM,REALM,REALM,REALM,REALM,REALM,REALM,REALM,REALM
contexts,上下文,bağlamlar,سياقات,بافت‌ها,contexten,Kontexte,contextos,contextes,содержания,文脈
context,语境,bağlam,context,بافت,context,Kontext,contexto,contexte,содержание,文脈
Wikipedia,维基百科,wikipedia,ويكيبيديا,ویکی‌پدیا,Wikipedia,Wikipedia,wikipédia,wikipédia,Википедия,wikipedia
similarity,相似度,benzerlik,تشابه,شباهت,gelijkenis:::overeenkomst,Ähnlichkeit,similaridade,similitude,сходство,類似性
search,搜索,araması,البحث,جستجو,zoeken:::zoek-,Such-,busca,cherche,искать,検索
retrieved,检索到,alınan,مسترجع,بازیابی‌شده,opgehaald:::opgehaalde,abgerufen,recuperado,récupérés,полученный,回収された
query,询问,sorgu,استعلام,استعلام,vraag,Anfrage,consulta,requête,запрос,疑問
queries,查询,sorgular,استفسارات,استعلام‌ها,vragen:::query's,Abfragen,consultas,requêtes,Запросы,質問
VFL,VFL,VFL,VFL,VFL,VFL,VFL,VFL,VFL,VFL,VFL
motivated,有动力,Motive,بدافع منهم,تحت تأثیر...به‌دلیل,Gemotiveerd,motiviert,Motivado,motivés,Мотивированный,動機づけられる
semantically,语义上,anlam bilimsel olarak,لغوياً,معنایی,semantisch:::semantische,semantisch,semanticamente,sémantiquement,Семантически,意味論的に
edit,编辑,düzenlemek,تحرير,ویرایش,bewerking,Bearbeitung,editar,édition,редактировать,編集
QED,QED,QED,QED,QED,QED,QED,QED,QED,QED,QED
predicate,谓词,yüklem,أصلي,گزاره,predicaat,Prädikat,predicado,prédicat,предикат,述語
entities,实体,varlıklar,كيانات,نهادها,entiteiten,Entitäten,entidades,entités,Объекты,エンティティ
annotations,注释,ek açıklamalar,تعليقات توضيحية,شرح‌نویسی‌ها,annotaties,Annotationen,anotações,annotations,Аннотации,注釈
predicates,谓词,yüklemler,الفرضيات,گزاره‌ها,predicaten,Prädikate,predicados,prédicat,Предикаты,述語
augmentation,增强,artırma; çoğaltma; genişletme,زيادة,افزایش,aanvulling:::versterking:::vergroting,Aufbau,aumento,élargissement,увеличение,増大
relation,关系,bağıntı; ilişki,علاقة,رابطه,relatie,Beziehung,relação,relation,отношение,リレーション
domain,域,etki alanı,مجال,دامنه,domein,Domäne,domínio,domaine,домен,ドメイン
generalization,泛化,genelleştirme,تعميم,تعمیم,generalisatie,Verallgemeinerung,generalização,généralisation,обобщение,一般化
reasoning,推理,gerekçelendirme,المنطق,استدلال,redeneren:::redenering,argumentieren,raciocínio,raisonnement,рассуждение,推論
CDA,CDA,CDA,CDA,CDA,CDA,CDA,CDA,CDA,CDA,CDA
QA,问答,Kalite Güvencesi,ضمان الجودة,پاسخ‌دهی به سؤال (QA),QA,QA,QA,QA,Контроль качества,QA
learning,学习,öğrenme,تعلم,یادگیری,leren,Lernen,aprendizagem,apprentissage,учение,学習
robustness,鲁棒性,sağlamlık,متانة,قدرت,robuustheid,Robustheit,robustez,robustesse,надежность,堅牢性
AQA,AQA,AQA,AQA,AQA,AQA,AQA,AQA,AQA,AQA,AQA
AmbigQA,AmbigQA,AmbigQA,AmbigQA,AmbigQA,AmbigQA,AmbigQA,AmbigQA,AmbigQA,AmbigQA,AmbigQA
QUOREF,QUOREF,QUOREF,QUOREF,QUOREF,QUOREF,QUOREF,QUOREF,QUOREF,QUOREF,QUOREF
SUTD,SUTD,SUTD,SUTD,SUTD,SUTD,SUTD,SUTD,SUTD,SUTD,SUTD
PaLM,PaLM,PaLM,PaLM,PaLM,PaLM,PaLM,PaLM,PaLM,PaLM,PaLM
interpretable,可解释,yorumlanabilir,قابلةٍ للتفسير,قابل‌تفسیر,interpretabel:::interpretabele,interpretierbar,interpretável,interprétable,интерпретируемый,解釈可能
structured,结构化,yapılandırılmış,منظمة,ساختاردار,gestructureerd:::gestructureerde,strukturiert,estruturada,structuré,структурированный,構築された
interpretability,可解释性,yorumlanabilirlik,إمكانية تفسير,تفسیرپذیری,interpreteerbaarheid,Interpretierbarkeit,interpretabilidade,interopérabilité,интерпретируемость,解釈度
BERTs,BERTs,BERTs,BERTs,BERTs,BERTs,BERTs,BERTs,BERTs,BERTs,BERTs
concatenation,联结,ardışıklık,سلسلة,پیوند,Concatenation,Concatenation,concatenação,enchaînement,конкатенация,連続
MAWPS,MAWPS,MAWPS,MAWPS,MAWPS,MAWPS,MAWPS,MAWPS,MAWPS,MAWPS,MAWPS
MathQA,MathQA,MathQA,MathQA,MathQA,MathQA,MathQA,MathQA,MathQA,MathQA,MathQA
SVAMP,SVAMP,SVAMP,SVAMP,SVAMP,SVAMP,SVAMP,SVAMP,SVAMP,SVAMP,SVAMP
manually,手动,manuel olarak,يدويًا,دستی,handmatig,manuell,manualmente,manuellement,вручную,手動で
constraint,约束,kısıtlama,القيود,محدودیت,beperking,Bedingungs-,restrição,contraintes,ограничение,制約
semantics,语义,anlam bilimi,دلالات,معناشناسی,semantiek,Semantik,semântica,sémantiques,семантика,意味論
distributions,分布,dağıtımlar,توزيعات,توزیع‌ها,verdelingen,Verteilung,distribuições,distribution,Распределения,分布
natural,自然,doğal,طبيعي,طبیعی,natuurlijk:::natuurlijke,natürlich,natural,naturel,естественный,自然な
terminology,术语,terminoloji,مصطلح,واژگان,terminologie,Terminologie,terminologia,terminologie,терминология,用語
documents,文件,belgeler,مستندات,سندها,documenten,Dokumente,documentos,documents,Документы,文章
French,法语,Fransızca,فرنسي,فرانسوی...زبان فرانسه,Frans,französisch,francês,français,французский,フランス語
