Input.index,WorkerId,Input.English,Input.French,Answer.translation
1,AJFSM5DLXF59T,3D computer vision,Vision par ordinateur 3D,vision par ordinateur 3D
1,AJFSM5DLXF59T,3D convolutional network,réseau convolutionnel 3D,réseau convolutif 3D
2,A14F5XX4Y4KG9P,3D geometry,géométrie 3D,3D geometry: géométrie 3D
2,A14F5XX4Y4KG9P,3D human pose estimation,estimation de la pose humaine en 3D,3D human pose estimation: estimation de la pose humaine en 3D
2,A14F5XX4Y4KG9P,3D localization,Localisation 3D,3D localization: localisation 3D
2,A14F5XX4Y4KG9P,3D mesh,maillage 3D,3D mesh: maillage 3D
2,A14F5XX4Y4KG9P,3D model,modèle 3D,3D model: modèle 3D
2,A1DEIZQB0X8KNT,3D geometry,géométrie 3D,géométrie 3D
2,A1DEIZQB0X8KNT,3D human pose estimation,estimation de la pose humaine en 3D,estimation de la pose humaine en 3D
2,A1DEIZQB0X8KNT,3D localization,Localisation 3D,localisation 3D
2,A1DEIZQB0X8KNT,3D mesh,maillage 3D,maillage 3D
2,A1DEIZQB0X8KNT,3D model,modèle 3D,modèle 3D
2,A1DP3WNXZKMBVL,3D geometry,géométrie 3D,géométrie 3D
2,A1DP3WNXZKMBVL,3D human pose estimation,estimation de la pose humaine en 3D,estimation de la pose humaine en 3D
2,A1DP3WNXZKMBVL,3D localization,Localisation 3D,localisation 3D
2,A1DP3WNXZKMBVL,3D mesh,maillage 3D,maillage 3D
2,A1DP3WNXZKMBVL,3D model,modèle 3D,modèle 3D
2,A1S9SJ5CZTZH1M,3D geometry,géométrie 3D,géométrie 3D
2,A1S9SJ5CZTZH1M,3D human pose estimation,estimation de la pose humaine en 3D,estimation de pose humaine en 3D
2,A1S9SJ5CZTZH1M,3D localization,Localisation 3D,localisation 3D
2,A1S9SJ5CZTZH1M,3D mesh,maillage 3D,maillage 3D
2,A1S9SJ5CZTZH1M,3D model,modèle 3D,modèle 3D
2,A21RTAAAV3BQ1U,3D geometry,géométrie 3D,géométrie 3D
2,A21RTAAAV3BQ1U,3D human pose estimation,estimation de la pose humaine en 3D,estimation de pose humaine en 3D
2,A21RTAAAV3BQ1U,3D localization,Localisation 3D,localisation 3D
2,A21RTAAAV3BQ1U,3D mesh,maillage 3D,maillage 3D
2,A21RTAAAV3BQ1U,3D model,modèle 3D,modèle 3D
2,A2VHCY98AAL24A,3D geometry,géométrie 3D,Géométrie 3D
2,A2VHCY98AAL24A,3D human pose estimation,estimation de la pose humaine en 3D,Estimation de pose humaine 3D
2,A2VHCY98AAL24A,3D localization,Localisation 3D,Localisation 3D
2,A2VHCY98AAL24A,3D mesh,maillage 3D,Maillage 3D
2,A2VHCY98AAL24A,3D model,modèle 3D,Modèle 3D
2,AATNSR9QAYC5Q,3D geometry,géométrie 3D,géométrie 3D
2,AATNSR9QAYC5Q,3D human pose estimation,estimation de la pose humaine en 3D,estimation de pose humaine en 3D
2,AATNSR9QAYC5Q,3D localization,Localisation 3D,localisation 3D
2,AATNSR9QAYC5Q,3D mesh,maillage 3D,maillage 3D
2,AATNSR9QAYC5Q,3D model,modèle 3D,modèle 3D
2,ACS6S6YQWPTZ1,3D geometry,géométrie 3D,géométrie 3D
2,ACS6S6YQWPTZ1,3D human pose estimation,estimation de la pose humaine en 3D,estimation de pose humaine 3D
2,ACS6S6YQWPTZ1,3D localization,Localisation 3D,localisation 3D
2,ACS6S6YQWPTZ1,3D mesh,maillage 3D,maillage 3D
2,ACS6S6YQWPTZ1,3D model,modèle 3D,modèle 3D
2,AHX4W473FN5US,3D geometry,géométrie 3D,géométrie 3D
2,AHX4W473FN5US,3D human pose estimation,estimation de la pose humaine en 3D,estimation de la pose humaine en 3D
2,AHX4W473FN5US,3D localization,Localisation 3D,localisation 3D
2,AHX4W473FN5US,3D mesh,maillage 3D,maillage 3D
2,AHX4W473FN5US,3D model,modèle 3D,modèle 3D
2,AJFSM5DLXF59T,3D geometry,géométrie 3D,géométrie 3D
2,AJFSM5DLXF59T,3D human pose estimation,estimation de la pose humaine en 3D,estimation de la pose humaine en 3D
2,AJFSM5DLXF59T,3D localization,Localisation 3D,localisation 3D
2,AJFSM5DLXF59T,3D mesh,maillage 3D,maillage 3D
2,AJFSM5DLXF59T,3D model,modèle 3D,modèle 3D
3,A14F5XX4Y4KG9P,3D object detection,détection d'objets 3D,détection d'objets 3D
3,A14F5XX4Y4KG9P,3D point,point 3D,point 3D
3,A14F5XX4Y4KG9P,3D point cloud,nuage de points 3D,nuage de points 3D
3,A14F5XX4Y4KG9P,3D pose,pose 3D,pose 3D
3,A14F5XX4Y4KG9P,3D reconstruction,reconstruction 3D,reconstruction 3D
3,A1DEIZQB0X8KNT,3D object detection,détection d'objets 3D,détection d'objets 3D
3,A1DEIZQB0X8KNT,3D point,point 3D,point 3D
3,A1DEIZQB0X8KNT,3D point cloud,nuage de points 3D,nuage de points 3D
3,A1DEIZQB0X8KNT,3D pose,pose 3D,pose 3D
3,A1DEIZQB0X8KNT,3D reconstruction,reconstruction 3D,reconstruction 3D
3,A1DP3WNXZKMBVL,3D object detection,détection d'objets 3D,détection d'objets 3D
3,A1DP3WNXZKMBVL,3D point,point 3D,point 3D
3,A1DP3WNXZKMBVL,3D point cloud,nuage de points 3D,nuage de points 3D
3,A1DP3WNXZKMBVL,3D pose,pose 3D,pose 3D
3,A1DP3WNXZKMBVL,3D reconstruction,reconstruction 3D,reconstruction 3D
3,A1RAJW5O9HPPE2,3D object detection,détection d'objets 3D,détection d'objets 3D
3,A1RAJW5O9HPPE2,3D point,point 3D,point 3D
3,A1RAJW5O9HPPE2,3D point cloud,nuage de points 3D,nuage de points 3D
3,A1RAJW5O9HPPE2,3D pose,pose 3D,pose 3D
3,A1RAJW5O9HPPE2,3D reconstruction,reconstruction 3D,reconstruction 3D
3,A1S9SJ5CZTZH1M,3D object detection,détection d'objets 3D,détection d'objets 3D
3,A1S9SJ5CZTZH1M,3D point,point 3D,point 3D
3,A1S9SJ5CZTZH1M,3D point cloud,nuage de points 3D,nuage de points 3D
3,A1S9SJ5CZTZH1M,3D pose,pose 3D,pose 3D
3,A1S9SJ5CZTZH1M,3D reconstruction,reconstruction 3D,reconstruction 3D
3,A21RTAAAV3BQ1U,3D object detection,détection d'objets 3D,détection d'objets 3D
3,A21RTAAAV3BQ1U,3D point,point 3D,point 3D
3,A21RTAAAV3BQ1U,3D point cloud,nuage de points 3D,nuage de points 3D
3,A21RTAAAV3BQ1U,3D pose,pose 3D,pose 3D
3,A21RTAAAV3BQ1U,3D reconstruction,reconstruction 3D,reconstruction 3D
3,A3JPQAK02PUM87,3D object detection,détection d'objets 3D,détection d'objets 3D
3,A3JPQAK02PUM87,3D point,point 3D,point 3D
3,A3JPQAK02PUM87,3D point cloud,nuage de points 3D,nuage de points 3D
3,A3JPQAK02PUM87,3D pose,pose 3D,pose 3D
3,A3JPQAK02PUM87,3D reconstruction,reconstruction 3D,reconstruction 3D
3,AATNSR9QAYC5Q,3D object detection,détection d'objets 3D,détection d'objets 3D
3,AATNSR9QAYC5Q,3D point,point 3D,point 3D
3,AATNSR9QAYC5Q,3D point cloud,nuage de points 3D,nuage de points 3D
3,AATNSR9QAYC5Q,3D pose,pose 3D,pose 3D
3,AATNSR9QAYC5Q,3D reconstruction,reconstruction 3D,reconstruction 3D
3,ACS6S6YQWPTZ1,3D object detection,détection d'objets 3D,détection d'objets 3D
3,ACS6S6YQWPTZ1,3D point,point 3D,point 3D
3,ACS6S6YQWPTZ1,3D point cloud,nuage de points 3D,nuage de points 3D
3,ACS6S6YQWPTZ1,3D pose,pose 3D,posture 3D
3,ACS6S6YQWPTZ1,3D reconstruction,reconstruction 3D,reconstruction 3D
3,AJFSM5DLXF59T,3D object detection,détection d'objets 3D,centroïde de cluster
3,AJFSM5DLXF59T,3D point,point 3D,caractéristique de cluster
3,AJFSM5DLXF59T,3D point cloud,nuage de points 3D,étiquette de cluster
3,AJFSM5DLXF59T,3D pose,pose 3D,taille du cluster
3,AJFSM5DLXF59T,3D reconstruction,reconstruction 3D,algorithme de clustering
4,A1DEIZQB0X8KNT,3D scene,scène 3D,scène 3D
4,A1DEIZQB0X8KNT,3D scene geometry,géométrie de la scène 3D,géométrie de scène 3D
4,A1DEIZQB0X8KNT,3D structure,structure 3D,structure 3D
4,A1DEIZQB0X8KNT,5-fold cross validation,Validation croisée à 5 volets,validation croisée à 5 volets
4,A1DEIZQB0X8KNT,A * algorithm,algorithme A*,algorithme A*
4,A1DP3WNXZKMBVL,3D scene,scène 3D,scène 3D
4,A1DP3WNXZKMBVL,3D scene geometry,géométrie de la scène 3D,géométrie de scène 3D
4,A1DP3WNXZKMBVL,3D structure,structure 3D,structure 3D
4,A1DP3WNXZKMBVL,5-fold cross validation,Validation croisée à 5 volets,validation croisée à 5 plis
4,A1DP3WNXZKMBVL,A * algorithm,algorithme A*,algorithme A*
4,A1S9SJ5CZTZH1M,3D scene,scène 3D,scène 3D
4,A1S9SJ5CZTZH1M,3D scene geometry,géométrie de la scène 3D,géométrie de scène 3D
4,A1S9SJ5CZTZH1M,3D structure,structure 3D,structure 3D
4,A1S9SJ5CZTZH1M,5-fold cross validation,Validation croisée à 5 volets,validation croisée à 5 plis
4,A1S9SJ5CZTZH1M,A * algorithm,algorithme A*,algorithme A*
4,A21RTAAAV3BQ1U,3D scene,scène 3D,scène 3D
4,A21RTAAAV3BQ1U,3D scene geometry,géométrie de la scène 3D,géométrie de la scène 3D
4,A21RTAAAV3BQ1U,3D structure,structure 3D,structure 3D
4,A21RTAAAV3BQ1U,5-fold cross validation,Validation croisée à 5 volets,validation croisée à 5 volets
4,A21RTAAAV3BQ1U,A * algorithm,algorithme A*,algorithme A*
4,A2QG6WA7SYJY5Y,3D scene,scène 3D,Scène 3D
4,A2QG6WA7SYJY5Y,3D scene geometry,géométrie de la scène 3D,Géométrie de la scène 3D
4,A2QG6WA7SYJY5Y,3D structure,structure 3D,Structure 3D
4,A2QG6WA7SYJY5Y,5-fold cross validation,Validation croisée à 5 volets,Validation croisée en 5 plis
4,A2QG6WA7SYJY5Y,A * algorithm,algorithme A*,Algorithme A*
4,A3JDSO90RW8ORC,3D scene,scène 3D,scène 3D
4,A3JDSO90RW8ORC,3D scene geometry,géométrie de la scène 3D,géométrie de scène 3D
4,A3JDSO90RW8ORC,3D structure,structure 3D,structure 3D
4,A3JDSO90RW8ORC,5-fold cross validation,Validation croisée à 5 volets,validation croisée à 5 volets
4,A3JDSO90RW8ORC,A * algorithm,algorithme A*,algorithme A*
4,AATNSR9QAYC5Q,3D scene,scène 3D,scène 3D
4,AATNSR9QAYC5Q,3D scene geometry,géométrie de la scène 3D,géométrie de scène 3D
4,AATNSR9QAYC5Q,3D structure,structure 3D,structure 3D
4,AATNSR9QAYC5Q,5-fold cross validation,Validation croisée à 5 volets,validation croisée à 5 plis
4,AATNSR9QAYC5Q,A * algorithm,algorithme A*,algorithme A*
4,ACS6S6YQWPTZ1,3D scene,scène 3D,scène 3D
4,ACS6S6YQWPTZ1,3D scene geometry,géométrie de la scène 3D,géométrie de la scène 3D
4,ACS6S6YQWPTZ1,3D structure,structure 3D,structure 3D
4,ACS6S6YQWPTZ1,5-fold cross validation,Validation croisée à 5 volets,validation croisée à 5 plis
4,ACS6S6YQWPTZ1,A * algorithm,algorithme A*,algorithme A*
4,AHX4W473FN5US,3D scene,scène 3D,scène 3D
4,AHX4W473FN5US,3D scene geometry,géométrie de la scène 3D,géométrie de la scène 3D
4,AHX4W473FN5US,3D structure,structure 3D,structure 3D
4,AHX4W473FN5US,5-fold cross validation,Validation croisée à 5 volets,validation croisée à 5 plis
4,AHX4W473FN5US,A * algorithm,algorithme A*,algorithme A*
4,AJFSM5DLXF59T,3D scene,scène 3D,scène 3D
4,AJFSM5DLXF59T,3D scene geometry,géométrie de la scène 3D,géométrie de la scène 3D
4,AJFSM5DLXF59T,3D structure,structure 3D,structure 3D
4,AJFSM5DLXF59T,5-fold cross validation,Validation croisée à 5 volets,validation croisée à 5 volets
4,AJFSM5DLXF59T,A * algorithm,algorithme A*,algorithme A*
5,A14F5XX4Y4KG9P,A/B test,test A/B,test A/B
5,A14F5XX4Y4KG9P,A2C,A2C,A2C
5,A14F5XX4Y4KG9P,AI,intelligence artificielle,IA
5,A14F5XX4Y4KG9P,API,API,API
5,A14F5XX4Y4KG9P,AQA,AQA,AQA
5,A1DEIZQB0X8KNT,A/B test,test A/B,test A/B
5,A1DEIZQB0X8KNT,A2C,A2C,A2C
5,A1DEIZQB0X8KNT,AI,intelligence artificielle,IA
5,A1DEIZQB0X8KNT,API,API,API
5,A1DEIZQB0X8KNT,AQA,AQA,AQA
5,A1DP3WNXZKMBVL,A/B test,test A/B,test A/B
5,A1DP3WNXZKMBVL,A2C,A2C,A2C
5,A1DP3WNXZKMBVL,AI,intelligence artificielle,IA
5,A1DP3WNXZKMBVL,API,API,API
5,A1DP3WNXZKMBVL,AQA,AQA,AQA
5,A1RAJW5O9HPPE2,A/B test,test A/B,test A/B
5,A1RAJW5O9HPPE2,A2C,A2C,A2C
5,A1RAJW5O9HPPE2,AI,intelligence artificielle,IA
5,A1RAJW5O9HPPE2,API,API,API
5,A1RAJW5O9HPPE2,AQA,AQA,AQA
5,A1S9SJ5CZTZH1M,A/B test,test A/B,test A/B
5,A1S9SJ5CZTZH1M,A2C,A2C,A2C
5,A1S9SJ5CZTZH1M,AI,intelligence artificielle,IA
5,A1S9SJ5CZTZH1M,API,API,API
5,A1S9SJ5CZTZH1M,AQA,AQA,AQA
5,A21RTAAAV3BQ1U,A/B test,test A/B,test A/B
5,A21RTAAAV3BQ1U,A2C,A2C,A2C
5,A21RTAAAV3BQ1U,AI,intelligence artificielle,IA
5,A21RTAAAV3BQ1U,API,API,API
5,A21RTAAAV3BQ1U,AQA,AQA,AQA
5,A39NCWTB8S9SVH,A/B test,test A/B,test A/B
5,A39NCWTB8S9SVH,A2C,A2C,A2C
5,A39NCWTB8S9SVH,AI,intelligence artificielle,IA
5,A39NCWTB8S9SVH,API,API,API
5,A39NCWTB8S9SVH,AQA,AQA,AQA
5,A3JPQAK02PUM87,A/B test,test A/B,test A/B
5,A3JPQAK02PUM87,A2C,A2C,A2C
5,A3JPQAK02PUM87,AI,intelligence artificielle,IA
5,A3JPQAK02PUM87,API,API,API
5,A3JPQAK02PUM87,AQA,AQA,AQA
5,AATNSR9QAYC5Q,A/B test,test A/B,test A/B
5,AATNSR9QAYC5Q,A2C,A2C,A2C
5,AATNSR9QAYC5Q,AI,intelligence artificielle,IA
5,AATNSR9QAYC5Q,API,API,API
5,AATNSR9QAYC5Q,AQA,AQA,AQA
5,AJFSM5DLXF59T,A/B test,test A/B,test A/B
5,AJFSM5DLXF59T,A2C,A2C,A2C
5,AJFSM5DLXF59T,AI,intelligence artificielle,IA
5,AJFSM5DLXF59T,API,API,API
5,AJFSM5DLXF59T,AQA,AQA,AQA
6,A14F5XX4Y4KG9P,ARENA,ARENA,ARENA
6,A14F5XX4Y4KG9P,Ablation study,étude d'ablation,étude d'ablation
6,A14F5XX4Y4KG9P,Accuracy,précision,Exactitude
6,A14F5XX4Y4KG9P,Active learning,apprentissage actif,Apprentissage actif
6,A14F5XX4Y4KG9P,Adafactor,Adafactor,Adafactor
6,A1DP3WNXZKMBVL,ARENA,ARENA,ARÈNE
6,A1DP3WNXZKMBVL,Ablation study,étude d'ablation,étude d'ablation
6,A1DP3WNXZKMBVL,Accuracy,précision,précision
6,A1DP3WNXZKMBVL,Active learning,apprentissage actif,apprentissage actif
6,A1DP3WNXZKMBVL,Adafactor,Adafactor,Adafactor
6,A1RAJW5O9HPPE2,ARENA,ARENA,ARÈNE
6,A1RAJW5O9HPPE2,Ablation study,étude d'ablation,étude d'ablation
6,A1RAJW5O9HPPE2,Accuracy,précision,précision
6,A1RAJW5O9HPPE2,Active learning,apprentissage actif,apprentissage actif
6,A1RAJW5O9HPPE2,Adafactor,Adafactor,Adafactor
6,A1S9SJ5CZTZH1M,ARENA,ARENA,ARENA
6,A1S9SJ5CZTZH1M,Ablation study,étude d'ablation,étude d’ablation
6,A1S9SJ5CZTZH1M,Accuracy,précision,Précision
6,A1S9SJ5CZTZH1M,Active learning,apprentissage actif,apprentissage actif
6,A1S9SJ5CZTZH1M,Adafactor,Adafactor,Adafactor
6,A21RTAAAV3BQ1U,ARENA,ARENA,ARENA
6,A21RTAAAV3BQ1U,Ablation study,étude d'ablation,étude d'ablation
6,A21RTAAAV3BQ1U,Accuracy,précision,Précision
6,A21RTAAAV3BQ1U,Active learning,apprentissage actif,apprentissage actif
6,A21RTAAAV3BQ1U,Adafactor,Adafactor,Adafactor
6,A2RFY9YXUWY2E1,ARENA,ARENA,ARENA
6,A2RFY9YXUWY2E1,Ablation study,étude d'ablation,étude d'ablation
6,A2RFY9YXUWY2E1,Accuracy,précision,précision
6,A2RFY9YXUWY2E1,Active learning,apprentissage actif,apprentissage actif
6,A2RFY9YXUWY2E1,Adafactor,Adafactor,Adafactor
6,A3JPQAK02PUM87,ARENA,ARENA,ARENA
6,A3JPQAK02PUM87,Ablation study,étude d'ablation,étude d'ablation
6,A3JPQAK02PUM87,Accuracy,précision,précision
6,A3JPQAK02PUM87,Active learning,apprentissage actif,apprentissage actif
6,A3JPQAK02PUM87,Adafactor,Adafactor,Adafactor
6,AATNSR9QAYC5Q,ARENA,ARENA,ARÈNE
6,AATNSR9QAYC5Q,Ablation study,étude d'ablation,étude d'ablation
6,AATNSR9QAYC5Q,Accuracy,précision,Précision
6,AATNSR9QAYC5Q,Active learning,apprentissage actif,apprentissage actif
6,AATNSR9QAYC5Q,Adafactor,Adafactor,Adaptatrice
6,ACS6S6YQWPTZ1,ARENA,ARENA,ARÈNE
6,ACS6S6YQWPTZ1,Ablation study,étude d'ablation,étude d'ablation
6,ACS6S6YQWPTZ1,Accuracy,précision,précision
6,ACS6S6YQWPTZ1,Active learning,apprentissage actif,apprentissage actif
6,ACS6S6YQWPTZ1,Adafactor,Adafactor,Adafactor
6,AJFSM5DLXF59T,ARENA,ARENA,ARENA
6,AJFSM5DLXF59T,Ablation study,étude d'ablation,étude d'ablation
6,AJFSM5DLXF59T,Accuracy,précision,précision
6,AJFSM5DLXF59T,Active learning,apprentissage actif,apprentissage actif
6,AJFSM5DLXF59T,Adafactor,Adafactor,Adafactor
7,A14F5XX4Y4KG9P,Adam,Adam,Adam: Adam
7,A14F5XX4Y4KG9P,Adam algorithm,algorithme Adam,Adam algorithm: algorithme Adam
7,A14F5XX4Y4KG9P,Adam optimiser,optimiseur Adam,Adam optimiser: optimiseur Adam
7,A14F5XX4Y4KG9P,Adam optimization,optimisation Adam,Adam optimization: optimisation Adam
7,A14F5XX4Y4KG9P,Adam optimization algorithm,algorithme d'optimisation Adam,Adam optimization algorithm: algorithme d'optimisation Adam
7,A1DEIZQB0X8KNT,Adam,Adam,Adam
7,A1DEIZQB0X8KNT,Adam algorithm,algorithme Adam,Algorithme Adam
7,A1DEIZQB0X8KNT,Adam optimiser,optimiseur Adam,Optimiseur Adam
7,A1DEIZQB0X8KNT,Adam optimization,optimisation Adam,Optimisation Adam
7,A1DEIZQB0X8KNT,Adam optimization algorithm,algorithme d'optimisation Adam,Algorithme d'optimisation Adam
7,A1DP3WNXZKMBVL,Adam,Adam,Adam
7,A1DP3WNXZKMBVL,Adam algorithm,algorithme Adam,algorithme Adam
7,A1DP3WNXZKMBVL,Adam optimiser,optimiseur Adam,optimiseur Adam
