,english,chinese,arabic,french,russian,japanese,english_lemma
61,TreeDST,TreeDST,TreeDST,TreeDST,TreeDST,TreeDST,TreeDST
62,BLEU,BLEU,BLEU,Bleu,BLEU,BLEU,BLEU
63,retrieval,恢复,استرجاع,extraction,возвращение,取得,retrieval
64,sentiment,情绪,شعور,émotionel,настроение,感情,sentiment
66,RGF,RGF,RGF,RGF,RGF,RGF,RGF
67,REALM,REALM,REALM,REALM,REALM,REALM,REALM
68,similarity,相似度,تشابه,similitude,сходство,類似性,similarity
70,VFL,VFL,VFL,VFL,VFL,VFL,VFL
71,QED,QED,QED,QED,QED,QED,QED
72,augmentation,增强,زيادة,élargissement,увеличение,増大,augmentation
73,generalization,泛化,تعميم,généralisation,обобщение,一般化,generalization
74,reasoning,推理,المنطق,raisonnement,рассуждение,推論,reasoning
75,CDA,CDA,CDA,CDA,CDA,CDA,CDA
76,QA,问答,ضمان الجودة,QA,Контроль качества,QA,QA
77,robustness,鲁棒性,متانة,robustesse,надежность,堅牢性,robustness
78,AQA,AQA,AQA,AQA,AQA,AQA,AQA
79,AmbigQA,AmbigQA,AmbigQA,AmbigQA,AmbigQA,AmbigQA,AmbigQA
80,QUOREF,QUOREF,QUOREF,QUOREF,QUOREF,QUOREF,QUOREF
81,SUTD,SUTD,SUTD,SUTD,SUTD,SUTD,SUTD
82,PaLM,PaLM,PaLM,PaLM,PaLM,PaLM,PaLM
83,interpretability,可解释性,إمكانية تفسير,interopérabilité,интерпретируемость,解釈度,interpretability
84,BERTs,BERTs,BERTs,BERTs,BERTs,BERTs,bert
85,MAWPS,MAWPS,MAWPS,MAWPS,MAWPS,MAWPS,mawp
86,MathQA,MathQA,MathQA,MathQA,MathQA,MathQA,MathQA
87,SVAMP,SVAMP,SVAMP,SVAMP,SVAMP,SVAMP,SVAMP
88,constraint,约束,القيود,contraintes,ограничение,制約,constraint
90,terminology,术语,مصطلح,terminologie,терминология,用語,terminology
91,BSARD,BSARD,BSARD,BSARD,BSARD,BSARD,BSARD
92,IDF,IDF,IDF,IDF,IDF,IDF,IDF
93,word2vec,word2vec,word2vec,word2vec,word2vec,単語2vec,word2vec
94,CamemBERT,CamemBERT,CamemBERT,CamemBERT,CamemBERT,CamemBERT,CamemBERT
95,CLS,CLS,CLS,CLS,CLS,CLS,cls
96,cosine,余弦,جيب,cosinus,косинус,コサイン,cosine
97,VALSE,VALSE,VALSE,VALSE,VALSE,VALSE,VALSE
99,coreference,共指,مراجع مشترك,coréférence,корреляция,同一指示,coreference
100,NLI,NLI,NLI,NLI,NLI,NLI,NLI
101,CLIP,CLIP,CLIP,CLIP,CLIP,CLIP,clip
102,LXMert,LXMert,LXMert,LXMert,LXMert,LXMert,LXMert
103,ViLBERT,ViLBERT,ViLBERT,ViLBERT,ViLBERT,ViLBERT,ViLBERT
104,VisualBERT,VisualBERT,VisualBERT,VisualBERT,VisualBERT,VisualBERT,VisualBERT
105,GPT,GPT,GPT,GPT,GPT,GPT,GPT
106,perplexity,混乱,حيرة,perplexité,растерянность,困惑,perplexity
107,RNSum,RNSum,RNSum,RNSum,RNSum,RNSum,RNSum
108,ARENA,ARENA,ARENA,ARENA,ARENA,ARENA,ARENA
109,extractor,提取器,مستخرج,extracteur,экстрактор,抽出機,extractor
110,API,API,API,API,API,API,API
111,CodeBERT,CodeBERT,CodeBERT,CodeBERT,CodeBERT,CodeBERT,CodeBERT
112,CEAS,CEAS,CEAS,CEAS,CEAS,CEAS,CEAS
113,CAS,CAS,CAS,CAS,CAS,CAS,CAS
114,seq2seq,seq2seq,seq2seq,seq2seq,seq2seq,seq2seq,seq2seq
115,ROUGE,ROUGE,ROUGE,ROUGE,ROUGE,ROUGE,ROUGE
117,FeSTE,FeSTE,FeSTE,FeSTE,FeSTE,FeSTE,FeSTE
118,extraction,提取,استخراج,extraction,извлечение,抽出,extraction
119,XLNet,XLNet,XLNet,XLNet,XLNet,XLNet,XLNet
120,multitask,多任务,متعددة المهام,multi-tâches,многозадачность,マルチタスク,multitask
121,MTDNN,MTDNN,MTDNN,MTDNN,MTDNN,MTDNN,MTDNN
